clubId,league,name
585,BRA1,São Paulo Futebol Clube
199,BRA1,Sport Club Corinthians Paulista
330,BRA1,Clube Atlético Mineiro
221,BRA1,Santos FC
609,BRA1,Cruzeiro Esporte Clube
2462,BRA1,Fluminense Football Club
210,BRA1,Grêmio Foot-Ball Porto Alegrense
614,BRA1,Clube de Regatas do Flamengo
537,BRA1,Botafogo Rio de Janeiro
1023,BRA1,Sociedade Esportiva Palmeiras
6600,BRA1,Sport Club Internacional
776,BRA1,Coritiba Foot Ball Club
10010,BRA1,Esporte Clube Bahia
7178,BRA1,Criciúma Esporte Clube
2125,BRA1,Esporte Clube Vitória
679,BRA1,Atlético Paranaense
8718,BRA1,Sport Club do Recife
4064,BRA1,Figueirense Futebol Clube
17776,BRA1,Associação Chapecoense de Futebol
3197,BRA1,Goiás Esporte Clube
209,AR1N,Club Atlético River Plate
189,AR1N,Club Atlético Boca Juniors
1775,AR1N,Club Atlético San Lorenzo de Almagro
1234,AR1N,CA Independiente de Avellaneda
1444,AR1N,Racing Club de Avellaneda
1418,AR1N,Club Atlético Rosario Central
333,AR1N,Club Atlético Lanús
1286,AR1N,Club Atlético Newell's Old Boys
2063,AR1N,Club Atlético Huracán
288,AR1N,Estudiantes de La Plata
12574,AR1N,Club Deportivo Godoy Cruz
11831,AR1N,Club Atlético Tigre
1029,AR1N,Club Atlético Vélez Sarsfield
830,AR1N,Club Atlético Banfield
1106,AR1N,Club de Gimnasia y Esgrima La Plata
1030,AR1N,Argentinos Juniors
1070,AR1N,Club Atlético Colón (Santa Fe)
2417,AR1N,Belgrano de Córdoba
1826,AR1N,Quilmes Atlético Club
2402,AR1N,Defensa y Justicia
4673,AR1N,Arsenal de Sarandí FC
7097,AR1N,CA Unión Santa Fé
10511,AR1N,Club Atlético San Martín (SJ)
14554,AR1N,Club Atlético Tucumán
14542,AR1N,Club Atlético Temperley
7468,AR1N,Olimpo de Bahía Blanca
10233,AR1N,Atlético de Rafaela
12301,AR1N,Club Atlético Aldosivi (MdP)
19806,AR1N,Club Atlético Patronato
12454,AR1N,Club Atlético Sarmiento (Junin)
7055,MEX1,Tigres UANL
3631,MEX1,CF América
2407,MEX1,CF Monterrey
5623,MEX1,Monarcas Morelia
3711,MEX1,CD Cruz Azul
6711,MEX1,Deportivo Guadalajara
1804,MEX1,Deportivo Toluca
4035,MEX1,CF Pachuca
5662,MEX1,Puebla FC
7633,MEX1,UNAM Pumas
4774,MEX1,Chiapas FC
1403,MEX1,Santos Laguna
8590,MEX1,Atlas Guadalajara
4961,MEX1,Querétaro FC
6709,MEX1,CF Atlante
13353,MEX1,Club Tijuana
4941,MEX1,Club León FC
5138,MEX1,Tiburones Rojos de Veracruz
8172,COLP,Atlético Nacional
11648,COLP,Independiente Santa Fe
2350,COLP,Millonarios FC
20590,COLP,Águilas Pereira
9961,COLP,Deportivo Cali
11854,COLP,CD Atlético Junior
10093,COLP,Independiente Medellín
17425,COLP,CD La Equidad
10090,COLP,Deportivo Pasto
10503,COLP,Deportes Tolima
6984,COLP,Once Caldas
7136,COLP,Envigado FC
14649,COLP,Boyacá Chicó FC
14583,COLP,CD Atlético Huila
18231,COLP,Boyacá Patriotas FC
32040,COLP,Uniautónoma FC
32041,COLP,Fortaleza FC
22902,COLP,Alianza Petrolera
3523,ECPE,Barcelona SC Guayaquil
9855,ECPE,LDU Quito
4561,ECPE,CS Emelec
944,ECPE,Deportivo Quito
19309,ECPE,Independiente del Valle
8781,ECPE,Deportivo Cuenca
19422,ECPE,LDU de Loja
9854,ECPE,CD Olmedo
25576,ECPE,Mushuc Runa SC
18099,ECPE,Manta FC
17584,ECPE,CD Universidad Católica
1143,ECPE,CD El Nacional
1037,CHL1,Club Universidad de Chile
3277,CHL1,CD Universidad Católica
2433,CHL1,CSD Colo Colo
11470,CHL1,CD O'Higgins
6363,CHL1,Audax Italiano
4321,CHL1,Unión Española
9103,CHL1,Deportes Cobreloa
18720,CHL1,CSD Rangers Talca
7020,CHL1,CD Everton
17222,CHL1,Club de Deportes Antofagasta
5622,CHL1,Universidad Concepción
6368,CHL1,CD Huachipato
18076,CHL1,Club Deportes Iquique
17482,CHL1,CD Cobresal
2723,CHL1,Santiago Wanderers
14723,CHL1,CD Ñublense
20514,CHL1,Unión La Calera
6536,CHL1,CD Palestino
861,URU1,CA Peñarol
866,URU1,Club Nacional
2619,URU1,Defensor Sporting Club
3829,URU1,CA Fénix
1306,URU1,Danubio FC
10663,URU1,Liverpool FC Montevideo
18078,URU1,El Tanque Sisley
14758,URU1,Racing Club de Montevideo
17428,URU1,Juventud de Las Piedras
2419,URU1,Atletico River Plate Montevideo
2403,URU1,Montevideo Wanderers
20189,URU1,Cerro Largo FC
14806,URU1,CA Cerro
1806,URU1,IA Sud America Montevideo
