clubId,league,name
543,GB2,Wolverhampton Wanderers
164,GB2,Blackburn Rovers
355,GB2,Bolton Wanderers
703,GB2,Nottingham Forest
603,GB2,Cardiff City
1035,GB2,Sheffield Wednesday
641,GB2,Middlesbrough FC
399,GB2,Leeds United
3008,GB2,Hull City
677,GB2,Ipswich Town
337,GB2,Birmingham City
1237,GB2,Brighton & Hove Albion
1003,GB2,Leicester City
1181,GB2,Blackpool FC
698,GB2,Bristol City
873,GB2,Crystal Palace
1010,GB2,Watford FC
1132,GB2,Burnley FC
1110,GB2,Huddersfield Town
1028,GB2,Millwall FC
358,GB2,Charlton Athletic
349,GB2,Barnsley FC
22,GB2,Derby County
1072,GB2,Peterborough United
1050,ES2,Villarreal CF
2448,ES2,Sporting Gijón
3302,ES2,UD Almería
7971,ES2,Hércules CF
630,ES2,Racing Santander
2464,ES2,FC Barcelona B
134,ES2,Xerez CD
171,ES2,Real Murcia CF
1531,ES2,Elche CF
472,ES2,UD Las Palmas
993,ES2,Córdoba CF
2296,ES2,CD Numancia
11422,ES2,CE Sabadell
12321,ES2,Girona FC
2867,ES2,Recreativo Huelva
11596,ES2,AD Alcorcón
6767,ES2,Real Madrid Castilla
5358,ES2,SD Huesca
13222,ES2,CD Mirandés
4032,ES2,SD Ponferradina
11000,ES2,CD Lugo
16576,ES2,CD Guadalajara
276,IT2,Hellas Verona
3522,IT2,Spezia Calcio
4361,IT2,Varese SSD
6574,IT2,US Sassuolo
19,IT2,Brescia Calcio
3037,IT2,Calcio Padova
1429,IT2,AC Cesena
2655,IT2,Vicenza Calcio
6692,IT2,Novara Calcio 1908
4333,IT2,FC Grosseto
26789,IT2,SG Pro Vercelli
1386,IT2,Reggina Calcio
1385,IT2,Modena FC 1912
1103,IT2,Ternana Calcio
749,IT2,FC Empoli
4083,IT2,FC Crotone
1210,IT2,AS Livorno
332,IT2,AS Bari
5587,IT2,SS Juve Stabia
4718,IT2,SS Virtus Lanciano
4084,IT2,AS Cittadella
408,IT2,Ascoli Calcio 1898
44,L2,Hertha BSC
2,L2,1.FC Kaiserslautern
3,L2,1. FC Köln
72,L2,TSV 1860 Munich
4795,L2,FC Ingolstadt 04
129,L2,SG Dynamo Dresden
52,L2,MSV Duisburg
35,L2,FC St. Pauli
89,L2,1.FC Union Berlin
80,L2,VfL Bochum
25,L2,FC Energie Cottbus
23,L2,Eintracht Braunschweig
94,L2,FC Erzgebirge Aue
293,L2,FSV Frankfurt
127,L2,SC Paderborn 07
254,L2,SV Sandhausen
109,L2,SSV Jahn Regensburg
83,L2,VfR Aalen
162,FR2,AS Monaco
290,FR2,AJ Auxerre
2969,FR2,FCO Dijon
1162,FR2,SM Caen
995,FR2,FC Nantes
738,FR2,AC Le Havre
11300,FR2,AC Arles-Avignon
1081,FR2,CS Sedan-Ardennes
826,FR2,RC Lens
855,FR2,EA Guingamp
3524,FR2,Clermont Foot Auvergne 63
3161,FR2,FC Tours
1164,FR2,FC Le Mans
1175,FR2,LB Châteauroux
1420,FR2,SCO Angers
2580,FR2,FC Istres
1080,FR2,Stade Laval
3558,FR2,GFC Ajaccio
1160,FR2,Olympique Nîmes
1161,FR2,FC Chamois Niort
2293,TR2,Torku Konyaspor
6630,TR2,Sanliurfaspor
1467,TR2,Göztepe
126,TR2,Caykur Rizespor
3207,TR2,Boluspor
152,TR2,Samsunspor
6,TR2,Adanaspor
2330,TR2,Karsiyaka
6894,TR2,Kayseri Erciyesspor
3840,TR2,Adana Demirspor
833,TR2,Denizlispor
2750,TR2,Bucaspor
1267,TR2,Manisaspor
1204,TR2,Kartalspor
23667,TR2,TKI Tavsanli Linyitspor
2832,TR2,Gaziantep Büyüksehir Belediyespor
12381,TR2,1461 Trabzon
868,TR2,MKE Ankaragücü
3690,RU2,SKA-Energia Khabarovsk
11127,RU2,Ural Sverdlovskaya Oblast
3691,RU2,Tom Tomsk
8835,RU2,Spartak Nalchik
3719,RU2,FK Khimki
28095,RU2,FK Ufa
6432,RU2,Volgar Astrakhan
2374,RU2,Shinnik Yaroslavl
1186,RU2,Torpedo Moscow
10688,RU2,Sibir Novosibirsk
3609,RU2,Rotor Volgograd
2741,RU2,Baltika Kaliningrad
3714,RU2,Enisey Krasnoyarsk
3733,RU2,Neftekhimik Nizhnekamsk
12059,RU2,Petrotrest St. Petersburg
6672,RU2,Salyut Belgorod
3715,RU2,Metallurg-Kuzbass Novokuznetsk
10330,PO2,SL Benfica B
10331,PO2,FC Porto B
10789,PO2,SC Braga B
10949,PO2,Sporting CP B
3349,PO2,CD Feirense
10787,PO2,CS Marítimo B
15136,PO2,Vitória Guimarães SC B
7378,PO2,Portimonense SC
8024,PO2,FC Arouca
4814,PO2,Naval 1º de Maio
3327,PO2,FC Penafiel
10140,PO2,SC Covilhã
976,PO2,CF União Madeira
2421,PO2,SC Freamunde
2423,PO2,CD Santa Clara
