clubId,league,name
10948,CSL,Guangzhou Evergrande Taobao
3182,CSL,Shandong Luneng Taishan
3183,CSL,Shanghai Greenland Shenhua
35272,CSL,Shijiazhuang Ever Bright
17250,CSL,Guizhou Renhe
27190,CSL,Shanghai SIPG
3176,CSL,Beijing Guoan
1326,CSL,Chongqing Lifan
18916,CSL,Guangzhou R&F
4768,CSL,Changchun Yatai
22219,CSL,Jiangsu Guoxin Sainty
3187,CSL,Tianjin Teda
17238,CSL,Shanghai Shenxin
17276,CSL,Hangzhou Greentown
1079,CSL,Liaoning FC
9982,CSL,Henan Jianye
828,JL11,Urawa Red Diamonds
3828,JL11,Yokohama F. Marinos
6631,JL11,FC Tokyo
2697,JL11,Sanfrecce Hiroshima
1062,JL11,Shimizu S-Pulse
596,JL11,Gamba Osaka
1066,JL11,Nagoya Grampus
9598,JL11,Kawasaki Frontale
6632,JL11,Kashiwa Reysol
2241,JL11,Kashima Antlers
6395,JL11,Vegalta Sendai
22177,JL11,Sagan Tosu
3958,JL11,Vissel Kobe
8344,JL11,Albirex Niigata
8457,JL11,Shonan Bellmare
25765,JL11,Matsumoto Yamaga FC
10999,JL11,Ventforet Kofu
16190,JL11,Montedio Yamagata
2524,UAE1,Al-Jazira (Abu Dhabi)
5432,UAE1,Al-Nasr (Dubai)
2150,UAE1,Al-Ain FC
15541,UAE1,Al-Ahli Dubai Club
4785,UAE1,Baniyas SC
161,UAE1,Al-Wahda FC Abu Dhabi
16214,UAE1,Al-Wasl Sports Club
38040,UAE1,Al Ittihad Kalba
15540,UAE1,Al-Shabab Al-Arabi Club
13613,UAE1,Sharjah Cultural Sports Club
15542,UAE1,Emirates Club
24724,UAE1,Ajman Club
14456,UAE1,Al-Dhafra SCC
31320,UAE1,Al-Fujairah SC
1230,QSL,Al-Arabi Sports Club
26091,QSL,Lekhwiya Sports Club
6297,QSL,Al-Gharafa Sports Club
656,QSL,Al-Sadd Sports Club
10920,QSL,Umm-Salal Sport Club
33288,QSL,El-Jaish Sports Club
3612,QSL,Al-Ahli Sports Club
13509,QSL,Al-Wakrah Sports Club
965,QSL,Qatar Sports Club
19585,QSL,Al-Kharitiyat Sports Club
4630,QSL,Al-Sailiya Sport Club
34694,QSL,Al-Shahaniya Sports Club
5381,QSL,Al-Khor Sports Club
10775,QSL,Al-Shamal
6500,RSK1,FC Seoul
6502,RSK1,Jeonbuk Hyundai Motors
3301,RSK1,Suwon Samsung Bluewings
3535,RSK1,Ulsan Hyundai
311,RSK1,Pohang Steelers
6503,RSK1,Jeonnam Dragons
2582,RSK1,Busan IPark
3610,RSK1,Seongnam FC
19684,RSK1,Jeju United
2996,RSK1,Incheon United FC
30925,RSK1,Gwangju FC
6499,RSK1,Daejeon Citizen FC
4947,IRN1,Sepahan FC
1076,IRN1,Esteghlal FC
6079,IRN1,Persepolis FC
12935,IRN1,Tractor Sazi FC
6076,IRN1,Foolad FC
32502,IRN1,Naft Tehran
42192,IRN1,Padideh Khorasan FC
6078,IRN1,Paykan FC
6081,IRN1,Zob Ahan Esfahan
31273,IRN1,Gostaresh Foolad FC
