392,Sreto Ristic
516,Aílton
606,Roberto Pinto
620,Delron Buckley
2073,Florian Heidenreich
3026,Sanel Kuljic
3808,Lucién Mettomo
3952,Cristiano
5400,Adel Chedli
5412,Santos
5628,Yannick Kamanan
5657,Héctor Tapia
6617,Gábor Nagy
8190,Jamal Alioui
8628,Matthias Langkamp
9493,Mark Fotheringham
9608,Hannu Tihinen
12069,Michael Diethelm
13057,Mohamed Diallo
15141,Guy Feutchine
15671,Erich Brabec
17302,David da Costa
17332,Davide Chiumiento
17352,Carlitos
17412,João Manuel Pinto
18243,Goran Antic
18903,Yacine Hima
19179,Francisco Aguirre
19196,Luis Calapes
19216,Eudis
19224,Demetrio Alessandro Greco
19677,Samir Kozarac
19690,Murat Ural
19741,Mirsad Mijadinoski
19743,Pascal Bader
19817,Paquito
19870,Marius Zarn
19956,Ariel Carreño
19962,Franco Costanzo
20068,Jocelyn Ahouéya
20075,Luiz Carlos
20081,Gelson Fernandes
20093,Claudio Lustenberger
20100,Alberto Regazzoni
20103,Asim Skaljic
20104,Germano Vailati
20130,Marcos Gelabert
20178,Kali
20187,Reto Bolli
20588,Edmond N'Tiamoah
21017,Lukas Dosek
22000,Carlos Alberto
22244,Matteo Gritti
22550,Weligton
22560,Wesley
22959,Nordine Sam
23970,Virgile Reset
25433,Julian Bühler
25439,Thomas Haberthür
25443,Patrik Baumann
25588,Vedran Jese
25729,Sokol Maliqi
26223,Juho Mäkelä
26247,Jesús Méndez
28150,Aarón Galindo
28490,Diego León
28808,Andrea Guatelli
30719,Alejandro Roberto Gavatorta
32445,Sandro Galli
32704,Shkelzen Gashi
32732,David Gonzalez
32747,Hervé Makuka
32748,Christophe Lambert
32753,Norbert Sigrist
33020,Remo Staubli
33044,Jonas Bernet
33054,Richmond Rak
33529,Sebastian Kollar
33620,Hervé Bochud
33718,François Marque
33752,Sofian Kheyari
33820,Kamil Zayatte
34179,José Luis Mamone
34600,Jérôme Thiesson
35233,Joetex Frimpong
35378,Álvaro Saborío
35805,Rinaldo Cruzado
37181,Toni Kallio
37301,Veli Lampi
37724,Obinna Nwaneri
37752,Jordan Simpson
37834,Felipe Caicedo
37978,Simon Lustenberger
38124,Heinz Barmettler
38639,Sascha Stulz
40813,Xavier Hochstrasser
40975,Marcos
41009,Davide Redzepi
41208,Christian Pouga
41391,Yves Zahnd
41767,Simone Grippo
42203,Fabian Lustenberger
42205,Yann Sommer
42310,Martin Berisha
42314,Moustapha Dabo
42320,Daniel Fanger
42377,Altay Kahraman
42384,Tobias Müller
43849,Samuel Huber
44031,Hocine Achiou
44043,Adrián Fernández
44056,Vahe Tadevosyan
44262,Martin Büchel
44711,Damien Germanier
44896,Erhan Kavak
44898,Igor Nganga
44899,Skumbim Sulejmani
45224,Besnik Zukaj
45449,Franck Madou
45454,Ari Nyman
46033,Makanaki
46039,Frank Feltscher
46917,Patrick  Bengondo
47011,Óscar Scarione
47408,Diego Ciccone
47528,Marco Schönbächler
47543,Eren Derdiyok
47544,Michel Morganella
47607,Florian Berisha
51496,Sascha Imholz
51497,Ridge Munsy
51537,Sandro Foschini
52719,Silvan Büchli
61122,Alessandro Maier
62114,Sascha Studer
65423,Mirzet Mehidic
65442,Dejan Sorgic
65548,Astrit Rustemaj
