1699,Marcus Koster
3124,Sammy Habte
5549,Stéphane Gillet
9123,Markus Huwer
9201,Alexander Ziehl
22035,Almin Babacic
31044,Jesse Schaaf
40886,Tim Heinz
44156,Dan Collette
44158,Kim Kintziger
44159,Claudio Lombardelli
44163,Jacques Plein
56263,Alex Pott
56265,Tom Schmit
61481,Gilles Kettels
62268,Patrick Worré
78878,Daniel Bernard
79863,Marc Raus
79894,Abderrahmane Sallani
79913,Christophe Borbiconi
79914,Alexandre Franceschi
79951,Anouar Belli
79962,Adis Omerovic
79963,Serdo Pupovac
82149,Marc Binsfeld
82327,Anton Bozic
82333,Dario Maric
82338,Volker Schmitt
90897,Darío Soraire
90988,Tim Lehnen
90992,Daniel Primc
91065,David Castellani
91069,Alain Fichant
91180,Alain Mendes
91392,Ahmed El Aouad
91624,Patrick de Almeida
91632,Aldo Zampa
91647,Joao Tavares
91648,Gabriel Vieira de Jesus
93024,Ronny Bodri
93086,Bülent Ayyildiz
93120,Carlos Vieira de Castro
102650,Christophe Wilwert
103698,Laurent Arndt
103708,Sergio Sarmento
103712,Vedat Duraku
103723,Steve Schaack
103727,Daniel Zanon
111021,Stéphane Marques
112539,Antonio Coimbra
118133,Christian Braun
118803,Gilles Even
120694,Steven Borges
120703,Danny Krings
121319,Christophe Cum
121323,Jasmin Dervisevic
121345,David Teixeira Cacador
123037,Inacio Do Rosario Flor
123055,Dan Spogen
123117,Patrick Enger
123119,José Ferreira
123466,Nuno Dos Santos
123807,Batista Goncalves
123932,José Vieira dos Santos Lessa
124974,Mourad Boukellal
125630,Paulo Mendes Brito
125632,Christian Rodrigues Gomes
144374,Helder Ernesto Goncalves Silva
146306,Mariusz Cylwik
148117,Gilles Jungbluth
175905,Sead Badic
187357,Alen Dautbasic
199344,David Gross
199349,Gilles Jacoby
199350,Eric Jungbluth
199395,Pedro Tavares
205211,Simao
205910,Philippe Dürrer
215152,Serge Didier Kimoni
275274,Yves Bley
275276,Manuel dos Santos
285701,Sanel Latic
293965,Rachid Benmerieme
294033,Douglas Peinado
301509,Baba Magassouba
301526,Ben Ruppert
306080,Oliver Wendel
346741,Chris Felten
347315,Claude Mausen
347352,Cosimo Barnabo †
347762,Michaël Semedo
347763,Miroslav Dragusic
347765,Christophe Zabée
347766,Didier Matuszyk
347767,Cyrille Forgione
347768,Patrick Gloden
347770,Laurent Unsen
347771,Eric Depireux
347772,Ernesto da Silva
347773,Jacques Muller
347774,Laurent Carème
347775,Anis Ramdedovic
347780,Laurent Dutheil
347781,Christophe Closter
347783,Fernando Vieira Barbosa
347786,Pascal Pfeiffer
347788,Didier Magen
347789,Marc Kunen
347797,Alain Schmit
347831,Pascal Douane
347833,Amadou Meïté
347835,Arnaud Szymanski
347837,Andy Rippinger
347838,Dario Pecirep
347948,Yves Bernard
347950,Luis da Luz Lima
348038,Olivier Laurent
348923,Frédéric Stefani
348924,Abdellah Benchama
348925,Mamadou Sissoko
348926,Christian Laurenborg
348978,Arturo Huelin
349141,Faruk Suljkanovic
349393,Stefan Ferring
349435,Aristide Gbeme
349474,Augusto Ferraz Guimaraes
349493,Franck Bento
349710,Mauro Monteiro
349900,Andy Reuter
350213,Elvis Melo †
350214,Sergio Vieira de Castro
350282,Emil Muhovic
350313,Frédéric Debougnoux
350314,Adrien Perfetto
351206,Tomas Gonzalez Rubio
351221,Davide Berners
351496,Donny Saponaro
351522,Filipe Jesus da Silva
351569,Rui Miguel Mota Carvalho
351614,Jean-Carlos Rito
351934,Alexandre Rodrigues Cantante
