523,Stefan Brasas
20806,Marios Elia
20808,Michalis Morfis
20809,Stelios Okkaridis
20810,Marinos Satsias
20811,Konstantinos Charalampidis
20813,Konstantinos Malekkos
20816,Nektarios Alexandrou
20817,Dimitrios Daskalakis
20818,Stavros Georgiou
25918,Zahari Sirakov
27244,Elias Charalambous
29272,Romik Khachatryan
60069,Marios Agathokleous
104731,Christos Karamanolis
104732,Petros Petrou
104985,Petros Petrou II
104988,Barnabás Sztipánovics
106661,Marinos Ouzounidis
127893,Zacharias Charalambous
170797,Nikodemos Papavasiliou
186480,Marvin Brunswijk
