clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
12469.0,KF Skënderbeu,4.0,,46.0,27.0,73.0,ALB1,7.0,36.0,79.0,79,1.0,2015,25.0
4040.0,FK Partizani,11.0,,30.0,21.0,51.0,ALB1,4.0,36.0,74.0,74,2.0,2015,21.0
27116.0,FK Kukësi,9.0,,16.0,25.0,41.0,ALB1,9.0,36.0,63.0,63,3.0,2015,18.0
3739.0,KF Teuta Durrës,9.0,,15.0,28.0,43.0,ALB1,9.0,36.0,63.0,63,4.0,2015,18.0
2049.0,KF Tirana,14.0,,12.0,25.0,37.0,ALB1,9.0,36.0,53.0,53,5.0,2015,13.0
8671.0,KF Vllaznia,6.0,,-6.0,42.0,36.0,ALB1,19.0,36.0,39.0,39,6.0,2015,11.0
22140.0,KF Laçi,12.0,,-18.0,48.0,30.0,ALB1,16.0,36.0,36.0,36,7.0,2015,8.0
12460.0,FC Flamurtari,11.0,,-10.0,44.0,34.0,ALB1,16.0,36.0,38.0,35,8.0,2015,9.0
21234.0,FK Bylis Ballsh,8.0,,-26.0,53.0,27.0,ALB1,20.0,36.0,32.0,32,9.0,2015,8.0
21781.0,KF Tërbuni Pukë,6.0,,-59.0,81.0,22.0,ALB1,26.0,36.0,18.0,18,10.0,2015,4.0
12469.0,KF Skënderbeu,7.0,,40.0,18.0,58.0,ALB1,5.0,36.0,79.0,79,1.0,2014,24.0
27116.0,FK Kukësi,6.0,,32.0,27.0,59.0,ALB1,7.0,36.0,75.0,75,2.0,2014,23.0
4040.0,FK Partizani,7.0,,18.0,24.0,42.0,ALB1,7.0,36.0,73.0,73,3.0,2014,22.0
2049.0,KF Tirana,8.0,,20.0,27.0,47.0,ALB1,7.0,36.0,71.0,71,4.0,2014,21.0
22140.0,KF Laçi,9.0,,27.0,19.0,46.0,ALB1,7.0,36.0,69.0,69,5.0,2014,20.0
12460.0,FC Flamurtari,8.0,,-8.0,37.0,29.0,ALB1,18.0,36.0,38.0,38,6.0,2014,10.0
8671.0,KF Vllaznia,5.0,,-14.0,41.0,27.0,ALB1,20.0,36.0,38.0,35,7.0,2014,11.0
3739.0,KF Teuta Durrës,2.0,,-23.0,54.0,31.0,ALB1,25.0,36.0,29.0,29,8.0,2014,9.0
12448.0,KF Apolonia,4.0,,-37.0,56.0,19.0,ALB1,25.0,36.0,25.0,25,9.0,2014,7.0
6983.0,KF Elbasani,2.0,,-55.0,74.0,19.0,ALB1,30.0,36.0,14.0,14,10.0,2014,4.0
12469.0,KF Skënderbeu,7.0,,20.0,32.0,52.0,ALB1,8.0,33.0,61.0,61,1.0,2013,18.0
27116.0,FK Kukësi,9.0,,12.0,34.0,46.0,ALB1,8.0,33.0,57.0,57,2.0,2013,16.0
22140.0,KF Laçi,6.0,,13.0,28.0,41.0,ALB1,11.0,33.0,54.0,54,3.0,2013,16.0
3739.0,KF Teuta Durrës,12.0,,11.0,35.0,46.0,ALB1,7.0,33.0,54.0,54,4.0,2013,14.0
4040.0,FK Partizani,8.0,,7.0,26.0,33.0,ALB1,10.0,33.0,53.0,53,5.0,2013,15.0
2049.0,KF Tirana,8.0,,5.0,31.0,36.0,ALB1,11.0,33.0,50.0,50,6.0,2013,14.0
12460.0,FC Flamurtari,9.0,,5.0,40.0,45.0,ALB1,10.0,33.0,51.0,48,7.0,2013,14.0
8671.0,KF Vllaznia,9.0,,6.0,36.0,42.0,ALB1,12.0,33.0,45.0,45,8.0,2013,12.0
739.0,KS Besa Kavajë,9.0,,2.0,32.0,34.0,ALB1,13.0,33.0,42.0,39,9.0,2013,11.0
12462.0,KF Kastrioti,5.0,,-20.0,46.0,26.0,ALB1,20.0,33.0,29.0,29,10.0,2013,8.0
13645.0,KS Lushnja,5.0,,-27.0,59.0,32.0,ALB1,21.0,33.0,26.0,26,11.0,2013,7.0
21234.0,FK Bylis Ballsh,9.0,,-34.0,54.0,20.0,ALB1,19.0,33.0,24.0,24,12.0,2013,5.0
12469.0,KF Skënderbeu,4.0,,29.0,14.0,43.0,ALB1,4.0,26.0,58.0,58,1.0,2012,18.0
27116.0,FK Kukësi,7.0,,24.0,25.0,49.0,ALB1,4.0,26.0,52.0,52,2.0,2012,15.0
3739.0,KF Teuta Durrës,6.0,,8.0,24.0,32.0,ALB1,6.0,26.0,48.0,48,3.0,2012,14.0
12460.0,FC Flamurtari,7.0,,16.0,33.0,49.0,ALB1,6.0,26.0,46.0,46,4.0,2012,13.0
2049.0,KF Tirana,7.0,,7.0,23.0,30.0,ALB1,7.0,26.0,43.0,43,5.0,2012,12.0
8671.0,KF Vllaznia,5.0,,4.0,26.0,30.0,ALB1,10.0,26.0,38.0,38,6.0,2012,11.0
22140.0,KF Laçi,5.0,,1.0,31.0,32.0,ALB1,10.0,26.0,38.0,38,7.0,2012,11.0
12462.0,KF Kastrioti,4.0,,-10.0,35.0,25.0,ALB1,12.0,26.0,34.0,34,8.0,2012,10.0
739.0,KS Besa Kavajë,8.0,,-3.0,26.0,23.0,ALB1,10.0,26.0,32.0,32,9.0,2012,8.0
21234.0,FK Bylis Ballsh,6.0,,3.0,29.0,32.0,ALB1,11.0,26.0,33.0,30,10.0,2012,9.0
12468.0,KF Shkumbini Peqin,8.0,,-15.0,33.0,18.0,ALB1,11.0,26.0,29.0,29,11.0,2012,7.0
27113.0,FK Tomori Berat,7.0,,-20.0,50.0,30.0,ALB1,15.0,26.0,19.0,19,12.0,2012,4.0
21934.0,KS Luftëtari,4.0,,-20.0,44.0,24.0,ALB1,17.0,26.0,19.0,19,13.0,2012,5.0
12448.0,KF Apolonia,10.0,,-24.0,40.0,16.0,ALB1,15.0,26.0,13.0,13,14.0,2012,1.0
12469.0,KF Skënderbeu,6.0,,29.0,16.0,45.0,ALB1,3.0,26.0,57.0,57,1.0,2011,17.0
3739.0,KF Teuta Durrës,5.0,,15.0,18.0,33.0,ALB1,4.0,26.0,56.0,56,2.0,2011,17.0
2049.0,KF Tirana,5.0,,12.0,21.0,33.0,ALB1,5.0,26.0,53.0,53,3.0,2011,16.0
12460.0,FC Flamurtari,7.0,,18.0,21.0,39.0,ALB1,7.0,26.0,43.0,43,4.0,2011,12.0
12462.0,KF Kastrioti,5.0,,7.0,30.0,37.0,ALB1,10.0,26.0,38.0,38,5.0,2011,11.0
8671.0,KF Vllaznia,5.0,,6.0,33.0,39.0,ALB1,11.0,26.0,35.0,35,6.0,2011,10.0
21234.0,FK Bylis Ballsh,8.0,,3.0,37.0,40.0,ALB1,9.0,26.0,35.0,35,7.0,2011,9.0
22140.0,KF Laçi,7.0,,-2.0,28.0,26.0,ALB1,8.0,26.0,40.0,34,8.0,2011,11.0
12468.0,KF Shkumbini Peqin,7.0,,-4.0,42.0,38.0,ALB1,10.0,26.0,34.0,34,9.0,2011,9.0
27113.0,FK Tomori Berat,4.0,,-11.0,47.0,36.0,ALB1,14.0,26.0,28.0,28,10.0,2011,8.0
21786.0,FC Kamza,6.0,,-10.0,32.0,22.0,ALB1,13.0,26.0,27.0,27,11.0,2011,7.0
12448.0,KF Apolonia,6.0,,-19.0,46.0,27.0,ALB1,15.0,26.0,21.0,21,12.0,2011,5.0
27099.0,KF Pogradeci,4.0,,-22.0,47.0,25.0,ALB1,16.0,26.0,22.0,19,13.0,2011,6.0
588.0,Dinamo Tiranë,7.0,,-22.0,41.0,19.0,ALB1,16.0,26.0,16.0,13,14.0,2011,3.0
12469.0,KF Skënderbeu,4.0,,29.0,23.0,52.0,ALB1,6.0,33.0,73.0,73,1.0,2010,23.0
12460.0,FC Flamurtari,3.0,,35.0,27.0,62.0,ALB1,8.0,33.0,69.0,69,2.0,2010,22.0
8671.0,KF Vllaznia,8.0,,14.0,27.0,41.0,ALB1,8.0,33.0,59.0,59,3.0,2010,17.0
22140.0,KF Laçi,5.0,,0.0,44.0,44.0,ALB1,14.0,33.0,47.0,47,4.0,2010,14.0
2049.0,KF Tirana,11.0,,11.0,31.0,42.0,ALB1,11.0,33.0,44.0,44,5.0,2010,11.0
21234.0,FK Bylis Ballsh,4.0,,-4.0,48.0,44.0,ALB1,16.0,33.0,43.0,43,6.0,2010,13.0
3739.0,KF Teuta Durrës,9.0,,-2.0,40.0,38.0,ALB1,13.0,33.0,42.0,42,7.0,2010,11.0
12462.0,KF Kastrioti,9.0,,-7.0,47.0,40.0,ALB1,13.0,33.0,42.0,42,8.0,2010,11.0
12468.0,KF Shkumbini Peqin,6.0,,-11.0,54.0,43.0,ALB1,15.0,33.0,42.0,42,9.0,2010,12.0
588.0,Dinamo Tiranë,9.0,,-4.0,50.0,46.0,ALB1,14.0,33.0,39.0,39,10.0,2010,10.0
739.0,KS Besa Kavajë,9.0,,-12.0,47.0,35.0,ALB1,14.0,33.0,39.0,39,11.0,2010,10.0
6983.0,KF Elbasani,3.0,,-49.0,79.0,30.0,ALB1,26.0,33.0,15.0,12,12.0,2010,4.0
588.0,Dinamo Tiranë,4.0,,14.0,42.0,56.0,ALB1,10.0,33.0,61.0,61,1.0,2009,19.0
739.0,KS Besa Kavajë,8.0,,9.0,33.0,42.0,ALB1,10.0,33.0,53.0,53,2.0,2009,15.0
2049.0,KF Tirana,7.0,,6.0,32.0,38.0,ALB1,11.0,33.0,52.0,52,3.0,2009,15.0
22140.0,KF Laçi,9.0,,7.0,28.0,35.0,ALB1,10.0,33.0,51.0,51,4.0,2009,14.0
12460.0,FC Flamurtari,8.0,,3.0,39.0,42.0,ALB1,12.0,33.0,47.0,47,5.0,2009,13.0
8671.0,KF Vllaznia,7.0,,-5.0,39.0,34.0,ALB1,13.0,33.0,46.0,46,6.0,2009,13.0
12468.0,KF Shkumbini Peqin,6.0,,0.0,33.0,33.0,ALB1,14.0,33.0,45.0,45,7.0,2009,13.0
