clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
31614.0,Ludogorets,9.0,,32.0,25.0,57.0,BU1,5.0,35.0,72.0,70,1.0,2015,21.0
156.0,Levski Sofia,9.0,,22.0,21.0,43.0,BU1,8.0,35.0,63.0,56,2.0,2015,18.0
6764.0,PFC Beroe Stara Zagora,12.0,,11.0,30.0,41.0,BU1,7.0,34.0,57.0,53,3.0,2015,15.0
675.0,Slavia Sofia,8.0,,3.0,33.0,36.0,BU1,12.0,34.0,50.0,49,4.0,2015,14.0
2259.0,Lok. Plovdiv,6.0,,-5.0,46.0,41.0,BU1,13.0,34.0,51.0,49,5.0,2015,15.0
967.0,Cherno More,9.0,,-10.0,47.0,37.0,BU1,15.0,34.0,39.0,38,6.0,2015,10.0
2531.0,Botev Plovdiv,9.0,,-21.0,50.0,29.0,BU1,17.0,34.0,33.0,33,7.0,2015,8.0
521.0,OFK Pirin,12.0,,-19.0,47.0,28.0,BU1,17.0,34.0,27.0,26,8.0,2015,5.0
24078.0,PFC Montana,9.0,,-23.0,47.0,24.0,BU1,21.0,34.0,21.0,21,9.0,2015,4.0
271.0,Litex Lovetch,9.0,,10.0,19.0,29.0,BU1,3.0,20.0,33.0,0,10.0,2015,8.0
31614.0,Ludogorets,5.0,,32.0,14.0,46.0,BU1,3.0,22.0,47.0,47,1.0,2014,14.0
208.0,CSKA Sofia,5.0,,24.0,15.0,39.0,BU1,4.0,22.0,44.0,44,2.0,2014,13.0
271.0,Litex Lovetch,3.0,,13.0,24.0,37.0,BU1,7.0,22.0,39.0,39,3.0,2014,12.0
730.0,Lok. Sofia,3.0,,5.0,24.0,29.0,BU1,7.0,22.0,39.0,39,4.0,2014,12.0
6764.0,PFC Beroe Stara Zagora,5.0,,13.0,21.0,34.0,BU1,6.0,22.0,38.0,38,5.0,2014,11.0
2531.0,Botev Plovdiv,3.0,,6.0,26.0,32.0,BU1,8.0,22.0,36.0,36,6.0,2014,11.0
156.0,Levski Sofia,4.0,,11.0,25.0,36.0,BU1,8.0,22.0,34.0,34,7.0,2014,10.0
967.0,Cherno More,4.0,,2.0,24.0,26.0,BU1,9.0,22.0,31.0,31,8.0,2014,9.0
675.0,Slavia Sofia,5.0,,-6.0,30.0,24.0,BU1,11.0,22.0,23.0,23,9.0,2014,6.0
2259.0,Lok. Plovdiv,5.0,,-23.0,36.0,13.0,BU1,12.0,22.0,20.0,20,10.0,2014,5.0
5284.0,Marek Dupnitsa,5.0,,-37.0,45.0,8.0,BU1,14.0,22.0,14.0,14,11.0,2014,3.0
26565.0,PFC Haskovo,1.0,,-40.0,52.0,12.0,BU1,19.0,22.0,7.0,7,12.0,2014,2.0
31614.0,Ludogorets,4.0,,43.0,14.0,57.0,BU1,4.0,26.0,58.0,58,1.0,2013,18.0
271.0,Litex Lovetch,6.0,,33.0,26.0,59.0,BU1,3.0,26.0,57.0,57,2.0,2013,17.0
208.0,CSKA Sofia,6.0,,30.0,14.0,44.0,BU1,5.0,26.0,51.0,51,3.0,2013,15.0
2531.0,Botev Plovdiv,7.0,,24.0,21.0,45.0,BU1,6.0,26.0,46.0,46,4.0,2013,13.0
2259.0,Lok. Plovdiv,3.0,,12.0,31.0,43.0,BU1,9.0,26.0,45.0,45,5.0,2013,14.0
156.0,Levski Sofia,5.0,,21.0,24.0,45.0,BU1,8.0,26.0,44.0,44,6.0,2013,13.0
967.0,Cherno More,7.0,,10.0,21.0,31.0,BU1,7.0,26.0,43.0,43,7.0,2013,12.0
6764.0,PFC Beroe Stara Zagora,6.0,,7.0,25.0,32.0,BU1,9.0,26.0,39.0,39,8.0,2013,11.0
675.0,Slavia Sofia,7.0,,-3.0,38.0,35.0,BU1,11.0,26.0,31.0,31,9.0,2013,8.0
730.0,Lok. Sofia,4.0,,-14.0,44.0,30.0,BU1,13.0,26.0,31.0,31,10.0,2013,9.0
4494.0,Chern. Burgas,4.0,,-16.0,46.0,30.0,BU1,16.0,26.0,22.0,22,11.0,2013,6.0
32673.0,FC Lyubimets,3.0,,-48.0,66.0,18.0,BU1,18.0,26.0,18.0,18,12.0,2013,5.0
19783.0,PFC Pirin,3.0,,-48.0,71.0,23.0,BU1,19.0,26.0,15.0,15,13.0,2013,4.0
760.0,Neftochimik ,3.0,,-51.0,66.0,15.0,BU1,20.0,26.0,12.0,12,14.0,2013,3.0
31614.0,Ludogorets,6.0,,45.0,13.0,58.0,BU1,2.0,30.0,72.0,72,1.0,2012,22.0
156.0,Levski Sofia,5.0,,39.0,20.0,59.0,BU1,3.0,30.0,71.0,71,2.0,2012,22.0
208.0,CSKA Sofia,6.0,,34.0,20.0,54.0,BU1,5.0,30.0,63.0,63,3.0,2012,19.0
2531.0,Botev Plovdiv,6.0,,30.0,21.0,51.0,BU1,6.0,30.0,60.0,60,4.0,2012,18.0
271.0,Litex Lovetch,5.0,,32.0,24.0,56.0,BU1,10.0,30.0,50.0,50,5.0,2012,15.0
4494.0,Chern. Burgas,5.0,,3.0,29.0,32.0,BU1,11.0,30.0,47.0,47,6.0,2012,14.0
