clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
6170.0,KÍ Klaksvík,2.0,,28.0,15.0,43.0,FARO,3.0,19.0,44.0,44,1.0,2015,14.0
24832.0,Víkingur Göta,4.0,,21.0,21.0,42.0,FARO,3.0,19.0,40.0,40,2.0,2015,12.0
11540.0,NSÍ Runavík,0.0,,18.0,29.0,47.0,FARO,6.0,19.0,39.0,39,3.0,2015,13.0
4313.0,HB Tórshavn,4.0,,13.0,19.0,32.0,FARO,5.0,19.0,34.0,34,4.0,2015,10.0
10532.0,B36 Tórshavn,5.0,,9.0,19.0,28.0,FARO,5.0,19.0,32.0,32,5.0,2015,9.0
13418.0,ÍF Fuglafjördur,4.0,,-10.0,41.0,31.0,FARO,8.0,19.0,25.0,25,6.0,2015,7.0
10743.0,TB Tvöroyri,5.0,,-13.0,31.0,18.0,FARO,10.0,19.0,17.0,17,7.0,2015,4.0
10742.0,Skála IF,5.0,,-14.0,28.0,14.0,FARO,10.0,19.0,17.0,17,8.0,2015,4.0
30484.0,AB Argir,6.0,,-16.0,34.0,18.0,FARO,12.0,19.0,9.0,9,9.0,2015,1.0
10538.0,B68 Toftir,7.0,,-36.0,53.0,17.0,FARO,12.0,19.0,7.0,7,10.0,2015,0.0
10532.0,B36 Tórshavn,7.0,,35.0,25.0,60.0,FARO,2.0,27.0,61.0,61,1.0,2014,18.0
11540.0,NSÍ Runavík,6.0,,36.0,37.0,73.0,FARO,5.0,27.0,54.0,54,2.0,2014,16.0
24832.0,Víkingur Göta,8.0,,33.0,35.0,68.0,FARO,4.0,27.0,53.0,53,3.0,2014,15.0
4313.0,HB Tórshavn,10.0,,12.0,31.0,43.0,FARO,6.0,27.0,43.0,43,4.0,2014,11.0
6170.0,KÍ Klaksvík,8.0,,9.0,41.0,50.0,FARO,8.0,27.0,41.0,41,5.0,2014,11.0
13418.0,ÍF Fuglafjördur,12.0,,-12.0,56.0,44.0,FARO,10.0,27.0,27.0,27,6.0,2014,5.0
10743.0,TB Tvöroyri,14.0,,-11.0,47.0,36.0,FARO,9.0,27.0,26.0,26,7.0,2014,4.0
30484.0,AB Argir,12.0,,-8.0,42.0,34.0,FARO,11.0,27.0,24.0,24,8.0,2014,4.0
11537.0,FC Suduroy,4.0,,-29.0,68.0,39.0,FARO,17.0,27.0,22.0,22,9.0,2014,6.0
10752.0,EB/Streymur,5.0,,-65.0,92.0,27.0,FARO,20.0,27.0,11.0,11,10.0,2014,2.0
10532.0,B36 Tórshavn,4.0,,28.0,25.0,53.0,FARO,4.0,27.0,61.0,61,1.0,2013,19.0
4313.0,HB Tórshavn,6.0,,39.0,20.0,59.0,FARO,3.0,27.0,60.0,60,2.0,2013,18.0
