clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
663.0,Dinamo Tbilisi,1.0,,45.0,29.0,74.0,GEO1,4.0,30.0,76.0,76,1.0,2015,25.0
2950.0,FC Samtredia,3.0,,34.0,32.0,66.0,GEO1,7.0,30.0,63.0,63,2.0,2015,20.0
32017.0,FC Dila,5.0,,26.0,25.0,51.0,GEO1,6.0,30.0,62.0,62,3.0,2015,19.0
11435.0,Chikhura,6.0,,27.0,26.0,53.0,GEO1,7.0,30.0,57.0,57,4.0,2015,17.0
10531.0,Sioni Bolnisi,8.0,,16.0,34.0,50.0,GEO1,8.0,30.0,50.0,50,5.0,2015,14.0
253.0,Torpedo Kutaisi,6.0,,8.0,42.0,50.0,GEO1,10.0,30.0,48.0,48,6.0,2015,14.0
19090.0,Tskhinvali,10.0,,15.0,36.0,51.0,GEO1,8.0,30.0,46.0,46,7.0,2015,12.0
11344.0,Dinamo Batumi,8.0,,9.0,32.0,41.0,GEO1,10.0,30.0,44.0,44,8.0,2015,12.0
41133.0,Saburtalo,6.0,,-14.0,61.0,47.0,GEO1,13.0,30.0,39.0,39,9.0,2015,11.0
37760.0,Shukura,8.0,,-11.0,39.0,28.0,GEO1,13.0,30.0,35.0,35,10.0,2015,9.0
24564.0,Guria,9.0,,-21.0,49.0,28.0,GEO1,15.0,30.0,27.0,27,11.0,2015,6.0
28971.0,Kolkheti Poti,6.0,,-20.0,41.0,21.0,GEO1,17.0,30.0,27.0,27,12.0,2015,7.0
6365.0,Lokomotivi,10.0,,-11.0,37.0,26.0,GEO1,15.0,30.0,25.0,25,13.0,2015,5.0
26558.0,FC Zugdidi,8.0,,-30.0,60.0,30.0,GEO1,17.0,30.0,23.0,23,14.0,2015,5.0
31551.0,Merani Martvili,8.0,,-34.0,62.0,28.0,GEO1,17.0,30.0,23.0,23,15.0,2015,5.0
41311.0,FC Sapovnela,6.0,,-39.0,63.0,24.0,GEO1,19.0,30.0,21.0,21,16.0,2015,5.0
32017.0,FC Dila,7.0,,29.0,21.0,50.0,GEO1,4.0,30.0,64.0,64,1.0,2014,19.0
11344.0,Dinamo Batumi,4.0,,16.0,24.0,40.0,GEO1,8.0,30.0,58.0,58,2.0,2014,18.0
663.0,Dinamo Tbilisi,7.0,,28.0,28.0,56.0,GEO1,6.0,30.0,58.0,58,3.0,2014,17.0
19090.0,Tskhinvali,5.0,,11.0,36.0,47.0,GEO1,9.0,30.0,53.0,53,4.0,2014,16.0
11435.0,Chikhura,7.0,,3.0,36.0,39.0,GEO1,10.0,30.0,46.0,46,5.0,2014,13.0
2950.0,FC Samtredia,6.0,,9.0,31.0,40.0,GEO1,11.0,30.0,45.0,45,6.0,2014,13.0
37760.0,Shukura,8.0,,-2.0,38.0,36.0,GEO1,11.0,30.0,41.0,41,7.0,2014,11.0
253.0,Torpedo Kutaisi,11.0,,6.0,33.0,39.0,GEO1,9.0,30.0,41.0,41,8.0,2014,10.0
24564.0,Guria,9.0,,-5.0,43.0,38.0,GEO1,11.0,30.0,39.0,39,9.0,2014,10.0
28971.0,Kolkheti Poti,10.0,,0.0,31.0,31.0,GEO1,11.0,30.0,37.0,37,10.0,2014,9.0
31551.0,Merani Martvili,9.0,,-4.0,33.0,29.0,GEO1,12.0,30.0,36.0,36,11.0,2014,9.0
26558.0,FC Zugdidi,9.0,,-21.0,45.0,24.0,GEO1,13.0,30.0,33.0,33,12.0,2014,8.0
10531.0,Sioni Bolnisi,5.0,,-15.0,46.0,31.0,GEO1,16.0,30.0,32.0,32,13.0,2014,9.0
10719.0,FC Zestafoni,8.0,,-21.0,61.0,40.0,GEO1,16.0,30.0,26.0,26,14.0,2014,6.0
5155.0,Metalurgi R.,8.0,,-21.0,46.0,25.0,GEO1,16.0,30.0,26.0,26,15.0,2014,6.0
751.0,WIT Georgia,5.0,,-13.0,40.0,27.0,GEO1,18.0,30.0,26.0,26,16.0,2014,7.0
663.0,Dinamo Tbilisi,3.0,,34.0,17.0,51.0,GEO1,4.0,22.0,48.0,48,1.0,2013,15.0
10719.0,FC Zestafoni,4.0,,15.0,15.0,30.0,GEO1,6.0,22.0,40.0,40,2.0,2013,12.0
11435.0,Chikhura,5.0,,7.0,33.0,40.0,GEO1,6.0,22.0,38.0,38,3.0,2013,11.0
10531.0,Sioni Bolnisi,6.0,,4.0,23.0,27.0,GEO1,7.0,22.0,33.0,33,4.0,2013,9.0
5155.0,Metalurgi R.,6.0,,1.0,25.0,26.0,GEO1,7.0,22.0,33.0,33,5.0,2013,9.0
24564.0,Guria,0.0,,-4.0,29.0,25.0,GEO1,11.0,22.0,33.0,33,6.0,2013,11.0
32017.0,FC Dila,8.0,,6.0,22.0,28.0,GEO1,6.0,22.0,32.0,32,7.0,2013,8.0
253.0,Torpedo Kutaisi,6.0,,-5.0,30.0,25.0,GEO1,8.0,22.0,30.0,30,8.0,2013,8.0
751.0,WIT Georgia,5.0,,-1.0,29.0,28.0,GEO1,9.0,22.0,29.0,29,9.0,2013,8.0
19090.0,Tskhinvali,2.0,,-13.0,32.0,19.0,GEO1,14.0,22.0,20.0,20,10.0,2013,6.0
26558.0,FC Zugdidi,6.0,,-19.0,31.0,12.0,GEO1,12.0,22.0,18.0,18,11.0,2013,4.0
31551.0,Merani Martvili,3.0,,-25.0,41.0,16.0,GEO1,15.0,22.0,15.0,15,12.0,2013,4.0
663.0,Dinamo Tbilisi,4.0,,44.0,19.0,63.0,GEO1,2.0,22.0,52.0,52,1.0,2012,16.0
32017.0,FC Dila,1.0,,21.0,15.0,36.0,GEO1,5.0,22.0,49.0,49,2.0,2012,16.0
253.0,Torpedo Kutaisi,3.0,,23.0,18.0,41.0,GEO1,5.0,22.0,45.0,45,3.0,2012,14.0
11435.0,Chikhura,4.0,,14.0,21.0,35.0,GEO1,5.0,22.0,43.0,43,4.0,2012,13.0
10719.0,FC Zestafoni,4.0,,10.0,20.0,30.0,GEO1,7.0,22.0,37.0,37,5.0,2012,11.0
26558.0,FC Zugdidi,5.0,,1.0,26.0,27.0,GEO1,7.0,22.0,35.0,35,6.0,2012,10.0
5155.0,Metalurgi R.,4.0,,-5.0,26.0,21.0,GEO1,9.0,22.0,31.0,31,7.0,2012,9.0
31551.0,Merani Martvili,2.0,,-13.0,36.0,23.0,GEO1,13.0,22.0,23.0,23,8.0,2012,7.0
751.0,WIT Georgia,7.0,,-14.0,29.0,15.0,GEO1,10.0,22.0,22.0,22,9.0,2012,5.0
10531.0,Sioni Bolnisi,6.0,,-24.0,38.0,14.0,GEO1,12.0,22.0,18.0,18,10.0,2012,4.0
11344.0,Dinamo Batumi,4.0,,-25.0,47.0,22.0,GEO1,15.0,22.0,13.0,13,11.0,2012,3.0
28971.0,Kolkheti Poti,4.0,,-32.0,43.0,11.0,GEO1,18.0,22.0,4.0,4,12.0,2012,0.0
10719.0,FC Zestafoni,3.0,,28.0,17.0,45.0,GEO1,2.0,22.0,54.0,54,1.0,2011,17.0
663.0,Dinamo Tbilisi,3.0,,20.0,24.0,44.0,GEO1,5.0,22.0,45.0,45,2.0,2011,14.0
253.0,Torpedo Kutaisi,4.0,,14.0,19.0,33.0,GEO1,5.0,22.0,43.0,43,3.0,2011,13.0
5155.0,Metalurgi R.,6.0,,-1.0,26.0,25.0,GEO1,7.0,22.0,33.0,33,4.0,2011,9.0
31551.0,Merani Martvili,3.0,,-3.0,26.0,23.0,GEO1,10.0,22.0,30.0,30,5.0,2011,9.0
26558.0,Baia Zugdidi,4.0,,-5.0,26.0,21.0,GEO1,10.0,22.0,28.0,28,6.0,2011,8.0
32017.0,FC Dila,5.0,,1.0,28.0,29.0,GEO1,10.0,22.0,26.0,26,7.0,2011,7.0
28971.0,Kolkheti Poti,8.0,,-5.0,24.0,19.0,GEO1,8.0,22.0,26.0,26,8.0,2011,6.0
751.0,WIT Georgia,7.0,,-4.0,27.0,23.0,GEO1,9.0,22.0,25.0,25,9.0,2011,6.0
19090.0,Tskhinvali,6.0,,-10.0,32.0,22.0,GEO1,10.0,22.0,24.0,24,10.0,2011,6.0
22842.0,FC Gagra,3.0,,-11.0,32.0,21.0,GEO1,13.0,22.0,21.0,21,11.0,2011,6.0
10531.0,Sioni Bolnisi,6.0,,-24.0,37.0,13.0,GEO1,14.0,22.0,12.0,12,12.0,2011,2.0
10719.0,FC Zestafoni,6.0,,53.0,19.0,72.0,GEO1,6.0,36.0,78.0,78,1.0,2010,24.0
663.0,Dinamo Tbilisi,9.0,,33.0,22.0,55.0,GEO1,6.0,36.0,72.0,72,2.0,2010,21.0
5155.0,Metalurgi R.,6.0,,21.0,31.0,52.0,GEO1,10.0,36.0,66.0,66,3.0,2010,20.0
253.0,Torpedo Kutaisi,13.0,,9.0,22.0,31.0,GEO1,9.0,36.0,55.0,55,4.0,2010,14.0
751.0,WIT Georgia,6.0,,-6.0,41.0,35.0,GEO1,16.0,36.0,48.0,48,5.0,2010,14.0
26558.0,Baia Zugdidi,5.0,,-15.0,51.0,36.0,GEO1,18.0,36.0,44.0,44,6.0,2010,13.0
28971.0,Kolkheti Poti,10.0,,-22.0,47.0,25.0,GEO1,16.0,36.0,40.0,40,7.0,2010,10.0
10531.0,Sioni Bolnisi,9.0,,-18.0,45.0,27.0,GEO1,17.0,36.0,39.0,39,8.0,2010,10.0
19090.0,Tskhinvali,11.0,,-10.0,42.0,32.0,GEO1,18.0,36.0,32.0,32,9.0,2010,7.0
2950.0,FC Samtredia,7.0,,-45.0,72.0,27.0,GEO1,23.0,36.0,25.0,25,10.0,2010,6.0
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2009,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2008,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2007,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2006,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2005,
,,,Season not found,,,,GEO1,,,,,,2004,
,,,Season not found,,,,GEO1,,,,,,2003,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2002,
,,,invalid literal for int() with base 10: '-',,,,GEO1,,,,,,2001,
,,,Season not found,,,,GEO1,,,,,,2000,
,,,Season not found,,,,GEO1,,,,,,1999,
,,,Season not found,,,,GEO1,,,,,,1998,
,,,Season not found,,,,GEO1,,,,,,1997,
,,,Season not found,,,,GEO1,,,,,,1996,
,,,Season not found,,,,GEO1,,,,,,1995,
,,,Season not found,,,,GEO1,,,,,,1994,
,,,Season not found,,,,GEO1,,,,,,1993,
,,,Season not found,,,,GEO1,,,,,,1992,
,,,Season not found,,,,GEO1,,,,,,1991,
,,,Season not found,,,,GEO1,,,,,,1990,
