clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
6066.0,Dundalk FC,1.0,,33.0,14.0,47.0,IR1,4.0,20.0,46.0,46,1.0,2015,15.0
920.0,Derry City,6.0,,15.0,18.0,33.0,IR1,4.0,22.0,42.0,42,2.0,2015,12.0
27774.0,Cork City,5.0,,21.0,8.0,29.0,IR1,2.0,19.0,41.0,41,3.0,2015,12.0
3258.0,Shamrock Rovers,3.0,,11.0,18.0,29.0,IR1,6.0,20.0,36.0,36,4.0,2015,11.0
8780.0,Sligo Rovers,7.0,,4.0,24.0,28.0,IR1,6.0,22.0,34.0,34,5.0,2015,9.0
42394.0,Galway United,6.0,,4.0,24.0,28.0,IR1,7.0,21.0,30.0,30,6.0,2015,8.0
1189.0,St. Patricks,3.0,,2.0,26.0,28.0,IR1,9.0,21.0,30.0,30,7.0,2015,9.0
9211.0,Bohemians,5.0,,-5.0,24.0,19.0,IR1,10.0,22.0,26.0,26,8.0,2015,7.0
5568.0,Finn Harps,5.0,,-19.0,36.0,17.0,IR1,11.0,22.0,23.0,23,9.0,2015,6.0
3930.0,Bray Wanderers,5.0,,-12.0,27.0,15.0,IR1,11.0,21.0,20.0,20,10.0,2015,5.0
26765.0,Wexford Youths,3.0,,-21.0,44.0,23.0,IR1,15.0,23.0,18.0,18,11.0,2015,5.0
4287.0,Longford Town,7.0,,-33.0,51.0,18.0,IR1,15.0,23.0,10.0,10,12.0,2015,1.0
6066.0,Dundalk FC,9.0,,55.0,23.0,78.0,IR1,1.0,33.0,78.0,78,1.0,2014,23.0
27774.0,Cork City,10.0,,32.0,25.0,57.0,IR1,4.0,33.0,67.0,67,2.0,2014,19.0
3258.0,Shamrock Rovers,11.0,,29.0,27.0,56.0,IR1,4.0,33.0,65.0,65,3.0,2014,18.0
1189.0,St. Patricks,4.0,,18.0,34.0,52.0,IR1,11.0,33.0,58.0,58,4.0,2014,18.0
9211.0,Bohemians,8.0,,7.0,42.0,49.0,IR1,10.0,33.0,53.0,53,5.0,2014,15.0
4287.0,Longford Town,9.0,,-12.0,53.0,41.0,IR1,14.0,33.0,39.0,39,6.0,2014,10.0
920.0,Derry City,8.0,,-10.0,42.0,32.0,IR1,16.0,33.0,35.0,35,7.0,2014,9.0
3930.0,Bray Wanderers,6.0,,-24.0,51.0,27.0,IR1,18.0,33.0,33.0,33,8.0,2014,9.0
8780.0,Sligo Rovers,10.0,,-16.0,55.0,39.0,IR1,16.0,33.0,31.0,31,9.0,2014,7.0
42394.0,Galway United,4.0,,-22.0,61.0,39.0,IR1,20.0,33.0,31.0,31,10.0,2014,9.0
4286.0,Limerick FC,8.0,,-27.0,73.0,46.0,IR1,18.0,33.0,29.0,29,11.0,2014,7.0
4277.0,Drogheda United,7.0,,-30.0,62.0,32.0,IR1,19.0,33.0,28.0,28,12.0,2014,7.0
6066.0,Dundalk FC,8.0,,49.0,24.0,73.0,IR1,3.0,33.0,74.0,74,1.0,2013,22.0
27774.0,Cork City,6.0,,26.0,25.0,51.0,IR1,5.0,33.0,72.0,72,2.0,2013,22.0
1189.0,St. Patricks,8.0,,29.0,37.0,66.0,IR1,6.0,33.0,65.0,65,3.0,2013,19.0
3258.0,Shamrock Rovers,8.0,,17.0,26.0,43.0,IR1,7.0,33.0,62.0,62,4.0,2013,18.0
8780.0,Sligo Rovers,7.0,,8.0,36.0,44.0,IR1,14.0,33.0,43.0,43,5.0,2013,12.0
4286.0,Limerick FC,5.0,,-8.0,45.0,37.0,IR1,16.0,33.0,41.0,41,6.0,2013,12.0
9211.0,Bohemians,13.0,,-1.0,43.0,42.0,IR1,11.0,33.0,40.0,40,7.0,2013,9.0
920.0,Derry City,11.0,,1.0,41.0,42.0,IR1,13.0,33.0,38.0,38,8.0,2013,9.0
4277.0,Drogheda United,6.0,,-23.0,63.0,40.0,IR1,17.0,33.0,36.0,36,9.0,2013,10.0
3930.0,Bray Wanderers,11.0,,-33.0,61.0,28.0,IR1,17.0,33.0,26.0,26,10.0,2013,5.0
6069.0,UCD,7.0,,-44.0,71.0,27.0,IR1,20.0,33.0,25.0,25,11.0,2013,6.0
4273.0,Athlone Town,10.0,,-21.0,56.0,35.0,IR1,19.0,33.0,22.0,22,12.0,2013,4.0
1189.0,St. Patricks,8.0,,36.0,20.0,56.0,IR1,4.0,33.0,71.0,71,1.0,2012,21.0
6066.0,Dundalk FC,5.0,,25.0,30.0,55.0,IR1,7.0,33.0,68.0,68,2.0,2012,21.0
8780.0,Sligo Rovers,9.0,,31.0,22.0,53.0,IR1,5.0,33.0,66.0,66,3.0,2012,19.0
920.0,Derry City,5.0,,18.0,39.0,57.0,IR1,11.0,33.0,56.0,56,4.0,2012,17.0
3258.0,Shamrock Rovers,13.0,,15.0,28.0,43.0,IR1,7.0,33.0,52.0,52,5.0,2012,13.0
27774.0,Cork City,7.0,,-3.0,50.0,47.0,IR1,13.0,33.0,46.0,46,6.0,2012,13.0
4286.0,Limerick FC,9.0,,-8.0,46.0,38.0,IR1,13.0,33.0,42.0,42,7.0,2012,11.0
4277.0,Drogheda United,14.0,,-2.0,46.0,44.0,IR1,11.0,33.0,38.0,38,8.0,2012,8.0
6069.0,UCD,6.0,,-28.0,73.0,45.0,IR1,19.0,33.0,30.0,30,9.0,2012,8.0
