league,season,rank,clubId,clubName,matches,wins,draws,losses,goalsFor,goalsAgainst,goalDiff,points,pointsRaw
IT1,2015,1,506,Juventus,38,29,4,5,75,20,55,91,91
IT1,2015,2,6195,SSC Napoli,38,25,7,6,80,32,48,82,82
IT1,2015,3,12,AS Roma,38,23,11,4,83,41,42,80,80
IT1,2015,4,46,Inter,38,20,7,11,50,38,12,67,67
IT1,2015,5,430,Fiorentina,38,18,10,10,60,42,18,64,64
IT1,2015,6,6574,Sassuolo,38,16,13,9,49,40,9,61,61
IT1,2015,7,5,AC Milan,38,15,12,11,49,43,6,57,57
IT1,2015,8,398,Lazio,38,15,9,14,52,52,0,54,54
IT1,2015,9,862,Chievo Verona,38,13,11,14,43,45,-2,50,50
IT1,2015,10,749,FC Empoli,38,12,10,16,40,49,-9,46,46
IT1,2015,11,252,Genoa,38,13,7,18,45,48,-3,46,46
IT1,2015,12,416,Torino,38,12,9,17,52,55,-3,45,45
IT1,2015,13,800,Atalanta,38,11,12,15,41,47,-6,45,45
IT1,2015,14,1025,Bologna,38,11,9,18,33,45,-12,42,42
IT1,2015,15,1038,Sampdoria,38,10,10,18,48,61,-13,40,40
IT1,2015,16,458,US Palermo,38,10,9,19,38,65,-27,39,39
IT1,2015,17,410,Udinese Calcio,38,10,9,19,35,60,-25,39,39
IT1,2015,18,4102,Carpi,38,9,11,18,37,57,-20,38,38
IT1,2015,19,8970,Frosinone,38,8,7,23,35,76,-41,31,31
IT1,2015,20,276,Hellas Verona,38,5,13,20,34,63,-29,28,28
IT1,2014,1,506,Juventus,38,26,9,3,72,24,48,87,87
IT1,2014,2,12,AS Roma,38,19,13,6,54,31,23,70,70
IT1,2014,3,398,Lazio,38,21,6,11,71,38,33,69,69
IT1,2014,4,430,Fiorentina,38,18,10,10,61,46,15,64,64
IT1,2014,5,6195,SSC Napoli,38,18,9,11,70,54,16,63,63
IT1,2014,6,252,Genoa,38,16,11,11,62,47,15,59,59
IT1,2014,7,1038,Sampdoria,38,13,17,8,48,42,6,56,56
IT1,2014,8,46,Inter,38,14,13,11,59,48,11,55,55
IT1,2014,9,416,Torino,38,14,12,12,48,45,3,54,54
IT1,2014,10,5,AC Milan,38,13,13,12,56,50,6,52,52
IT1,2014,11,458,US Palermo,38,12,13,13,53,55,-2,49,49
IT1,2014,12,6574,Sassuolo,38,12,13,13,49,57,-8,49,49
IT1,2014,13,276,Hellas Verona,38,11,13,14,49,65,-16,46,46
IT1,2014,14,862,Chievo Verona,38,10,13,15,28,41,-13,43,43
IT1,2014,15,749,FC Empoli,38,8,18,12,46,52,-6,42,42
IT1,2014,16,410,Udinese Calcio,38,10,11,17,43,56,-13,41,41
IT1,2014,17,800,Atalanta,38,7,16,15,38,57,-19,37,37
IT1,2014,18,1390,Cagliari Calcio,38,8,10,20,48,68,-20,34,34
IT1,2014,19,1429,AC Cesena,38,4,12,22,36,73,-37,24,24
IT1,2014,20,130,Parma,38,6,8,24,33,75,-42,26,19
IT1,2013,1,506,Juventus,38,33,3,2,80,23,57,102,102
IT1,2013,2,12,AS Roma,38,26,7,5,72,25,47,85,85
IT1,2013,3,6195,SSC Napoli,38,23,9,6,77,39,38,78,78
IT1,2013,4,430,Fiorentina,38,19,8,11,65,44,21,65,65
IT1,2013,5,46,Inter,38,15,15,8,62,39,23,60,60
IT1,2013,6,130,Parma,38,15,13,10,58,46,12,58,58
IT1,2013,7,5,AC Milan,38,16,9,13,57,49,8,57,57
IT1,2013,8,416,Torino,38,15,12,11,58,48,10,57,57
IT1,2013,9,398,Lazio,38,15,11,12,54,54,0,56,56
IT1,2013,10,276,Hellas Verona,38,16,6,16,62,68,-6,54,54
IT1,2013,11,800,Atalanta,38,15,5,18,43,51,-8,50,50
IT1,2013,12,1038,Sampdoria,38,12,9,17,48,62,-14,45,45
IT1,2013,13,410,Udinese Calcio,38,12,8,18,46,57,-11,44,44
IT1,2013,14,252,Genoa,38,11,11,16,41,50,-9,44,44
IT1,2013,15,1390,Cagliari Calcio,38,9,12,17,34,53,-19,39,39
IT1,2013,16,862,Chievo Verona,38,10,6,22,34,54,-20,36,36
IT1,2013,17,6574,Sassuolo,38,9,7,22,43,72,-29,34,34
IT1,2013,18,1627,Catania,38,8,8,22,34,66,-32,32,32
IT1,2013,19,1025,Bologna,38,5,14,19,28,58,-30,29,29
IT1,2013,20,1210,AS Livorno,38,6,7,25,39,77,-38,25,25
IT1,2012,1,506,Juventus,38,27,6,5,71,24,47,87,87
IT1,2012,2,6195,SSC Napoli,38,23,9,6,73,36,37,78,78
IT1,2012,3,5,AC Milan,38,21,9,8,67,39,28,72,72
IT1,2012,4,430,Fiorentina,38,21,7,10,72,44,28,70,70
IT1,2012,5,410,Udinese Calcio,38,18,12,8,59,45,14,66,66
IT1,2012,6,12,AS Roma,38,18,8,12,71,56,15,62,62
IT1,2012,7,398,Lazio,38,18,7,13,51,42,9,61,61
IT1,2012,8,1627,Catania,38,15,11,12,50,46,4,56,56
IT1,2012,9,46,Inter,38,16,6,16,55,57,-2,54,54
IT1,2012,10,130,Parma,38,13,10,15,45,46,-1,49,49
IT1,2012,11,1390,Cagliari Calcio,38,12,11,15,43,55,-12,47,47
IT1,2012,12,862,Chievo Verona,38,12,9,17,37,52,-15,45,45
IT1,2012,13,1025,Bologna,38,11,11,16,46,52,-6,44,44
IT1,2012,14,1038,Sampdoria,38,11,10,17,43,51,-8,43,42
IT1,2012,15,800,Atalanta,38,11,9,18,39,56,-17,42,40
IT1,2012,16,416,Torino,38,8,16,14,46,55,-9,40,39
IT1,2012,17,252,Genoa,38,8,14,16,38,52,-14,38,38
IT1,2012,18,458,US Palermo,38,6,14,18,34,54,-20,32,32
IT1,2012,19,1387,AC Siena,38,9,9,20,36,57,-21,36,30
IT1,2012,20,2921,Pescara,38,6,4,28,27,84,-57,22,22
IT1,2011,1,506,Juventus,38,23,15,0,68,20,48,84,84
IT1,2011,2,5,AC Milan,38,24,8,6,74,33,41,80,80
IT1,2011,3,410,Udinese Calcio,38,18,10,10,52,35,17,64,64
IT1,2011,4,398,Lazio,38,18,8,12,56,47,9,62,62
IT1,2011,5,6195,SSC Napoli,38,16,13,9,66,46,20,61,61
IT1,2011,6,46,Inter,38,17,7,14,58,55,3,58,58
IT1,2011,7,12,AS Roma,38,16,8,14,60,54,6,56,56
IT1,2011,8,130,Parma,38,15,11,12,54,53,1,56,56
IT1,2011,9,1025,Bologna,38,13,12,13,41,43,-2,51,51
IT1,2011,10,862,Chievo Verona,38,12,13,13,35,45,-10,49,49
IT1,2011,11,1627,Catania,38,11,15,12,47,52,-5,48,48
IT1,2011,12,800,Atalanta,38,13,13,12,41,43,-2,52,46
IT1,2011,13,430,Fiorentina,38,11,13,14,37,43,-6,46,46
IT1,2011,14,1387,AC Siena,38,11,11,16,45,45,0,44,44
IT1,2011,15,1390,Cagliari Calcio,38,10,13,15,37,46,-9,43,43
IT1,2011,16,458,US Palermo,38,11,10,17,52,62,-10,43,43
IT1,2011,17,252,Genoa,38,11,9,18,50,69,-19,42,42
IT1,2011,18,1005,Lecce,38,8,12,18,40,56,-16,36,36
IT1,2011,19,6692,Novara,38,7,11,20,35,65,-30,32,32
IT1,2011,20,1429,AC Cesena,38,4,10,24,24,60,-36,22,22
IT1,2010,1,5,AC Milan,38,24,10,4,65,24,41,82,82
IT1,2010,2,46,Inter,38,23,7,8,69,42,27,76,76
IT1,2010,3,6195,SSC Napoli,38,21,7,10,59,39,20,70,70
IT1,2010,4,410,Udinese Calcio,38,20,6,12,65,43,22,66,66
IT1,2010,5,398,Lazio,38,20,6,12,55,39,16,66,66
IT1,2010,6,12,AS Roma,38,18,9,11,59,52,7,63,63
IT1,2010,7,506,Juventus,38,15,13,10,57,47,10,58,58
IT1,2010,8,458,US Palermo,38,17,5,16,58,63,-5,56,56
IT1,2010,9,430,Fiorentina,38,12,15,11,49,44,5,51,51
IT1,2010,10,252,Genoa,38,14,9,15,45,47,-2,51,51
IT1,2010,11,862,Chievo Verona,38,11,13,14,38,40,-2,46,46
IT1,2010,12,130,Parma,38,11,13,14,39,47,-8,46,46
IT1,2010,13,1627,Catania,38,12,10,16,40,52,-12,46,46
IT1,2010,14,1390,Cagliari Calcio,38,12,9,17,44,51,-7,45,45
IT1,2010,15,1429,AC Cesena,38,11,10,17,38,50,-12,43,43
IT1,2010,16,1025,Bologna,38,11,12,15,35,52,-17,45,42
IT1,2010,17,1005,Lecce,38,11,8,19,46,66,-20,41,41
IT1,2010,18,1038,Sampdoria,38,8,12,18,33,49,-16,36,36
IT1,2010,19,19,Brescia,38,7,11,20,34,52,-18,32,32
IT1,2010,20,332,Bari,38,5,9,24,27,56,-29,24,24
IT1,2009,1,46,Inter,38,24,10,4,75,34,41,82,82
IT1,2009,2,12,AS Roma,38,24,8,6,68,41,27,80,80
IT1,2009,3,5,AC Milan,38,20,10,8,60,39,21,70,70
IT1,2009,4,1038,Sampdoria,38,19,10,9,49,41,8,67,67
