league,season,rank,clubId,clubName,matches,wins,draws,losses,goalsFor,goalsAgainst,goalDiff,points,pointsRaw
L1,2015,1,27,Bayern Munich ,34,28,4,2,80,17,63,88,88
L1,2015,2,16,Bor. Dortmund,34,24,6,4,82,34,48,78,78
L1,2015,3,15,Bay. Leverkusen,34,18,6,10,56,40,16,60,60
L1,2015,4,18,Bor. M'gladbach,34,17,4,13,67,50,17,55,55
L1,2015,5,33,FC Schalke 04,34,15,7,12,51,49,2,52,52
L1,2015,6,39,1.FSV Mainz 05,34,14,8,12,46,42,4,50,50
L1,2015,7,44,Hertha BSC,34,14,8,12,42,42,0,50,50
L1,2015,8,82,VfL Wolfsburg,34,12,9,13,47,49,-2,45,45
L1,2015,9,3,1. FC Köln,34,10,13,11,38,42,-4,43,43
L1,2015,10,41,Hamburger SV,34,11,8,15,40,46,-6,41,41
L1,2015,11,4795,FC Ingolstadt,34,10,10,14,33,42,-9,40,40
L1,2015,12,167,FC Augsburg,34,9,11,14,42,52,-10,38,38
L1,2015,13,86,Werder Bremen,34,10,8,16,50,65,-15,38,38
L1,2015,14,105,SV Darmstadt 98,34,9,11,14,38,53,-15,38,38
L1,2015,15,533,TSG Hoffenheim,34,9,10,15,39,54,-15,37,37
L1,2015,16,24,E. Frankfurt,34,9,9,16,34,52,-18,36,36
L1,2015,17,79,VfB Stuttgart,34,9,6,19,50,75,-25,33,33
L1,2015,18,42,Hannover 96,34,7,4,23,31,62,-31,25,25
L1,2014,1,27,Bayern Munich ,34,25,4,5,80,18,62,79,79
L1,2014,2,82,VfL Wolfsburg,34,20,9,5,72,38,34,69,69
L1,2014,3,18,Bor. M'gladbach,34,19,9,6,53,26,27,66,66
L1,2014,4,15,Bay. Leverkusen,34,17,10,7,62,37,25,61,61
L1,2014,5,167,FC Augsburg,34,15,4,15,43,43,0,49,49
L1,2014,6,33,FC Schalke 04,34,13,9,12,42,40,2,48,48
L1,2014,7,16,Bor. Dortmund,34,13,7,14,47,42,5,46,46
L1,2014,8,533,TSG Hoffenheim,34,12,8,14,49,55,-6,44,44
L1,2014,9,24,E. Frankfurt,34,11,10,13,56,62,-6,43,43
L1,2014,10,86,Werder Bremen,34,11,10,13,50,65,-15,43,43
L1,2014,11,39,1.FSV Mainz 05,34,9,13,12,45,47,-2,40,40
L1,2014,12,3,1. FC Köln,34,9,13,12,34,40,-6,40,40
L1,2014,13,42,Hannover 96,34,9,10,15,40,56,-16,37,37
L1,2014,14,79,VfB Stuttgart,34,9,9,16,42,60,-18,36,36
L1,2014,15,44,Hertha BSC,34,9,8,17,36,52,-16,35,35
L1,2014,16,41,Hamburger SV,34,9,8,17,25,50,-25,35,35
L1,2014,17,60,SC Freiburg,34,7,13,14,36,47,-11,34,34
L1,2014,18,127,SC Paderborn,34,7,10,17,31,65,-34,31,31
L1,2013,1,27,Bayern Munich ,34,29,3,2,94,23,71,90,90
L1,2013,2,16,Bor. Dortmund,34,22,5,7,80,38,42,71,71
L1,2013,3,33,FC Schalke 04,34,19,7,8,63,43,20,64,64
L1,2013,4,15,Bay. Leverkusen,34,19,4,11,60,41,19,61,61
L1,2013,5,82,VfL Wolfsburg,34,18,6,10,63,50,13,60,60
L1,2013,6,18,Bor. M'gladbach,34,16,7,11,59,43,16,55,55
L1,2013,7,39,1.FSV Mainz 05,34,16,5,13,52,54,-2,53,53
L1,2013,8,167,FC Augsburg,34,15,7,12,47,47,0,52,52
L1,2013,9,533,TSG Hoffenheim,34,11,11,12,72,70,2,44,44
L1,2013,10,42,Hannover 96,34,12,6,16,46,59,-13,42,42
L1,2013,11,44,Hertha BSC,34,11,8,15,40,48,-8,41,41
L1,2013,12,86,Werder Bremen,34,10,9,15,42,66,-24,39,39
L1,2013,13,24,E. Frankfurt,34,9,9,16,40,57,-17,36,36
L1,2013,14,60,SC Freiburg,34,9,9,16,43,61,-18,36,36
L1,2013,15,79,VfB Stuttgart,34,8,8,18,49,62,-13,32,32
L1,2013,16,41,Hamburger SV,34,7,6,21,51,75,-24,27,27
L1,2013,17,4,1.FC Nuremberg,34,5,11,18,37,70,-33,26,26
L1,2013,18,23,E. Braunschweig,34,6,7,21,29,60,-31,25,25
L1,2012,1,27,Bayern Munich ,34,29,4,1,98,18,80,91,91
L1,2012,2,16,Bor. Dortmund,34,19,9,6,81,42,39,66,66
