clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
77.0,Vardar,5.0,,50.0,17.0,67.0,MAZ1,2.0,32.0,80.0,80,1.0,2015,25.0
1167.0,Shkendija,6.0,,50.0,24.0,74.0,MAZ1,3.0,32.0,75.0,75,2.0,2015,23.0
535.0,Sileks,8.0,,-5.0,40.0,35.0,MAZ1,12.0,32.0,44.0,44,3.0,2015,12.0
4641.0,Rabotnicki,13.0,,6.0,30.0,36.0,MAZ1,9.0,32.0,43.0,43,4.0,2015,10.0
9892.0,Bregalnica Stip,8.0,,-7.0,49.0,42.0,MAZ1,14.0,32.0,38.0,38,5.0,2015,10.0
4644.0,FC Shkupi,11.0,,-5.0,34.0,29.0,MAZ1,12.0,32.0,38.0,38,6.0,2015,9.0
77.0,Vardar,9.0,,35.0,21.0,56.0,MAZ1,3.0,32.0,69.0,69,1.0,2014,20.0
4641.0,Rabotnicki,6.0,,25.0,30.0,55.0,MAZ1,6.0,32.0,66.0,66,2.0,2014,20.0
1167.0,Shkendija,5.0,,27.0,31.0,58.0,MAZ1,9.0,32.0,59.0,59,3.0,2014,18.0
10791.0,Renova,9.0,,2.0,39.0,41.0,MAZ1,10.0,32.0,48.0,48,4.0,2014,13.0
535.0,Sileks,11.0,,-9.0,42.0,33.0,MAZ1,11.0,32.0,41.0,41,5.0,2014,10.0
18506.0,Metalurg Skopje,9.0,,-8.0,42.0,34.0,MAZ1,15.0,32.0,33.0,33,6.0,2014,8.0
4641.0,Rabotnicki,8.0,,31.0,35.0,66.0,MAZ1,7.0,33.0,62.0,62,1.0,2013,18.0
19627.0,Horizont,6.0,,28.0,33.0,61.0,MAZ1,9.0,33.0,60.0,60,2.0,2013,18.0
18506.0,Metalurg Skopje,11.0,,19.0,29.0,48.0,MAZ1,6.0,33.0,59.0,59,3.0,2013,16.0
1167.0,Shkendija,9.0,,21.0,32.0,53.0,MAZ1,8.0,33.0,57.0,57,4.0,2013,16.0
77.0,Vardar,11.0,,23.0,32.0,55.0,MAZ1,7.0,33.0,56.0,56,5.0,2013,15.0
534.0,Pelister Bitola,10.0,,0.0,40.0,40.0,MAZ1,9.0,33.0,52.0,52,6.0,2013,14.0
9892.0,Bregalnica Stip,11.0,,0.0,34.0,34.0,MAZ1,11.0,33.0,44.0,44,7.0,2013,11.0
10791.0,Renova,14.0,,-4.0,46.0,42.0,MAZ1,9.0,33.0,44.0,44,8.0,2013,10.0
35146.0,Euromilk GL,11.0,,-2.0,36.0,34.0,MAZ1,12.0,33.0,41.0,41,9.0,2013,10.0
8397.0,Makedonija,5.0,,-16.0,56.0,40.0,MAZ1,19.0,33.0,32.0,32,10.0,2013,9.0
7754.0,Napredok Kicevo,8.0,,-49.0,75.0,26.0,MAZ1,22.0,33.0,17.0,17,11.0,2013,3.0
36470.0,Gostivar,6.0,,-51.0,70.0,19.0,MAZ1,24.0,33.0,15.0,15,12.0,2013,3.0
77.0,Vardar,8.0,,50.0,21.0,71.0,MAZ1,5.0,33.0,68.0,68,1.0,2012,20.0
18506.0,Metalurg Skopje,9.0,,20.0,28.0,48.0,MAZ1,6.0,33.0,63.0,63,2.0,2012,18.0
19627.0,Horizont,12.0,,18.0,31.0,49.0,MAZ1,4.0,33.0,63.0,63,3.0,2012,17.0
4641.0,Rabotnicki,5.0,,5.0,42.0,47.0,MAZ1,12.0,33.0,53.0,53,4.0,2012,16.0
1167.0,Shkendija,8.0,,3.0,49.0,52.0,MAZ1,12.0,33.0,47.0,44,5.0,2012,13.0
9892.0,Bregalnica Stip,7.0,,2.0,35.0,37.0,MAZ1,14.0,33.0,43.0,43,6.0,2012,12.0
7754.0,Napredok Kicevo,7.0,,-10.0,39.0,29.0,MAZ1,14.0,33.0,43.0,43,7.0,2012,12.0
10791.0,Renova,7.0,,-11.0,46.0,35.0,MAZ1,14.0,33.0,43.0,43,8.0,2012,12.0
21767.0,Drita Bogovinje,7.0,,-15.0,50.0,35.0,MAZ1,15.0,33.0,40.0,40,9.0,2012,11.0
534.0,Pelister Bitola,10.0,,-10.0,36.0,26.0,MAZ1,14.0,33.0,37.0,37,10.0,2012,9.0
21775.0,Teteks Tetovo,7.0,,-25.0,47.0,22.0,MAZ1,20.0,33.0,25.0,25,11.0,2012,6.0
535.0,Sileks,5.0,,-27.0,60.0,33.0,MAZ1,22.0,33.0,23.0,23,12.0,2012,6.0
77.0,Vardar,10.0,,35.0,15.0,50.0,MAZ1,1.0,33.0,76.0,76,1.0,2011,22.0
18506.0,Metalurg Skopje,10.0,,37.0,16.0,53.0,MAZ1,4.0,33.0,67.0,67,2.0,2011,19.0
1167.0,Shkendija,6.0,,25.0,28.0,53.0,MAZ1,7.0,33.0,66.0,66,3.0,2011,20.0
10791.0,Renova,13.0,,18.0,38.0,56.0,MAZ1,7.0,33.0,52.0,52,4.0,2011,13.0
9892.0,Bregalnica Stip,6.0,,4.0,47.0,51.0,MAZ1,14.0,33.0,45.0,45,5.0,2011,13.0
535.0,Sileks,3.0,,-9.0,51.0,42.0,MAZ1,17.0,33.0,42.0,42,6.0,2011,13.0
7754.0,Napredok Kicevo,6.0,,-14.0,51.0,37.0,MAZ1,15.0,33.0,42.0,42,7.0,2011,12.0
4641.0,Rabotnicki,8.0,,5.0,45.0,50.0,MAZ1,14.0,33.0,41.0,41,8.0,2011,11.0
19627.0,Horizont,8.0,,-8.0,42.0,34.0,MAZ1,15.0,33.0,38.0,38,9.0,2011,10.0
21775.0,Teteks Tetovo,11.0,,-25.0,48.0,23.0,MAZ1,14.0,33.0,35.0,35,10.0,2011,8.0
21773.0,Ohrid 2004,8.0,,-36.0,62.0,26.0,MAZ1,19.0,33.0,26.0,26,11.0,2011,6.0
27886.0,11 Oktomvri,7.0,,-32.0,58.0,26.0,MAZ1,23.0,33.0,16.0,16,12.0,2011,3.0
1167.0,Shkendija,6.0,,31.0,15.0,46.0,MAZ1,3.0,24.0,51.0,51,1.0,2010,15.0
18506.0,Metalurg Skopje,5.0,,16.0,17.0,33.0,MAZ1,6.0,24.0,44.0,44,2.0,2010,13.0
4641.0,Rabotnicki,8.0,,11.0,20.0,31.0,MAZ1,5.0,24.0,41.0,41,3.0,2010,11.0
10791.0,Renova,5.0,,9.0,23.0,32.0,MAZ1,7.0,24.0,41.0,41,4.0,2010,12.0
19627.0,Horizont,3.0,,4.0,24.0,28.0,MAZ1,10.0,24.0,36.0,36,5.0,2010,11.0
7754.0,Napredok Kicevo,5.0,,-2.0,27.0,25.0,MAZ1,9.0,24.0,35.0,35,6.0,2010,10.0
21775.0,Teteks Tetovo,7.0,,0.0,22.0,22.0,MAZ1,9.0,24.0,31.0,31,7.0,2010,8.0
535.0,Sileks,7.0,,-4.0,30.0,26.0,MAZ1,9.0,24.0,31.0,31,8.0,2010,8.0
9892.0,Bregalnica Stip,2.0,,-10.0,34.0,24.0,MAZ1,13.0,24.0,29.0,29,9.0,2010,9.0
21774.0,FK Skopje,6.0,,-5.0,28.0,23.0,MAZ1,11.0,24.0,27.0,27,10.0,2010,7.0
77.0,Vardar,3.0,,-16.0,36.0,20.0,MAZ1,14.0,24.0,24.0,24,11.0,2010,7.0
534.0,Pelister Bitola,3.0,,-34.0,51.0,17.0,MAZ1,18.0,24.0,12.0,12,12.0,2010,3.0
,,,Season not found,,,,MAZ1,,,,,,2009,
,,,Season not found,,,,MAZ1,,,,,,2008,
,,,Season not found,,,,MAZ1,,,,,,2007,
,,,Season not found,,,,MAZ1,,,,,,2006,
,,,Season not found,,,,MAZ1,,,,,,2005,
,,,Season not found,,,,MAZ1,,,,,,2004,
,,,Season not found,,,,MAZ1,,,,,,2003,
,,,Season not found,,,,MAZ1,,,,,,2002,
,,,Season not found,,,,MAZ1,,,,,,2001,
,,,Season not found,,,,MAZ1,,,,,,2000,
,,,Season not found,,,,MAZ1,,,,,,1999,
,,,Season not found,,,,MAZ1,,,,,,1998,
,,,Season not found,,,,MAZ1,,,,,,1997,
,,,Season not found,,,,MAZ1,,,,,,1996,
,,,Season not found,,,,MAZ1,,,,,,1995,
,,,Season not found,,,,MAZ1,,,,,,1994,
,,,Season not found,,,,MAZ1,,,,,,1993,
,,,Season not found,,,,MAZ1,,,,,,1992,
,,,Season not found,,,,MAZ1,,,,,,1991,
,,,Season not found,,,,MAZ1,,,,,,1990,
