clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
13499.0,Astra Giurgiu,9.0,,13.0,29.0,42.0,RO1,3.0,26.0,51.0,51,1.0,2015,14.0
312.0,Dinamo Bukarest,9.0,,12.0,24.0,36.0,RO1,4.0,26.0,48.0,48,2.0,2015,13.0
8715.0,Pandurii T.-Jiu,8.0,,9.0,26.0,35.0,RO1,5.0,26.0,47.0,47,3.0,2015,13.0
29831.0,FC Viitorul,7.0,,19.0,30.0,49.0,RO1,6.0,26.0,46.0,46,4.0,2015,13.0
301.0,Steaua,8.0,,10.0,25.0,35.0,RO1,6.0,26.0,44.0,44,5.0,2015,12.0
16650.0,ASA Tirgu Mures,11.0,,6.0,21.0,27.0,RO1,6.0,26.0,38.0,38,6.0,2015,9.0
33966.0,CSM Poli Iasi,10.0,,-3.0,25.0,22.0,RO1,7.0,26.0,37.0,37,7.0,2015,9.0
40812.0,CS U Craiova,7.0,,-1.0,27.0,26.0,RO1,11.0,26.0,31.0,31,8.0,2015,8.0
7769.0,CFR Cluj,10.0,,6.0,25.0,31.0,RO1,7.0,26.0,37.0,27,9.0,2015,9.0
8818.0,FC Botosani,8.0,,-5.0,35.0,30.0,RO1,12.0,26.0,26.0,26,10.0,2015,6.0
36590.0,Poli Timisoara,10.0,,-11.0,35.0,24.0,RO1,11.0,26.0,25.0,25,11.0,2015,5.0
40843.0,FC Voluntari,9.0,,-14.0,42.0,28.0,RO1,12.0,26.0,24.0,24,12.0,2015,5.0
15945.0,Chiajna,8.0,,-24.0,46.0,22.0,RO1,15.0,26.0,17.0,17,13.0,2015,3.0
9465.0,Petr. Ploiesti,8.0,,-17.0,34.0,17.0,RO1,16.0,26.0,14.0,8,14.0,2015,2.0
301.0,Steaua,5.0,,36.0,23.0,59.0,RO1,7.0,34.0,71.0,71,1.0,2014,22.0
16650.0,ASA Tirgu Mures,8.0,,26.0,25.0,51.0,RO1,6.0,34.0,68.0,68,2.0,2014,20.0
13499.0,Astra Giurgiu,12.0,,26.0,27.0,53.0,RO1,7.0,34.0,57.0,57,3.0,2014,15.0
7769.0,CFR Cluj,9.0,,17.0,29.0,46.0,RO1,9.0,34.0,57.0,57,4.0,2014,16.0
40812.0,CS U Craiova,11.0,,6.0,34.0,40.0,RO1,9.0,34.0,53.0,53,5.0,2014,14.0
9465.0,Petr. Ploiesti,10.0,,12.0,30.0,42.0,RO1,10.0,34.0,52.0,52,6.0,2014,14.0
312.0,Dinamo Bukarest,9.0,,3.0,44.0,47.0,RO1,12.0,34.0,48.0,48,7.0,2014,13.0
8818.0,FC Botosani,11.0,,-3.0,43.0,40.0,RO1,11.0,34.0,47.0,47,8.0,2014,12.0
8715.0,Pandurii T.-Jiu,9.0,,5.0,42.0,47.0,RO1,13.0,34.0,45.0,45,9.0,2014,12.0
