league,season,rank,clubId,clubName,matches,wins,draws,losses,goalsFor,goalsAgainst,goalDiff,points,pointsRaw
TR1,2015,1,114,Besiktas,34,25,4,5,75,35,40,79,79
TR1,2015,2,36,Fenerbahce,34,22,8,4,60,27,33,74,74
TR1,2015,3,2293,Konyaspor,34,19,9,6,44,33,11,66,66
TR1,2015,4,6890,Basaksehir,34,16,11,7,54,36,18,59,59
TR1,2015,5,2944,Osmanlispor,34,14,10,10,52,36,16,52,52
TR1,2015,6,141,Galatasaray,34,13,12,9,69,49,20,51,51
TR1,2015,7,10484,Kasimpasa,34,14,8,12,50,40,10,50,50
TR1,2015,8,19771,Akhisarspor ,34,11,13,10,42,41,1,46,46
TR1,2015,9,589,Antalyaspor,34,12,9,13,53,52,1,45,45
TR1,2015,10,820,Genclerbirligi,34,13,6,15,42,42,0,45,45
TR1,2015,11,20,Bursaspor,34,13,5,16,47,55,-8,44,44
TR1,2015,12,449,Trabzonspor,34,12,4,18,40,59,-19,40,40
TR1,2015,13,126,Rizespor,34,9,10,15,39,48,-9,37,37
TR1,2015,14,524,Gaziantepspor,34,9,9,16,31,50,-19,36,36
TR1,2015,15,3205,Kayserispor,34,7,13,14,25,41,-16,34,34
TR1,2015,16,2381,Sivasspor,34,6,13,15,34,48,-14,31,31
TR1,2015,17,825,Eskisehirspor,34,8,6,20,39,64,-25,30,30
TR1,2015,18,3216,Mersin IY,34,5,6,23,31,71,-40,21,21
TR1,2014,1,141,Galatasaray,34,24,5,5,60,35,25,77,77
TR1,2014,2,36,Fenerbahce,34,22,8,4,60,29,31,74,74
TR1,2014,3,114,Besiktas,34,21,6,7,55,32,23,69,69
TR1,2014,4,6890,Basaksehir,34,15,14,5,49,30,19,59,59
TR1,2014,5,449,Trabzonspor,34,15,12,7,58,48,10,57,57
TR1,2014,6,20,Bursaspor,34,16,9,9,69,44,25,57,57
TR1,2014,7,3216,Mersin IY,34,13,8,13,54,48,6,47,47
TR1,2014,8,2293,Konyaspor,34,12,10,12,30,39,-9,46,46
TR1,2014,9,820,Genclerbirligi,34,10,10,14,46,44,2,40,40
TR1,2014,10,524,Gaziantepspor,34,11,7,16,31,48,-17,40,40
TR1,2014,11,825,Eskisehirspor,34,9,12,13,45,52,-7,39,39
TR1,2014,12,19771,Akhisarspor ,34,9,11,14,41,51,-10,38,38
TR1,2014,13,10484,Kasimpasa,34,9,10,15,56,73,-17,37,37
TR1,2014,14,126,Rizespor,34,9,9,16,41,55,-14,36,36
TR1,2014,15,2381,Sivasspor,34,9,9,16,43,50,-7,36,36
TR1,2014,16,1506,Karabükspor,34,7,7,20,44,64,-20,28,28
TR1,2014,17,6894,K. Erciyesspor,34,5,12,17,43,62,-19,27,27
TR1,2014,18,20698,Balikesirspor,34,6,9,19,48,69,-21,27,27
TR1,2013,1,36,Fenerbahce,34,23,5,6,74,33,41,74,74
TR1,2013,2,141,Galatasaray,34,18,11,5,59,32,27,65,65
TR1,2013,3,114,Besiktas,34,17,11,6,53,33,20,62,62
TR1,2013,4,449,Trabzonspor,34,14,11,9,53,41,12,53,53
TR1,2013,5,2381,Sivasspor,34,16,5,13,60,55,5,53,53
