clubId,clubName,draws,error,goalDiff,goalsAgainst,goalsFor,league,losses,matches,points,pointsRaw,rank,season,wins
279.0,Ferencváros,4.0,,46.0,23.0,69.0,UNG1,5.0,33.0,76.0,76,1.0,2015,24.0
11107.0,Videoton FC,4.0,,13.0,29.0,42.0,UNG1,12.0,33.0,55.0,55,2.0,2015,17.0
84.0,Debreceni VSC,11.0,,14.0,34.0,48.0,UNG1,8.0,33.0,53.0,53,3.0,2015,14.0
634.0,MTK Budapest,9.0,,2.0,37.0,39.0,UNG1,10.0,33.0,51.0,51,4.0,2015,14.0
649.0,Szombathely,11.0,,-4.0,37.0,33.0,UNG1,9.0,33.0,50.0,50,5.0,2015,13.0
708.0,Újpest FC,13.0,,5.0,37.0,42.0,UNG1,9.0,33.0,46.0,46,6.0,2015,11.0
12163.0,Paksi FC,7.0,,1.0,40.0,41.0,UNG1,14.0,33.0,43.0,43,7.0,2015,12.0
709.0,Budapest Honvéd,7.0,,1.0,39.0,40.0,UNG1,14.0,33.0,43.0,43,8.0,2015,12.0
9241.0,Diósgyör,8.0,,-10.0,47.0,37.0,UNG1,15.0,33.0,38.0,38,9.0,2015,10.0
5378.0,Vasas FC,5.0,,-22.0,54.0,32.0,UNG1,19.0,33.0,32.0,32,10.0,2015,9.0
37169.0,Puskás AFC,10.0,,-16.0,51.0,35.0,UNG1,16.0,33.0,31.0,31,11.0,2015,7.0
6049.0,Békéscsaba,9.0,,-30.0,55.0,25.0,UNG1,18.0,33.0,27.0,27,12.0,2015,6.0
11107.0,Videoton FC,5.0,,50.0,14.0,64.0,UNG1,3.0,30.0,71.0,71,1.0,2014,22.0
279.0,Ferencváros,7.0,,30.0,19.0,49.0,UNG1,4.0,30.0,64.0,64,2.0,2014,19.0
634.0,MTK Budapest,3.0,,14.0,25.0,39.0,UNG1,9.0,30.0,57.0,57,3.0,2014,18.0
84.0,Debreceni VSC,9.0,,25.0,19.0,44.0,UNG1,6.0,30.0,54.0,54,4.0,2014,15.0
12163.0,Paksi FC,9.0,,17.0,27.0,44.0,UNG1,7.0,30.0,51.0,51,5.0,2014,14.0
708.0,Újpest FC,9.0,,12.0,28.0,40.0,UNG1,7.0,30.0,51.0,51,6.0,2014,14.0
9241.0,Diósgyör,9.0,,7.0,36.0,43.0,UNG1,8.0,30.0,48.0,48,7.0,2014,13.0
6055.0,ETO FC Győr ,8.0,,-3.0,44.0,41.0,UNG1,12.0,30.0,38.0,38,8.0,2014,10.0
12423.0,Kecskeméti TE,8.0,,-9.0,39.0,30.0,UNG1,12.0,30.0,38.0,38,9.0,2014,10.0
37169.0,Puskás AFC,5.0,,-5.0,40.0,35.0,UNG1,15.0,30.0,35.0,35,10.0,2014,10.0
3233.0,Pécsi MFC,7.0,,-19.0,51.0,32.0,UNG1,15.0,30.0,31.0,31,11.0,2014,8.0
6058.0,Nyíregyháza,6.0,,-16.0,49.0,33.0,UNG1,16.0,30.0,30.0,30,12.0,2014,8.0
709.0,Budapest Honvéd,10.0,,-10.0,36.0,26.0,UNG1,14.0,30.0,28.0,28,13.0,2014,6.0
649.0,Szombathely,4.0,,-27.0,53.0,26.0,UNG1,19.0,30.0,25.0,25,14.0,2014,7.0
27165.0,Dunaújváros,8.0,,-23.0,49.0,26.0,UNG1,17.0,30.0,23.0,22,15.0,2014,5.0
7682.0,Lombard Pápa ,7.0,,-43.0,57.0,14.0,UNG1,19.0,30.0,19.0,19,16.0,2014,4.0
84.0,Debreceni VSC,8.0,,33.0,33.0,66.0,UNG1,4.0,30.0,62.0,62,1.0,2013,18.0
6055.0,ETO FC Győr ,8.0,,26.0,32.0,58.0,UNG1,4.0,30.0,62.0,62,2.0,2013,18.0
279.0,Ferencváros,6.0,,14.0,33.0,47.0,UNG1,7.0,30.0,57.0,57,3.0,2013,17.0
11107.0,Videoton FC,8.0,,21.0,31.0,52.0,UNG1,7.0,30.0,53.0,53,4.0,2013,15.0
9241.0,Diósgyör,11.0,,7.0,38.0,45.0,UNG1,7.0,30.0,47.0,47,5.0,2013,12.0
