date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2014",,670 Th. €,Denmark,2778,Nordsjaelland ,69646,800 Th. €,Jens Stryger Larsen,14/15,Austria,14,Austria Vienna 
"Jul 9, 2013",,Free transfer,Denmark,206,Bröndby IF ,69646,900 Th. €,Jens Stryger Larsen,13/14,Denmark,2778,Nordsjaelland 
"Jul 1, 2009",,-,Denmark,8815,Bröndby IF U19 ,69646,100 Th. €,Jens Stryger Larsen,09/10,Denmark,206,Bröndby IF 
"Jan 1, 2016",,-,Austria,515,Unattached ,192530,150 Th. €,Mario Ebenhofer,15/16,,17444,Wiener Neustadt 
"Jul 1, 2015",,-,Austria,17444,Wiener Neustadt ,192530,150 Th. €,Mario Ebenhofer,15/16,,515,Unattached 
"Jun 30, 2015",,End of loan,Austria,2662,SKN St. Pölten ,192530,150 Th. €,Mario Ebenhofer,14/15,Austria,17444,Wiener Neustadt 
"Jan 13, 2015",,Loan,Austria,17444,Wiener Neustadt ,192530,175 Th. €,Mario Ebenhofer,14/15,Austria,2662,SKN St. Pölten 
"Jul 1, 2014",,?,Austria,12210,SKU Amstetten ,192530,-,Mario Ebenhofer,14/15,Austria,17444,Wiener Neustadt 
"Jun 30, 2016",,End of loan,Austria,4467,Hartberg ,326163,-,Christopher Stadler,15/16,Austria,17444,Wiener Neustadt 
"Jul 1, 2015",,Loan,Austria,17444,Wiener Neustadt ,326163,50 Th. €,Christopher Stadler,15/16,Austria,4467,Hartberg 
"Jul 1, 2014",,-,Austria,23794,Wr. Neustadt II ,326163,-,Christopher Stadler,14/15,Austria,17444,Wiener Neustadt 
"Jul 1, 2014",,Free transfer,Austria,11853,A. Salzburg ,154140,-,Fabio Strauss,14/15,Austria,10131,SV Grödig 
"Jul 1, 2011",,-,Austria,31810,SV Austria Salzburg II ,154140,-,Fabio Strauss,11/12,Austria,11853,A. Salzburg 
"Aug 7, 2009",,?,Austria,42825,AKA Salzb. U15 ,154140,-,Fabio Strauss,09/10,Austria,31810,SV Austria Salzburg II 
"Jul 1, 2008",,-,Austria,20161,Salzburg Jugend ,154140,-,Fabio Strauss,08/09,Austria,42825,AKA Salzb. U15 
"Oct 11, 2014",,-,Austria,515,Unattached ,156704,75 Th. €,Martin Schwärzler,14/15,,3551,SCR Altach 
"Jul 1, 2014",,-,Germany,5379,FC Augsburg II ,156704,75 Th. €,Martin Schwärzler,14/15,,515,Unattached 
"Jul 1, 2013",,-,Germany,4780,FC Augsburg U19 ,156704,75 Th. €,Martin Schwärzler,13/14,Germany,5379,FC Augsburg II 
"Jul 1, 2012",,Free transfer,Austria,2231,FC Lustenau ,156704,75 Th. €,Martin Schwärzler,12/13,Germany,4780,FC Augsburg U19 
