date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 19, 2016",,Free transfer,Cyprus,45457.0,Pafos FC ,66641,225 Th. €,Nikoloz Gelashvili,15/16,Georgia,663.0,Dinamo Tbilisi 
"Jul 1, 2015",,Free transfer,Albania,12460.0,FC Flamurtari ,66641,225 Th. €,Nikoloz Gelashvili,15/16,Cyprus,45457.0,Pafos FC 
"Aug 14, 2014",,Free transfer,Georgia,10719.0,FC Zestafoni ,66641,300 Th. €,Nikoloz Gelashvili,14/15,Albania,12460.0,FC Flamurtari 
"Jul 1, 2014",,?,Azerbaijan,10625.0,Qarabag Agdam ,66641,300 Th. €,Nikoloz Gelashvili,14/15,Georgia,10719.0,FC Zestafoni 
"Jul 1, 2013",,Free transfer,Germany,80.0,VfL Bochum ,66641,300 Th. €,Nikoloz Gelashvili,13/14,Azerbaijan,10625.0,Qarabag Agdam 
"Jan 31, 2012",,?,Georgia,10719.0,FC Zestafoni ,66641,600 Th. €,Nikoloz Gelashvili,11/12,Germany,80.0,VfL Bochum 
"Jan 1, 2008",,Free transfer,Georgia,751.0,WIT Georgia ,66641,-,Nikoloz Gelashvili,07/08,Georgia,10719.0,FC Zestafoni 
"Sep 1, 2005",,End of loan,Georgia,41310.0,FC Kakheti ,66641,-,Nikoloz Gelashvili,05/06,Georgia,751.0,WIT Georgia 
"Jul 1, 2004",,Loan,Georgia,751.0,WIT Georgia ,66641,-,Nikoloz Gelashvili,04/05,Georgia,41310.0,FC Kakheti 
"Jul 1, 2003",,?,Georgia,19692.0,Din. Tiflis U19 ,66641,-,Nikoloz Gelashvili,03/04,Georgia,751.0,WIT Georgia 
"Jan 13, 2016",,-,Spain,515.0,Unattached ,95488,800 Th. €,Edu Oriol,15/16,,26132.0,UE Llagostera 
"Jul 1, 2015",,-,Romania,455.0,Rapid Bucharest ,95488,800 Th. €,Edu Oriol,15/16,,515.0,Unattached 
"Jan 27, 2015",,Free transfer,England,1181.0,Blackpool ,95488,800 Th. €,Edu Oriol,14/15,Romania,455.0,Rapid Bucharest 
"Aug 18, 2014",,Free transfer,Cyprus,786.0,AEL Limassol ,95488,800 Th. €,Edu Oriol,14/15,England,1181.0,Blackpool 
"Jan 14, 2014",,Free transfer,Azerbaijan,8841.0,Xäzär Länkäran ,95488,"1,00 Mill. €",Edu Oriol,13/14,Cyprus,786.0,AEL Limassol 
"Aug 27, 2013",,Free transfer,Spain,142.0,Real Zaragoza ,95488,"1,00 Mill. €",Edu Oriol,13/14,Azerbaijan,8841.0,Xäzär Länkäran 
"Jul 1, 2011",,Free transfer,Spain,2464.0,FC Barcelona B ,95488,400 Th. €,Edu Oriol,11/12,Spain,142.0,Real Zaragoza 
"Jul 1, 2009",,Free transfer,Spain,12697.0,Sant Andreu ,95488,-,Edu Oriol,09/10,Spain,2464.0,FC Barcelona B 
"Jul 1, 2015",,Free transfer,Azerbaijan,13328.0,Simurq ,129794,300 Th. €,Idan Weitzman,15/16,Israel,35110.0,Hapoel Afula 
"Aug 20, 2013",,Free transfer,Israel,4769.0,Bnei Sakhnin ,129794,300 Th. €,Idan Weitzman,13/14,Azerbaijan,13328.0,Simurq 
"Jan 1, 2011",,?,Israel,810.0,Hapoel Haifa ,129794,200 Th. €,Idan Weitzman,10/11,Israel,4769.0,Bnei Sakhnin 
"Jul 1, 2010",,?,Israel,6105.0,FC Ashdod ,129794,100 Th. €,Idan Weitzman,10/11,Israel,810.0,Hapoel Haifa 
"Jul 1, 2009",,?,Israel,21535.0,Hakoah Amidar ,129794,-,Idan Weitzman,09/10,Israel,6105.0,FC Ashdod 
"May 19, 2016",,Free transfer,Brazil,10870.0,Fortaleza ,75499,200 Th. €,Elias,15/16,Brazil,1751.0,América-RN 
"Jan 1, 2015",,?,Brazil,3294.0,Piracicaba ,75499,350 Th. €,Elias,13/14,Brazil,10870.0,Fortaleza 
"Jul 1, 2014",,?,Brazil,679.0,Atlético-PR ,75499,350 Th. €,Elias,14/15,Brazil,3294.0,Piracicaba 
"Jun 30, 2014",,End of loan,Azerbaijan,8841.0,Xäzär Länkäran ,75499,350 Th. €,Elias,13/14,Brazil,679.0,Atlético-PR 
"Jan 31, 2014",,Loan,Brazil,679.0,Atlético-PR ,75499,400 Th. €,Elias,13/14,Azerbaijan,8841.0,Xäzär Länkäran 
"Dec 1, 2013",,End of loan,Brazil,1134.0,Ponte Preta ,75499,400 Th. €,Elias,13/14,Brazil,679.0,Atlético-PR 
"Sep 1, 2013",,Loan,Brazil,679.0,Atlético-PR ,75499,400 Th. €,Elias,13/14,Brazil,1134.0,Ponte Preta 
"Jul 1, 2012",,120 Th. €,Brazil,15172.0,Atlético-GO ,75499,800 Th. €,Elias,12/13,Brazil,679.0,Atlético-PR 
"Jan 1, 2012",,220 Th. €,Brazil,4064.0,Figueirense FC ,75499,800 Th. €,Elias,11/12,Brazil,15172.0,Atlético-GO 
"Jul 1, 2011",,?,United Arab Emirates,2150.0,Al-Ain FC ,75499,800 Th. €,Elias,11/12,Brazil,4064.0,Figueirense FC 
"Jan 1, 2011",,?,Brazil,10969.0,Villa Rio ,75499,800 Th. €,Elias,10/11,United Arab Emirates,2150.0,Al-Ain FC 
"Dec 1, 2010",,End of loan,Brazil,15172.0,Atlético-GO ,75499,800 Th. €,Elias,10/11,Brazil,10969.0,Villa Rio 
"Jan 1, 2009",,Loan,Brazil,10969.0,Villa Rio ,75499,300 Th. €,Elias,08/09,Brazil,15172.0,Atlético-GO 
"Dec 1, 2008",,End of loan,Brazil,2462.0,Fluminense ,75499,300 Th. €,Elias,08/09,Brazil,10969.0,Villa Rio 
"Sep 1, 2008",,Loan,Brazil,10969.0,Villa Rio ,75499,-,Elias,08/09,Brazil,2462.0,Fluminense 
"Aug 1, 2008",,?,Brazil,10010.0,Bahia ,75499,-,Elias,08/09,Brazil,10969.0,Villa Rio 
"May 1, 2007",,End of loan,Brazil,978.0,Vasco da Gama ,75499,-,Elias,06/07,Brazil,10010.0,Bahia 
"Jan 1, 2007",,Loan,Brazil,10010.0,Bahia ,75499,-,Elias,06/07,Brazil,978.0,Vasco da Gama 
"Jan 1, 2003",,-,Brazil,17817.0,EC Bahia B ,75499,-,Elias,02/03,Brazil,10010.0,Bahia 
"Mar 26, 2015",,Free transfer,Norway,9028.0,Nybergsund ,35716,-,Freddy Borg,14/15,Sweden,5199.0,FC Höllviken 
"Aug 12, 2014",,Free transfer,Sweden,701.0,Trelleborgs FF ,35716,-,Freddy Borg,14/15,Norway,9028.0,Nybergsund 
"Mar 6, 2014",,Free transfer,Azerbaijan,13326.0,AZAL ,35716,200 Th. €,Freddy Borg,13/14,Sweden,701.0,Trelleborgs FF 
"Aug 2, 2013",,Free transfer,Germany,105.0,SV Darmstadt 98 ,35716,200 Th. €,Freddy Borg,13/14,Azerbaijan,13326.0,AZAL 
"Jan 24, 2013",,Free transfer,Germany,8.0,Alem. Aachen ,35716,250 Th. €,Freddy Borg,12/13,Germany,105.0,SV Darmstadt 98 
"Jul 1, 2012",,Free transfer,Germany,30.0,Hansa Rostock ,35716,400 Th. €,Freddy Borg,12/13,Germany,8.0,Alem. Aachen 
"Jan 22, 2012",,Free transfer,Sweden,1236.0,Östers IF ,35716,225 Th. €,Freddy Borg,11/12,Germany,30.0,Hansa Rostock 
"Jan 1, 2005",,?,Sweden,5199.0,FC Höllviken ,35716,-,Freddy Borg,04/05,Sweden,1236.0,Östers IF 
"Jul 14, 2015",,Free transfer,England,1032.0,Reading ,73093,250 Th. €,Jure Travner,15/16,Slovenia,710.0,NK Celje  
"Jan 22, 2015",,?,Azerbaijan,10693.0,FC Baku ,73093,250 Th. €,Jure Travner,14/15,England,1032.0,Reading 
"Jul 25, 2013",,Free transfer,Slovenia,4059.0,Mura 05 ,73093,250 Th. €,Jure Travner,13/14,Azerbaijan,10693.0,FC Baku 
"Jan 1, 2012",,Free transfer,Bulgaria,31614.0,Ludogorets ,73093,300 Th. €,Jure Travner,11/12,Slovenia,4059.0,Mura 05 
"Aug 1, 2011",,Free transfer,Scotland,465.0,St. Mirren FC ,73093,300 Th. €,Jure Travner,11/12,Bulgaria,31614.0,Ludogorets 
"Jan 1, 2011",,Free transfer,England,1010.0,Watford ,73093,250 Th. €,Jure Travner,10/11,Scotland,465.0,St. Mirren FC 
"Dec 1, 2010",,End of loan,Scotland,465.0,St. Mirren FC ,73093,250 Th. €,Jure Travner,10/11,England,1010.0,Watford 
"Jul 1, 2010",,Loan,England,1010.0,Watford ,73093,250 Th. €,Jure Travner,10/11,Scotland,465.0,St. Mirren FC 
