date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 10, 2015",Free transfer,France,10868,US Orléans ,45057,250 Th. €,Maxime Brillault,15/16,France,3911,Stade Brest 29 
"Nov 1, 2012",-,France,515,Unattached ,45057,-,Maxime Brillault,12/13,,10868,US Orléans 
"Jul 1, 2012",-,France,1377,OC Vannes ,45057,-,Maxime Brillault,12/13,,515,Unattached 
"Jan 1, 2011",Free transfer,Belgium,172,RSC Charleroi ,45057,800 Th. €,Maxime Brillault,10/11,France,1377,OC Vannes 
"Jul 1, 2009",350 Th. €,France,1416,SC Amiens ,45057,500 Th. €,Maxime Brillault,09/10,Belgium,172,RSC Charleroi 
"Jul 1, 2008",Free transfer,France,2968,FC Libourne ,45057,500 Th. €,Maxime Brillault,08/09,France,1416,SC Amiens 
"Jul 1, 2006",Free transfer,France,10868,US Orléans ,45057,-,Maxime Brillault,06/07,France,2968,FC Libourne 
"Jul 1, 2002",Free transfer,France,1161,FC Niort ,45057,-,Maxime Brillault,02/03,France,10868,US Orléans 
"Jul 1, 1999",Free transfer,France,7874,FC Stade Rennes U19 ,45057,-,Maxime Brillault,99/00,France,1161,FC Niort 
"Jan 16, 2013",?,Netherlands,8817,Ajax U21 ,92164,500 Th. €,Mats Rits,12/13,Belgium,354,KV Mechelen 
"Jul 1, 2012",-,Netherlands,610,AFC Ajax ,92164,"1,00 Mill. €",Mats Rits,12/13,Netherlands,8817,Ajax U21 
"Jul 1, 2011",?,Belgium,566,Beerschot AC ,92164,"1,00 Mill. €",Mats Rits,11/12,Netherlands,610,AFC Ajax 
"Jul 1, 2009",-,Belgium,14645,Beerschot U19 ,92164,200 Th. €,Mats Rits,09/10,Belgium,566,Beerschot AC 
"Jul 1, 2014",-,United States,4290,Pittsburgh ,4694,500 Th. €,Collins John,14/15,,515,Unattached 
"Mar 20, 2014",-,United States,515,Unattached ,4694,500 Th. €,Collins John,13/14,,4290,Pittsburgh 
"Jan 25, 2014",-,Poland,6112,Piast Gliwice ,4694,500 Th. €,Collins John,13/14,,515,Unattached 
"Aug 30, 2013",-,Poland,515,Unattached ,4694,500 Th. €,Collins John,13/14,,6112,Piast Gliwice 
"Jan 29, 2013",-,England,2804,Barnet ,4694,500 Th. €,Collins John,12/13,,515,Unattached 
"Sep 22, 2012",Free transfer,Iran,32187,Sarcheshmeh ,4694,500 Th. €,Collins John,12/13,England,2804,Barnet 
"Jan 1, 2012",200 Th. €,Azerbaijan,22010,FK Gabala ,4694,500 Th. €,Collins John,11/12,Iran,32187,Sarcheshmeh 
"Jan 1, 2011",Free transfer,United States,432,Chicago ,4694,500 Th. €,Collins John,10/11,Azerbaijan,22010,FK Gabala 
"Jan 1, 2010",Free transfer,Belgium,2977,KSV Roeselare ,4694,500 Th. €,Collins John,09/10,United States,432,Chicago 
"Jul 1, 2009",Free transfer,England,931,Fulham FC ,4694,"1,00 Mill. €",Collins John,09/10,Belgium,2977,KSV Roeselare 
"Mar 1, 2009",End of loan,Netherlands,467,NEC Nijmegen ,4694,"1,50 Mill. €",Collins John,08/09,England,931,Fulham FC 
"Aug 1, 2008",Loan,England,931,Fulham FC ,4694,"1,50 Mill. €",Collins John,08/09,Netherlands,467,NEC Nijmegen 
"May 1, 2008",End of loan,England,1010,Watford ,4694,"1,50 Mill. €",Collins John,07/08,England,931,Fulham FC 
"Jan 1, 2008",Loan,England,931,Fulham FC ,4694,"2,25 Mill. €",Collins John,07/08,England,1010,Watford 
"Dec 1, 2007",End of loan,England,1003,Leicester ,4694,"2,25 Mill. €",Collins John,07/08,England,931,Fulham FC 
"Oct 1, 2007",Loan,England,931,Fulham FC ,4694,"2,25 Mill. €",Collins John,07/08,England,1003,Leicester 
"Jan 1, 2004","3,50 Mill. €",Netherlands,317,FC Twente ,4694,-,Collins John,03/04,England,931,Fulham FC 
"Jul 1, 2002",-,Netherlands,6200,FC Twente U19 ,4694,-,Collins John,02/03,Netherlands,317,FC Twente 
"Jul 1, 2015",-,Italy,130,Parma ,90118,900 Th. €,Soufiane Bidaoui,15/16,,515,Unattached 
"Jun 30, 2015",End of loan,Italy,22045,Latina Calcio ,90118,900 Th. €,Soufiane Bidaoui,14/15,Italy,130,Parma 
"Jan 29, 2015",Loan,Italy,130,Parma ,90118,800 Th. €,Soufiane Bidaoui,14/15,Italy,22045,Latina Calcio 
"Jun 30, 2014",End of loan,Italy,4083,Crotone ,90118,800 Th. €,Soufiane Bidaoui,13/14,Italy,130,Parma 
"Jul 24, 2013",Loan,Italy,130,Parma ,90118,500 Th. €,Soufiane Bidaoui,13/14,Italy,4083,Crotone 
"Jul 1, 2013",Free transfer,Belgium,204,Lierse SK ,90118,500 Th. €,Soufiane Bidaoui,13/14,Italy,130,Parma 
"Jul 1, 2011",?,Belgium,968,KVC Westerlo ,90118,100 Th. €,Soufiane Bidaoui,11/12,Belgium,204,Lierse SK 
"Jun 1, 2011",-,Belgium,2977,KSV Roeselare ,90118,50 Th. €,Soufiane Bidaoui,10/11,Belgium,968,KVC Westerlo 
"Jan 1, 2011",?,Belgium,968,KVC Westerlo ,90118,50 Th. €,Soufiane Bidaoui,10/11,Belgium,2977,KSV Roeselare 
"Jul 1, 2009",Free transfer,Belgium,9590,Diegem Sport ,90118,-,Soufiane Bidaoui,09/10,Belgium,968,KVC Westerlo 
"Jul 1, 2008",-,Belgium,20542,Diegem U19 ,90118,-,Soufiane Bidaoui,08/09,Belgium,9590,Diegem Sport 
"Feb 4, 2015",Free transfer,Hungary,708,Újpest FC ,147457,200 Th. €,Jérémy Serwy,14/15,Iceland,1185,Hafnarfjördur 
"Jul 1, 2014",Free transfer,Germany,17,B. Dortmund II ,147457,200 Th. €,Jérémy Serwy,14/15,Hungary,708,Újpest FC 
"Jul 18, 2013",?,Belgium,3508,Zulte Waregem ,147457,400 Th. €,Jérémy Serwy,13/14,Germany,17,B. Dortmund II 
"Jun 30, 2013",End of loan,Belgium,6342,White Star ,147457,400 Th. €,Jérémy Serwy,12/13,Belgium,3508,Zulte Waregem 
"Jan 31, 2013",Loan,Belgium,3508,Zulte Waregem ,147457,400 Th. €,Jérémy Serwy,12/13,Belgium,6342,White Star 
"Aug 1, 2011",?,Belgium,172,RSC Charleroi ,147457,300 Th. €,Jérémy Serwy,11/12,Belgium,3508,Zulte Waregem 
"Jul 1, 2010",-,Belgium,3497,RSC Charleroi U19 ,147457,-,Jérémy Serwy,10/11,Belgium,172,RSC Charleroi 
"Jul 28, 2014",?,France,895,Cannes ,138762,-,Alassane Koné,14/15,Saudi Arabia,39396,Hetten FC 
"Jan 1, 2012",Free transfer,Belgium,24394,Standard Res. ,138762,-,Alassane Koné,11/12,France,895,Cannes 
"Jan 5, 2016","2,50 Mill. €",Turkey,10484,Kasimpasa ,38414,"3,50 Mill. €",Ryan Donk,15/16,Turkey,141,Galatasaray 
"Jul 1, 2013",?,Belgium,2282,Club Brugge ,38414,"3,50 Mill. €",Ryan Donk,13/14,Turkey,10484,Kasimpasa 
"Jul 1, 2009",?,Netherlands,1090,AZ Alkmaar ,38414,"2,40 Mill. €",Ryan Donk,09/10,Belgium,2282,Club Brugge 
"Jun 30, 2009",End of loan,England,984,West Brom ,38414,"2,40 Mill. €",Ryan Donk,08/09,Netherlands,1090,AZ Alkmaar 
"Sep 1, 2008",Loan,Netherlands,1090,AZ Alkmaar ,38414,"3,00 Mill. €",Ryan Donk,08/09,England,984,West Brom 
"Jul 1, 2006","3,00 Mill. €",Netherlands,235,RKC Waalwijk ,38414,-,Ryan Donk,06/07,Netherlands,1090,AZ Alkmaar 
"Jul 1, 2005",-,Netherlands,7464,RKC Waalwijk U19 ,38414,-,Ryan Donk,05/06,Netherlands,235,RKC Waalwijk 
