date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Oct 9, 2015",,-,Belgium,515.0,Unattached ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,,2715.0,Seraing United 
"Sep 1, 2015",,-,Belgium,6342.0,White Star ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,,515.0,Unattached 
"Jul 1, 2015",,Free transfer,England,1181.0,Blackpool ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,Belgium,6342.0,White Star 
"Aug 12, 2014",,?,Belgium,968.0,KVC Westerlo ,10267,200 Th. â‚¬,Jeffrey Rentmeister,14/15,England,1181.0,Blackpool 
"Jan 1, 2013",,?,Belgium,3172.0,CS VisÃ© ,10267,200 Th. â‚¬,Jeffrey Rentmeister,12/13,Belgium,968.0,KVC Westerlo 
"Jan 1, 2012",,?,Luxembourg,853.0,F91 Dudelange ,10267,350 Th. â‚¬,Jeffrey Rentmeister,11/12,Belgium,3172.0,CS VisÃ© 
"Jul 1, 2010",,Free transfer,Belgium,1073.0,KSK Beveren ,10267,350 Th. â‚¬,Jeffrey Rentmeister,10/11,Luxembourg,853.0,F91 Dudelange 
"Jul 1, 2008",,Free transfer,Belgium,1245.0,AS Eupen ,10267,50 Th. â‚¬,Jeffrey Rentmeister,08/09,Belgium,1073.0,KSK Beveren 
"Jul 1, 2003",,-,Belgium,30859.0,AS Eupen U19 ,10267,-,Jeffrey Rentmeister,03/04,Belgium,1245.0,AS Eupen 
"Jul 1, 2000",,Free transfer,Belgium,20789.0,RFC LÃ¼tt. U19 ,10267,-,Jeffrey Rentmeister,00/01,Belgium,30859.0,AS Eupen U19 
"Jul 1, 2015",,-,Belgium,204.0,Lierse SK ,19693,700 Th. €,Boban Bajkovic,15/16,,515.0,Unattached 
"Sep 23, 2014",,-,Belgium,515.0,Unattached ,19693,900 Th. €,Boban Bajkovic,14/15,,204.0,Lierse SK 
"Jul 1, 2014",,-,Serbia,159.0,Red Star ,19693,900 Th. €,Boban Bajkovic,14/15,,515.0,Unattached 
"Dec 31, 2007",,End of loan,Serbia,11046.0,FK Srem ,19693,150 Th. €,Boban Bajkovic,07/08,Serbia,159.0,Red Star 
"Aug 1, 2007",,Loan,Serbia,159.0,Red Star ,19693,150 Th. €,Boban Bajkovic,07/08,Serbia,11046.0,FK Srem 
"Jun 30, 2007",,End of loan,Serbia,3544.0,Smederevo ,19693,150 Th. €,Boban Bajkovic,06/07,Serbia,159.0,Red Star 
"Jan 1, 2007",,Loan,Serbia,159.0,Red Star ,19693,50 Th. €,Boban Bajkovic,06/07,Serbia,3544.0,Smederevo 
"Jul 1, 2004",,-,Serbia,11137.0,Red Star U19 ,19693,-,Boban Bajkovic,04/05,Serbia,159.0,Red Star 
"Aug 14, 2015",,?,Belgium,520.0,Cercle Brugge ,40632,600 Th. €,Stipe Bacelic-Grgic,15/16,Hungary,37169.0,Puskás AFC 
"Jul 1, 2014",,Free transfer,Croatia,485.0,Hrv Dragovoljac ,40632,600 Th. €,Stipe Bacelic-Grgic,14/15,Belgium,520.0,Cercle Brugge 
"Sep 6, 2013",,Free transfer,Croatia,999.0,NK Istra 1961  ,40632,750 Th. €,Stipe Bacelic-Grgic,13/14,Croatia,485.0,Hrv Dragovoljac 
"Feb 10, 2012",,Free transfer,Croatia,223.0,HNK Sibenik ,40632,650 Th. €,Stipe Bacelic-Grgic,11/12,Croatia,999.0,NK Istra 1961  
"Jul 1, 2009",,Free transfer,Croatia,447.0,Hajduk Split ,40632,210 Th. €,Stipe Bacelic-Grgic,09/10,Croatia,223.0,HNK Sibenik 
"Jun 30, 2009",,End of loan,Croatia,6087.0,Medjimurje ,40632,210 Th. €,Stipe Bacelic-Grgic,08/09,Croatia,447.0,Hajduk Split 
"Jul 1, 2008",,Loan,Croatia,447.0,Hajduk Split ,40632,210 Th. €,Stipe Bacelic-Grgic,08/09,Croatia,6087.0,Medjimurje 
"Jun 30, 2008",,End of loan,Croatia,1823.0,NK Trogir ,40632,210 Th. €,Stipe Bacelic-Grgic,07/08,Croatia,447.0,Hajduk Split 
"Aug 1, 2007",,Loan,Croatia,447.0,Hajduk Split ,40632,210 Th. €,Stipe Bacelic-Grgic,07/08,Croatia,1823.0,NK Trogir 
"Jun 30, 2007",,End of loan,Croatia,223.0,HNK Sibenik ,40632,210 Th. €,Stipe Bacelic-Grgic,06/07,Croatia,447.0,Hajduk Split 
"Jan 1, 2007",,Loan,Croatia,447.0,Hajduk Split ,40632,-,Stipe Bacelic-Grgic,06/07,Croatia,223.0,HNK Sibenik 
"Jul 1, 2006",,-,Croatia,11032.0,Hajduk U19 ,40632,-,Stipe Bacelic-Grgic,06/07,Croatia,447.0,Hajduk Split 
"Aug 28, 2015",,?,Belgium,3508.0,Zulte Waregem ,45140,800 Th. €,Ghislain Gimbert,15/16,France,738.0,AC Le Havre 
"Jan 6, 2015",,?,France,1095.0,Troyes ,45140,800 Th. €,Ghislain Gimbert,14/15,Belgium,3508.0,Zulte Waregem 
"Jul 1, 2013",,Free transfer,France,1080.0,Stade Laval ,45140,250 Th. €,Ghislain Gimbert,13/14,France,1095.0,Troyes 
"Jul 1, 2010",,300 Th. €,France,1377.0,OC Vannes ,45140,750 Th. €,Ghislain Gimbert,10/11,France,1080.0,Stade Laval 
"Jul 23, 2008",,Free transfer,France,2968.0,FC Libourne ,45140,500 Th. €,Ghislain Gimbert,08/09,France,1377.0,OC Vannes 
"Jul 1, 2007",,Free transfer,France,1290.0,Grenoble ,45140,150 Th. €,Ghislain Gimbert,07/08,France,2968.0,FC Libourne 
"Jun 30, 2007",,End of loan,France,3161.0,FC Tours ,45140,150 Th. €,Ghislain Gimbert,06/07,France,1290.0,Grenoble 
"Jul 1, 2006",,Loan,France,1290.0,Grenoble ,45140,-,Ghislain Gimbert,06/07,France,3161.0,FC Tours 
"Jul 1, 2003",,-,France,16668.0,Grenoble B ,45140,-,Ghislain Gimbert,03/04,France,1290.0,Grenoble 
"Feb 1, 2015",,?,Israel,1064.0,Maccabi Haifa ,46205,"1,00 Mill. €",Edin Cocalic,14/15,Belgium,354.0,KV Mechelen 
"Jan 1, 2012",,350 Th. €,Greece,169.0,Panionios ,46205,"1,10 Mill. €",Edin Cocalic,11/12,Israel,1064.0,Maccabi Haifa 
"Jan 1, 2010",,75 Th. €,Bosnia-Herzegovina,2573.0,Zeljeznicar ,46205,750 Th. €,Edin Cocalic,09/10,Greece,169.0,Panionios 
"Jan 1, 2006",,-,Bosnia-Herzegovina,11252.0,Zeljeznicar U19 ,46205,-,Edin Cocalic,05/06,Bosnia-Herzegovina,2573.0,Zeljeznicar 
"Jan 1, 2016",,-,Belgium,515.0,Unattached ,52199,50 Th. €,Benny Rogiest,15/16,,12932.0,SK Lochristi 
"Jul 22, 2015",,-,Belgium,28643.0,Waasl.-Beveren ,52199,50 Th. €,Benny Rogiest,15/16,,515.0,Unattached 
"Jul 1, 2014",,Free transfer,Belgium,3791.0,KAA Gent U19 ,52199,-,Benny Rogiest,14/15,Belgium,28643.0,Waasl.-Beveren 
"Jan 31, 2014",,150 Th. €,Belgium,2974.0,Francs Borains ,61758,350 Th. €,Koffi,13/14,Belgium,968.0,KVC Westerlo 
"Jul 1, 2012",,?,Italy,12.0,AS Roma ,61758,300 Th. €,Koffi,12/13,Belgium,2974.0,Francs Borains 
"Jun 30, 2012",,End of loan,Belgium,2974.0,Francs Borains ,61758,300 Th. €,Koffi,11/12,Italy,12.0,AS Roma 
"Dec 1, 2011",,Loan,Italy,12.0,AS Roma ,61758,100 Th. €,Koffi,11/12,Belgium,2974.0,Francs Borains 
"Jul 1, 2011",,Free transfer,Italy,6195.0,SSC Napoli ,61758,100 Th. €,Koffi,11/12,Italy,12.0,AS Roma 
