date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2009",-,Bosnia-Herzegovina,11215,Olimp. Sarajevo ,28385,-,Kenan Becirovic,09/10,,123,End of career 
"Jul 1, 2006",?,Bosnia-Herzegovina,2573,Zeljeznicar ,28385,-,Kenan Becirovic,06/07,Bosnia-Herzegovina,11215,Olimp. Sarajevo 
"Jul 1, 2004",?,Czech Republic,479,SFC Opava ,28385,-,Kenan Becirovic,04/05,Bosnia-Herzegovina,2573,Zeljeznicar 
"Jul 1, 2002",?,Bosnia-Herzegovina,21971,NK Visoko ,28385,-,Kenan Becirovic,02/03,Czech Republic,479,SFC Opava 
"Jul 1, 2011",-,Bosnia-Herzegovina,9544,GOSK Gabela ,28419,-,Nikola Juric,11/12,,515,Unattached 
"Jul 1, 2008",Free transfer,Hungary,3395,FC TatabÃ¡nya ,28419,-,Nikola Juric,08/09,Hungary,22543,OroshÃ¡za FC 
"Jul 1, 2005",?,Bosnia-Herzegovina,2573,Zeljeznicar ,28419,-,Nikola Juric,05/06,Bosnia-Herzegovina,9544,GOSK Gabela 
"Jul 21, 2015",?,Croatia,447,Hajduk Split ,28481,"1,75 Mill. €",Avdija Vrsajevic,15/16,Turkey,2944,Osmanlispor 
"Jul 1, 2012",50 Th. €,Bosnia-Herzegovina,765,Celik Zenica ,28481,300 Th. €,Avdija Vrsajevic,12/13,Croatia,447,Hajduk Split 
"Aug 1, 2011",Free transfer,Slovakia,4531,Tatran Presov ,28481,225 Th. €,Avdija Vrsajevic,11/12,Bosnia-Herzegovina,765,Celik Zenica 
"Sep 1, 2008",?,Czech Republic,197,Sparta Praha ,28481,600 Th. €,Avdija Vrsajevic,08/09,Slovakia,4531,Tatran Presov 
"Jun 30, 2008",End of loan,Czech Republic,6380,SK Kladno ,28481,600 Th. €,Avdija Vrsajevic,07/08,Czech Republic,197,Sparta Praha 
"Aug 1, 2007",Loan,Czech Republic,197,Sparta Praha ,28481,"1,10 Mill. €",Avdija Vrsajevic,07/08,Czech Republic,6380,SK Kladno 
"Jul 1, 2007",?,Bosnia-Herzegovina,765,Celik Zenica ,28481,"1,10 Mill. €",Avdija Vrsajevic,07/08,Czech Republic,197,Sparta Praha 
"Jan 1, 2006",Free transfer,Bosnia-Herzegovina,2573,Zeljeznicar ,28481,-,Avdija Vrsajevic,05/06,Bosnia-Herzegovina,765,Celik Zenica 
"Jul 1, 2006",?,Bosnia-Herzegovina,2573,Zeljeznicar ,28430,-,Alen Kurt,06/07,,75,Unknown 
"Jul 1, 2004",Free transfer,Bosnia-Herzegovina,6805,NK Zepce ,28430,-,Alen Kurt,04/05,Bosnia-Herzegovina,2573,Zeljeznicar 
"Jul 1, 2003",Free transfer,Bosnia-Herzegovina,75,Unknown ,28430,-,Alen Kurt,03/04,,6805,NK Zepce 
"Dec 12, 2014",Free transfer,Germany,11238,SSV Lindheim ,28451,50 Th. €,Adi Musli,14/15,Germany,4016,RSV Germania 03 Pfungstadt 
"Jan 1, 2014",Free transfer,Bosnia-Herzegovina,8285,NK Troglav Livno ,28451,50 Th. €,Adi Musli,13/14,Germany,11238,SSV Lindheim 
"Jul 1, 2011",Free transfer,Croatia,599,NK Varazdin ,28451,50 Th. €,Adi Musli,11/12,Bosnia-Herzegovina,8285,NK Troglav Livno 
"Jan 1, 2010",Free transfer,Bosnia-Herzegovina,22786,HNK Capljina ,28451,100 Th. €,Adi Musli,09/10,Croatia,599,Varteks 
"Jul 1, 2009",Free transfer,Bosnia-Herzegovina,8285,NK Troglav Livno ,28451,100 Th. €,Adi Musli,09/10,Bosnia-Herzegovina,22786,HNK Capljina 
"Jul 1, 2008",Free transfer,Bosnia-Herzegovina,628,Velez Mostar ,28451,100 Th. €,Adi Musli,08/09,Bosnia-Herzegovina,8285,NK Troglav Livno 
"Jul 1, 2007",Free transfer,Bosnia-Herzegovina,1014,HSK Posusje ,28451,100 Th. €,Adi Musli,07/08,Bosnia-Herzegovina,628,Velez Mostar 
"Jan 1, 2007",50 Th. €,Bosnia-Herzegovina,8285,NK Troglav Livno ,28451,100 Th. €,Adi Musli,06/07,Bosnia-Herzegovina,1014,HSK Posusje 
"Jan 1, 2006",Free transfer,Bosnia-Herzegovina,2573,Zeljeznicar ,28451,-,Adi Musli,05/06,Bosnia-Herzegovina,8285,NK Troglav Livno 
"Jul 1, 2004",Free transfer,Bosnia-Herzegovina,1014,HSK Posusje ,28451,-,Adi Musli,04/05,Bosnia-Herzegovina,2573,Zeljeznicar 
"Jul 1, 2003",Free transfer,Bosnia-Herzegovina,8285,NK Troglav Livno ,28451,-,Adi Musli,03/04,Bosnia-Herzegovina,1014,HSK Posusje 
"Jul 1, 2006",?,Bosnia-Herzegovina,2573,Zeljeznicar ,28406,-,Eldin Hasanspahic,06/07,,75,Unknown 
"Jul 1, 2002",-,Bosnia-Herzegovina,11252,Zeljeznicar U19 ,28406,-,Eldin Hasanspahic,02/03,Bosnia-Herzegovina,2573,Zeljeznicar 
"Aug 1, 2010",Free transfer,Croatia,23097,NK Zelina ,28440,-,Srdjan Markovic,10/11,Croatia,30025,NK Sparta Elektra Zagreb 
"Jul 1, 2009",?,Croatia,11083,NK Rudes ,28440,-,Srdjan Markovic,09/10,Croatia,23097,NK Zelina 
"Jan 1, 2009",Free transfer,Croatia,12112,NK ZET 1927 ,28440,-,Srdjan Markovic,08/09,Croatia,11083,NK Rudes 
"Jul 1, 2008",?,Croatia,75,Unknown ,28440,-,Srdjan Markovic,08/09,,12112,NK ZET 1927 
"Jul 1, 2007",?,Croatia,2776,Kamen Ingrad ,28440,-,Srdjan Markovic,07/08,,75,Unknown 
"Jan 1, 2007",?,Greece,3999,PAS Lamia ,28440,-,Srdjan Markovic,06/07,Croatia,2776,Kamen Ingrad 
"Jul 1, 2005",Free transfer,Bosnia-Herzegovina,2573,Zeljeznicar ,28440,-,Srdjan Markovic,05/06,Greece,3999,PAS Lamia 
"Jul 1, 2003",Free transfer,Croatia,2409,NK Marsonia ,28440,-,Srdjan Markovic,03/04,Bosnia-Herzegovina,2573,Zeljeznicar 
"Jul 1, 2002",?,Canada,20731,Ham. Thunder ,28440,-,Srdjan Markovic,02/03,Croatia,2409,NK Marsonia 
