date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2016",,Free transfer,Germany,910.0,VfL Halle 96 ,145920,-,Nikola Odovic,15/16,Germany,1703.0,SV Merseburg 99 
"Jul 1, 2014",,Free transfer,Bosnia-Herzegovina,10667.0,FK Rudar Kakanj ,145920,-,Nikola Odovic,14/15,Germany,910.0,VfL Halle 96 
"Jan 20, 2014",,Free transfer,Bosnia-Herzegovina,11215.0,Olimp. Sarajevo ,145920,75 Th. €,Nikola Odovic,13/14,Bosnia-Herzegovina,10667.0,FK Rudar Kakanj 
"Jul 24, 2013",,?,Bosnia-Herzegovina,75.0,Unknown ,145920,50 Th. €,Nikola Odovic,13/14,,11215.0,Olimp. Sarajevo 
"Jan 1, 2011",,Free transfer,Bosnia-Herzegovina,11252.0,Zeljeznicar U19 ,145920,50 Th. €,Nikola Odovic,10/11,,75.0,Unknown 
"Jul 1, 2010",,?,Bosnia-Herzegovina,6807.0,Slavija S. ,145920,-,Nikola Odovic,10/11,Bosnia-Herzegovina,11252.0,Zeljeznicar U19 
"Jan 1, 2010",,-,Bosnia-Herzegovina,25093.0,Slavija ,145920,-,Nikola Odovic,09/10,Bosnia-Herzegovina,6807.0,Slavija S. 
"Aug 3, 2015",,?,Libya,25926.0,Al-Ahli Ben. ,145921,200 Th. €,Marko Perisic,15/16,Slovakia,12005.0,Zlate Moravce 
"Jul 23, 2014",,?,Latvia,28936.0,Spartaks ,145921,200 Th. €,Marko Perisic,14/15,Libya,25926.0,Al-Ahli Ben. 
"Jan 31, 2014",,Free transfer,Bosnia-Herzegovina,6807.0,Slavija S. ,145921,175 Th. €,Marko Perisic,13/14,Latvia,28936.0,Spartaks 
"Jan 1, 2010",,-,Bosnia-Herzegovina,25093.0,Slavija ,145921,-,Marko Perisic,09/10,Bosnia-Herzegovina,6807.0,Slavija S. 
"Jan 9, 2014",,?,Croatia,5107.0,NK Zagreb ,129541,300 Th. €,Kenan Handzic,13/14,Bosnia-Herzegovina,11215.0,Olimp. Sarajevo 
"Aug 28, 2012",,Free transfer,Bosnia-Herzegovina,282.0,FK Sarajevo ,129541,325 Th. €,Kenan Handzic,12/13,Croatia,5107.0,NK Zagreb 
"Jul 1, 2010",,-,Bosnia-Herzegovina,48188.0,FK Sarajevo Ac. ,129541,50 Th. €,Kenan Handzic,10/11,Bosnia-Herzegovina,282.0,FK Sarajevo 
"Jul 1, 2016",,-,Bosnia-Herzegovina,515.0,Unattached ,119302,300 Th. €,Senad Husic,16/17,,2573.0,Zeljeznicar 
"Mar 5, 2016",,-,Hungary,9241.0,Diósgyör ,119302,300 Th. €,Senad Husic,15/16,,515.0,Unattached 
"Jul 1, 2013",,?,Bosnia-Herzegovina,14621.0,Zvijezda G. ,119302,200 Th. €,Senad Husic,13/14,Hungary,9241.0,Diósgyör 
"Jul 1, 2009",,?,Bosnia-Herzegovina,34128.0,Bosna Kalesija ,119302,-,Senad Husic,09/10,Bosnia-Herzegovina,14621.0,Zvijezda G. 
"Sep 23, 2013",,Free transfer,Bosnia-Herzegovina,3900.0,B. Banja Luka ,141399,25 Th. €,Srdjan Stojnic,13/14,Germany,2549.0,Wald-Michelbach 
"Jun 30, 2013",,End of loan,Bosnia-Herzegovina,9860.0,Kozara Gradiska ,141399,25 Th. €,Srdjan Stojnic,12/13,Bosnia-Herzegovina,3900.0,B. Banja Luka 
"Feb 1, 2013",,Loan,Bosnia-Herzegovina,3900.0,B. Banja Luka ,141399,25 Th. €,Srdjan Stojnic,12/13,Bosnia-Herzegovina,9860.0,Kozara Gradiska 
"Jun 30, 2011",,End of loan,Bosnia-Herzegovina,9860.0,Kozara Gradiska ,141399,50 Th. €,Srdjan Stojnic,10/11,Bosnia-Herzegovina,3900.0,B. Banja Luka 
"Aug 1, 2010",,Loan,Bosnia-Herzegovina,3900.0,B. Banja Luka ,141399,50 Th. €,Srdjan Stojnic,10/11,Bosnia-Herzegovina,9860.0,Kozara Gradiska 
"Jan 1, 2010",,-,Bosnia-Herzegovina,25088.0,Banja Luka U19 ,141399,-,Srdjan Stojnic,09/10,Bosnia-Herzegovina,3900.0,B. Banja Luka 
"Jul 1, 2013",,Free transfer,Serbia,18382.0,Sloga Kraljevo ,50190,150 Th. €,Mladen Ristic,13/14,Serbia,37922.0,Mihajlovac 
"Oct 1, 2012",,End of loan,Myanmar,26199.0,Yangon ,50190,150 Th. €,Mladen Ristic,12/13,Serbia,18382.0,Sloga Kraljevo 
"Jan 1, 2012",,Loan,Serbia,18382.0,Sloga Kraljevo ,50190,150 Th. €,Mladen Ristic,11/12,Myanmar,26199.0,Yangon 
"Jan 1, 2011",,Free transfer,Bosnia-Herzegovina,11215.0,Olimp. Sarajevo ,50190,150 Th. €,Mladen Ristic,10/11,Serbia,18382.0,Sloga Kraljevo 
"Jul 1, 2009",,Free transfer,Macedonia,535.0,Sileks ,50190,200 Th. €,Mladen Ristic,09/10,Bosnia-Herzegovina,11215.0,Olimp. Sarajevo 
"Feb 1, 2008",,?,Serbia,11045.0,Radnicki Pirot ,50190,-,Mladen Ristic,07/08,Macedonia,535.0,Sileks 
"Jul 1, 2007",,?,Serbia,8819.0,Javor Ivanjica ,50190,-,Mladen Ristic,07/08,Serbia,11045.0,Radnicki Pirot 
"Jan 1, 2007",,?,Serbia,2209.0,Borac Cacak ,50190,-,Mladen Ristic,06/07,Serbia,8819.0,Javor Ivanjica 
"Jul 1, 2006",,?,Serbia,20887.0,Jedinstvo Ub ,50190,-,Mladen Ristic,06/07,Serbia,2209.0,Borac Cacak 
"Jul 1, 2005",,?,Serbia,7567.0,Radnicki Nis ,50190,-,Mladen Ristic,05/06,Serbia,20887.0,Jedinstvo Ub 
"Jan 1, 2005",,Free transfer,Serbia,28568.0,OFK Nis ,50190,-,Mladen Ristic,04/05,Serbia,7567.0,Radnicki Nis 
"Jul 1, 2004",,?,Serbia,902.0,Rad ,50190,-,Mladen Ristic,04/05,Serbia,28568.0,OFK Nis 
