date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,-,Bulgaria,20487.0,Cherno More II ,256012,-,Iliyan Nedelchev,15/16,Bulgaria,967.0,Cherno More 
"Aug 1, 2014",,?,Bulgaria,26639.0,FC Chavdar ,256012,-,Iliyan Nedelchev,14/15,Bulgaria,20487.0,Cherno More II 
"Jan 6, 2015",,-,Bulgaria,515.0,Unattached ,36877,500 Th. €,Bojan Jorgacevic,14/15,,156.0,Levski Sofia 
"Aug 1, 2014",,-,Turkey,6894.0,K. Erciyesspor ,36877,"1,00 Mill. €",Bojan Jorgacevic,14/15,,515.0,Unattached 
"Jul 1, 2013",,?,Belgium,2282.0,Club Brugge ,36877,"1,00 Mill. €",Bojan Jorgacevic,13/14,Turkey,6894.0,K. Erciyesspor 
"Nov 1, 2011",,"1,00 Mill. €",Belgium,157.0,KAA Gent ,36877,"2,20 Mill. €",Bojan Jorgacevic,11/12,Belgium,2282.0,Club Brugge 
"Jul 1, 2007",,Free transfer,Serbia,902.0,Rad ,36877,-,Bojan Jorgacevic,07/08,Belgium,157.0,KAA Gent 
"Jun 30, 2003",,End of loan,Serbia,3317.0,Dinamo Pancevo ,36877,-,Bojan Jorgacevic,02/03,Serbia,902.0,Rad 
"Jan 1, 2003",,Loan,Serbia,902.0,Rad ,36877,-,Bojan Jorgacevic,02/03,Serbia,3317.0,Dinamo Pancevo 
"Jul 1, 2002",,-,Serbia,19710.0,Rad U19 ,36877,-,Bojan Jorgacevic,02/03,Serbia,902.0,Rad 
"Aug 1, 2015",,?,Bulgaria,9525.0,ZSKA Sofia U19 ,256021,-,Sava Savov,15/16,Bulgaria,36821.0,Lokomotiv GO 
"Jul 1, 2012",,?,Bulgaria,20502.0,Sliven U19 ,256021,-,Sava Savov,12/13,Bulgaria,9525.0,ZSKA Sofia U19 
"Jan 7, 2016",,?,Bulgaria,2531.0,Botev Plovdiv ,227351,100 Th. €,Valentin Tomov,15/16,,515.0,Unattached 
"Sep 1, 2015",,?,Bulgaria,515.0,Unattached ,282884,50 Th. €,Aleksandar Goranov,15/16,,40623.0,FK Sozopol 
"Jul 1, 2015",,?,Bulgaria,2259.0,Lok. Plovdiv ,282884,50 Th. €,Aleksandar Goranov,15/16,,515.0,Unattached 
"Feb 9, 2015",,0,Bulgaria,36821.0,Lokomotiv GO ,282884,50 Th. €,Aleksandar Goranov,14/15,Bulgaria,2259.0,Lok. Plovdiv 
"Aug 1, 2014",,free transfer,Bulgaria,40395.0,Akademik ,282884,50 Th. €,Aleksandar Goranov,14/15,Bulgaria,36821.0,Lokomotiv GO 
"Sep 1, 2013",,?,Bulgaria,5284.0,Marek Dupnitsa ,282884,50 Th. €,Aleksandar Goranov,13/14,Bulgaria,40395.0,Akademik 
"Jul 1, 2012",,?,Bulgaria,8321.0,PFK Nesebar ,282884,-,Aleksandar Goranov,12/13,Bulgaria,5284.0,Marek Dupnitsa 
"Jan 1, 2012",,?,Bulgaria,29267.0,Byala Slatina ,282884,-,Aleksandar Goranov,11/12,Bulgaria,8321.0,PFK Nesebar 
"Mar 1, 2011",,?,Bulgaria,40459.0,Kom-Minyor ,282884,-,Aleksandar Goranov,10/11,Bulgaria,29267.0,Byala Slatina 
"Aug 1, 2010",,?,Bulgaria,12504.0,PFC Rilski ,282884,-,Aleksandar Goranov,10/11,Bulgaria,40459.0,Kom-Minyor 
