date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,-,Switzerland,5504.0,SC Cham ,6672,-,Moreno Merenda,15/16,,123.0,End of career 
"Jul 1, 2012",,Free transfer,Switzerland,163.0,FC Vaduz ,6672,300 Th. â‚¬,Moreno Merenda,12/13,Switzerland,5504.0,SC Cham 
"Jul 1, 2010",,Free transfer,Switzerland,257.0,FC St. Gallen ,6672,350 Th. â‚¬,Moreno Merenda,10/11,Switzerland,163.0,FC Vaduz 
"Jul 1, 2008",,Free transfer,Switzerland,625.0,NeuchÃ¢tel Xamax ,6672,500 Th. â‚¬,Moreno Merenda,08/09,Switzerland,257.0,FC St. Gallen 
"Aug 1, 2006",,Free transfer,Switzerland,257.0,FC St. Gallen ,6672,400 Th. â‚¬,Moreno Merenda,06/07,Switzerland,625.0,NeuchÃ¢tel Xamax 
"Jun 30, 2006",,End of loan,Switzerland,1277.0,FC Schaffhausen ,6672,400 Th. â‚¬,Moreno Merenda,05/06,Switzerland,257.0,FC St. Gallen 
"Jan 1, 2006",,Loan,Switzerland,257.0,FC St. Gallen ,6672,350 Th. â‚¬,Moreno Merenda,05/06,Switzerland,1277.0,FC Schaffhausen 
"Jan 1, 2003",,Free transfer,Liechtenstein,163.0,FC Vaduz ,6672,-,Moreno Merenda,02/03,Switzerland,257.0,FC St. Gallen 
"Jul 1, 2001",,Free transfer,Switzerland,747.0,FC Baden ,6672,-,Moreno Merenda,01/02,Liechtenstein,163.0,FC Vaduz 
"Jul 1, 2000",,?,Switzerland,1978.0,FC Wohlen ,6672,-,Moreno Merenda,00/01,Switzerland,747.0,FC Baden 
"Mar 1, 2000",,?,Germany,220.0,FC GÃ¼tersloh ,6672,-,Moreno Merenda,99/00,Switzerland,1978.0,FC Wohlen 
"Jan 1, 2000",,?,Switzerland,452.0,BSC Young Boys ,6672,-,Moreno Merenda,99/00,Germany,220.0,FC GÃ¼tersloh 
"Jul 1, 1999",,?,Switzerland,2411.0,FC Locarno ,6672,-,Moreno Merenda,99/00,Switzerland,452.0,BSC Young Boys 
"Jan 1, 1999",,?,Switzerland,625.0,NeuchÃ¢tel Xamax ,6672,-,Moreno Merenda,98/99,Switzerland,2411.0,FC Locarno 
"Jul 1, 1998",,?,Switzerland,434.0,FC Luzern ,6672,-,Moreno Merenda,98/99,Switzerland,625.0,NeuchÃ¢tel Xamax 
"Jan 1, 2016",,Free transfer,Switzerland,34496.0,FC Rheinfelden ,81157,-,Olivier Boumelaha,15/16,Switzerland,2058.0,Concordia 
"Jul 1, 2015",,Free transfer,Switzerland,5505.0,SC Dornach ,81157,-,Olivier Boumelaha,15/16,Switzerland,34496.0,FC Rheinfelden 
"Jul 1, 2014",,Free transfer,Switzerland,2054.0,FC Bassecourt ,81157,-,Olivier Boumelaha,14/15,Switzerland,5505.0,SC Dornach 
"Dec 1, 2013",,Free transfer,Switzerland,8458.0,FC Laufen ,81157,125 Th. €,Olivier Boumelaha,13/14,Switzerland,2054.0,FC Bassecourt 
"Jan 29, 2013",,Free transfer,Switzerland,2772.0,FC Kreuzlingen ,81157,125 Th. €,Olivier Boumelaha,12/13,Switzerland,8458.0,FC Laufen 
"Jul 1, 2012",,?,Switzerland,75.0,Unknown ,81157,125 Th. €,Olivier Boumelaha,12/13,,2772.0,FC Kreuzlingen 
"Jan 1, 2009",,Free transfer,Switzerland,2148.0,FC Gossau ,81157,125 Th. €,Olivier Boumelaha,08/09,,75.0,Unknown 
"Jul 1, 2008",,?,Finland,11133.0,PP-70 ,81157,-,Olivier Boumelaha,08/09,Switzerland,2148.0,FC Gossau 
"Jul 1, 2007",,?,Finland,6017.0,IFK Mariehamn ,81157,-,Olivier Boumelaha,07/08,Finland,11133.0,PP-70 
"Jul 1, 2006",,?,Switzerland,2055.0,Chaux-de-Fonds ,81157,-,Olivier Boumelaha,06/07,Finland,6017.0,IFK Mariehamn 
"Jul 1, 2005",,?,Saudi Arabia,8023.0,Ittihad ,81157,-,Olivier Boumelaha,05/06,Switzerland,2055.0,Chaux-de-Fonds 
"Jan 1, 2004",,?,Switzerland,257.0,FC St. Gallen ,81157,-,Olivier Boumelaha,03/04,Saudi Arabia,8023.0,Ittihad 
"Jul 1, 2012",,Free transfer,Qatar,4630.0,Al-Sailiya ,19257,-,Abdou Moumouni,12/13,,75.0,Unknown 
"Jul 1, 2010",,?,Iran,7390.0,FC Aboomoslem ,19257,75 Th. €,Abdou Moumouni,10/11,Qatar,4630.0,Al-Sailiya 
"Sep 1, 2008",,Free transfer,Switzerland,2055.0,Chaux-de-Fonds ,19257,75 Th. €,Abdou Moumouni,08/09,Iran,7390.0,FC Aboomoslem 
