date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",?,Switzerland,5299,FC Basel U21 ,192640,250 Th. €,Robin Kamber,15/16,Switzerland,163,FC Vaduz 
"Jun 30, 2015",End of loan,Switzerland,61,Servette FC ,192640,250 Th. €,Robin Kamber,14/15,Switzerland,5299,FC Basel U21 
"Feb 3, 2015",Loan,Switzerland,5299,FC Basel U21 ,192640,250 Th. €,Robin Kamber,14/15,Switzerland,61,Servette FC 
"Jul 1, 2013",-,Switzerland,14322,FC Basel U18 ,192640,-,Robin Kamber,13/14,Switzerland,5299,FC Basel U21 
"Oct 9, 2012",?,Austria,11263,AKA Salzb. U18 ,192640,-,Robin Kamber,12/13,Switzerland,14322,FC Basel U18 
"Jul 1, 2012",?,Switzerland,14322,FC Basel U18 ,192640,-,Robin Kamber,12/13,Austria,11263,AKA Salzb. U18 
"Jan 1, 2012",-,Switzerland,32336,FC Basel U16 ,192640,-,Robin Kamber,11/12,Switzerland,14322,FC Basel U18 
"Jul 1, 2015",Free transfer,Israel,4769,Bnei Sakhnin ,100160,300 Th. €,Miha Mevlja,15/16,Romania,312,Dinamo Bukarest 
"Jul 1, 2014",?,Switzerland,527,Lausanne-Sport ,100160,400 Th. €,Miha Mevlja,14/15,Israel,4769,Bnei Sakhnin 
"Jul 1, 2013",?,Slovenia,5862,ND Gorica ,100160,300 Th. €,Miha Mevlja,13/14,Switzerland,527,Lausanne-Sport 
"Aug 1, 2009",-,Slovenia,17391,Gorica U19 ,100160,-,Miha Mevlja,09/10,Slovenia,5862,ND Gorica 
"Jul 1, 2015",-,Switzerland,257,FC St. Gallen ,192644,100 Th. €,Marsel Stevic,15/16,Switzerland,9178,St. Gallen U21 
"Jul 1, 2014",-,Switzerland,9248,FCSG U18 ,192644,-,Marsel Stevic,14/15,Switzerland,257,FC St. Gallen 
"Aug 12, 2009",?,Switzerland,14468,FC Herisau Jugend ,192644,-,Marsel Stevic,09/10,Switzerland,9248,FCSG U18 
"Feb 1, 2012",-,Switzerland,8087,Team AG U21 ,167190,-,Olivier Jäckle,11/12,Switzerland,116,FC Aarau 
"Dec 31, 2011",End of loan,Switzerland,4305,SC Zofingen ,167190,-,Olivier Jäckle,11/12,Switzerland,8087,Team AG U21 
"Jul 1, 2011",Loan,Switzerland,8087,Team AG U21 ,167190,-,Olivier Jäckle,11/12,Switzerland,4305,SC Zofingen 
"Jul 1, 2010",-,Switzerland,21243,Aargau U18 ,167190,-,Olivier Jäckle,10/11,Switzerland,8087,Team AG U21 
"Jul 1, 2013",-,Switzerland,10400,Thun U21 ,192968,-,Francesco Ruberto,13/14,Switzerland,938,FC Thun 
"Jul 1, 2012",Free transfer,Switzerland,13530,FC Bern ,192968,-,Francesco Ruberto,12/13,Switzerland,10400,Thun U21 
"Feb 1, 2012",Free transfer,Switzerland,5508,Young Boys U21 ,192968,-,Francesco Ruberto,11/12,Switzerland,13530,FC Bern 
"Jul 1, 2011",-,Switzerland,14438,BSC YB U18 ,192968,-,Francesco Ruberto,11/12,Switzerland,5508,Young Boys U21 
"Jul 1, 2015",-,Switzerland,321,FC Sion ,109960,300 Th. €,Fousseyni Cissé,15/16,,515,Unattached 
"Jun 30, 2015",End of loan,France,11300,AC Arles-Avign. ,109960,300 Th. €,Fousseyni Cissé,14/15,Switzerland,321,FC Sion 
"Jan 28, 2015",Loan,Switzerland,321,FC Sion ,109960,325 Th. €,Fousseyni Cissé,14/15,France,11300,AC Arles-Avign. 
"Aug 31, 2013",150 Th. €,France,1164,Le Mans ,109960,500 Th. €,Fousseyni Cissé,13/14,Switzerland,321,FC Sion 
"Jul 1, 2009",-,France,9802,FC Le Mans B ,109960,-,Fousseyni Cissé,09/10,France,1164,Le Mans 
"Jul 1, 2014",-,Switzerland,15446,Team Vaud U21 ,284695,50 Th. €,Kevin Martin,14/15,Switzerland,527,Lausanne-Sport 
"Jul 1, 2013",-,Switzerland,27999,Team Vaud U18 ,284695,-,Kevin Martin,13/14,Switzerland,15446,Team Vaud U21 
"Jul 1, 2011",-,Switzerland,14197,Team Vaud U16 ,284695,-,Kevin Martin,11/12,Switzerland,27999,Team Vaud U18 
"Jul 1, 2009",-,Switzerland,7073,Yverdon Jugend ,284695,-,Kevin Martin,09/10,Switzerland,14197,Team Vaud U16 
"Jul 1, 2014",-,Switzerland,5299,FC Basel U21 ,237662,100 Th. €,Breel Embolo,14/15,Switzerland,26,FC Basel 
"Jan 1, 2014",-,Switzerland,14322,FC Basel U18 ,237662,-,Breel Embolo,13/14,Switzerland,5299,FC Basel U21 
"Jul 1, 2013",-,Switzerland,32336,FC Basel U16 ,237662,-,Breel Embolo,13/14,Switzerland,14322,FC Basel U18 
"Jul 1, 2012",-,Switzerland,42366,FC Basel Jgd. ,237662,-,Breel Embolo,12/13,Switzerland,32336,FC Basel U16 
"Jul 1, 2010",Free transfer,Switzerland,24775,Old Boys Jugend ,237662,-,Breel Embolo,10/11,Switzerland,42366,FC Basel Jgd. 
"Jan 1, 2014",500 Th. €,Turkey,524,Gaziantepspor ,69005,"1,50 Mill. €",Ivan Kecojevic,13/14,Switzerland,260,FC Zürich 
"Aug 1, 2012",?,Serbia,53,OFK Beograd ,69005,700 Th. €,Ivan Kecojevic,12/13,Turkey,524,Gaziantepspor 
"Jul 1, 2010",?,Serbia,6621,FK Cukaricki ,69005,350 Th. €,Ivan Kecojevic,10/11,Serbia,53,OFK Beograd 
"Jul 1, 2009",Free transfer,Serbia,4646,Teleoptik Zemun ,69005,-,Ivan Kecojevic,09/10,Serbia,6621,FK Cukaricki 
"Jul 1, 2007",-,Serbia,12373,FK Partizan U19 ,69005,-,Ivan Kecojevic,07/08,Serbia,4646,Teleoptik Zemun 
"Jul 1, 2013",-,Switzerland,27999,Team Vaud U18 ,183312,-,Olivier Custodio,13/14,Switzerland,527,Lausanne-Sport 
"Jan 29, 2016",-,Germany,515,Unattached ,99345,900 Th. €,Ante Vukusic,15/16,,65,Greuther Fürth 
"Oct 14, 2015",-,Italy,2921,Pescara ,99345,900 Th. €,Ante Vukusic,15/16,,515,Unattached 
"Mar 27, 2015",End of loan,Belgium,28643,Waasl.-Beveren ,99345,"1,20 Mill. €",Ante Vukusic,14/15,Italy,2921,Pescara 
"Aug 13, 2014",Loan,Italy,2921,Pescara ,99345,"2,00 Mill. €",Ante Vukusic,14/15,Belgium,28643,Waasl.-Beveren 
"Jun 30, 2014",End of loan,Switzerland,527,Lausanne-Sport ,99345,"2,00 Mill. €",Ante Vukusic,13/14,Italy,2921,Pescara 
"Jan 31, 2014",Loan,Italy,2921,Pescara ,99345,"2,00 Mill. €",Ante Vukusic,13/14,Switzerland,527,Lausanne-Sport 
"Aug 25, 2012","3,70 Mill. €",Croatia,447,Hajduk Split ,99345,"5,00 Mill. €",Ante Vukusic,12/13,Italy,2921,Pescara 
"Jan 1, 2009",-,Croatia,11032,Hajduk U19 ,99345,-,Ante Vukusic,08/09,Croatia,447,Hajduk Split 
"Jul 1, 2008",-,Croatia,36344,Hajduk U17 ,99345,-,Ante Vukusic,08/09,Croatia,11032,Hajduk U19 
"Jul 1, 2007",Free transfer,Croatia,36424,Junak Sinj U17 ,99345,-,Ante Vukusic,07/08,Croatia,36344,Hajduk U17 
"Jul 1, 2006",-,Croatia,36423,Junak Sinj Jgd ,99345,-,Ante Vukusic,06/07,Croatia,36424,Junak Sinj U17 
"Jul 29, 2013",200 Th. €,Brazil,15172,Atlético-GO ,27410,-,Caio,13/14,Switzerland,504,Grasshoppers 
"Jan 16, 2013",Free transfer,Brazil,10010,Bahia ,27410,200 Th. €,Caio,12/13,Brazil,15172,Atlético-GO 
"Aug 2, 2012",Free transfer,Germany,24,E. Frankfurt ,27410,400 Th. €,Caio,12/13,Brazil,10010,Bahia 
