date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 25, 2016",Free transfer,China,29131,Beijing Res. ,53250,650 Th. €,Erton Fejzullahu,15/16,China,42226,DL Transcen. 
"Jul 15, 2015",-,China,3176,BJ Guoan ,53250,"1,50 Mill. €",Erton Fejzullahu,15/16,China,29131,Beijing Res. 
"Jan 1, 2015","1,00 Mill. €",Sweden,1044,Djurgardens IF ,53250,"2,00 Mill. €",Erton Fejzullahu,14/15,China,3176,BJ Guoan 
"Dec 31, 2014",End of loan,China,3176,BJ Guoan ,53250,"2,00 Mill. €",Erton Fejzullahu,14/15,Sweden,1044,Djurgardens IF 
"Jul 27, 2014",Loan,Sweden,1044,Djurgardens IF ,53250,"1,00 Mill. €",Erton Fejzullahu,14/15,China,3176,BJ Guoan 
"Aug 1, 2012",350 Th. €,Netherlands,467,NEC Nijmegen ,53250,500 Th. €,Erton Fejzullahu,12/13,Sweden,1044,Djurgardens IF 
"Jul 31, 2012",End of loan,Sweden,2719,Mjällby AIF ,53250,500 Th. €,Erton Fejzullahu,12/13,Netherlands,467,NEC Nijmegen 
"Aug 1, 2011",Loan,Netherlands,467,NEC Nijmegen ,53250,700 Th. €,Erton Fejzullahu,11/12,Sweden,2719,Mjällby AIF 
"Jun 30, 2011",End of loan,Denmark,5724,Randers FC ,53250,700 Th. €,Erton Fejzullahu,10/11,Netherlands,467,NEC Nijmegen 
"Jan 1, 2011",Loan,Netherlands,467,NEC Nijmegen ,53250,"1,00 Mill. €",Erton Fejzullahu,10/11,Denmark,5724,Randers FC 
"Jul 1, 2009",520 Th. €,Sweden,2719,Mjällby AIF ,53250,"1,20 Mill. €",Erton Fejzullahu,09/10,Netherlands,467,NEC Nijmegen 
"Jan 1, 2007",Free transfer,Denmark,190,FC Copenhagen ,53250,-,Erton Fejzullahu,06/07,Sweden,2719,Mjällby AIF 
"Aug 22, 2013",100 Th. €,Denmark,206,Bröndby IF ,69636,400 Th. €,Mathias Gehrt,13/14,Netherlands,1268,ADO Den Haag 
"Jul 1, 2011",-,Denmark,8815,Bröndby IF U19 ,69636,350 Th. €,Mathias Gehrt,11/12,Denmark,206,Bröndby IF 
"Jul 1, 2009",-,Denmark,19982,Bröndby IF U17 ,69636,-,Mathias Gehrt,09/10,Denmark,8815,Bröndby IF U19 
"Jan 12, 2016",?,Denmark,2414,AC Horsens ,69640,150 Th. €,Martin Lund ,15/16,Iceland,21855,Fjölnir 
"Jul 1, 2014",Free transfer,Denmark,5889,Naesby BK ,69640,-,Martin Lund ,14/15,Denmark,2414,AC Horsens 
