date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,Free transfer,Denmark,8815.0,Bröndby IF U19 ,208384,-,Mathias Andersen,15/16,Denmark,3732.0,Hellerup IK 
"Jul 1, 2013",,-,Denmark,19982.0,Bröndby IF U17 ,208384,-,Mathias Andersen,13/14,Denmark,8815.0,Bröndby IF U19 
"Aug 22, 2014",,?,Sweden,801.0,IFK GÃ¶teborg ,77314,"1,00 Mill. â‚¬",Robin SÃ¶der,14/15,Denmark,3426.0,Esbjerg fB 
"Jan 1, 2008",,-,Sweden,8867.0,IFK U19 ,77314,-,Robin SÃ¶der,07/08,Sweden,801.0,IFK GÃ¶teborg 
"Dec 31, 2016",,End of loan,Iceland,21855.0,Fjölnir ,297990,100 Th. €,Tobias Salquist,16/17,Denmark,1177.0,Silkeborg IF 
"Mar 2, 2016",,Loan,Denmark,1177.0,Silkeborg IF ,297990,100 Th. €,Tobias Salquist,15/16,Iceland,21855.0,Fjölnir 
"Jan 29, 2015",,-,Denmark,15642.0,Silkeborg IF U19 ,297990,-,Tobias Salquist,14/15,Denmark,1177.0,Silkeborg IF 
"Jul 1, 2015",,Free transfer,Denmark,22924.0,FC Vestsj. U19 ,337928,-,Mads Tranberg,15/16,Denmark,5722.0,Kalundborg GB 
"Jul 1, 2014",,Free transfer,Belgium,2282.0,Club Brugge ,24081,"1,20 Mill. €",Tom Högli,14/15,Denmark,190.0,FC Copenhagen 
"Jul 1, 2011",,"1,00 Mill. €",Norway,1293.0,Tromsö ,24081,"1,50 Mill. €",Tom Högli,11/12,Belgium,2282.0,Club Brugge 
"Jan 1, 2007",,?,Norway,501.0,FK Bodø/Glimt ,24081,-,Tom Högli,06/07,Norway,1293.0,Tromsö 
"Jul 15, 2015",,Free transfer,Denmark,5724.0,Randers FC ,103444,100 Th. €,Ögmundur Kristinsson,15/16,Sweden,1059.0,Hammarby IF 
"Jul 16, 2014",,?,Iceland,3832.0,Fram Reykjavík ,103444,50 Th. €,Ögmundur Kristinsson,14/15,Denmark,5724.0,Randers FC 
"Feb 13, 2006",,-,Iceland,23647.0,Fram U19 ,103444,-,Ögmundur Kristinsson,05/06,Iceland,3832.0,Fram Reykjavík 
"Aug 17, 2015",,Free transfer,Denmark,173.0,Odense BK ,104987,300 Th. €,Hakon Skogseid,15/16,Norway,353.0,Lilleström SK 
"Jan 23, 2015",,Free transfer,Norway,239.0,Viking ,104987,300 Th. €,Hakon Skogseid,14/15,Denmark,173.0,Odense BK 
"Mar 6, 2009",,220 Th. €,Norway,9908.0,Notodden ,104987,-,Hakon Skogseid,08/09,Norway,239.0,Viking 
"Aug 31, 2007",,?,Norway,1274.0,Stabaek IF ,104987,-,Hakon Skogseid,07/08,Norway,9908.0,Notodden 
"Jan 25, 2016",,?,Denmark,2778.0,Nordsjaelland ,198178,200 Th. €,Adam Örn Arnarson,15/16,Norway,5619.0,Aalesunds FK 
"Aug 7, 2014",,Free transfer,Netherlands,467.0,NEC Nijmegen ,198178,50 Th. €,Adam Örn Arnarson,14/15,Denmark,2778.0,Nordsjaelland 
"Jul 1, 2013",,-,Netherlands,7463.0,NEC/FC Oss U19 ,198178,25 Th. €,Adam Örn Arnarson,13/14,Netherlands,467.0,NEC Nijmegen 
"Jan 1, 2013",,?,Iceland,3737.0,Breidablik ,198178,25 Th. €,Adam Örn Arnarson,12/13,Netherlands,7463.0,NEC/FC Oss U19 
"Jul 1, 2011",,-,Iceland,23639.0,Breidablik U19 ,198178,-,Adam Örn Arnarson,11/12,Iceland,3737.0,Breidablik 
"Aug 3, 2014",,Free transfer,Italy,130.0,Parma ,153637,700 Th. €,Mikael Ishak,14/15,Denmark,5724.0,Randers FC 
"Jun 30, 2014",,End of loan,Italy,4083.0,Crotone ,153637,600 Th. €,Mikael Ishak,13/14,Italy,130.0,Parma 
"Aug 21, 2013",,Loan,Italy,130.0,Parma ,153637,600 Th. €,Mikael Ishak,13/14,Italy,4083.0,Crotone 
"Aug 6, 2013",,?,Germany,3.0,1. FC Köln ,153637,600 Th. €,Mikael Ishak,13/14,Italy,130.0,Parma 
"Jun 30, 2013",,End of loan,Switzerland,257.0,FC St. Gallen ,153637,600 Th. €,Mikael Ishak,12/13,Germany,3.0,1. FC Köln 
"Feb 6, 2013",,Loan,Germany,3.0,1. FC Köln ,153637,600 Th. €,Mikael Ishak,12/13,Switzerland,257.0,FC St. Gallen 
"Jan 1, 2012",,280 Th. €,Sweden,4380.0,Assyriska FF ,153637,40 Th. €,Mikael Ishak,11/12,Germany,3.0,1. FC Köln 
"Jan 1, 2010",,-,Sweden,8856.0,Assyriska U19 ,153637,-,Mikael Ishak,09/10,Sweden,4380.0,Assyriska FF 
"Jan 22, 2016",,"6,60 Mill. €",Denmark,190.0,FC Copenhagen ,214056,"3,00 Mill. €",Daniel Amartey,15/16,England,1003.0,Leicester 
"Jul 1, 2014",,"1,80 Mill. €",Sweden,1044.0,Djurgardens IF ,214056,500 Th. €,Daniel Amartey,14/15,Denmark,190.0,FC Copenhagen 
"Jan 20, 2013",,-,Sweden,8858.0,Djurgardens U19 ,214056,-,Daniel Amartey,12/13,Sweden,1044.0,Djurgardens IF 
"Aug 1, 2012",,?,Ghana,32840.0,Inter Allies ,214056,-,Daniel Amartey,12/13,Sweden,8858.0,Djurgardens U19 
"Jul 1, 2016",,-,Denmark,1053.0,Aalborg BK ,369672,50 Th. €,Asger Bust,16/17,,515.0,Unattached 
"Jul 1, 2015",,-,Denmark,9113.0,Aalborg BK U19 ,369672,-,Asger Bust,15/16,Denmark,1053.0,Aalborg BK 
"Jan 4, 2015",,"1,00 Mill. €",England,11.0,Arsenal ,193592,100 Th. €,Kristoffer Olsson,14/15,Denmark,865.0,FC Midtjylland 
"Jan 3, 2015",,End of loan,Denmark,865.0,FC Midtjylland ,193592,100 Th. €,Kristoffer Olsson,14/15,England,11.0,Arsenal 
"Sep 1, 2014",,Loan,England,11.0,Arsenal ,193592,-,Kristoffer Olsson,14/15,Denmark,865.0,FC Midtjylland 
"Jul 1, 2012",,-,England,5679.0,Arsenal U18  ,193592,-,Kristoffer Olsson,13/14,England,11.0,Arsenal 
"Jul 1, 2011",,350 Th. €,Sweden,15621.0,Norrköping U19 ,193592,-,Kristoffer Olsson,11/12,England,5679.0,Arsenal U18  
"Jul 1, 2015",,-,Denmark,8815.0,Bröndby IF U19 ,283193,-,Rezan Corlu,15/16,Denmark,206.0,Bröndby IF 
"Jul 1, 2014",,-,Denmark,19982.0,Bröndby IF U17 ,283193,-,Rezan Corlu,14/15,Denmark,8815.0,Bröndby IF U19 
"Jul 1, 2016",,-,Netherlands,2824.0,Ajax U19 ,283196,-,Kasper Dolberg,16/17,Netherlands,8817.0,Ajax U21 
"Jul 1, 2015",,270 Th. €,Denmark,15642.0,Silkeborg IF U19 ,283196,-,Kasper Dolberg,15/16,Netherlands,2824.0,Ajax U19 
"Jun 30, 2016",,End of loan,Denmark,19657.0,Vendsyssel FF ,289855,300 Th. €,Brandur Hendriksson Olsen,15/16,Denmark,190.0,FC Copenhagen 
"Jan 1, 2016",,Loan,Denmark,190.0,FC Copenhagen ,289855,300 Th. €,Brandur Hendriksson Olsen,15/16,Denmark,19657.0,Vendsyssel FF 
"Sep 23, 2014",,-,Denmark,16104.0,Copenhagen U19 ,289855,100 Th. €,Brandur Hendriksson Olsen,14/15,Denmark,190.0,FC Copenhagen 
"Jan 6, 2015",,?,Denmark,190.0,FC Copenhagen ,74821,"1,50 Mill. €",Franco Mussis,14/15,Argentina,1775.0,San Lorenzo 
"Jan 5, 2015",,End of loan,Italy,252.0,Genoa ,74821,"1,50 Mill. €",Franco Mussis,14/15,Denmark,190.0,FC Copenhagen 
"Aug 23, 2014",,Loan,Denmark,190.0,FC Copenhagen ,74821,"1,50 Mill. €",Franco Mussis,14/15,Italy,252.0,Genoa 
"Jul 1, 2014",,"1,90 Mill. €",Argentina,1106.0,Gimnasia ,74821,-,Franco Mussis,14/15,Denmark,190.0,FC Copenhagen 
"Jul 1, 2013",,-,Argentina,15114.0,Gimnasia U19 ,74821,-,Franco Mussis,13/14,Argentina,1106.0,Gimnasia 
"Dec 31, 2016",,End of loan,Norway,195.0,Rosenborg BK ,149579,500 Th. €,Elbasan Rashani,16/17,Denmark,206.0,Bröndby IF 
"Jan 11, 2016",,Loan,Denmark,206.0,Bröndby IF ,149579,500 Th. €,Elbasan Rashani,15/16,Norway,195.0,Rosenborg BK 
"Jul 24, 2014",,720 Th. €,Norway,1058.0,Odds BK ,149579,500 Th. €,Elbasan Rashani,14/15,Denmark,206.0,Bröndby IF 
"Jan 1, 2011",,-,Norway,15686.0,Odds BK U19 ,149579,50 Th. €,Elbasan Rashani,10/11,Norway,1058.0,Odd Grenland 
"Jul 15, 2015",,Free transfer,Belgium,204.0,Lierse SK ,124495,700 Th. €,Apostolos Vellios,15/16,Greece,47.0,Iraklis 
"Jun 30, 2015",,End of loan,Denmark,20100.0,Vestsjaelland ,124495,700 Th. €,Apostolos Vellios,14/15,Belgium,204.0,Lierse SK 
"Jan 26, 2015",,Loan,Belgium,204.0,Lierse SK ,124495,700 Th. €,Apostolos Vellios,14/15,Denmark,20100.0,Vestsjaelland 
"Jul 16, 2014",,Free transfer,England,29.0,Everton ,124495,"2,00 Mill. €",Apostolos Vellios,14/15,Belgium,204.0,Lierse SK 
"Apr 28, 2014",,End of loan,England,1181.0,Blackpool ,124495,"2,00 Mill. €",Apostolos Vellios,13/14,England,29.0,Everton 
"Mar 27, 2014",,Loan,England,29.0,Everton ,124495,"2,00 Mill. €",Apostolos Vellios,13/14,England,1181.0,Blackpool 
"Jan 28, 2011",,300 Th. €,Greece,47.0,Iraklis ,124495,600 Th. €,Apostolos Vellios,10/11,England,29.0,Everton 
"Jul 1, 2009",,-,Greece,14782.0,Iraklis U20 ,124495,-,Apostolos Vellios,09/10,Greece,47.0,Iraklis 
"Jul 1, 2015",,?,Denmark,2414.0,AC Horsens ,94293,400 Th. €,Erik Marxen,15/16,Denmark,5724.0,Randers FC 
"Jun 30, 2015",,End of loan,Denmark,5817.0,SönderjyskE ,94293,400 Th. €,Erik Marxen,14/15,Denmark,2414.0,AC Horsens 
"Jul 1, 2014",,Loan,Denmark,2414.0,AC Horsens ,94293,300 Th. €,Erik Marxen,14/15,Denmark,5817.0,SönderjyskE 
"Jul 1, 2013",,Free transfer,Denmark,33324.0,Vejle-Kolding ,94293,300 Th. €,Erik Marxen,13/14,Denmark,2414.0,AC Horsens 
"Jul 1, 2011",,-,Denmark,443.0,Vejle BK ,94293,200 Th. €,Erik Marxen,11/12,Denmark,33324.0,Vejle-Kolding 
"Jul 1, 2009",,-,Denmark,10967.0,VB Youth ,94293,-,Erik Marxen,09/10,Denmark,443.0,Vejle BK 
"Jul 1, 2008",,-,Denmark,15644.0,Vejle BK U19 ,94293,-,Erik Marxen,08/09,Denmark,10967.0,VB Youth 
"Jul 1, 2015",,Free transfer,Denmark,5818.0,Hobro IK ,40027,100 Th. €,Ruben Nygaard,15/16,Denmark,5781.0,Skive IK 
"Jan 1, 2011",,?,Denmark,5784.0,Aarhus Fremad ,40027,-,Ruben Nygaard,10/11,Denmark,5818.0,Hobro IK 
"Jan 1, 2008",,?,Denmark,5818.0,Hobro IK ,40027,-,Ruben Nygaard,07/08,Denmark,5784.0,Aarhus Fremad 
"Jul 1, 2006",,Free transfer,Denmark,5724.0,Randers FC ,40027,-,Ruben Nygaard,06/07,Denmark,5818.0,Hobro IK 
"Jul 1, 2003",,-,Denmark,16787.0,Freja (RFC II) ,40027,-,Ruben Nygaard,03/04,Denmark,5724.0,Randers FC 
"Jul 1, 2014",,-,Denmark,14355.0,Nordsjaell. U19 ,283234,-,Johannes Ritter,14/15,Denmark,2778.0,Nordsjaelland 
"Jul 1, 2015",,Free transfer,Denmark,5947.0,Svebölle BI ,376784,-,Patrick Andersen,15/16,,75.0,Unknown 
"Jan 1, 2015",,Free transfer,Denmark,22924.0,FC Vestsj. U19 ,376784,-,Patrick Andersen,14/15,Denmark,5947.0,Svebölle BI 
"Jan 11, 2016",,300 Th. €,Denmark,206.0,Bröndby IF ,103539,600 Th. €,Fredrik Berge,15/16,Norway,1058.0,Odds BK 
"Dec 31, 2015",,End of loan,Norway,687.0,Molde FK ,103539,600 Th. €,Fredrik Berge,15/16,Denmark,206.0,Bröndby IF 
"Feb 11, 2015",,Loan,Denmark,206.0,Bröndby IF ,103539,800 Th. €,Fredrik Berge,14/15,Norway,687.0,Molde FK 
"Jul 1, 2014",,600 Th. €,Norway,1058.0,Odds BK ,103539,"1,40 Mill. €",Fredrik Berge,14/15,Denmark,206.0,Bröndby IF 
"Jan 1, 2009",,-,Norway,15686.0,Odds BK U19 ,103539,-,Fredrik Berge,08/09,Norway,1058.0,Odd Grenland 
"Jul 1, 2013",,Free transfer,Denmark,5947.0,Svebölle BI ,201578,-,Patrick Jensen,13/14,,75.0,Unknown 
"Jul 12, 2015",,Free transfer,Denmark,190.0,FC Copenhagen ,215180,100 Th. €,Lasse Lindbjerg,15/16,Denmark,24181.0,AB Taarnby 
"Aug 5, 2014",,Free transfer,Denmark,444.0,BK Frem ,215180,-,Lasse Lindbjerg,14/15,Denmark,190.0,FC Copenhagen 
"Jul 1, 2012",,Free transfer,Denmark,20100.0,Vestsjaelland ,215180,50 Th. €,Lasse Lindbjerg,12/13,Denmark,444.0,BK Frem 
"Jan 1, 2012",,Free transfer,Denmark,16786.0,KB (FCK II) ,215180,-,Lasse Lindbjerg,11/12,Denmark,20100.0,Vestsjaelland 
"Jan 1, 2015",,"1,30 Mill. €",Sweden,801.0,IFK Göteborg ,170646,700 Th. €,Ludwig Augustinsson,14/15,Denmark,190.0,FC Copenhagen 
"Jan 6, 2013",,?,Sweden,1092.0,Brommapojkarna ,170646,150 Th. €,Ludwig Augustinsson,12/13,Sweden,801.0,IFK Göteborg 
"Jan 1, 2012",,-,Sweden,8955.0,IF Bromma U19 ,170646,-,Ludwig Augustinsson,11/12,Sweden,1092.0,Brommapojkarna 
"Jan 1, 2016",,Free transfer,Denmark,20100.0,Vestsjaelland ,178329,50 Th. €,Yobou Jean Noel Thome,15/16,Libya,13504.0,Al-Ahly Tripoli 
"Aug 5, 2014",,Free transfer,Lithuania,23560.0,Kruoja ,178329,100 Th. €,Yobou Jean Noel Thome,14/15,Denmark,20100.0,Vestsjaelland 
"Mar 1, 2014",,?,Senegal,31625.0,ASPIRE Senegal ,178329,-,Yobou Jean Noel Thome,13/14,Lithuania,23560.0,Kruoja 
"Aug 7, 2015",,?,Spain,16795.0,Granada CF ,27292,"1,00 Mill. €",Daniel Larsson,15/16,Turkey,524.0,Gaziantepspor 
"Jun 30, 2015",,End of loan,Denmark,3426.0,Esbjerg fB ,27292,"1,25 Mill. €",Daniel Larsson,14/15,Spain,16795.0,Granada CF 
"Jan 30, 2015",,Loan,Spain,16795.0,Granada CF ,27292,"1,50 Mill. €",Daniel Larsson,14/15,Denmark,3426.0,Esbjerg fB 
"Jul 1, 2014",,Free transfer,Spain,366.0,Real Valladolid ,27292,"1,20 Mill. €",Daniel Larsson,14/15,Spain,16795.0,Granada CF 
"Jan 1, 2013",,Free transfer,Sweden,496.0,Malmö FF ,27292,"1,50 Mill. €",Daniel Larsson,12/13,Spain,366.0,Real Valladolid 
"Jan 1, 2009",,?,Sweden,1109.0,BK Häcken ,27292,550 Th. €,Daniel Larsson,08/09,Sweden,496.0,Malmö FF 
"Jan 1, 2004",,-,Sweden,7913.0,BK Häcken U19 ,27292,-,Daniel Larsson,03/04,Sweden,1109.0,BK Häcken 
"Jul 1, 2015",,-,Denmark,10445.0,SönderjyskE U19 ,371869,-,Sebastian Sommer,15/16,Denmark,5817.0,SönderjyskE 
"Feb 12, 2016",,Free transfer,Denmark,1053.0,Aalborg BK ,47785,400 Th. €,Jukka Raitala,15/16,Norway,2038.0,Sogndal 
"Jul 17, 2015",,Free transfer,Denmark,20100.0,Vestsjaelland ,47785,500 Th. €,Jukka Raitala,15/16,Denmark,1053.0,Aalborg BK 
"Feb 7, 2015",,Free transfer,Netherlands,306.0,SC Heerenveen ,47785,500 Th. €,Jukka Raitala,14/15,Denmark,20100.0,Vestsjaelland 
"Jul 1, 2012",,800 Th. €,Germany,533.0,TSG Hoffenheim ,47785,"1,20 Mill. €",Jukka Raitala,12/13,Netherlands,306.0,SC Heerenveen 
"Jun 30, 2012",,End of loan,Spain,331.0,CA Osasuna ,47785,"1,20 Mill. €",Jukka Raitala,11/12,Germany,533.0,TSG Hoffenheim 
"Jul 29, 2011",,Loan fee:100 Th. €,Germany,533.0,TSG Hoffenheim ,47785,750 Th. €,Jukka Raitala,11/12,Spain,331.0,CA Osasuna 
"Jun 30, 2011",,End of loan,Germany,127.0,SC Paderborn ,47785,750 Th. €,Jukka Raitala,10/11,Germany,533.0,TSG Hoffenheim 
"Aug 31, 2010",,Loan,Germany,533.0,TSG Hoffenheim ,47785,750 Th. €,Jukka Raitala,10/11,Germany,127.0,SC Paderborn 
"Jul 1, 2010",,250 Th. €,Finland,1008.0,HJK Helsinki ,47785,750 Th. €,Jukka Raitala,10/11,Germany,533.0,TSG Hoffenheim 
"Jun 30, 2010",,End of loan,Germany,533.0,TSG Hoffenheim ,47785,750 Th. €,Jukka Raitala,09/10,Finland,1008.0,HJK Helsinki 
