date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2016",,-,Poland,238.0,Lech Poznan ,51713,800 Th. €,Sisi,16/17,,515.0,Unattached 
"Jan 8, 2016",,Free transfer,"Korea, South",31622.0,Suwon FC ,51713,"1,20 Mill. €",Sisi,15/16,Poland,238.0,Lech Poznan 
"Jul 21, 2015",,Free transfer,Spain,331.0,CA Osasuna ,51713,"1,20 Mill. €",Sisi,15/16,"Korea, South",31622.0,Suwon FC 
"Jul 1, 2012",,Free transfer,Spain,366.0,Real Valladolid ,51713,"2,00 Mill. €",Sisi,12/13,Spain,331.0,CA Osasuna 
"Aug 1, 2009",,?,Spain,2867.0,Recr. Huelva ,51713,"4,00 Mill. €",Sisi,09/10,Spain,366.0,Real Valladolid 
"Jul 1, 2008",,700 Th. €,Spain,1049.0,Valencia CF ,51713,"3,00 Mill. €",Sisi,08/09,Spain,2867.0,Recr. Huelva 
"Jun 30, 2008",,End of loan,Spain,366.0,Real Valladolid ,51713,"3,00 Mill. €",Sisi,07/08,Spain,1049.0,Valencia CF 
"Aug 1, 2006",,Loan,Spain,1049.0,Valencia CF ,51713,-,Sisi,06/07,Spain,366.0,Real Valladolid 
"Jul 1, 2006",,-,Spain,6182.0,V. Mestalla ,51713,-,Sisi,06/07,Spain,1049.0,Valencia CF 
"Jun 30, 2006",,End of loan,Spain,7971.0,Hércules CF ,51713,-,Sisi,05/06,Spain,6182.0,V. Mestalla 
"Jul 1, 2004",,Loan,Spain,6182.0,V. Mestalla ,51713,-,Sisi,04/05,Spain,7971.0,Hércules CF 
"Sep 5, 2012",,-,Germany,36793.0,SV Pforzheim ,51714,400 Th. €,Iñaki Bea,12/13,,123.0,End of career 
"Jul 1, 2012",,Free transfer,Austria,2444.0,FC Wacker ,51714,400 Th. €,Iñaki Bea,12/13,Germany,36793.0,SV Pforzheim 
"Jul 15, 2010",,Free transfer,Spain,171.0,Real Murcia ,51714,500 Th. €,Iñaki Bea,10/11,Austria,2444.0,FC Wacker 
"Jul 1, 2009",,Free transfer,Spain,366.0,Real Valladolid ,51714,300 Th. €,Iñaki Bea,09/10,Spain,171.0,Real Murcia 
"Jul 1, 2006",,?,Spain,7972.0,Lorca Deportiva ,51714,-,Iñaki Bea,06/07,Spain,366.0,Real Valladolid 
"Jan 1, 2004",,?,Spain,4053.0,Ciudad Murcia ,51714,-,Iñaki Bea,03/04,Spain,7972.0,Lorca Deportiva 
"Jan 1, 2003",,?,Spain,6662.0,Amurrio Club ,51714,-,Iñaki Bea,02/03,Spain,4053.0,Ciudad Murcia 
"Nov 19, 2015",,-,Belgium,515.0,Unattached ,18949,700 Th. €,Mémé Tchité ,15/16,,475.0,Sint-Truiden 
