date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2005",-,Finland,1008,HJK Helsinki ,107932,-,Aarno Turpeinen,04/05,,123,End of career 
"Jan 1, 1995",?,Finland,3776,RoPS ,107932,-,Aarno Turpeinen,94/95,Finland,1008,HJK Helsinki 
"Jan 1, 1993",?,Finland,37507,FC Oulu ,107932,-,Aarno Turpeinen,92/93,Finland,3776,RoPS 
"Jan 1, 1992",?,Finland,37513,OTP ,107932,-,Aarno Turpeinen,91/92,Finland,37507,FC Oulu 
"Jan 1, 2007",-,Finland,1008,HJK Helsinki ,26224,-,Ville Nylund,06/07,,123,End of career 
"Jan 1, 1997",Free transfer,Finland,3650,FF Jaro ,26224,-,Ville Nylund,96/97,Finland,1008,HJK Helsinki 
"Jan 1, 1995",Free transfer,Finland,37507,FC Oulu ,26224,-,Ville Nylund,94/95,Finland,3650,FF Jaro 
"Jan 1, 2012",-,Finland,6251,KuPS ,4484,200 Th. €,Paulus Roiha,11/12,,123,End of career 
"Jul 1, 2011",-,Finland,515,Unattached ,4484,400 Th. €,Paulus Roiha,11/12,,6251,KuPS 
"Jan 1, 2011",-,Sweden,6139,Atvidabergs FF ,4484,400 Th. €,Paulus Roiha,10/11,,515,Unattached 
"Jan 1, 2010",Free transfer,Finland,1008,HJK Helsinki ,4484,500 Th. €,Paulus Roiha,09/10,Sweden,6139,Atvidabergs FF 
"Jan 1, 2008",Free transfer,Hungary,708,Újpest FC ,4484,700 Th. €,Paulus Roiha,07/08,Finland,1008,HJK Helsinki 
"Jul 1, 2007",Free transfer,Netherlands,1268,ADO Den Haag ,4484,700 Th. €,Paulus Roiha,07/08,Hungary,708,Újpest FC 
"Jan 1, 2006",?,Belgium,520,Cercle Brugge ,4484,700 Th. €,Paulus Roiha,05/06,Netherlands,1268,ADO Den Haag 
"Aug 1, 2004",Free transfer,Netherlands,200,FC Utrecht ,4484,-,Paulus Roiha,04/05,Belgium,520,Cercle Brugge 
"Jun 30, 2004",End of loan,Netherlands,1269,FC Zwolle ,4484,-,Paulus Roiha,03/04,Netherlands,200,FC Utrecht 
"Jan 1, 2004",Loan,Netherlands,200,FC Utrecht ,4484,-,Paulus Roiha,03/04,Netherlands,1269,FC Zwolle 
"Jul 1, 2001",500 Th. €,Finland,1008,HJK Helsinki ,4484,-,Paulus Roiha,01/02,Netherlands,200,FC Utrecht 
"Jul 1, 1999",-,Finland,15665,HJK U19 ,4484,-,Paulus Roiha,99/00,Finland,1008,HJK Helsinki 
"Aug 3, 2015",Free transfer,Hungary,30824,Törökbálinti TC ,133428,50 Th. €,László Fekete,15/16,Hungary,30553,Taksony SE 
"Feb 23, 2015",Free transfer,Hungary,22014,ESMTK ,133428,50 Th. €,László Fekete,14/15,Hungary,30824,Törökbálinti TC 
"Aug 29, 2013",Free transfer,Hungary,29981,Diósdi TC ,133428,50 Th. €,László Fekete,13/14,Hungary,22014,ESMTK 
"Jul 1, 2013",Free transfer,Hungary,25743,SZTK ,133428,50 Th. €,László Fekete,13/14,Hungary,29981,Diósdi TC 
"Jun 30, 2013",End of loan,Hungary,29981,Diósdi TC ,133428,50 Th. €,László Fekete,12/13,Hungary,25743,SZTK 
"Jul 1, 2012",Loan,Hungary,25743,SZTK ,133428,50 Th. €,László Fekete,12/13,Hungary,29981,Diósdi TC 
"Jul 1, 2011",?,Hungary,213,Vác ,133428,50 Th. €,László Fekete,11/12,Hungary,25743,SZTK 
"Feb 1, 2009",Free transfer,Hungary,22517,Dunakeszi ,133428,-,László Fekete,08/09,Hungary,213,Vác 
"Jul 1, 2008",Free transfer,Hungary,21976,Százhalombatta ,133428,-,László Fekete,08/09,Hungary,22517,Dunakeszi 
"Jul 1, 2007",Free transfer,Hungary,26308,III. Kerület ,133428,-,László Fekete,07/08,Hungary,21976,Százhalombatta 
"Feb 1, 2006",Free transfer,Hungary,13414,Rákospalota ,133428,-,László Fekete,05/06,Hungary,26308,III. Kerület 
"Mar 1, 2005",Free transfer,Finland,3776,RoPS ,133428,-,László Fekete,04/05,Hungary,13414,Rákospalota 
"Jan 1, 2004",Free transfer,Finland,1008,HJK Helsinki ,133428,-,László Fekete,03/04,Finland,3776,RoPS 
"Jan 1, 2002",Free transfer,Hungary,11420,Bőcs KSC ,133428,-,László Fekete,01/02,Finland,1008,HJK Helsinki 
"Jan 1, 2010",-,Norway,5619,Aalesunds FK ,17319,400 Th. €,Peter Kopteff,09/10,,123,End of career 
