date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2016",,Free transfer,Finland,10493.0,FC Kuusysi ,348160,25 Th. €,Paavo Voutilainen,15/16,Finland,2925.0,FC Lahti 
"Jan 1, 2015",,Free transfer,Finland,2688.0,MYPA ,348160,-,Paavo Voutilainen,14/15,Finland,10493.0,FC Kuusysi 
"Jan 1, 2016",,-,Finland,15659.0,FC Lahti U19 ,418766,-,Santeri Pakkanen,15/16,Finland,2925.0,FC Lahti 
,,,,,,366907,,,,,,
"Jan 1, 2013",,Free transfer,Finland,10927.0,TP-47 ,49413,-,Aleksi Räihä,12/13,Finland,17398.0,Kemi Kings 
"Jan 1, 2012",,Free transfer,Finland,17398.0,Kemi Kings ,49413,-,Aleksi Räihä,11/12,Finland,10927.0,TP-47 
"Jan 1, 2010",,Free transfer,Finland,22293.0,FC Futura ,49413,-,Aleksi Räihä,09/10,Finland,17398.0,Kemi Kings 
"Jan 1, 2009",,Free transfer,Finland,10927.0,TP-47 ,49413,-,Aleksi Räihä,08/09,Finland,22293.0,FC Futura 
"Jan 1, 2007",,?,Finland,19357.0,Kemi Kings U19 ,49413,-,Aleksi Räihä,06/07,Finland,10927.0,TP-47 
"Feb 27, 2014",,Free transfer,Finland,7008.0,AC Oulu ,173574,-,Juhani Pennanen,13/14,Finland,17398.0,Kemi Kings 
"Jun 30, 2012",,End of loan,Finland,36101.0,HauPa ,173574,-,Juhani Pennanen,11/12,Finland,7008.0,AC Oulu 
"Apr 25, 2012",,Loan,Finland,7008.0,AC Oulu ,173574,-,Juhani Pennanen,11/12,Finland,36101.0,HauPa 
"Jan 1, 2011",,-,Finland,19979.0,AC Oulu Akademi ,173574,-,Juhani Pennanen,10/11,Finland,7008.0,AC Oulu 
"Mar 21, 2016",,-,Finland,515.0,Unattached ,44423,400 Th. €,Adama Tamboura,15/16,,8042.0,FC Inter 
"Jan 1, 2016",,-,Denmark,5818.0,Hobro IK ,44423,400 Th. €,Adama Tamboura,15/16,,515.0,Unattached 
"Sep 8, 2015",,-,Denmark,515.0,Unattached ,44423,400 Th. €,Adama Tamboura,15/16,,5818.0,Hobro IK 
"Jul 1, 2015",,-,Denmark,5724.0,Randers FC ,44423,450 Th. €,Adama Tamboura,15/16,,515.0,Unattached 
"Jul 3, 2012",,Free transfer,France,347.0,FC Metz ,44423,400 Th. €,Adama Tamboura,12/13,Denmark,5724.0,Randers FC 
"Jan 4, 2010",,Free transfer,Sweden,699.0,Helsingborgs IF ,44423,"1,30 Mill. €",Adama Tamboura,09/10,France,347.0,FC Metz 
"Jan 1, 2007",,Free transfer,Mali,1955.0,Djoliba AC ,44423,-,Adama Tamboura,06/07,Sweden,699.0,Helsingborgs IF 
"Aug 7, 2015",,Free transfer,Morocco,3282.0,MAS Fes ,39304,250 Th. €,Will John,15/16,Finland,3776.0,RoPS 
