date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 6, 2015",,"8,90 Mill. €",England,148.0,Spurs ,63494,"7,50 Mill. €",Étienne Capoue,15/16,England,1010.0,Watford 
"Aug 15, 2013",,"11,00 Mill. €",France,415.0,Toulouse ,63494,"13,00 Mill. €",Étienne Capoue,13/14,England,148.0,Spurs 
"Jul 1, 2007",,-,France,9372.0,FC Toulouse U19 ,63494,-,Étienne Capoue,07/08,France,415.0,Toulouse 
"Jul 1, 2012",,Free transfer,Poland,256.0,LKS Lodz ,3084,500 Th. €,Marek Saganowski,12/13,Poland,255.0,Legia Warszawa 
"Jul 1, 2011",,Free transfer,Greece,3060.0,Atromitos Athen ,3084,600 Th. €,Marek Saganowski,11/12,Poland,256.0,LKS Lodz 
"Jan 1, 2010",,Free transfer,England,180.0,Southampton ,3084,"1,25 Mill. €",Marek Saganowski,09/10,Greece,3060.0,Atromitos Athen 
"Dec 31, 2008",,End of loan,Denmark,1053.0,Aalborg BK ,3084,"2,00 Mill. €",Marek Saganowski,08/09,England,180.0,Southampton 
"Aug 1, 2008",,Loan fee:540 Th. €,England,180.0,Southampton ,3084,"3,30 Mill. €",Marek Saganowski,08/09,Denmark,1053.0,Aalborg BK 
"Jan 1, 2007",,"1,60 Mill. €",France,1095.0,Troyes ,3084,"1,80 Mill. €",Marek Saganowski,06/07,England,180.0,Southampton 
"Jul 1, 2006",,"1,60 Mill. €",Portugal,2420.0,Vit. Guimarães ,3084,"1,60 Mill. €",Marek Saganowski,06/07,France,1095.0,Troyes 
"Jul 1, 2005",,700 Th. €,Poland,255.0,Legia Warszawa ,3084,"2,00 Mill. €",Marek Saganowski,05/06,Portugal,2420.0,Vit. Guimarães 
"Jul 1, 2002",,Free transfer,Poland,1305.0,Odra Wodzislaw ,3084,-,Marek Saganowski,02/03,Poland,255.0,Legia Warszawa 
"Jul 1, 2001",,Free transfer,Poland,4006.0,Orlen Plock ,3084,-,Marek Saganowski,01/02,Poland,1305.0,Odra Wodzislaw 
"Jan 1, 2001",,Free transfer,Poland,256.0,LKS Lodz ,3084,-,Marek Saganowski,00/01,Poland,4006.0,Orlen Plock 
"Jun 30, 1997",,End of loan,Germany,41.0,Hamburger SV ,3084,-,Marek Saganowski,96/97,Poland,256.0,LKS Lodz 
"Jan 1, 1997",,Loan fee:375 Th. €,Poland,256.0,LKS Lodz ,3084,-,Marek Saganowski,96/97,Germany,41.0,Hamburger SV 
"Dec 1, 1996",,End of loan,Netherlands,234.0,Feyenoord ,3084,-,Marek Saganowski,96/97,Poland,256.0,LKS Lodz 
"Sep 1, 1996",,Loan,Poland,256.0,LKS Lodz ,3084,-,Marek Saganowski,96/97,Netherlands,234.0,Feyenoord 
"May 1, 1995",,-,Poland,15523.0,LKS U19 ,3084,-,Marek Saganowski,94/95,Poland,256.0,LKS Lodz 
"Jul 1, 2014",,Free transfer,France,1158.0,FC Lorient ,44045,"2,75 Mill. €",Kévin Monnet-Paquet,14/15,France,618.0,Saint-Étienne 
"Jul 1, 2011",,"3,00 Mill. €",France,826.0,Lens ,44045,"2,50 Mill. €",Kévin Monnet-Paquet,11/12,France,1158.0,FC Lorient 
"Jun 30, 2011",,End of loan,France,1158.0,FC Lorient ,44045,"2,50 Mill. €",Kévin Monnet-Paquet,10/11,France,826.0,Lens 
"Aug 30, 2010",,Loan,France,826.0,Lens ,44045,"2,80 Mill. €",Kévin Monnet-Paquet,10/11,France,1158.0,FC Lorient 
"Jul 1, 2006",,-,France,8152.0,RC Lens B ,44045,-,Kévin Monnet-Paquet,06/07,France,826.0,Lens 
"Jul 1, 2009",,-,France,1158.0,FC Lorient ,40976,150 Th. €,Julian Pinard,09/10,,515.0,Unattached 
"Jul 1, 2005",,-,France,16662.0,Lorient B ,40976,-,Julian Pinard,05/06,France,1158.0,FC Lorient 
