date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 7, 2015","1,70 Mill. €",France,595,SC Bastia ,77826,"3,00 Mill. €",Ryad Boudebouz,15/16,France,969,Montpellier 
"Sep 2, 2013","1,00 Mill. €",France,750,FC Sochaux ,77826,"4,50 Mill. €",Ryad Boudebouz,13/14,France,595,SC Bastia 
"Jul 1, 2008",-,France,10825,FC Sochaux B ,77826,-,Ryad Boudebouz,08/09,France,750,FC Sochaux 
"Jul 1, 2006",-,France,10826,FC Sochaux U19 ,77826,-,Ryad Boudebouz,06/07,France,10825,FC Sochaux B 
"Jan 23, 2015",Free transfer,France,11273,Rodez AF ,77827,250 Th. €,Abdou Dieye,14/15,France,10867,AS Béziers 
"Jul 1, 2013",Free transfer,France,13523,Les Herbiers VF ,77827,250 Th. €,Abdou Dieye,13/14,France,11273,Rodez AF 
"Oct 1, 2011",-,France,515,Unattached ,77827,250 Th. €,Abdou Dieye,11/12,,13523,Les Herbiers VF 
"Jul 1, 2011",-,France,1164,Le Mans ,77827,250 Th. €,Abdou Dieye,11/12,,515,Unattached 
"Jun 30, 2010",End of loan,France,11273,Rodez AF ,77827,50 Th. €,Abdou Dieye,09/10,France,1164,Le Mans 
"Jul 1, 2009",Loan,France,1164,Le Mans ,77827,50 Th. €,Abdou Dieye,09/10,France,11273,Rodez AF 
"Jul 1, 2008",-,France,9802,FC Le Mans B ,77827,-,Abdou Dieye,08/09,France,1164,Le Mans 
"Jan 26, 2016","1,30 Mill. €",Greece,683,Olympiacos ,77828,"2,00 Mill. €",Mathieu Dossevi,15/16,Belgium,3057,Standard Liège 
"Jan 25, 2016",End of loan,Belgium,3057,Standard Liège ,77828,"2,00 Mill. €",Mathieu Dossevi,15/16,Greece,683,Olympiacos 
"Sep 1, 2015",Loan,Greece,683,Olympiacos ,77828,"2,00 Mill. €",Mathieu Dossevi,15/16,Belgium,3057,Standard Liège 
"Jul 7, 2014",Free transfer,France,1423,FC Valenciennes ,77828,"2,00 Mill. €",Mathieu Dossevi,14/15,Greece,683,Olympiacos 
"Aug 27, 2010","1,00 Mill. €",France,1164,Le Mans ,77828,"1,40 Mill. €",Mathieu Dossevi,10/11,France,1423,FC Valenciennes 
"Jul 1, 2008",-,France,9802,FC Le Mans B ,77828,-,Mathieu Dossevi,08/09,France,1164,Le Mans 
"Jul 1, 2005",Free transfer,France,16037,FC Tours U19 ,77828,-,Mathieu Dossevi,05/06,France,9802,FC Le Mans B 
"Jan 1, 2015",-,Belgium,515,Unattached ,77829,700 Th. €,Frédéric Duplus,14/15,,6342,White Star 
"Jul 1, 2014",-,Belgium,3508,Zulte Waregem ,77829,700 Th. €,Frédéric Duplus,14/15,,515,Unattached 
"Jul 1, 2013",Free transfer,France,750,FC Sochaux ,77829,400 Th. €,Frédéric Duplus,13/14,Belgium,3508,Zulte Waregem 
"Jun 30, 2012",End of loan,France,855,Guingamp ,77829,600 Th. €,Frédéric Duplus,11/12,France,750,FC Sochaux 
"Aug 31, 2011",Loan,France,750,FC Sochaux ,77829,500 Th. €,Frédéric Duplus,11/12,France,855,Guingamp 
"Jun 30, 2011",End of loan,France,1377,OC Vannes ,77829,500 Th. €,Frédéric Duplus,10/11,France,750,FC Sochaux 
"Jan 31, 2011",Loan,France,750,FC Sochaux ,77829,500 Th. €,Frédéric Duplus,10/11,France,1377,OC Vannes 
"Jul 1, 2008",-,France,10825,FC Sochaux B ,77829,-,Frédéric Duplus,08/09,France,750,FC Sochaux 
"Jul 1, 2015",Free transfer,France,667,R. Strasbourg ,77830,-,Marc Fachan,15/16,France,9202,Dunkerque 
"Jul 1, 2014",Free transfer,France,17707,Carquefou ,77830,-,Marc Fachan,14/15,France,667,R. Strasbourg 
"Jul 1, 2012",Free transfer,Spain,1108,Alavés ,77830,-,Marc Fachan,12/13,France,17707,Carquefou 
"Aug 11, 2011",Free transfer,Spain,5648,Gimnàstic ,77830,200 Th. €,Marc Fachan,11/12,Spain,1108,Alavés 
"Jul 26, 2009",Free transfer,Ukraine,21218,Dynamo Kyiv II ,77830,50 Th. €,Marc Fachan,09/10,Spain,5648,Gimnàstic 
"Jul 1, 2009",Free transfer,France,290,AJ Auxerre ,77830,50 Th. €,Marc Fachan,09/10,Ukraine,21218,Dynamo Kyiv II 
"Jul 1, 2008",-,France,10820,AJ Auxerre B ,77830,-,Marc Fachan,08/09,France,290,AJ Auxerre 
"Jul 29, 2015",Free transfer,Portugal,2990,Coimbra ,77832,"1,20 Mill. €",Marcos Paulo,15/16,Greece,6418,Panetolikos 
"Jul 1, 2012",Free transfer,Portugal,2639,Leiria ,77832,"1,00 Mill. €",Marcos Paulo,12/13,Portugal,2990,Coimbra 
"Jul 1, 2010",Free transfer,France,1164,Le Mans ,77832,150 Th. €,Marcos Paulo,10/11,Portugal,2639,Leiria 
"Jul 1, 2008",-,France,9802,FC Le Mans B ,77832,-,Marcos Paulo,08/09,France,1164,Le Mans 
"Jan 15, 2008",Free transfer,Brazil,22736,Caldense ,77832,-,Marcos Paulo,07/08,France,9802,FC Le Mans B 
"Jul 1, 2012","10,00 Mill. €",France,750,FC Sochaux ,77834,"9,50 Mill. €",Marvin Martin,12/13,France,1082,LOSC Lille 
"Jul 1, 2007",-,France,10826,FC Sochaux U19 ,77834,-,Marvin Martin,07/08,France,750,FC Sochaux 
"Sep 18, 2014",-,Australia,515,Unattached ,57355,"1,00 Mill. €",Fahid Ben Khalfallah,14/15,,7006,Melbourne Victory 
"Aug 1, 2014",-,France,1095,Troyes ,57355,"1,00 Mill. €",Fahid Ben Khalfallah,14/15,,515,Unattached 
"Jan 28, 2014",Free transfer,France,40,G. Bordeaux ,57355,"1,00 Mill. €",Fahid Ben Khalfallah,13/14,France,1095,Troyes 
"Aug 26, 2010","4,50 Mill. €",France,1423,FC Valenciennes ,57355,"5,00 Mill. €",Fahid Ben Khalfallah,10/11,France,40,G. Bordeaux 
"Jul 1, 2009","2,00 Mill. €",France,1162,SM Caen ,57355,"2,60 Mill. €",Fahid Ben Khalfallah,09/10,France,1423,FC Valenciennes 
"Aug 12, 2008","2,00 Mill. €",France,1420,SCO Angers ,57355,"1,80 Mill. €",Fahid Ben Khalfallah,08/09,France,1162,SM Caen 
"Jul 1, 2007",Free transfer,France,1080,Stade Laval ,57355,-,Fahid Ben Khalfallah,07/08,France,1420,SCO Angers 
"Jul 1, 2005",Free transfer,France,1416,SC Amiens ,57355,-,Fahid Ben Khalfallah,05/06,France,1080,Stade Laval 
"Jul 1, 2001",-,France,16671,SC Amiens B ,57355,-,Fahid Ben Khalfallah,01/02,France,1416,SC Amiens 
"Jul 1, 2014",-,France,1154,Red Star 93 ,77840,-,Geoffrey Tulasne,14/15,,515,Unattached 
"Dec 1, 2012",-,France,515,Unattached ,77840,600 Th. €,Geoffrey Tulasne,12/13,,1154,Red Star 93 
"Jul 1, 2011",-,France,750,FC Sochaux ,77840,600 Th. €,Geoffrey Tulasne,11/12,,515,Unattached 
