date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Dec 1, 2014",?,Colombia,9961,Deportivo Cali ,32137,550 Th. €,Jhon Viáfara,14/15,Colombia,20590,Rionegro Águila 
"Jul 1, 2013",?,Colombia,10093,Indep. Medellín ,32137,550 Th. €,Jhon Viáfara,13/14,Colombia,9961,Deportivo Cali 
"Jul 1, 2012",Free transfer,Colombia,17425,CD La Equidad ,32137,550 Th. €,Jhon Viáfara,12/13,Colombia,10093,Indep. Medellín 
"Jan 1, 2012",Free transfer,Colombia,9811,Pereira ,32137,800 Th. €,Jhon Viáfara,11/12,Colombia,17425,CD La Equidad 
"Jul 1, 2011",?,Colombia,11854,Atlético Junior ,32137,800 Th. €,Jhon Viáfara,11/12,Colombia,9811,Pereira 
"Jan 1, 2011",Free transfer,Colombia,17425,CD La Equidad ,32137,800 Th. €,Jhon Viáfara,10/11,Colombia,11854,Atlético Junior 
"Jan 1, 2010",Free transfer,Colombia,6984,Once Caldas ,32137,"1,00 Mill. €",Jhon Viáfara,09/10,Colombia,17425,CD La Equidad 
"Jul 1, 2008",Free transfer,England,180,Southampton ,32137,"2,20 Mill. €",Jhon Viáfara,08/09,Colombia,6984,Once Caldas 
"Jul 1, 2006",250 Th. €,England,1020,Portsmouth FC ,32137,"2,50 Mill. €",Jhon Viáfara,06/07,England,180,Southampton 
"May 1, 2006",End of loan,Spain,681,Real Sociedad ,32137,"2,50 Mill. €",Jhon Viáfara,05/06,England,1020,Portsmouth FC 
"Jan 1, 2006",Loan,England,1020,Portsmouth FC ,32137,"2,50 Mill. €",Jhon Viáfara,05/06,Spain,681,Real Sociedad 
"Jul 1, 2005","2,40 Mill. €",Colombia,6984,Once Caldas ,32137,-,Jhon Viáfara,05/06,England,1020,Portsmouth FC 
"Jan 1, 2002",?,Colombia,10090,Deportivo Pasto ,32137,-,Jhon Viáfara,01/02,Colombia,6984,Once Caldas 
"Jul 1, 2001",?,Colombia,2352,CD América ,32137,-,Jhon Viáfara,01/02,Colombia,10090,Deportivo Pasto 
"Jan 1, 2000",?,Colombia,10090,Deportivo Pasto ,32137,-,Jhon Viáfara,99/00,Colombia,2352,CD América 
"Jan 1, 1998",-,Colombia,22633,Pasto U19 ,32137,-,Jhon Viáfara,97/98,Colombia,10090,Deportivo Pasto 
"Jul 1, 2016",Free transfer,England,984,West Brom ,39532,"2,00 Mill. €",Victor Anichebe,16/17,,75,Unknown 
"Sep 2, 2013","5,90 Mill. €",England,29,Everton ,39532,"5,00 Mill. €",Victor Anichebe,13/14,England,984,West Brom 
"Jul 1, 2006",-,England,6920,Everton U18 ,39532,50 Th. €,Victor Anichebe,06/07,England,29,Everton 
"Jul 1, 2014",-,England,3826,St. Albans City ,34562,-,Kerrea Gilbert,14/15,,123,End of career 
"Jan 10, 2014",-,England,515,Unattached ,34562,300 Th. €,Kerrea Gilbert,13/14,,3826,St. Albans City 
"Jul 1, 2013",-,England,7123,Maidenhead Utd. ,34562,300 Th. €,Kerrea Gilbert,13/14,,515,Unattached 
"Mar 21, 2013",-,England,515,Unattached ,34562,300 Th. €,Kerrea Gilbert,12/13,,7123,Maidenhead Utd. 
"Jan 1, 2013",Free transfer,Ireland,3258,Shamrock Rovers ,34562,300 Th. €,Kerrea Gilbert,12/13,,515,Unattached 
"Jan 1, 2012",Free transfer,England,972,Yeovil Town ,34562,300 Th. €,Kerrea Gilbert,11/12,Ireland,3258,Shamrock Rovers 
"Aug 1, 2011",-,England,515,Unattached ,34562,300 Th. €,Kerrea Gilbert,11/12,,972,Yeovil Town 
"Mar 1, 2011",-,United States,4291,Timbers ,34562,300 Th. €,Kerrea Gilbert,10/11,,515,Unattached 
"Dec 1, 2010",-,United States,515,Unattached ,34562,300 Th. €,Kerrea Gilbert,10/11,,4291,Timbers 
"Jul 1, 2010",-,England,11,Arsenal ,34562,300 Th. €,Kerrea Gilbert,10/11,,515,Unattached 
"May 1, 2010",End of loan,England,1072,Peterborough ,34562,300 Th. €,Kerrea Gilbert,09/10,England,11,Arsenal 
"Jan 1, 2010",Loan,England,11,Arsenal ,34562,300 Th. €,Kerrea Gilbert,09/10,England,1072,Peterborough 
"May 1, 2009",End of loan,England,1003,Leicester ,34562,300 Th. €,Kerrea Gilbert,08/09,England,11,Arsenal 
"Jul 1, 2008",Loan,England,11,Arsenal ,34562,450 Th. €,Kerrea Gilbert,08/09,England,1003,Leicester 
"May 1, 2008",End of loan,England,2793,Southend United ,34562,450 Th. €,Kerrea Gilbert,07/08,England,11,Arsenal 
"Aug 1, 2007",Loan,England,11,Arsenal ,34562,450 Th. €,Kerrea Gilbert,07/08,England,2793,Southend United 
"May 1, 2007",End of loan,England,603,Cardiff ,34562,200 Th. €,Kerrea Gilbert,06/07,England,11,Arsenal 
"Aug 1, 2006",Loan,England,11,Arsenal ,34562,200 Th. €,Kerrea Gilbert,06/07,England,603,Cardiff 
"Jul 1, 2005",-,England,5679,Arsenal U18  ,34562,-,Kerrea Gilbert,05/06,England,11,Arsenal 
"Jul 11, 2014",?,South Africa,2557,Orlando Pirates ,32515,350 Th. €,Collins Mbesuma,14/15,South Africa,2303,Black Aces 
"Aug 16, 2012",?,South Africa,7011,Golden Arrows ,32515,350 Th. €,Collins Mbesuma,12/13,South Africa,2557,Orlando Pirates 
"Dec 1, 2010",-,South Africa,515,Unattached ,32515,375 Th. €,Collins Mbesuma,10/11,,7011,Golden Arrows 
"Jul 1, 2010",-,South Africa,2695,M. Swallows ,32515,375 Th. €,Collins Mbesuma,10/11,,515,Unattached 
"Jul 1, 2009",Free transfer,South Africa,6356,Sundowns ,32515,"1,00 Mill. €",Collins Mbesuma,09/10,South Africa,2695,M. Swallows 
"Sep 1, 2008",-,South Africa,515,Unattached ,32515,"1,00 Mill. €",Collins Mbesuma,08/09,,6356,Sundowns 
"Jul 1, 2008",-,Turkey,20,Bursaspor ,32515,"1,00 Mill. €",Collins Mbesuma,08/09,,515,Unattached 
"Aug 1, 2007",375 Th. €,England,1020,Portsmouth FC ,32515,"1,50 Mill. €",Collins Mbesuma,07/08,Turkey,20,Bursaspor 
"Jun 30, 2007",End of loan,Portugal,1301,Marítimo ,32515,"1,50 Mill. €",Collins Mbesuma,06/07,England,1020,Portsmouth FC 
"Jul 1, 2006",Loan,England,6939,Portsmouth U18 ,32515,"1,50 Mill. €",Collins Mbesuma,06/07,Portugal,1301,Marítimo 
"Jul 1, 2005",Free transfer,South Africa,568,Kaizer Chiefs ,32515,-,Collins Mbesuma,05/06,England,1020,Portsmouth FC 
"Jan 1, 2011",-,Mexico,4941,León ,29573,-,Jared Borgetti,10/11,,123,End of career 
"Jul 1, 2010",Free transfer,Mexico,5623,Monarcas ,29573,500 Th. €,Jared Borgetti,10/11,Mexico,4941,León 
"Jan 1, 2010",Free transfer,Mexico,5662,Puebla ,29573,800 Th. €,Jared Borgetti,09/10,Mexico,5623,Monarcas 
"Jul 1, 2009",Free transfer,Mexico,6711,Guadalajara ,29573,"1,00 Mill. €",Jared Borgetti,09/10,Mexico,5662,Puebla 
"Jan 1, 2009",?,Mexico,2407,Monterrey ,29573,"2,00 Mill. €",Jared Borgetti,08/09,Mexico,6711,Guadalajara 
"Dec 1, 2007",?,Mexico,3711,CD Cruz Azul ,29573,"2,25 Mill. €",Jared Borgetti,07/08,Mexico,2407,Monterrey 
"Jan 1, 2007","1,00 Mill. €",Saudi Arabia,8023,Ittihad ,29573,"2,25 Mill. €",Jared Borgetti,06/07,Mexico,3711,CD Cruz Azul 
"Aug 1, 2006",Free transfer,England,355,Bolton ,29573,"2,50 Mill. €",Jared Borgetti,06/07,Saudi Arabia,8023,Ittihad 
"Jul 1, 2005","1,40 Mill. €",Mexico,4035,CF Pachuca ,29573,"1,75 Mill. €",Jared Borgetti,05/06,England,355,Bolton 
"Jan 1, 2005",?,Mexico,10091,Dorados de Sin. ,29573,-,Jared Borgetti,04/05,Mexico,4035,CF Pachuca 
"Jul 1, 2004",?,Mexico,1403,Santos ,29573,-,Jared Borgetti,04/05,Mexico,10091,Dorados de Sin. 
"Jan 1, 1997",?,Mexico,8590,Atlas ,29573,-,Jared Borgetti,96/97,Mexico,1403,Santos 
"Jan 1, 1993",-,Mexico,23166,Atlas U20 ,29573,-,Jared Borgetti,92/93,Mexico,8590,Atlas 
"Jul 1, 2013",Free transfer,England,22692,Skelmersdale ,94599,-,Sam Ashton,13/14,England,13286,Chorley FC 
"Jul 1, 2011",?,England,20428,FC United ,94599,-,Sam Ashton,11/12,England,22692,Skelmersdale 
"Jul 1, 2006",?,England,9259,Bolton U21 ,94599,-,Sam Ashton,06/07,England,20428,FC United 
"Jul 1, 2015",Free transfer,England,3537,Crawley Town ,32520,500 Th. €,Kelly Youga,15/16,,75,Unknown 
"Mar 26, 2015",-,England,515,Unattached ,32520,500 Th. €,Kelly Youga,14/15,,3537,Crawley Town 
"Jan 1, 2015",-,China,38987,QD Hainiu ,32520,500 Th. €,Kelly Youga,14/15,,515,Unattached 
"Jan 30, 2014",-,China,515,Unattached ,32520,500 Th. €,Kelly Youga,13/14,,38987,QD Hainiu 
"Jul 1, 2013",-,England,3884,AFC Wimbledon ,32520,500 Th. €,Kelly Youga,13/14,,515,Unattached 
"Mar 11, 2013",-,England,515,Unattached ,32520,500 Th. €,Kelly Youga,12/13,,3884,AFC Wimbledon 
