date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Feb 14, 2016",,-,Switzerland,515,Unattached ,40140,500 Th. €,Kay Voser,15/16,,321,FC Sion 
"Feb 1, 2016",,-,England,931,Fulham FC ,40140,500 Th. €,Kay Voser,15/16,,515,Unattached 
"Jul 2, 2014",,800 Th. €,Switzerland,26,FC Basel ,40140,"1,00 Mill. €",Kay Voser,14/15,England,931,Fulham FC 
"Jul 1, 2011",,Free transfer,Switzerland,504,Grasshoppers ,40140,900 Th. €,Kay Voser,11/12,Switzerland,26,FC Basel 
"Jul 1, 2005",,-,Switzerland,5502,GCZ II ,40140,-,Kay Voser,05/06,Switzerland,504,Grasshoppers 
"Feb 1, 2016",,?,England,603,Cardiff ,41745,250 Th. €,Alex Revell,15/16,England,991,MK Dons 
"Jan 23, 2016",,End of loan,England,1071,Wigan ,41745,250 Th. €,Alex Revell,15/16,England,603,Cardiff 
"Nov 11, 2015",,Loan,England,603,Cardiff ,41745,250 Th. €,Alex Revell,15/16,England,1071,Wigan 
"Jan 9, 2015",,225 Th. €,England,1194,Rotherham ,41745,250 Th. €,Alex Revell,14/15,England,603,Cardiff 
"Aug 31, 2011",,?,England,1150,Leyton Orient ,41745,225 Th. €,Alex Revell,11/12,England,1194,Rotherham 
"Jul 1, 2010",,Free transfer,England,2793,Southend United ,41745,225 Th. €,Alex Revell,10/11,England,1150,Leyton Orient 
"May 1, 2010",,End of loan,England,2805,Wycombe ,41745,225 Th. €,Alex Revell,09/10,England,2793,Southend United 
"Jan 1, 2010",,Loan,England,2793,Southend United ,41745,225 Th. €,Alex Revell,09/10,England,2805,Wycombe 
"Dec 1, 2009",,End of loan,England,352,Swindon Town ,41745,225 Th. €,Alex Revell,09/10,England,2793,Southend United 
"Sep 1, 2009",,Loan,England,2793,Southend United ,41745,225 Th. €,Alex Revell,09/10,England,352,Swindon Town 
"Jan 1, 2008",,225 Th. €,England,1237,Brighton ,41745,-,Alex Revell,07/08,England,2793,Southend United 
"Jul 1, 2006",,10 Th. €,England,6340,Braintree ,41745,-,Alex Revell,06/07,England,1237,Brighton 
"Jul 1, 2004",,Free transfer,England,986,Cambridge Utd. ,41745,-,Alex Revell,04/05,England,6340,Braintree 
"May 1, 2003",,End of loan,England,3825,Kettering Town ,41745,-,Alex Revell,02/03,England,986,Cambridge Utd. 
"Mar 1, 2003",,Loan,England,986,Cambridge Utd. ,41745,-,Alex Revell,02/03,England,3825,Kettering Town 
"Jul 1, 2001",,-,England,19581,Cambridge U18 ,41745,-,Alex Revell,01/02,England,986,Cambridge Utd. 
"Jan 29, 2015",,?,Scotland,371,Celtic ,44741,"1,00 Mill. €",Biram Kayal,14/15,England,1237,Brighton 
"Jul 1, 2010",,"1,80 Mill. €",Israel,1064,Maccabi Haifa ,44741,"1,25 Mill. €",Biram Kayal,10/11,Scotland,371,Celtic 
"Jul 1, 2006",,-,Israel,18072,M. Haifa U19 ,44741,-,Biram Kayal,06/07,Israel,1064,Maccabi Haifa 
"Jul 1, 2015",,Free transfer,England,1194,Rotherham ,46401,200 Th. €,Mark Bradley,15/16,,75,Unknown 
"Jul 1, 2010",,Free transfer,England,899,Walsall FC ,46401,200 Th. €,Mark Bradley,10/11,England,1194,Rotherham 
"Jul 1, 2004",,-,England,14627,Walsall U18 ,46401,-,Mark Bradley,04/05,England,899,Walsall FC 
"Jan 24, 2015",,Free transfer,England,1194,Rotherham ,49100,250 Th. €,Joe Skarz,14/15,England,988,Oxford United 
"Jul 1, 2013",,Free transfer,England,2413,Bury FC ,49100,150 Th. €,Joe Skarz,13/14,England,1194,Rotherham 
"May 31, 2013",,End of loan,England,1194,Rotherham ,49100,150 Th. €,Joe Skarz,12/13,England,2413,Bury FC 
"Mar 28, 2013",,Loan,England,2413,Bury FC ,49100,150 Th. €,Joe Skarz,12/13,England,1194,Rotherham 
"Jul 1, 2010",,Free transfer,England,1110,Huddersfield ,49100,200 Th. €,Joe Skarz,10/11,England,2413,Bury FC 
"May 1, 2010",,End of loan,England,3054,Shrewsbury Town ,49100,200 Th. €,Joe Skarz,09/10,England,1110,Huddersfield 
"Jan 1, 2010",,Loan,England,1110,Huddersfield ,49100,200 Th. €,Joe Skarz,09/10,England,3054,Shrewsbury Town 
"May 1, 2009",,End of loan,England,2577,Hartlepool Utd. ,49100,-,Joe Skarz,08/09,England,1110,Huddersfield 
"Mar 1, 2009",,Loan,England,1110,Huddersfield ,49100,-,Joe Skarz,08/09,England,2577,Hartlepool Utd. 
"Jul 1, 2006",,-,England,14629,Huddersf. U18 ,49100,-,Joe Skarz,06/07,England,1110,Huddersfield 
"Jan 30, 2015",,Free transfer,England,603,Cardiff ,49239,"1,50 Mill. €",Guido Burgstaller,14/15,Germany,4,1.FC Nuremberg 
"Jul 1, 2014",,700 Th. €,Austria,170,Rapid Vienna ,49239,"1,50 Mill. €",Guido Burgstaller,14/15,England,603,Cardiff 
"Jul 1, 2011",,Free transfer,Austria,17444,Wiener Neustadt ,49239,750 Th. €,Guido Burgstaller,11/12,Austria,170,Rapid Vienna 
"Jul 1, 2008",,100 Th. €,Austria,155,FC Kärnten ,49239,150 Th. €,Guido Burgstaller,08/09,Austria,17444,Wiener Neustadt 
"Jan 1, 2007",,-,Austria,4400,FC Kärnten II ,49239,-,Guido Burgstaller,06/07,Austria,155,FC Kärnten 
"Jul 1, 2006",,Free transfer,Austria,4386,AKA Kärnten U19 ,49239,-,Guido Burgstaller,06/07,Austria,4400,FC Kärnten II 
"Jul 1, 2005",,-,Austria,42822,AKA Kärnten U17 ,49239,-,Guido Burgstaller,05/06,Austria,4386,AKA Kärnten U19 
"Jul 1, 2004",,-,Austria,42821,AKA Kärnten U15 ,49239,-,Guido Burgstaller,04/05,Austria,42822,AKA Kärnten U17 
"Jul 1, 2003",,Free transfer,Austria,41825,ASKÖ Gmünd Jgd ,49239,-,Guido Burgstaller,03/04,Austria,42821,BNZ Kärnten U15 
"Jul 1, 2014",,Free transfer,England,1148,Brentford ,52721,250 Th. €,Clayton Donaldson,14/15,England,337,Birmingham 
"Jul 1, 2011",,Free transfer,England,1042,Crewe Alexandra ,52721,250 Th. €,Clayton Donaldson,11/12,England,1148,Brentford 
"Aug 1, 2008",,Free transfer,Scotland,903,Hibernian FC ,52721,250 Th. €,Clayton Donaldson,08/09,England,1042,Crewe Alexandra 
"Jul 1, 2007",,Free transfer,England,1252,York City ,52721,-,Clayton Donaldson,07/08,Scotland,903,Hibernian FC 
"Feb 1, 2006",,Free transfer,England,3008,Hull City ,52721,-,Clayton Donaldson,05/06,England,1252,York City 
"Mar 1, 2004",,End of loan,England,1127,Halifax Town ,52721,-,Clayton Donaldson,03/04,England,3008,Hull City 
"Feb 1, 2004",,Loan,England,3008,Hull City ,52721,-,Clayton Donaldson,03/04,England,1127,Halifax Town 
"Sep 1, 2003",,End of loan,England,971,Scarborough Athletic ,52721,-,Clayton Donaldson,03/04,England,3008,Hull City 
"Aug 1, 2003",,Loan,England,3008,Hull City ,52721,-,Clayton Donaldson,03/04,England,971,Scarborough Athletic 
"Feb 1, 2003",,End of loan,England,12020,Harrogate Town ,52721,-,Clayton Donaldson,02/03,England,3008,Hull City 
"Nov 1, 2002",,Loan,England,3008,Hull City ,52721,-,Clayton Donaldson,02/03,England,12020,Harrogate Town 
"Aug 1, 2002",,-,England,14482,Hull U19 ,52721,-,Clayton Donaldson,02/03,England,3008,Hull City 
"Jul 1, 2014",,Free transfer,Scotland,987,Motherwell FC ,61417,600 Th. €,Shaun Hutchinson,14/15,England,931,Fulham FC 
"Jul 1, 2009",,-,Scotland,2987,Motherwell FC U20 ,61417,-,Shaun Hutchinson,09/10,Scotland,987,Motherwell FC 
"May 31, 2015",,End of loan,England,2805,Wycombe ,66892,150 Th. €,Sam Saunders,14/15,England,1148,Brentford 
"Feb 27, 2015",,Loan,England,1148,Brentford ,66892,150 Th. €,Sam Saunders,14/15,England,2805,Wycombe 
"Jul 1, 2009",,Free transfer,England,3696,Dag & Red FC ,66892,-,Sam Saunders,09/10,England,1148,Brentford 
"Jul 1, 2005",,Free transfer,England,8908,Carshalton Ath. ,66892,-,Sam Saunders,05/06,England,3696,Dag & Red FC 
"Jul 1, 2003",,Free transfer,England,3939,Ashford Town FC ,66892,-,Sam Saunders,03/04,England,8908,Carshalton Ath. 
"Mar 1, 2002",,Free transfer,England,7454,Welling ,66892,-,Sam Saunders,01/02,England,3939,Ashford Town FC 
"Jul 1, 2001",,Free transfer,England,12805,QPR U18 ,66892,-,Sam Saunders,01/02,England,7454,Welling 
"Jul 1, 2015",,Free transfer,England,989,Bournemouth ,67003,100 Th. €,Joe Partington,15/16,England,10391,Eastleigh 
"May 6, 2015",,End of loan,England,10391,Eastleigh ,67003,100 Th. €,Joe Partington,14/15,England,989,Bournemouth 
"Jan 3, 2015",,Loan,England,989,Bournemouth ,67003,100 Th. €,Joe Partington,14/15,England,10391,Eastleigh 
"Apr 26, 2014",,End of loan,England,3717,Aldershot ,67003,100 Th. €,Joe Partington,13/14,England,989,Bournemouth 
"Jan 2, 2014",,Loan,England,989,Bournemouth ,67003,100 Th. €,Joe Partington,13/14,England,3717,Aldershot 
"Dec 8, 2010",,End of loan,England,3713,Eastbourne ,67003,50 Th. €,Joe Partington,10/11,England,989,Bournemouth 
"Oct 29, 2010",,Loan,England,989,Bournemouth ,67003,50 Th. €,Joe Partington,10/11,England,3713,Eastbourne 
"Jul 1, 2007",,-,England,14648,Bournemouth U18 ,67003,-,Joe Partington,07/08,England,989,Bournemouth 
"Jul 1, 2006",,Free transfer,England,6939,Portsmouth U18 ,67003,-,Joe Partington,06/07,England,14648,Bournemouth U18 
"Jul 1, 2015",,Free transfer,England,1088,Rochdale AFC ,67451,300 Th. €,Febian Brandy,15/16,,75,Unknown 
"Jan 12, 2015",,Free transfer,England,1194,Rotherham ,67451,350 Th. €,Febian Brandy,14/15,England,1088,Rochdale AFC 
"Nov 23, 2014",,End of loan,England,1042,Crewe Alexandra ,67451,350 Th. €,Febian Brandy,14/15,England,1194,Rotherham 
"Sep 18, 2014",,Loan,England,1194,Rotherham ,67451,750 Th. €,Febian Brandy,14/15,England,1042,Crewe Alexandra 
"Jul 1, 2014",,Free transfer,England,350,Sheffield Utd. ,67451,750 Th. €,Febian Brandy,14/15,England,1194,Rotherham 
"May 31, 2014",,End of loan,England,899,Walsall FC ,67451,750 Th. €,Febian Brandy,13/14,England,350,Sheffield Utd. 
"Jan 14, 2014",,Loan,England,350,Sheffield Utd. ,67451,750 Th. €,Febian Brandy,13/14,England,899,Walsall FC 
"Jul 1, 2013",,Free transfer,England,899,Walsall FC ,67451,750 Th. €,Febian Brandy,13/14,England,350,Sheffield Utd. 
"Jul 26, 2012",,Free transfer,Greece,6418,Panetolikos ,67451,750 Th. €,Febian Brandy,12/13,England,899,Walsall FC 
"Jan 14, 2012",,-,Greece,515,Unattached ,67451,750 Th. €,Febian Brandy,11/12,,6418,Panetolikos 
"Jul 1, 2011",,-,England,1045,Notts County ,67451,750 Th. €,Febian Brandy,11/12,,515,Unattached 
"Feb 28, 2011",,-,England,515,Unattached ,67451,750 Th. €,Febian Brandy,10/11,,1045,Notts County 
"Jul 1, 2010",,-,England,985,Manchester Utd. ,67451,750 Th. €,Febian Brandy,10/11,,515,Unattached 
"Feb 4, 2010",,End of loan,England,2814,Gillingham FC ,67451,750 Th. €,Febian Brandy,09/10,England,985,Manchester Utd. 
"Nov 4, 2009",,Loan,England,985,Manchester Utd. ,67451,750 Th. €,Febian Brandy,09/10,England,2814,Gillingham FC 
"May 31, 2009",,End of loan,England,3064,Hereford Utd. ,67451,750 Th. €,Febian Brandy,08/09,England,985,Manchester Utd. 
"Feb 2, 2009",,Loan,England,985,Manchester Utd. ,67451,750 Th. €,Febian Brandy,08/09,England,3064,Hereford Utd. 
"Jan 12, 2009",,End of loan,England,2288,Swansea ,67451,750 Th. €,Febian Brandy,08/09,England,985,Manchester Utd. 
"Jul 22, 2008",,Loan,England,985,Manchester Utd. ,67451,50 Th. €,Febian Brandy,08/09,England,2288,Swansea 
"May 31, 2008",,End of loan,England,2288,Swansea ,67451,50 Th. €,Febian Brandy,07/08,England,985,Manchester Utd. 
"Jan 17, 2008",,Loan,England,985,Manchester Utd. ,67451,-,Febian Brandy,07/08,England,2288,Swansea 
"Jul 1, 2007",,-,England,5242,Man Utd U18 ,67451,-,Febian Brandy,07/08,England,985,Manchester Utd. 
"May 31, 2016",,End of loan,England,466,Preston NE ,68335,750 Th. €,Eoin Doyle,15/16,England,603,Cardiff 
"Sep 1, 2015",,Loan,England,603,Cardiff ,68335,750 Th. €,Eoin Doyle,15/16,England,466,Preston NE 
"Feb 2, 2015",,?,England,1219,Chesterfield FC ,68335,350 Th. €,Eoin Doyle,14/15,England,603,Cardiff 
"Jul 1, 2013",,Free transfer,Scotland,903,Hibernian FC ,68335,500 Th. €,Eoin Doyle,13/14,England,1219,Chesterfield FC 
"Jan 1, 2012",,Free transfer,Ireland,8780,Sligo Rovers ,68335,75 Th. €,Eoin Doyle,11/12,Scotland,903,Hibernian FC 
"Jul 1, 2009",,Free transfer,Ireland,3258,Shamrock Rovers ,68335,45 Th. €,Eoin Doyle,09/10,Ireland,8780,Sligo Rovers 
"Jan 1, 2008",,Free transfer,Ireland,9209,Crumlin United ,68335,-,Eoin Doyle,07/08,Ireland,3258,Shamrock Rovers 
"Jul 1, 2015",,-,Scotland,8916,Greenock U20 ,74860,300 Th. €,Michael Tidser,15/16,Scotland,3026,Morton 
"Jan 22, 2015",,Free transfer,England,1194,Rotherham ,74860,300 Th. €,Michael Tidser,14/15,Scotland,8916,Greenock U20 
"Jan 3, 2015",,End of loan,England,1078,Oldham Athletic ,74860,300 Th. €,Michael Tidser,14/15,England,1194,Rotherham 
"Sep 1, 2014",,Loan,England,1194,Rotherham ,74860,300 Th. €,Michael Tidser,14/15,England,1078,Oldham Athletic 
"May 31, 2014",,End of loan,Scotland,2759,Ross County ,74860,300 Th. €,Michael Tidser,13/14,England,1194,Rotherham 
"Jan 3, 2014",,Loan,England,1194,Rotherham ,74860,300 Th. €,Michael Tidser,13/14,Scotland,2759,Ross County 
"Jul 3, 2013",,59 Th. €,Scotland,3026,Morton ,74860,250 Th. €,Michael Tidser,13/14,England,1194,Rotherham 
"Jan 1, 2010",,?,Sweden,9614,Östersunds FK ,74860,-,Michael Tidser,09/10,Scotland,3026,Morton 
"Jul 1, 2009",,Free transfer,Scotland,8924,Celtic U20 ,74860,-,Michael Tidser,09/10,Sweden,9614,Östersunds FK 
"Jul 1, 2006",,-,Scotland,31025,Celtic Glasgow U17 ,74860,-,Michael Tidser,06/07,Scotland,8924,Celtic U20 
"Jun 30, 2016",,End of loan,Denmark,865,FC Midtjylland ,86863,"1,00 Mill. €",Nikolay Bodurov,15/16,England,931,Fulham FC 
"Feb 1, 2016",,Loan,England,931,Fulham FC ,86863,"1,00 Mill. €",Nikolay Bodurov,15/16,Denmark,865,FC Midtjylland 
"Aug 1, 2014",,"1,05 Mill. €",Bulgaria,271,Litex Lovetch ,86863,900 Th. €,Nikolay Bodurov,14/15,England,931,Fulham FC 
"Jul 1, 2009",,100 Th. €,Bulgaria,521,OFK Pirin ,86863,-,Nikolay Bodurov,09/10,Bulgaria,271,Litex Lovetch 
"Jul 1, 2004",,-,Bulgaria,20500,Pirin U19 ,86863,-,Nikolay Bodurov,04/05,Bulgaria,521,OFK Pirin 
"Jan 2, 2016",,End of loan,England,1194,Rotherham ,87789,500 Th. €,Anthony Andreu,15/16,England,1123,Norwich 
"Sep 1, 2015",,Loan,England,1123,Norwich ,87789,500 Th. €,Anthony Andreu,15/16,England,1194,Rotherham 
"Feb 2, 2015",,"1,33 Mill. €",Scotland,2999,Hamilton Acad. ,87789,350 Th. €,Anthony Andreu,14/15,England,1123,Norwich 
