date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 9, 2013",Free transfer,England,990,Coventry City ,9217,500 Th. €,Jordan Stewart,13/14,United States,218,Quakes 
"Mar 1, 2013",-,England,515,Unattached ,9217,500 Th. €,Jordan Stewart,12/13,,990,Coventry City 
"Jan 1, 2013",-,England,1045,Notts County ,9217,500 Th. €,Jordan Stewart,12/13,,515,Unattached 
"Oct 6, 2012",-,England,515,Unattached ,9217,500 Th. €,Jordan Stewart,12/13,,1045,Notts County 
"Jul 1, 2012",-,England,1028,Millwall ,9217,500 Th. €,Jordan Stewart,12/13,,515,Unattached 
"Jul 7, 2011",Free transfer,Greece,128,AO Xanthi ,9217,800 Th. €,Jordan Stewart,11/12,England,1028,Millwall 
"Jul 1, 2010",Free transfer,England,350,Sheffield Utd. ,9217,"1,50 Mill. €",Jordan Stewart,10/11,Greece,128,AO Xanthi 
"Sep 1, 2009",Swap deal,England,22,Derby ,9217,"1,50 Mill. €",Jordan Stewart,09/10,England,350,Sheffield Utd. 
"Jul 1, 2008",Free transfer,England,1010,Watford ,9217,650 Th. €,Jordan Stewart,08/09,England,22,Derby 
"Jul 1, 2005",150 Th. €,England,1003,Leicester ,9217,250 Th. €,Jordan Stewart,05/06,England,1010,Watford 
"May 1, 2000",End of loan,England,2455,Bristol Rovers ,9217,-,Jordan Stewart,99/00,England,1003,Leicester 
"Mar 1, 2000",Loan,England,1003,Leicester ,9217,-,Jordan Stewart,99/00,England,2455,Bristol Rovers 
"Jul 1, 1999",-,England,14389,Leicester U18 ,9217,-,Jordan Stewart,99/00,England,1003,Leicester 
"Jul 1, 2015",-,Greece,169,Panionios ,7682,-,Ariel Ibagaza,15/16,,123,End of career 
"Aug 20, 2014",Free transfer,Greece,683,Olympiacos ,7682,250 Th. €,Ariel Ibagaza,14/15,Greece,169,Panionios 
"Jul 1, 2010",Free transfer,Spain,1050,Villarreal CF ,7682,"4,00 Mill. €",Ariel Ibagaza,10/11,Greece,683,Olympiacos 
"Jul 1, 2008","2,00 Mill. €",Spain,237,RCD Mallorca ,7682,"4,80 Mill. €",Ariel Ibagaza,08/09,Spain,1050,Villarreal CF 
"Jul 1, 2006",Free transfer,Spain,13,Atlético Madrid ,7682,"7,50 Mill. €",Ariel Ibagaza,06/07,Spain,237,RCD Mallorca 
"Jul 1, 2003","5,00 Mill. €",Spain,237,RCD Mallorca ,7682,-,Ariel Ibagaza,03/04,Spain,13,Atlético Madrid 
"Jul 1, 1998",Free transfer,Argentina,333,CA Lanús ,7682,-,Ariel Ibagaza,98/99,Spain,237,RCD Mallorca 
"Jan 1, 1994",-,Argentina,15106,Lanus U20 ,7682,-,Ariel Ibagaza,93/94,Argentina,333,CA Lanús 
"Jul 1, 2012",Free transfer,South Africa,10680,Bidvest Wits FC ,110085,350 Th. €,Patrick Phungwayo,12/13,South Africa,2557,Orlando Pirates 
"Nov 1, 2010",End of loan,Greece,169,Panionios ,110085,350 Th. €,Patrick Phungwayo,10/11,South Africa,10680,Bidvest Wits FC 
"Aug 1, 2010",Loan,South Africa,10680,Bidvest Wits FC ,110085,175 Th. €,Patrick Phungwayo,10/11,Greece,169,Panionios 
"Jul 1, 2008",Free transfer,South Africa,32824,ASD Cape Town ,110085,-,Patrick Phungwayo,08/09,South Africa,10680,Bidvest Wits FC 
"Jun 30, 2016",End of loan,Germany,38,F. Düsseldorf ,136647,"1,00 Mill. €",Charalampos Mavrias,15/16,England,289,Sunderland 
"Jan 27, 2016",Loan,England,289,Sunderland ,136647,"1,50 Mill. €",Charalampos Mavrias,15/16,Germany,38,F. Düsseldorf 
"Jun 30, 2015",End of loan,Greece,265,Panathinaikos ,136647,"1,50 Mill. €",Charalampos Mavrias,14/15,England,289,Sunderland 
"Feb 2, 2015",Loan,England,289,Sunderland ,136647,"1,50 Mill. €",Charalampos Mavrias,14/15,Greece,265,Panathinaikos 
"Aug 22, 2013","3,00 Mill. €",Greece,265,Panathinaikos ,136647,"2,00 Mill. €",Charalampos Mavrias,13/14,England,289,Sunderland 
"Jul 1, 2010",-,Greece,6626,PAO U20 ,136647,-,Charalampos Mavrias,10/11,Greece,265,Panathinaikos 
"May 16, 2016",-,,515,Unattached ,13831,-,Marius Niculae,15/16,,123,End of career 
"Jul 1, 2015",-,Romania,312,Dinamo Bukarest ,13831,300 Th. €,Marius Niculae,15/16,,515,Unattached 
"Jan 1, 2015",-,Romania,515,Unattached ,13831,450 Th. €,Marius Niculae,14/15,,312,Dinamo Bukarest 
"Aug 22, 2014",-,Turkey,6630,Sanliurfaspor  ,13831,450 Th. €,Marius Niculae,14/15,,515,Unattached 
"Jul 27, 2014",Free transfer,Ukraine,6996,Goverla ,13831,650 Th. €,Marius Niculae,14/15,Turkey,6630,Sanliurfaspor  
"Sep 6, 2013",Free transfer,China,3182,SD Luneng ,13831,"1,25 Mill. €",Marius Niculae,13/14,Ukraine,6996,Goverla 
"Feb 19, 2013",500 Th. €,Romania,8174,FC Vaslui ,13831,"2,50 Mill. €",Marius Niculae,12/13,China,3182,SD Luneng 
"Jul 20, 2012",250 Th. €,Romania,312,Dinamo Bukarest ,13831,"2,10 Mill. €",Marius Niculae,12/13,Romania,8174,FC Vaslui 
"Jun 30, 2011",End of loan,Greece,3391,AO Kavala ,13831,"1,50 Mill. €",Marius Niculae,10/11,Romania,312,Dinamo Bukarest 
"Jan 1, 2011",Loan fee:50 Th. €,Romania,312,Dinamo Bukarest ,13831,"1,80 Mill. €",Marius Niculae,10/11,Greece,3391,AO Kavala 
"Jul 1, 2008",600 Th. €,Scotland,2451,Inverness Cal. ,13831,500 Th. €,Marius Niculae,08/09,Romania,312,Dinamo Bukarest 
"Jul 1, 2007",Free transfer,Germany,39,1.FSV Mainz 05 ,13831,"1,20 Mill. €",Marius Niculae,07/08,Scotland,2451,Inverness Cal. 
"Jul 1, 2006",Free transfer,Belgium,3057,Standard Liège ,13831,"1,80 Mill. €",Marius Niculae,06/07,Germany,39,1.FSV Mainz 05 
"Jul 1, 2005",Free transfer,Portugal,336,Sporting CP ,13831,"2,00 Mill. €",Marius Niculae,05/06,Belgium,3057,Standard Liège 
"Jul 1, 2001","5,30 Mill. €",Romania,312,Dinamo Bukarest ,13831,-,Marius Niculae,01/02,Portugal,336,Sporting CP 
"Jul 1, 1996",-,Romania,14279,Dinamo Bukarest U19 ,13831,-,Marius Niculae,96/97,Romania,312,Dinamo Bukarest 
"Jul 1, 2015",Free transfer,Greece,2672,APO Levadiakos ,76297,500 Th. €,Xavier Tomas,15/16,Israel,3785,M. Petah Tikva 
"Jul 11, 2014",Free transfer,France,3161,FC Tours ,76297,200 Th. €,Xavier Tomas,14/15,Greece,2672,APO Levadiakos 
"Aug 29, 2012",Free transfer,Greece,2672,APO Levadiakos ,76297,700 Th. €,Xavier Tomas,12/13,France,3161,FC Tours 
"Jul 1, 2011",Free transfer,Greece,4602,Olymp. Volos ,76297,800 Th. €,Xavier Tomas,11/12,Greece,2672,APO Levadiakos 
