date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2016",,Free transfer,Greece,3391.0,AO Kavala ,187914,150 Th. €,Athanasios Kanoulas,15/16,Greece,3392.0,Apollon 1926 
"Sep 10, 2014",,Free transfer,Greece,21725.0,Tyrnavos 2005 ,187914,150 Th. €,Athanasios Kanoulas,14/15,Greece,3391.0,AO Kavala 
"Jan 2, 2014",,Free transfer,Greece,653.0,OFI Kreta ,187914,150 Th. €,Athanasios Kanoulas,13/14,Greece,21725.0,Tyrnavos 2005 
"Jan 24, 2013",,Free transfer,Greece,605.0,Aris Saloniki ,187914,150 Th. €,Athanasios Kanoulas,12/13,Greece,653.0,OFI Kreta 
"Jul 1, 2011",,Free transfer,Greece,24773.0,Epanomi ,187914,-,Athanasios Kanoulas,11/12,Greece,605.0,Aris Saloniki 
"Jul 1, 2008",,-,Greece,26218.0,Epanomi U20 ,187914,-,Athanasios Kanoulas,08/09,Greece,24773.0,Epanomi 
"Jan 1, 2016",,Free transfer,Greece,35433.0,Kampaniakos ,187915,150 Th. €,Panagiotis Petrousis,15/16,Greece,37043.0,Krya Vrysi 
"Jul 1, 2015",,-,Greece,515.0,Unattached ,187915,150 Th. €,Panagiotis Petrousis,15/16,,35433.0,Kampaniakos 
"Nov 20, 2014",,-,Greece,2726.0,Paniliakos ,187915,150 Th. €,Panagiotis Petrousis,14/15,,515.0,Unattached 
"Aug 27, 2014",,Free transfer,Greece,29962.0,Psachna ,187915,150 Th. €,Panagiotis Petrousis,14/15,Greece,2726.0,Paniliakos 
"Jan 30, 2014",,-,Greece,515.0,Unattached ,187915,150 Th. €,Panagiotis Petrousis,13/14,,29962.0,Psachna 
"Jul 1, 2013",,-,Greece,5219.0,AOK Kerkyra ,187915,150 Th. €,Panagiotis Petrousis,13/14,,515.0,Unattached 
"Jul 17, 2012",,Free transfer,Greece,6676.0,Ast. Tripolis ,187915,100 Th. €,Panagiotis Petrousis,12/13,Greece,5219.0,AO Kerkyra 
"Jul 1, 2011",,-,Greece,14779.0,A. Tripolis U20 ,187915,-,Panagiotis Petrousis,11/12,Greece,6676.0,Ast. Tripolis 
"Jan 1, 2011",,Free transfer,Greece,7632.0,AEK Athens U20 ,187915,-,Panagiotis Petrousis,10/11,Greece,14779.0,A. Tripolis U20 
"Aug 27, 2015",,Free transfer,France,273.0,Rennes ,5648,500 Th. €,Jean II Makoun,15/16,Turkey,589.0,Antalyaspor 
"Jul 1, 2013",,"3,00 Mill. €",England,405.0,Aston Villa ,5648,"4,50 Mill. €",Jean II Makoun,13/14,France,273.0,Rennes 
"Jun 30, 2013",,End of loan,France,273.0,Rennes ,5648,"4,50 Mill. €",Jean II Makoun,12/13,England,405.0,Aston Villa 
"Aug 24, 2012",,Loan,England,405.0,Aston Villa ,5648,"5,00 Mill. €",Jean II Makoun,12/13,France,273.0,Rennes 
"Jun 30, 2012",,End of loan,Greece,683.0,Olympiacos ,5648,"6,00 Mill. €",Jean II Makoun,11/12,England,405.0,Aston Villa 
"Aug 28, 2011",,"Loan fee:1,55 Mill. €",England,405.0,Aston Villa ,5648,"7,00 Mill. €",Jean II Makoun,11/12,Greece,683.0,Olympiacos 
"Jan 15, 2011",,"6,20 Mill. €",France,1041.0,Olympique Lyon ,5648,"7,50 Mill. €",Jean II Makoun,10/11,England,405.0,Aston Villa 
"Jul 1, 2008",,"14,00 Mill. €",France,1082.0,LOSC Lille ,5648,"12,50 Mill. €",Jean II Makoun,08/09,France,1041.0,Olympique Lyon 
"Jul 1, 2002",,-,France,12765.0,LOSC Lille B ,5648,-,Jean II Makoun,02/03,France,1082.0,LOSC Lille 
"Jul 1, 2015",,Free transfer,Spain,16795.0,Granada CF ,67089,600 Th. €,Cala,15/16,Spain,3709.0,Getafe CF 
"Jan 14, 2015",,Free transfer,England,603.0,Cardiff ,67089,"1,00 Mill. €",Cala,14/15,Spain,16795.0,Granada CF 
"Feb 1, 2014",,350 Th. €,Spain,368.0,Sevilla FC ,67089,"1,00 Mill. €",Cala,13/14,England,603.0,Cardiff 
"Dec 31, 2011",,End of loan,Greece,2441.0,AEK FC ,67089,"1,50 Mill. €",Cala,11/12,Spain,368.0,Sevilla FC 
"Jul 1, 2011",,Loan,Spain,368.0,Sevilla FC ,67089,"1,50 Mill. €",Cala,11/12,Greece,2441.0,AEK FC 
"Jun 30, 2011",,End of loan,Spain,7077.0,FC Cartagena ,67089,"1,50 Mill. €",Cala,10/11,Spain,368.0,Sevilla FC 
"Aug 1, 2010",,Loan,Spain,368.0,Sevilla FC ,67089,"1,00 Mill. €",Cala,10/11,Spain,7077.0,FC Cartagena 
"Jul 1, 2008",,-,Spain,8519.0,Sevilla Atl. ,67089,100 Th. €,Cala,08/09,Spain,368.0,Sevilla FC 
"Mar 1, 2008",,-,Spain,12319.0,Sevilla FC C ,67089,-,Cala,07/08,Spain,8519.0,Sevilla Atl. 
"Aug 31, 2014",,Free transfer,Greece,6461.0,PAO Rouf ,197891,-,Konstantinos Klis,14/15,Greece,7060.0,Agia Paraskevi 
"Jan 1, 2014",,Free transfer,Greece,2984.0,Egaleo AO ,197891,-,Konstantinos Klis,13/14,Greece,6461.0,PAO Rouf 
"Jan 29, 2013",,Free transfer,Greece,169.0,Panionios ,197891,100 Th. €,Konstantinos Klis,12/13,Greece,2984.0,Egaleo AO 
"Jul 1, 2011",,-,Greece,8476.0,Panionios U20 ,197891,-,Konstantinos Klis,11/12,Greece,169.0,Panionios 
"Jul 1, 2015",,Free transfer,Cyprus,786.0,AEL Limassol ,65044,250 Th. €,Karim Fegrouch,15/16,Morocco,9099.0,FAR Rabat 
"Jul 1, 2013",,Free transfer,Greece,2671.0,PAS Giannina ,65044,600 Th. €,Karim Fegrouch,13/14,Cyprus,786.0,AEL Limassol 
"Jul 1, 2011",,180 Th. €,Morocco,6603.0,Wydad AC ,65044,200 Th. €,Karim Fegrouch,11/12,Greece,2671.0,PAS Giannina 
"Jul 1, 2007",,Free transfer,Morocco,3282.0,MAS Fes ,65044,-,Karim Fegrouch,07/08,Morocco,6603.0,Wydad AC 
"Dec 9, 2015",,-,Spain,515.0,Unattached ,73244,"1,00 Mill. €",José Carlos,15/16,,26132.0,UE Llagostera 
"Nov 14, 2014",,-,Spain,993.0,Córdoba CF ,73244,"1,00 Mill. €",José Carlos,14/15,,515.0,Unattached 
"Jul 12, 2014",,Free transfer,Spain,367.0,Rayo Vallecano ,73244,"1,50 Mill. €",José Carlos,14/15,Spain,993.0,Córdoba CF 
"Jul 1, 2012",,Free transfer,Greece,2441.0,AEK FC ,73244,"1,50 Mill. €",José Carlos,12/13,Spain,367.0,Rayo Vallecano 
"Jul 1, 2011",,Free transfer,Spain,368.0,Sevilla FC ,73244,"1,00 Mill. €",José Carlos,11/12,Greece,2441.0,AEK FC 
