date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2009",Free transfer,Denmark,362,Akademisk BK ,10241,150 Th. €,Ola Tidman,08/09,Sweden,3903,Bunkeflo 
"Oct 1, 2008",Free transfer,Norway,421,Kongsvinger ,10241,125 Th. €,Ola Tidman,08/09,Denmark,362,Akademisk BK 
"Feb 1, 2008",?,Ireland,920,Derry City ,10241,125 Th. €,Ola Tidman,07/08,Norway,421,Kongsvinger 
"Mar 1, 2007",Free transfer,Denmark,3578,Herning Fremad ,10241,125 Th. €,Ola Tidman,06/07,Northern Ireland,920,Derry City 
"Jan 1, 2007",Free transfer,Denmark,865,FC Midtjylland ,10241,125 Th. €,Ola Tidman,06/07,Denmark,3578,Herning Fremad 
"Jul 1, 2004",Free transfer,England,1035,Sheff Wed ,10241,-,Ola Tidman,04/05,Denmark,865,FC Midtjylland 
"Jul 1, 2003",?,England,1098,Stockport ,10241,-,Ola Tidman,03/04,England,1035,Sheff Wed 
"Jul 1, 2002",?,Belgium,2180,AA La Louviere ,10241,-,Ola Tidman,02/03,England,1098,Stockport 
"Jul 1, 2001",?,Belgium,157,KAA Gent ,10241,-,Ola Tidman,01/02,Belgium,2180,AA La Louviere 
"Jan 1, 2001",?,Sweden,496,Malmö FF ,10241,-,Ola Tidman,00/01,Belgium,157,KAA Gent 
"Jul 1, 1998",-,Sweden,7917,Malmö FF U19 ,10241,-,Ola Tidman,98/99,Sweden,496,Malmö FF 
"Jan 1, 2010",Free transfer,Northern Ireland,3471,Linfield ,43927,100 Th. €,Kevin McHugh,09/10,Ireland,5568,Finn Harps 
"Jan 1, 2009",25 Th. €,Ireland,920,Derry City ,43927,100 Th. €,Kevin McHugh,08/09,Northern Ireland,3471,Linfield 
"Jul 1, 2006",?,Ireland,5568,Finn Harps ,43927,-,Kevin McHugh,06/07,Northern Ireland,920,Derry City 
"Jul 1, 1998",-,Ireland,32533,Finn Harps U20 ,43927,-,Kevin McHugh,98/99,Ireland,5568,Finn Harps 
"Dec 1, 2010",-,England,972,Yeovil Town ,4099,125 Th. €,Ben Roberts,10/11,,123,End of career 
"Jul 1, 2009",-,England,123,End of career ,4099,350 Th. €,Ben Roberts,09/10,,972,Yeovil Town 
"Apr 1, 2008",-,Ireland,920,Derry City ,4099,350 Th. €,Ben Roberts,07/08,,123,End of career 
"Jul 1, 2005",Free transfer,England,1237,Brighton ,4099,350 Th. €,Ben Roberts,05/06,Northern Ireland,920,Derry City 
"Jul 1, 2003",Free transfer,England,358,Charlton ,4099,-,Ben Roberts,03/04,England,1237,Brighton 
"Feb 1, 2003",End of loan,England,1237,Brighton ,4099,-,Ben Roberts,02/03,England,358,Charlton 
"Jan 1, 2003",Loan,England,358,Charlton ,4099,-,Ben Roberts,02/03,England,1237,Brighton 
"Nov 1, 2002",End of loan,England,1031,Luton Town ,4099,-,Ben Roberts,02/03,England,358,Charlton 
"Aug 1, 2002",Loan,England,358,Charlton ,4099,-,Ben Roberts,02/03,England,1031,Luton Town 
"Feb 1, 2002",End of loan,England,1032,Reading ,4099,-,Ben Roberts,01/02,England,358,Charlton 
"Jan 1, 2002",Loan,England,358,Charlton ,4099,-,Ben Roberts,01/02,England,1032,Reading 
"Jul 1, 2000",Free transfer,England,641,Middlesbrough ,4099,-,Ben Roberts,00/01,England,358,Charlton 
"Mar 1, 2000",End of loan,England,1031,Luton Town ,4099,-,Ben Roberts,99/00,England,641,Middlesbrough 
"Feb 1, 2000",Loan,England,641,Middlesbrough ,4099,-,Ben Roberts,99/00,England,1031,Luton Town 
"May 1, 1999",End of loan,England,1028,Millwall ,4099,-,Ben Roberts,98/99,England,641,Middlesbrough 
"Feb 1, 1999",Loan,England,641,Middlesbrough ,4099,-,Ben Roberts,98/99,England,1028,Millwall 
"Sep 1, 1996",End of loan,England,1027,Bradford City ,4099,-,Ben Roberts,96/97,England,641,Middlesbrough 
"Aug 1, 1996",Loan,England,641,Middlesbrough ,4099,-,Ben Roberts,96/97,England,1027,Bradford City 
"Dec 31, 1995",End of loan,England,2805,Wycombe ,4099,-,Ben Roberts,95/96,England,641,Middlesbrough 
"Dec 1, 1995",Loan,England,641,Middlesbrough ,4099,-,Ben Roberts,95/96,England,2805,Wycombe 
"Nov 1, 1995",End of loan,England,2577,Hartlepool Utd. ,4099,-,Ben Roberts,95/96,England,641,Middlesbrough 
"Oct 1, 1995",Loan,England,641,Middlesbrough ,4099,-,Ben Roberts,95/96,England,2577,Hartlepool Utd. 
"Jul 1, 1992",-,England,6924,FC Middlesbrough U18 ,4099,-,Ben Roberts,92/93,England,641,Middlesbrough 
"Jul 1, 2010",Free transfer,Northern Ireland,21515,Dungannon ,43910,-,Gary Beckett,10/11,,75,Unknown 
"Jan 1, 2009",?,Ireland,5568,Finn Harps ,43910,-,Gary Beckett,08/09,Northern Ireland,21515,Dungannon 
"Jul 1, 2007",?,Northern Ireland,920,Derry City ,43910,-,Gary Beckett,07/08,Ireland,5568,Finn Harps 
"Jan 1, 2012",Free transfer,Ireland,8780,Sligo Rovers ,29874,150 Th. €,Brendan Clarke,11/12,Ireland,1189,St. Patricks 
"Jan 1, 2011",Free transfer,Ireland,18232,Sporting Fingal ,29874,50 Th. €,Brendan Clarke,10/11,Ireland,8780,Sligo Rovers 
"Jan 1, 2010",Free transfer,Ireland,1189,St. Patricks ,29874,-,Brendan Clarke,09/10,Ireland,18232,Sporting Fingal 
"Dec 31, 2008",End of loan,Ireland,18232,Sporting Fingal ,29874,-,Brendan Clarke,08/09,Ireland,1189,St. Patricks 
"Jul 1, 2008",Loan,Ireland,1189,St. Patricks ,29874,-,Brendan Clarke,08/09,Ireland,18232,Sporting Fingal 
"Jul 1, 2002",?,Ireland,6142,Cherry Orchard FC ,29874,-,Brendan Clarke,02/03,Ireland,1189,St. Patricks 
"Jan 1, 2014",-,Ireland,920,Derry City ,43912,75 Th. €,Kevin Deery,13/14,,515,Unattached 
"Jul 1, 2001",-,Northern Ireland,15246,Derry City U20 ,43912,-,Kevin Deery,01/02,Northern Ireland,920,Derry City 
"Jan 1, 2009",Free transfer,Ireland,920,Derry City ,43913,100 Th. €,Clive Delaney,08/09,,75,Unknown 
"Jan 1, 2008",?,Ireland,3930,Bray Wanderers ,43913,-,Clive Delaney,07/08,Ireland,920,Derry City 
"Jan 1, 2007",Free transfer,Northern Ireland,920,Derry City ,43913,-,Clive Delaney,06/07,Ireland,3930,Bray Wanderers 
"Jul 1, 2004",?,Ireland,1189,St. Patricks ,43913,-,Clive Delaney,04/05,Northern Ireland,920,Derry City 
"Jan 1, 2010",Free transfer,Ireland,4287,Longford Town ,3607,200 Th. €,Michael Foley-Sheridan,09/10,,75,Unknown 
"Jul 1, 2009",Free transfer,Ireland,4277,Drogheda United ,3607,200 Th. €,Michael Foley-Sheridan,09/10,Ireland,4287,Longford Town 
"Jan 1, 2009",Free transfer,Ireland,7609,Waterford Utd. ,3607,200 Th. €,Michael Foley-Sheridan,08/09,Ireland,4277,Drogheda United 
"Jul 1, 2007",Free transfer,Ireland,1189,St. Patricks ,3607,200 Th. €,Michael Foley-Sheridan,07/08,Ireland,7609,Waterford Utd. 
"Jul 1, 2004",Free transfer,England,31,Liverpool ,3607,-,Michael Foley-Sheridan,04/05,Ireland,1189,St. Patricks 
"Jul 1, 2002",-,England,6922,Liverpool U18 ,3607,-,Michael Foley-Sheridan,02/03,England,31,Liverpool 
"Jan 1, 2014",-,Ireland,9211,Bohemians ,24588,150 Th. €,Owen Heary,13/14,,123,End of career 
"Jul 1, 2006",Free transfer,Ireland,3909,Shelbourne ,24588,-,Owen Heary,06/07,Ireland,9211,Bohemians 
"Jul 1, 1998",Free transfer,Ireland,15288,Home Farm ,24588,-,Owen Heary,98/99,Ireland,3909,Shelbourne 
"Jan 22, 2015",Free transfer,Ireland,6066,Dundalk FC ,43917,100 Th. €,Ruaidhri Higgins,14/15,Northern Ireland,3831,Coleraine 
"Jan 14, 2014",Free transfer,Ireland,920,Derry City ,43917,100 Th. €,Ruaidhri Higgins,13/14,Ireland,6066,Dundalk FC 
"Jan 1, 2011",Free transfer,Ireland,9211,Bohemians ,43917,100 Th. €,Ruaidhri Higgins,10/11,Ireland,920,Derry City 
"Jan 1, 2010",Free transfer,Ireland,920,Derry City ,43917,100 Th. €,Ruaidhri Higgins,09/10,Ireland,9211,Bohemians 
"Jul 1, 2004",?,England,990,Coventry City ,43917,-,Ruaidhri Higgins,04/05,Northern Ireland,920,Derry City 
"Jan 1, 2015",-,Ireland,4287,Longford Town ,16015,50 Th. €,Peter Hynes,14/15,,515,Unattached 
"Jan 1, 2014",Free transfer,Ireland,4277,Drogheda United ,16015,50 Th. €,Peter Hynes,13/14,Ireland,4287,Longford Town 
"Jan 1, 2012",Free transfer,Ireland,4286,Limerick FC ,16015,50 Th. €,Peter Hynes,11/12,Ireland,4277,Drogheda United 
"Jan 1, 2011",Free transfer,Ireland,4287,Longford Town ,16015,50 Th. €,Peter Hynes,10/11,Ireland,4286,Limerick FC 
"Jan 1, 2010",Free transfer,Ireland,3909,Shelbourne ,16015,50 Th. €,Peter Hynes,09/10,Ireland,4287,Longford Town 
"Jan 1, 2009",Free transfer,Ireland,18232,Sporting Fingal ,16015,50 Th. €,Peter Hynes,08/09,Ireland,3909,Shelbourne 
