date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2008",,Free transfer,Switzerland,2047.0,AC Bellinzona ,61441,100 Th. €,Alessio Ferrazza,08/09,,75.0,Unknown 
"Jul 1, 2007",,?,Italy,9352.0,Rieti ,61441,-,Alessio Ferrazza,07/08,Switzerland,2047.0,AC Bellinzona 
"Jun 30, 2016",,End of loan,Spain,368.0,Sevilla FC ,36356,"2,00 Mill. €",Marco Andreolli,15/16,Italy,46.0,Inter 
"Aug 31, 2015",,"Loan fee:1,00 Mill. €",Italy,46.0,Inter ,36356,"2,50 Mill. €",Marco Andreolli,15/16,Spain,368.0,Sevilla FC 
"Jul 1, 2013",,Free transfer,Italy,862.0,Chievo Verona ,36356,"4,20 Mill. €",Marco Andreolli,13/14,Italy,46.0,Inter 
"Aug 1, 2010",,800 Th. €,Italy,12.0,AS Roma ,36356,"2,50 Mill. €",Marco Andreolli,10/11,Italy,862.0,Chievo Verona 
"Jun 30, 2009",,End of loan,Italy,6574.0,Sassuolo ,36356,"2,00 Mill. €",Marco Andreolli,08/09,Italy,12.0,AS Roma 
"Sep 1, 2008",,Loan,Italy,12.0,AS Roma ,36356,950 Th. €,Marco Andreolli,08/09,Italy,6574.0,Sassuolo 
"Jun 30, 2008",,End of loan,Italy,2655.0,Vicenza ,36356,950 Th. €,Marco Andreolli,07/08,Italy,12.0,AS Roma 
"Jan 1, 2008",,Loan,Italy,12.0,AS Roma ,36356,950 Th. €,Marco Andreolli,07/08,Italy,2655.0,Vicenza 
"Jul 1, 2007",,"5,50 Mill. €",Italy,46.0,Inter ,36356,950 Th. €,Marco Andreolli,07/08,Italy,12.0,AS Roma 
"Jul 1, 2005",,-,Italy,5380.0,Inter ,36356,-,Marco Andreolli,05/06,Italy,46.0,Inter 
"Jul 1, 2003",,400 Th. €,Italy,15099.0,Padova U19 ,36356,-,Marco Andreolli,03/04,Italy,5380.0,Inter 
"Aug 1, 2008",,"13,00 Mill. €",Spain,897.0,Dep. La Coruña ,6150,"10,00 Mill. €",Fabricio Coloccini,08/09,England,762.0,Newcastle 
"Jan 31, 2005",,"5,00 Mill. €",Italy,5.0,AC Milan ,6150,"8,00 Mill. €",Fabricio Coloccini,04/05,Spain,897.0,Dep. La Coruña 
"Jun 30, 2004",,End of loan,Spain,1050.0,Villarreal CF ,6150,-,Fabricio Coloccini,03/04,Italy,5.0,Milan 
"Jul 1, 2003",,Loan fee:250 Th. €,Italy,5.0,Milan ,6150,-,Fabricio Coloccini,03/04,Spain,1050.0,Villarreal CF 
"Jun 30, 2003",,End of loan,Spain,13.0,Atlético Madrid ,6150,-,Fabricio Coloccini,02/03,Italy,5.0,Milan 
"Jul 1, 2002",,Loan fee:100 Th. €,Italy,5.0,Milan ,6150,-,Fabricio Coloccini,02/03,Spain,13.0,Atlético Madrid 
"Jun 30, 2002",,End of loan,Spain,1108.0,Alavés ,6150,-,Fabricio Coloccini,01/02,Italy,5.0,Milan 
