date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2014",,-,Kazakhstan,39066.0,Vostok II ,265690,-,Kirill Tarkhov,13/14,Kazakhstan,16780.0,Vostok Oskemen 
"Feb 1, 2015",,Free transfer,Kazakhstan,10482.0,Kairat Almaty ,295767,50 Th. €,Aslan Orazayev,14/15,Kazakhstan,38639.0,CSKA Almaty 
"Jan 1, 2014",,-,Kazakhstan,38616.0,Kairat II ,295767,-,Aslan Orazayev,13/14,Kazakhstan,10482.0,Kairat Almaty 
"Feb 3, 2016",,?,Portugal,515.0,Unattached ,95244,300 Th. €,Manuel Curto,15/16,,5227.0,Atlético 
"Jul 1, 2015",,-,Belgium,204.0,Lierse SK ,95244,300 Th. €,Manuel Curto,15/16,,515.0,Unattached 
"Jul 22, 2014",,Free transfer,Poland,168.0,Zaglebie Lubin ,95244,800 Th. €,Manuel Curto,14/15,Belgium,204.0,Lierse SK 
"Jan 13, 2014",,-,Poland,515.0,Unattached ,95244,800 Th. €,Manuel Curto,13/14,,168.0,Zaglebie Lubin 
"Jul 1, 2013",,-,Kazakhstan,22994.0,Taraz ,95244,800 Th. €,Manuel Curto,13/14,,515.0,Unattached 
"Jan 22, 2013",,-,Kazakhstan,515.0,Unattached ,95244,800 Th. €,Manuel Curto,12/13,,22994.0,Taraz 
"Jul 1, 2012",,-,Portugal,2639.0,Leiria ,95244,800 Th. €,Manuel Curto,12/13,,515.0,Unattached 
"Jul 1, 2011",,Free transfer,Portugal,4814.0,Naval ,95244,150 Th. €,Manuel Curto,11/12,Portugal,2639.0,Leiria 
"Jul 1, 2010",,Free transfer,Portugal,1465.0,Estoril ,95244,150 Th. €,Manuel Curto,10/11,Portugal,4814.0,Naval 
"Aug 1, 2008",,?,Portugal,12852.0,Rio Maior ,95244,-,Manuel Curto,08/09,Portugal,1465.0,Estoril 
"Jan 1, 2008",,?,Portugal,6986.0,Pinhalnovense ,95244,-,Manuel Curto,07/08,Portugal,12852.0,Rio Maior 
"Jul 1, 2007",,?,Portugal,2432.0,Torreense ,95244,-,Manuel Curto,07/08,Portugal,6986.0,Pinhalnovense 
"Jul 1, 2006",,?,Portugal,2431.0,Estrela Amadora ,95244,-,Manuel Curto,06/07,Portugal,2432.0,Torreense 
"Jul 1, 2005",,?,Portugal,10330.0,Benfica B ,95244,-,Manuel Curto,05/06,Portugal,2431.0,Estrela Amadora 
"Jan 1, 2004",,-,Portugal,8889.0,Benfica U19 ,95244,-,Manuel Curto,03/04,Portugal,10330.0,Benfica B 
