date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Feb 26, 2016",,?,Indonesia,28329.0,Sriwijaya FC ,25600,150 Th. €,Goran Ljubojevic,15/16,Croatia,11278.0,NK Vinogradar 
"Feb 9, 2015",,?,Singapore,24991.0,Balest. Khalsa ,25600,150 Th. €,Goran Ljubojevic,14/15,Indonesia,28329.0,Sriwijaya FC 
"Jan 30, 2014",,?,Croatia,327.0,NK Osijek ,25600,150 Th. €,Goran Ljubojevic,13/14,Singapore,24991.0,Balest. Khalsa 
"Aug 19, 2013",,Free transfer,Iran,32502.0,Naft Tehran ,25600,150 Th. €,Goran Ljubojevic,13/14,Croatia,327.0,NK Osijek 
"Jul 1, 2012",,Free transfer,Romania,16650.0,FCM Targu Mures ,25600,300 Th. €,Goran Ljubojevic,12/13,Iran,32502.0,Naft Tehran 
"Feb 1, 2012",,?,Croatia,327.0,NK Osijek ,25600,400 Th. €,Goran Ljubojevic,11/12,Romania,16650.0,FCM Targu Mures 
"Feb 18, 2011",,Free transfer,Sweden,272.0,AIK Solna ,25600,400 Th. €,Goran Ljubojevic,10/11,Croatia,327.0,NK Osijek 
"Jul 1, 2010",,Free transfer,Croatia,5107.0,NK Zagreb ,25600,400 Th. €,Goran Ljubojevic,10/11,Sweden,272.0,AIK Solna 
"Jan 15, 2010",,-,Croatia,515.0,Unattached ,25600,800 Th. €,Goran Ljubojevic,09/10,,5107.0,NK Zagreb 
"Jul 1, 2009",,-,Belgium,1184.0,KRC Genk ,25600,800 Th. €,Goran Ljubojevic,09/10,,515.0,Unattached 
"Aug 1, 2006",,500 Th. €,Croatia,419.0,Dinamo Zagreb ,25600,700 Th. €,Goran Ljubojevic,06/07,Belgium,1184.0,KRC Genk 
"Jun 30, 2006",,End of loan,Switzerland,257.0,FC St. Gallen ,25600,700 Th. €,Goran Ljubojevic,05/06,Croatia,419.0,Dinamo Zagreb 
"Jan 31, 2006",,Loan,Croatia,419.0,Dinamo Zagreb ,25600,700 Th. €,Goran Ljubojevic,05/06,Switzerland,257.0,FC St. Gallen 
"Jul 1, 2004",,220 Th. €,Croatia,327.0,NK Osijek ,25600,-,Goran Ljubojevic,04/05,Croatia,419.0,Dinamo Zagreb 
"Jul 1, 2001",,-,Croatia,11036.0,NK Osijek U19 ,25600,-,Goran Ljubojevic,01/02,Croatia,327.0,NK Osijek 
"Aug 6, 2014",,?,Croatia,8892.0,Graficar V. ,27905,100 Th. €,Milan Pavlicic,14/15,Croatia,46488.0,NK Borac KV 
"Aug 23, 2013",,-,Croatia,515.0,Unattached ,27905,100 Th. €,Milan Pavlicic,13/14,,8892.0,Graficar V. 
"Jan 1, 2013",,-,Serbia,7567.0,Radnicki Nis ,27905,100 Th. €,Milan Pavlicic,12/13,,515.0,Unattached 
"Aug 1, 2012",,Free transfer,Croatia,327.0,NK Osijek ,27905,100 Th. €,Milan Pavlicic,12/13,Serbia,7567.0,Radnicki Nis 
"Aug 1, 2009",,Free transfer,Hungary,11107.0,Videoton FC ,27905,425 Th. €,Milan Pavlicic,09/10,Croatia,327.0,NK Osijek 
"Jul 1, 2008",,250 Th. €,Croatia,327.0,NK Osijek ,27905,500 Th. €,Milan Pavlicic,08/09,Hungary,11107.0,Videoton FC 
"Jun 30, 2007",,End of loan,Israel,1064.0,Maccabi Haifa ,27905,330 Th. €,Milan Pavlicic,06/07,Croatia,327.0,NK Osijek 
"Jul 1, 2006",,Loan,Croatia,327.0,NK Osijek ,27905,100 Th. €,Milan Pavlicic,06/07,Israel,1064.0,Maccabi Haifa 
"Jul 1, 2005",,?,Croatia,599.0,Varteks ,27905,100 Th. €,Milan Pavlicic,05/06,Croatia,327.0,NK Osijek 
"Jul 1, 2002",,?,Croatia,327.0,NK Osijek ,27905,-,Milan Pavlicic,02/03,Croatia,599.0,Varteks 
"Jun 30, 1999",,End of loan,Croatia,599.0,Varteks ,27905,-,Milan Pavlicic,98/99,Croatia,327.0,NK Osijek 
"Jul 1, 1998",,Loan,Croatia,327.0,NK Osijek ,27905,-,Milan Pavlicic,98/99,Croatia,599.0,Varteks 
"Jul 1, 2016",,Free transfer,Germany,41.0,Hamburger SV ,7427,750 Th. €,Ivica Olic,16/17,,75.0,Unknown 
"Jan 30, 2015",,"2,00 Mill. €",Germany,82.0,VfL Wolfsburg ,7427,"2,00 Mill. €",Ivica Olic,14/15,Germany,41.0,Hamburger SV 
"Jul 1, 2012",,Free transfer,Germany,27.0,Bayern Munich  ,7427,"3,50 Mill. €",Ivica Olic,12/13,Germany,82.0,VfL Wolfsburg 
"Jul 1, 2009",,Free transfer,Germany,41.0,Hamburger SV ,7427,"12,00 Mill. €",Ivica Olic,09/10,Germany,27.0,Bayern Munich  
"Jan 30, 2007",,"2,00 Mill. €",Russia,2410.0,CSKA Moscow ,7427,"5,25 Mill. €",Ivica Olic,06/07,Germany,41.0,Hamburger SV 
"Jul 1, 2003",,"5,00 Mill. €",Croatia,419.0,Dinamo Zagreb ,7427,-,Ivica Olic,03/04,Russia,2410.0,CSKA Moscow 
"Jul 1, 2002",,"1,00 Mill. €",Croatia,5107.0,NK Zagreb ,7427,-,Ivica Olic,02/03,Croatia,419.0,Dinamo Zagreb 
"Jul 1, 2001",,?,Croatia,2409.0,NK Marsonia ,7427,-,Ivica Olic,01/02,Croatia,5107.0,NK Zagreb 
"Jul 1, 2000",,650 Th. €,Germany,44.0,Hertha BSC ,7427,-,Ivica Olic,00/01,Croatia,2409.0,NK Marsonia 
"Jun 30, 2000",,End of loan,Croatia,2409.0,NK Marsonia ,7427,-,Ivica Olic,99/00,Germany,44.0,Hertha BSC 
"Jan 1, 2000",,Loan fee:100 Th. €,Germany,44.0,Hertha BSC ,7427,-,Ivica Olic,99/00,Croatia,2409.0,NK Marsonia 
"Oct 4, 1998",,250 Th. €,Croatia,2409.0,NK Marsonia ,7427,-,Ivica Olic,98/99,Germany,44.0,Hertha BSC 
"Jan 1, 1997",,-,Croatia,20143.0,Marsonia U19 ,7427,-,Ivica Olic,96/97,Croatia,2409.0,NK Marsonia 
"Jul 1, 2002",,-,Croatia,447.0,Hajduk Split ,103812,-,Igor Stimac,02/03,,123.0,End of career 
"Jul 1, 2001",,?,England,379.0,West Ham ,103812,-,Igor Stimac,01/02,Croatia,447.0,Hajduk Split 
"Jul 1, 1999",,700 Th. €,England,22.0,Derby ,103812,-,Igor Stimac,99/00,England,379.0,West Ham 
"Jul 1, 1995",,"1,70 Mill. €",Croatia,447.0,Hajduk Split ,103812,-,Igor Stimac,95/96,England,22.0,Derby 
"Jul 1, 1994",,?,Spain,2687.0,Cádiz CF ,103812,-,Igor Stimac,94/95,Croatia,447.0,Hajduk Split 
"Jul 1, 1992",,?,Croatia,447.0,Hajduk Split ,103812,-,Igor Stimac,92/93,Spain,2687.0,Cádiz CF 
"Jul 1, 2008",,Free transfer,Croatia,485.0,Hrv Dragovoljac ,27528,600 Th. €,Josip Balatinac,08/09,Croatia,19230.0,Belje  
"Jan 1, 2008",,-,Croatia,515.0,Unattached ,27528,600 Th. €,Josip Balatinac,07/08,,485.0,Hrv Dragovoljac 
"Feb 1, 2007",,-,Croatia,447.0,Hajduk Split ,27528,750 Th. €,Josip Balatinac,06/07,,515.0,Unattached 
"Jul 1, 2006",,Free transfer,Austria,935.0,FC Pasching ,27528,750 Th. €,Josip Balatinac,06/07,Croatia,447.0,Hajduk Split 
"Jan 1, 2006",,?,Croatia,327.0,NK Osijek ,27528,-,Josip Balatinac,05/06,Austria,935.0,FC Pasching 
"Jan 1, 2008",,-,Bosnia-Herzegovina,30278.0,NK Hajduk Orašje ,28553,-,Bakir Besirevic,07/08,,123.0,End of career 
"Jul 1, 2006",,Free transfer,Bosnia-Herzegovina,6088.0,HNK Orasje ,28553,-,Bakir Besirevic,06/07,Bosnia-Herzegovina,30278.0,NK Hajduk Orašje 
"Jul 1, 2009",,-,Germany,8.0,Alem. Aachen ,18442,300 Th. €,Hrvoje Vukovic,09/10,,123.0,End of career 
"Jul 1, 2007",,Free transfer,Germany,110.0,W. Burghausen ,18442,750 Th. €,Hrvoje Vukovic,07/08,Germany,8.0,Alem. Aachen 
"Jul 1, 2004",,Free transfer,Croatia,447.0,Hajduk Split ,18442,-,Hrvoje Vukovic,04/05,Germany,110.0,W. Burghausen 
"Jul 1, 1998",,-,Croatia,11032.0,Hajduk U19 ,18442,-,Hrvoje Vukovic,98/99,Croatia,447.0,Hajduk Split 
"Jul 1, 2011",,-,Croatia,25029.0,NK Sesvete ,37515,150 Th. €,Vladimir Petrovic,11/12,,123.0,End of career 
"Jul 1, 2009",,Free transfer,Slovenia,433.0,FC Koper ,37515,250 Th. €,Vladimir Petrovic,09/10,Croatia,25029.0,NK Sesvete 
"Jan 1, 2009",,?,Croatia,5111.0,Croatia Sesvete ,37515,250 Th. €,Vladimir Petrovic,08/09,Slovenia,433.0,FC Koper 
"Sep 1, 2006",,?,Austria,2394.0,SV Kapfenberg ,37515,50 Th. €,Vladimir Petrovic,06/07,Croatia,5111.0,Croatia Sesvete 
"Jan 1, 2006",,?,China,17276.0,HZ Greentown ,37515,-,Vladimir Petrovic,05/06,Austria,2394.0,SV Kapfenberg 
