date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 7, 2015",,Free transfer,Germany,24.0,E. Frankfurt ,2050,"1,50 Mill. €",Nelson Valdez,15/16,United States,9636.0,Sounders FC	 
"Jul 29, 2014",,Free transfer,United Arab Emirates,2524.0,Al-Jazira ,2050,"2,50 Mill. €",Nelson Valdez,14/15,Germany,24.0,E. Frankfurt 
"Jun 30, 2014",,End of loan,Greece,683.0,Olympiacos ,2050,"2,50 Mill. €",Nelson Valdez,13/14,United Arab Emirates,2524.0,Al-Jazira 
"Jan 30, 2014",,Loan,United Arab Emirates,2524.0,Al-Jazira ,2050,"3,00 Mill. €",Nelson Valdez,13/14,Greece,683.0,Olympiacos 
"Jul 17, 2013",,"3,00 Mill. €",Spain,1049.0,Valencia CF ,2050,"3,00 Mill. €",Nelson Valdez,13/14,United Arab Emirates,2524.0,Al-Jazira 
"Jul 1, 2013",,"3,00 Mill. €",Russia,2698.0,Rubin Kazan ,2050,"3,00 Mill. €",Nelson Valdez,13/14,Spain,1049.0,Valencia CF 
"Jun 30, 2013",,End of loan,Spain,1049.0,Valencia CF ,2050,"3,00 Mill. €",Nelson Valdez,12/13,Russia,2698.0,Rubin Kazan 
"Aug 14, 2012",,Loan,Russia,2698.0,Rubin Kazan ,2050,"5,00 Mill. €",Nelson Valdez,12/13,Spain,1049.0,Valencia CF 
"Aug 14, 2011",,"4,00 Mill. €",Spain,7971.0,Hércules CF ,2050,"5,00 Mill. €",Nelson Valdez,11/12,Russia,2698.0,Rubin Kazan 
"Aug 17, 2010",,"3,50 Mill. €",Germany,16.0,Bor. Dortmund ,2050,"4,00 Mill. €",Nelson Valdez,10/11,Spain,7971.0,Hércules CF 
"Jul 1, 2006",,"4,70 Mill. €",Germany,86.0,Werder Bremen ,2050,"5,00 Mill. €",Nelson Valdez,06/07,Germany,16.0,Bor. Dortmund 
"Jul 1, 2003",,-,Germany,87.0,W. Bremen II ,2050,-,Nelson Valdez,03/04,Germany,86.0,Werder Bremen 
"Dec 1, 2001",,830 Th. €,Paraguay,908.0,Atletico Tembetary ,2050,-,Nelson Valdez,01/02,Germany,87.0,W. Bremen II 
"Jul 1, 2015",,-,Germany,123.0,End of career ,3079,-,Sebastian Dürnagel,15/16,,16002.0,Würzburger K II 
"Jul 1, 2005",,-,Germany,565.0,Aschaffenburg ,3079,-,Sebastian Dürnagel,05/06,,123.0,End of career 
"Jul 1, 2004",,Free transfer,Germany,867.0,TSV Crailsheim ,3079,-,Sebastian Dürnagel,04/05,Germany,565.0,Aschaffenburg 
