date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",-,Germany,23,E. Braunschweig ,1944,250 Th. €,Deniz Dogan,15/16,Germany,1212,Braunschweig II 
"Jul 1, 2007",Free transfer,Germany,78,VfB Lübeck ,1944,250 Th. €,Deniz Dogan,07/08,Germany,23,E. Braunschweig 
"Jul 1, 2004",Free transfer,Germany,81,VfL Osnabrück ,1944,-,Deniz Dogan,04/05,Germany,78,VfB Lübeck 
"Jul 1, 2003",25 Th. €,Germany,389,Hamburger SV II ,1944,-,Deniz Dogan,03/04,Germany,81,VfL Osnabrück 
"Jul 1, 2001",Free transfer,Germany,913,Eichholzer SV ,1944,-,Deniz Dogan,01/02,Germany,389,Hamburger SV II 
"Jul 1, 1999",Free transfer,Germany,2773,Phönix Lübeck ,1944,-,Deniz Dogan,99/00,Germany,913,Eichholzer SV 
"Jul 1, 1998",-,Germany,23949,Phönix Lü. U19 ,1944,-,Deniz Dogan,98/99,Germany,2773,Phönix Lübeck 
"Jul 1, 2015",-,Germany,23,E. Braunschweig ,2386,-,Marjan Petkovic,15/16,,123,End of career 
"Jul 1, 2009",Free transfer,Germany,293,FSV Frankfurt ,2386,300 Th. €,Marjan Petkovic,09/10,Germany,23,E. Braunschweig 
"Jul 1, 2008",Free transfer,Germany,254,SV Sandhausen ,2386,300 Th. €,Marjan Petkovic,08/09,Germany,293,FSV Frankfurt 
"Jul 1, 2004",Free transfer,Germany,533,TSG Hoffenheim ,2386,-,Marjan Petkovic,04/05,Germany,254,SV Sandhausen 
"Jul 1, 2002",Free transfer,Germany,4788,Union Heilbronn ,2386,-,Marjan Petkovic,02/03,Germany,533,TSG Hoffenheim 
"Jul 1, 2000",Free transfer,Germany,24271,SG Kirchardt ,2386,-,Marjan Petkovic,00/01,Germany,4788,Union Heilbronn 
"Jan 6, 2016",Free transfer,Germany,65,Greuther Fürth ,3975,800 Th. €,Domi Kumbela,15/16,Germany,23,E. Braunschweig 
"Jul 1, 2015",Free transfer,Turkey,1506,Karabükspor ,3975,800 Th. €,Domi Kumbela,15/16,Germany,65,Greuther Fürth 
"Jul 2, 2014",Free transfer,Germany,23,E. Braunschweig ,3975,"1,50 Mill. €",Domi Kumbela,14/15,Turkey,1506,Karabükspor 
"Jan 7, 2010",Free transfer,Germany,50,Rot Weiss Ahlen ,3975,200 Th. €,Domi Kumbela,09/10,Germany,23,E. Braunschweig 
"Jul 9, 2009",Free transfer,Germany,127,SC Paderborn ,3975,350 Th. €,Domi Kumbela,09/10,Germany,50,Rot Weiss Ahlen 
"Jul 1, 2008",Free transfer,Germany,23,E. Braunschweig ,3975,250 Th. €,Domi Kumbela,08/09,Germany,127,SC Paderborn 
"Jan 31, 2008",50 Th. €,Germany,111,Rot-Weiß Erfurt ,3975,250 Th. €,Domi Kumbela,07/08,Germany,23,E. Braunschweig 
"Jan 31, 2006",-,Germany,515,Unattached ,3975,75 Th. €,Domi Kumbela,05/06,,111,Rot-Weiß Erfurt 
"Nov 11, 2005",-,Germany,151,K'lautern II ,3975,75 Th. €,Domi Kumbela,05/06,,515,Unattached 
"Jul 1, 2003",-,Germany,2371,K'lautern U19 ,3975,-,Domi Kumbela,03/04,Germany,151,K'lautern II 
"Jul 1, 2002",Free transfer,Germany,7826,Pirmasens U19 ,3975,-,Domi Kumbela,02/03,Germany,2371,K'lautern U19 
"Jul 1, 2007",Free transfer,Germany,389,Hamburger SV II ,16831,100 Th. €,Ken Reichel,07/08,Germany,23,E. Braunschweig 
"Jan 1, 2005",Free transfer,Germany,5609,SV Tasmania U19 ,16831,50 Th. €,Ken Reichel,04/05,Germany,389,Hamburger SV II 
"Jan 1, 2014",Free transfer,Norway,239,Viking ,24112,"1,00 Mill. €",Rune Jarstein,13/14,Germany,44,Hertha BSC 
"Mar 8, 2010",400 Th. €,Norway,195,Rosenborg BK ,24112,"1,00 Mill. €",Rune Jarstein,09/10,Norway,239,Viking 
"Jan 1, 2008","1,50 Mill. €",Norway,1058,Odd Grenland ,24112,"1,50 Mill. €",Rune Jarstein,07/08,Norway,195,Rosenborg BK 
"Jan 1, 2002",-,Norway,15686,Odds BK U19 ,24112,-,Rune Jarstein,01/02,Norway,1058,Odd Grenland 
"Jul 1, 2013",400 Th. €,Germany,94,Erzgebirge Aue ,34232,"1,50 Mill. €",Jan Hochscheidt,13/14,Germany,23,E. Braunschweig 
"Jul 1, 2008",Free transfer,Germany,847,E. Cottbus II ,34232,100 Th. €,Jan Hochscheidt,08/09,Germany,94,Erzgebirge Aue 
"Jul 1, 2006",-,Germany,2492,E. Cottbus U19 ,34232,-,Jan Hochscheidt,06/07,Germany,847,E. Cottbus II 
"Jul 1, 2004",Free transfer,Germany,21099,FC Union U17 ,34232,-,Jan Hochscheidt,04/05,Germany,2492,E. Cottbus U19 
"Jun 30, 2014",End of loan,Germany,42,Hannover 96 ,34527,"2,20 Mill. €",Frantisek Rajtoral,13/14,Czech Republic,941,Viktoria Plzen 
"Jan 30, 2014",Loan fee:150 Th. €,Czech Republic,941,Viktoria Plzen ,34527,"2,20 Mill. €",Frantisek Rajtoral,13/14,Germany,42,Hannover 96 
"Jul 1, 2009",?,Czech Republic,377,Banik Ostrava ,34527,600 Th. €,Frantisek Rajtoral,09/10,Czech Republic,941,Viktoria Plzen 
"Jul 1, 2005",?,Czech Republic,2598,1.FK Pribram ,34527,-,Frantisek Rajtoral,05/06,Czech Republic,377,Banik Ostrava 
"Nov 1, 2004",-,Czech Republic,18986,Pribram U19 ,34527,-,Frantisek Rajtoral,04/05,Czech Republic,2598,1.FK Pribram 
"Jul 1, 2003",-,Czech Republic,32695,Pribram U17 ,34527,-,Frantisek Rajtoral,03/04,Czech Republic,18986,Pribram U19 
"Jul 1, 2016",Free transfer,Germany,23,E. Braunschweig ,35405,350 Th. €,Marc Pfitzner,16/17,,75,Unknown 
"Jul 1, 2008",-,Germany,1212,Braunschweig II ,35405,150 Th. €,Marc Pfitzner,08/09,Germany,23,E. Braunschweig 
"Jul 1, 2005",Free transfer,Germany,5460,FT Braunschweig ,35405,-,Marc Pfitzner,05/06,Germany,1212,Braunschweig II 
"Jul 1, 2004",Free transfer,Germany,7222,SV Broitzem ,35405,-,Marc Pfitzner,04/05,Germany,5460,FT Braunschweig 
"Jul 1, 2003",-,Germany,27496,SV Broitzem U19 ,35405,-,Marc Pfitzner,03/04,Germany,7222,SV Broitzem 
"Jan 3, 2016",Free transfer,Germany,89,Union Berlin ,42787,200 Th. €,Bajram Nebihi,15/16,Germany,71,Stuttg. Kickers 
"Jul 1, 2014",Free transfer,Germany,167,FC Augsburg ,42787,100 Th. €,Bajram Nebihi,14/15,Germany,89,Union Berlin 
"Jul 1, 2013",-,Germany,5379,FC Augsburg II ,42787,100 Th. €,Bajram Nebihi,13/14,Germany,167,FC Augsburg 
"Aug 20, 2012",Free transfer,Germany,5683,TSV Landsberg ,42787,100 Th. €,Bajram Nebihi,12/13,Germany,5379,FC Augsburg II 
"Feb 8, 2012",Free transfer,Germany,1529,TSV Ampfing ,42787,100 Th. €,Bajram Nebihi,11/12,Germany,5683,TSV Landsberg 
"Sep 1, 2011",-,Germany,515,Unattached ,42787,100 Th. €,Bajram Nebihi,11/12,,1529,TSV Ampfing 
"Feb 1, 2011",-,Turkey,20,Bursaspor ,42787,100 Th. €,Bajram Nebihi,10/11,,515,Unattached 
"Dec 1, 2010",-,Turkey,515,Unattached ,42787,100 Th. €,Bajram Nebihi,10/11,,20,Bursaspor 
"Jul 1, 2010",-,Germany,110,W. Burghausen ,42787,100 Th. €,Bajram Nebihi,10/11,,515,Unattached 
"Jul 21, 2009",?,Iran,6081,Zob Ahan ,42787,100 Th. €,Bajram Nebihi,09/10,Germany,110,W. Burghausen 
"Aug 31, 2008",Free transfer,Germany,167,FC Augsburg ,42787,100 Th. €,Bajram Nebihi,08/09,Iran,6081,Zob Ahan 
"Jul 1, 2007",Free transfer,Germany,688,TSV Aindling ,42787,100 Th. €,Bajram Nebihi,07/08,Germany,167,FC Augsburg 
