date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2012",Free transfer,Luxembourg,13467,RFCU Luxembourg ,158723,-,Tiago Mendes,12/13,Luxembourg,1522,Avenir Beggen 
"Jul 1, 2010",-,Luxembourg,29601,RFCU Luxem. U17 ,158723,-,Tiago Mendes,10/11,Luxembourg,13467,RFCU Luxembourg 
"Jul 1, 2015",Free transfer,Luxembourg,2660,Vict. Rosport ,158726,75 Th. €,Ramiro Valente,15/16,Luxembourg,21274,US Mondorf 
"Jul 1, 2014",Free transfer,Luxembourg,28313,Sandweiler ,158726,-,Ramiro Valente,14/15,Luxembourg,2660,Vict. Rosport 
"Jul 1, 2011",Free transfer,Luxembourg,13467,RFCU Luxembourg ,158726,-,Ramiro Valente,11/12,Luxembourg,28313,Sandweiler 
"Jul 1, 2010",Free transfer,Luxembourg,20654,FC Cebra 01 ,158726,-,Ramiro Valente,10/11,Luxembourg,13467,RFCU Luxembourg 
"Jul 1, 2016",Free transfer,Luxembourg,1522,Avenir Beggen ,123911,25 Th. €,Bonny Kabuya Ntabala,16/17,Luxembourg,21454,FC Mamer 32 
"Jul 1, 2014",Free transfer,Luxembourg,21640,FC Atert Bissen ,123911,-,Bonny Kabuya Ntabala,14/15,Luxembourg,1522,Avenir Beggen 
"Jul 1, 2013",?,Luxembourg,21645,US Hostert ,123911,-,Bonny Kabuya Ntabala,13/14,Luxembourg,21640,FC Atert Bissen 
"Jul 1, 2012",Free transfer,Luxembourg,21642,Lintgen ,123911,-,Bonny Kabuya Ntabala,12/13,Luxembourg,21645,US Hostert 
"Jun 30, 2011",End of loan,Luxembourg,21465,Jeunesse Canach ,123911,-,Bonny Kabuya Ntabala,10/11,Luxembourg,21642,Lintgen 
"Jul 1, 2010",Loan,Luxembourg,21642,Lintgen ,123911,-,Bonny Kabuya Ntabala,10/11,Luxembourg,21465,Jeunesse Canach 
"Jul 1, 2004",-,Luxembourg,464,Own U19 ,123911,-,Bonny Kabuya Ntabala,04/05,,21642,Lintgen 
"Jul 1, 2012",Free transfer,Luxembourg,15154,Hamm Benfica ,184842,-,Maurice Flander,12/13,,75,Unknown 
"Jul 1, 2011",Free transfer,Luxembourg,9283,E. Ettelbrück ,168466,-,Maxime Biaudet,11/12,Belgium,10327,FC Bleid-Gaume 
"Jan 1, 2011",Free transfer,Belgium,1199,RE Virton ,168466,-,Maxime Biaudet,10/11,Luxembourg,9283,E. Ettelbrück 
"Jul 1, 2010",Free transfer,France,8179,FC Metz B ,168466,-,Maxime Biaudet,10/11,Belgium,1199,RE Virton 
"Jul 1, 2008",-,France,10849,FC Metz U19 ,168466,-,Maxime Biaudet,08/09,France,8179,FC Metz B 
"Jul 1, 2016",Free transfer,Luxembourg,11976,CS Fola Esch ,171034,100 Th. €,Kevin Lourenco,16/17,Luxembourg,21835,FC UNA Strassen 
"Jun 30, 2016",End of loan,Luxembourg,21835,FC UNA Strassen ,171034,100 Th. €,Kevin Lourenco,15/16,Luxembourg,11976,CS Fola Esch 
"Jul 1, 2014",Loan,Luxembourg,11976,CS Fola Esch ,171034,-,Kevin Lourenco,14/15,Luxembourg,21835,FC UNA Strassen 
"Jul 1, 2013",Free transfer,Luxembourg,21453,Kayl-Tétange ,171034,-,Kevin Lourenco,13/14,Luxembourg,11976,CS Fola Esch 
"Jul 1, 2011",Free transfer,Luxembourg,15154,Hamm Benfica ,171034,-,Kevin Lourenco,11/12,Luxembourg,21453,Kayl-Tétange 
"Jan 1, 2010",Free transfer,Luxembourg,20549,Jeun. Esch U19 ,171034,-,Kevin Lourenco,09/10,Luxembourg,15154,Hamm Benfica 
"Jul 1, 2009",Free transfer,Portugal,15559,Académica U19 ,171034,-,Kevin Lourenco,09/10,Luxembourg,20549,Jeun. Esch U19 
"Jul 1, 2007",Free transfer,Luxembourg,48836,Jeun. Esch Jgd. ,171034,-,Kevin Lourenco,07/08,Portugal,15559,Académica U19 
"Jul 1, 2016",?,Belgium,2715,Seraing United ,10267,200 Th. â‚¬,Jeffrey Rentmeister,16/17,Belgium,3789,KSK Hasselt 
"Oct 9, 2015",-,Belgium,515,Unattached ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,,2715,Seraing United 
"Sep 1, 2015",-,Belgium,6342,White Star ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,,515,Unattached 
"Jul 1, 2015",Free transfer,England,1181,Blackpool ,10267,200 Th. â‚¬,Jeffrey Rentmeister,15/16,Belgium,6342,White Star 
"Aug 12, 2014",?,Belgium,968,KVC Westerlo ,10267,200 Th. â‚¬,Jeffrey Rentmeister,14/15,England,1181,Blackpool 
