date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2010",,-,Malta,24985.0,Vittoriosa ,18564,400 Th. €,Maki,10/11,,123.0,End of career 
"Jul 1, 2009",,Free transfer,Indonesia,16145.0,Medan ,18564,400 Th. €,Maki,09/10,Malta,24985.0,Vittoriosa 
"Mar 1, 2008",,Free transfer,Scotland,3029.0,Gretna ,18564,400 Th. €,Maki,07/08,Indonesia,16145.0,Medan 
"Nov 1, 2007",,Free transfer,China,3187.0,TJ Teda ,18564,400 Th. €,Maki,07/08,Scotland,3029.0,Gretna 
"Jan 1, 2007",,375 Th. €,Turkey,5744.0,Sinopspor ,18564,400 Th. €,Maki,06/07,China,3187.0,TJ Teda 
"Jul 1, 2006",,Free transfer,Israel,119.0,M. Tel Aviv ,18564,400 Th. €,Maki,06/07,Turkey,5744.0,Sinopspor 
"May 1, 2006",,Free transfer,Cyprus,7475.0,AE Pafos  ,18564,400 Th. €,Maki,05/06,Israel,119.0,M. Tel Aviv 
"Jul 1, 2004",,Free transfer,Portugal,3349.0,Feirense ,18564,-,Maki,04/05,Cyprus,7475.0,AE Pafos  
"Jan 1, 2004",,Free transfer,Romania,455.0,Rapid Bucharest ,18564,-,Maki,03/04,Portugal,3349.0,Feirense 
"Jul 1, 2002",,Free transfer,Portugal,2424.0,Gil Vicente ,18564,-,Maki,02/03,Romania,455.0,Rapid Bucharest 
"Jul 1, 2001",,Free transfer,Portugal,1085.0,Vitória Setúbal ,18564,-,Maki,01/02,Portugal,2424.0,Gil Vicente 
"Jul 1, 1998",,Free transfer,Spain,367.0,Rayo Vallecano ,18564,-,Maki,98/99,Portugal,1085.0,Vitória Setúbal 
"Jul 1, 1997",,?,Nigeria,9791.0,Udoji United ,18564,-,Maki,97/98,Spain,367.0,Rayo Vallecano 
"Jul 1, 2014",,?,Scotland,16253.0,Broxburn FC ,36746,125 Th. €,Brian Fairbairn,14/15,,75.0,Unknown 
"Jul 1, 2013",,?,Scotland,8978.0,Bathgate ,36746,125 Th. €,Brian Fairbairn,13/14,Scotland,16253.0,Broxburn FC 
"Aug 1, 2011",,-,Malta,10604.0,Hibernians FC ,36746,125 Th. €,Brian Fairbairn,11/12,Scotland,8978.0,Bathgate 
"Jan 1, 2011",,Free transfer,Scotland,3027.0,Cowdenbeath FC ,36746,125 Th. €,Brian Fairbairn,10/11,Malta,10604.0,Hibernians FC 
"Jul 1, 2008",,?,England,2801.0,Berwick Rangers ,36746,-,Brian Fairbairn,08/09,Scotland,3027.0,Cowdenbeath FC 
"Jan 1, 2008",,?,Scotland,3020.0,Alloa AFC ,36746,-,Brian Fairbairn,07/08,England,2801.0,Berwick Rangers 
"Jul 1, 2007",,Free transfer,Scotland,2795.0,Raith Rovers ,36746,-,Brian Fairbairn,07/08,Scotland,3020.0,Alloa AFC 
"Jul 1, 2005",,Free transfer,Scotland,3024.0,East Fife ,36746,-,Brian Fairbairn,05/06,Scotland,2795.0,Raith Rovers 
"Jul 1, 2003",,Free transfer,Scotland,3029.0,Gretna ,36746,-,Brian Fairbairn,03/04,Scotland,3024.0,East Fife 
"Jan 6, 2003",,?,Scotland,3000.0,East Stirling ,36746,-,Brian Fairbairn,02/03,Scotland,3029.0,Gretna 
"Jul 1, 2002",,?,Scotland,1241.0,Livingston FC ,36746,-,Brian Fairbairn,02/03,Scotland,3000.0,East Stirling 
"Jul 1, 2000",,?,Scotland,31034.0,Livingston FC U17 ,36746,-,Brian Fairbairn,00/01,Scotland,1241.0,Livingston FC 
,,,,,,223519,,,,,,
"Jun 30, 2016",,End of loan,Malta,10262.0,Birkirkara FC ,130188,50 Th. €,Terence Vella,15/16,Malta,23653.0,QFC 
"Sep 1, 2015",,Loan,Malta,10262.0,Birkirkara FC ,130188,50 Th. €,Terence Vella,15/16,Malta,23653.0,QFC 
"Jun 30, 2015",,End of loan,Malta,32130.0,Naxxar Lions FC ,130188,75 Th. €,Terence Vella,14/15,Malta,10262.0,Birkirkara FC 
"Jul 17, 2014",,Loan,Malta,10262.0,Birkirkara FC ,130188,75 Th. €,Terence Vella,14/15,Malta,32130.0,Naxxar Lions FC 
"Jun 30, 2013",,End of loan,Malta,17149.0,Hamrun Spart. ,130188,75 Th. €,Terence Vella,12/13,Malta,10262.0,Birkirkara FC 
"Jul 1, 2012",,Loan fee:4 Th. €,Malta,10262.0,Birkirkara FC ,130188,50 Th. €,Terence Vella,12/13,Malta,17149.0,Hamrun Spart. 
"Jun 30, 2012",,End of loan,Malta,32125.0,Mosta FC ,130188,50 Th. €,Terence Vella,11/12,Malta,10262.0,Birkirkara FC 
"Jan 1, 2012",,Loan,Malta,10262.0,Birkirkara FC ,130188,-,Terence Vella,11/12,Malta,32125.0,Mosta FC 
"Jan 13, 2016",,Free transfer,Malta,10604.0,Hibernians FC ,93325,25 Th. €,Matthew Towns,15/16,Malta,34924.0,San Gwann FC 
"Jul 1, 2015",,Free transfer,Malta,34924.0,San Gwann FC ,93325,25 Th. €,Matthew Towns,15/16,Malta,10604.0,Hibernians FC 
"Nov 1, 2014",,?,Iceland,30580.0,Knattspyrnufelagid Aegir ,93325,25 Th. €,Matthew Towns,14/15,Malta,34924.0,San Gwann FC 
"May 15, 2014",,?,Malta,31631.0,St. Andrews FC ,93325,25 Th. €,Matthew Towns,14/15,Iceland,30580.0,Knattspyrnufelagid Aegir 
