date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 28, 2014",,Free transfer,Germany,95.0,KFC Uerdingen ,2854,50 Th. €,Benjamin Baltes,14/15,Germany,4518.0,Rather SV 
"Jul 16, 2012",,Free transfer,Germany,299.0,Wuppertaler SV ,2854,150 Th. €,Benjamin Baltes,12/13,Germany,95.0,KFC Uerdingen 
"Jul 1, 2011",,Free transfer,Netherlands,798.0,SBV Excelsior ,2854,150 Th. €,Benjamin Baltes,11/12,Germany,299.0,Wuppertaler SV 
"Sep 9, 2010",,Free transfer,Germany,1006.0,M'gladbach II ,2854,100 Th. €,Benjamin Baltes,10/11,Netherlands,798.0,SBV Excelsior 
"Feb 1, 2010",,Free transfer,Germany,5363.0,Erzgeb. Aue II ,2854,100 Th. €,Benjamin Baltes,09/10,Germany,1006.0,M'gladbach II 
"Jul 1, 2009",,-,Germany,94.0,Erzgebirge Aue ,2854,100 Th. €,Benjamin Baltes,09/10,Germany,5363.0,Erzgeb. Aue II 
"Jul 1, 2008",,Free transfer,Germany,56.0,RW Essen ,2854,200 Th. €,Benjamin Baltes,08/09,Germany,94.0,Erzgebirge Aue 
"Jan 1, 2008",,Free transfer,Germany,78.0,VfB Lübeck ,2854,200 Th. €,Benjamin Baltes,07/08,Germany,56.0,RW Essen 
"Aug 30, 2006",,Free transfer,Germany,60.0,SC Freiburg ,2854,450 Th. €,Benjamin Baltes,06/07,Germany,78.0,VfB Lübeck 
"Jul 1, 2005",,Free transfer,Germany,95.0,KFC Uerdingen ,2854,250 Th. €,Benjamin Baltes,05/06,Germany,60.0,SC Freiburg 
"Jul 1, 2002",,-,Germany,8067.0,Uerdingen U19 ,2854,-,Benjamin Baltes,02/03,Germany,95.0,KFC Uerdingen 
"Jul 1, 2001",,-,Germany,21410.0,Uerdingen U17 ,2854,-,Benjamin Baltes,01/02,Germany,8067.0,Uerdingen U19 
"Jul 1, 2000",,Free transfer,Germany,21070.0,Duisburg U17 ,2854,-,Benjamin Baltes,00/01,Germany,21410.0,Uerdingen U17 
"Jan 30, 2016",,-,Austria,2394.0,SV Kapfenberg ,6301,-,Andreas Lasnik,15/16,,123.0,End of career 
"Sep 16, 2014",,-,Austria,515.0,Unattached ,6301,400 Th. â‚¬,Andreas Lasnik,14/15,,2394.0,SV Kapfenberg 
"Jul 1, 2014",,-,Greece,169.0,Panionios ,6301,400 Th. â‚¬,Andreas Lasnik,14/15,,515.0,Unattached 
"Jul 15, 2013",,-,Greece,515.0,Unattached ,6301,500 Th. â‚¬,Andreas Lasnik,13/14,,169.0,Panionios 
"Jan 23, 2013",,-,Netherlands,132.0,NAC Breda ,6301,500 Th. â‚¬,Andreas Lasnik,12/13,,515.0,Unattached 
"Sep 9, 2011",,-,Netherlands,515.0,Unattached ,6301,750 Th. â‚¬,Andreas Lasnik,11/12,,132.0,NAC Breda 
"Jul 1, 2011",,-,Netherlands,403.0,Willem II ,6301,750 Th. â‚¬,Andreas Lasnik,11/12,,515.0,Unattached 
"Jul 1, 2010",,Free transfer,Germany,8.0,Alem. Aachen ,6301,300 Th. â‚¬,Andreas Lasnik,10/11,Netherlands,403.0,Willem II 
"Jul 1, 2008",,Free transfer,Austria,14.0,Austria Vienna ,6301,700 Th. â‚¬,Andreas Lasnik,08/09,Germany,8.0,Alem. Aachen 
"Jul 1, 2005",,Free transfer,Austria,266.0,SV  Ried ,6301,600 Th. â‚¬,Andreas Lasnik,05/06,Austria,14.0,Austria Vienna 
"Jan 1, 2002",,Free transfer,Austria,7446.0,ASK KÃ¶flach ,6301,-,Andreas Lasnik,01/02,Austria,266.0,SV  Ried 
"Jul 1, 2015",,Free transfer,Australia,8054.0,Sydney FC ,8073,"1,00 Mill. €",Marc Janko,15/16,Switzerland,26.0,FC Basel 
"Jul 31, 2014",,Free transfer,Turkey,449.0,Trabzonspor ,8073,"1,00 Mill. €",Marc Janko,14/15,Australia,8054.0,Sydney FC 
"Aug 28, 2012",,"2,34 Mill. €",Portugal,720.0,FC Porto ,8073,"5,00 Mill. €",Marc Janko,12/13,Turkey,449.0,Trabzonspor 
"Jan 31, 2012",,"3,00 Mill. €",Netherlands,317.0,FC Twente ,8073,"6,00 Mill. €",Marc Janko,11/12,Portugal,720.0,FC Porto 
"Jul 1, 2010",,"7,00 Mill. €",Austria,409.0,RB Salzburg ,8073,"4,50 Mill. €",Marc Janko,10/11,Netherlands,317.0,FC Twente 
"Jul 1, 2005",,350 Th. €,Austria,503.0,Admira Wacker ,8073,200 Th. €,Marc Janko,05/06,Austria,409.0,RB Salzburg 
"Jul 1, 2004",,-,Austria,4375.0,FC Admira II ,8073,-,Marc Janko,04/05,Austria,503.0,Admira Wacker 
