date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2014",Free transfer,Netherlands,384,MVV ,22372,275 Th. €,Tom van Hyfte,14/15,Netherlands,192,Roda JC 
"Jul 1, 2009",Free transfer,Belgium,3134,KFC VW Hamme ,22372,200 Th. €,Tom van Hyfte,09/10,Netherlands,384,MVV 
"Jul 1, 2004",75 Th. €,Belgium,3038,RSC Anderlecht U19 ,22372,-,Tom van Hyfte,04/05,Belgium,3134,KFC VW Hamme 
"Jan 25, 2016",Free transfer,Sweden,699,Helsingborgs IF ,37217,"1,50 Mill. €",Pär Hansson,15/16,Netherlands,234,Feyenoord 
"Dec 1, 2008",End of loan,Sweden,3625,Ängelholm  ,37217,75 Th. €,Pär Hansson,08/09,Sweden,699,Helsingborgs IF 
"Feb 1, 2008",Loan,Sweden,699,Helsingborgs IF ,37217,75 Th. €,Pär Hansson,07/08,Sweden,3625,Ängelholm  
"Dec 1, 2007",End of loan,Sweden,3625,Ängelholm  ,37217,75 Th. €,Pär Hansson,07/08,Sweden,699,Helsingborgs IF 
"Feb 1, 2006",Loan,Sweden,699,Helsingborgs IF ,37217,75 Th. €,Pär Hansson,05/06,Sweden,3625,Ängelholm  
"Jan 1, 2006",-,Sweden,8659,Helsingborg U19 ,37217,-,Pär Hansson,05/06,Sweden,699,Helsingborgs IF 
"Jan 1, 2002",?,Sweden,23491,Vejbyslätts IF ,37217,-,Pär Hansson,01/02,Sweden,8659,Helsingborg U19 
"Jul 1, 2016",Free transfer,Netherlands,467,NEC Nijmegen ,51969,500 Th. €,Marcel Appiah,16/17,,75,Unknown 
"Jul 26, 2014",Free transfer,Germany,10,Arm. Bielefeld ,51969,500 Th. €,Marcel Appiah,14/15,Netherlands,467,NEC Nijmegen 
"Nov 12, 2010",-,Germany,831,A. Bielefeld II ,51969,100 Th. €,Marcel Appiah,10/11,Germany,10,Arm. Bielefeld 
"Jul 1, 2008",Free transfer,Germany,1000,TSG Sprockhövel ,51969,-,Marcel Appiah,08/09,Germany,831,A. Bielefeld II 
"Jul 1, 2007",Free transfer,Germany,9604,Wattenschd. U19 ,51969,-,Marcel Appiah,07/08,Germany,1000,TSG Sprockhövel 
"Jul 1, 2005",Free transfer,Germany,21085,VfL Bochum U17 ,51969,-,Marcel Appiah,05/06,Germany,9604,Wattenschd. U19 
"Jan 1, 2005",Free transfer,Germany,37977,TSG SH U17 ,51969,-,Marcel Appiah,04/05,Germany,21085,VfL Bochum U17 
"Jul 1, 2004",Free transfer,Germany,21061,Schalke 04 U17 ,51969,-,Marcel Appiah,04/05,Germany,37977,TSG SH U17 
"Jul 1, 2003",-,Germany,11884,Schalke 04 Jgd. ,51969,-,Marcel Appiah,03/04,Germany,21061,Schalke 04 U17 
"Jul 1, 2015",Free transfer,Netherlands,404,FC Den Bosch ,56379,200 Th. €,Erik Quekel,15/16,Netherlands,642,De Graafschap 
"Jun 30, 2015",End of loan,Netherlands,9715,PSV U21 ,56379,200 Th. €,Erik Quekel,14/15,Netherlands,404,FC Den Bosch 
"Feb 2, 2015",Loan,Netherlands,404,FC Den Bosch ,56379,225 Th. €,Erik Quekel,14/15,Netherlands,9715,PSV U21 
"Aug 29, 2013",Free transfer,Netherlands,500,Helmond Sport ,56379,150 Th. €,Erik Quekel,13/14,Netherlands,404,FC Den Bosch 
"Jul 1, 2011",Free transfer,Netherlands,1455,FC Dordrecht ,56379,225 Th. €,Erik Quekel,11/12,Netherlands,500,Helmond Sport 
"Jul 1, 2010",Free transfer,Netherlands,1228,FC Oss ,56379,250 Th. €,Erik Quekel,10/11,Netherlands,1455,FC Dordrecht 
"Jul 1, 2006",-,Netherlands,24371,TOP Oss U19 ,56379,-,Erik Quekel,06/07,Netherlands,1228,TOP Oss 
"Jul 1, 2015",Free transfer,Netherlands,723,Almere City ,57333,200 Th. €,Jergé Hoefdraad,15/16,Netherlands,133,SC Cambuur 
"Nov 6, 2013",-,Netherlands,515,Unattached ,57333,175 Th. €,Jergé Hoefdraad,13/14,,723,Almere City 
"Jul 1, 2013",-,Netherlands,1434,Telstar ,57333,175 Th. €,Jergé Hoefdraad,13/14,,515,Unattached 
"Jul 1, 2011",Free transfer,Netherlands,723,Almere City ,57333,125 Th. €,Jergé Hoefdraad,11/12,Netherlands,1434,Telstar 
"Jul 1, 2009",-,Netherlands,515,Unattached ,57333,75 Th. €,Jergé Hoefdraad,09/10,,723,FC Omniworld 
"Jul 1, 2008",-,Netherlands,235,RKC Waalwijk ,57333,-,Jergé Hoefdraad,08/09,,515,Unattached 
"Jul 1, 2007",-,Netherlands,8823,RKC U21 ,57333,-,Jergé Hoefdraad,07/08,Netherlands,235,RKC Waalwijk 
"Jul 1, 2005",-,Netherlands,7464,RKC Waalwijk U19 ,57333,-,Jergé Hoefdraad,05/06,Netherlands,8823,RKC U21 
"Jul 1, 2004",Free transfer,Netherlands,2824,Ajax U19 ,57333,-,Jergé Hoefdraad,04/05,Netherlands,7464,RKC Waalwijk U19 
"Jul 1, 2015",400 Th. €,Israel,119,M. Tel Aviv ,58342,750 Th. €,Sheran Yeini,15/16,Netherlands,499,Vitesse 
"Jul 1, 2006",-,Israel,19856,M. Tel Aviv U19 ,58342,-,Sheran Yeini,06/07,Israel,119,M. Tel Aviv 
"Aug 4, 2015",400 Th. €,Serbia,6621,FK Cukaricki ,60289,700 Th. €,Rajko Brezancic,15/16,Netherlands,1090,AZ Alkmaar 
"Jul 24, 2013",?,Serbia,10319,FK Bezanija ,60289,300 Th. €,Rajko Brezancic,13/14,Serbia,6621,FK Cukaricki 
"Jan 1, 2011",?,Serbia,12135,FK Metalac ,60289,300 Th. €,Rajko Brezancic,10/11,Serbia,10319,FK Bezanija 
"Aug 1, 2010",Free transfer,Serbia,669,FK Partizan ,60289,250 Th. €,Rajko Brezancic,10/11,Serbia,12135,FK Metalac 
"Jun 30, 2010",End of loan,Serbia,4646,Teleoptik Zemun ,60289,250 Th. €,Rajko Brezancic,09/10,Serbia,669,FK Partizan 
"Feb 1, 2010",Loan,Serbia,669,FK Partizan ,60289,450 Th. €,Rajko Brezancic,09/10,Serbia,4646,Teleoptik Zemun 
"Dec 31, 2008",End of loan,Serbia,10319,FK Bezanija ,60289,-,Rajko Brezancic,08/09,Serbia,669,FK Partizan 
"Aug 1, 2008",Loan,Serbia,669,FK Partizan ,60289,-,Rajko Brezancic,08/09,Serbia,10319,FK Bezanija 
"Jul 1, 2008",-,Serbia,12373,FK Partizan U19 ,60289,-,Rajko Brezancic,08/09,Serbia,669,FK Partizan 
"Aug 14, 2015",Free transfer,Scotland,465,St. Mirren FC ,64511,300 Th. €,Jeroen Tesselaar,15/16,Netherlands,642,De Graafschap 
"Jul 26, 2014",Free transfer,Scotland,2553,Kilmarnock FC ,64511,350 Th. €,Jeroen Tesselaar,14/15,Scotland,465,St. Mirren FC 
"Jul 1, 2012",Free transfer,Scotland,465,St. Mirren FC ,64511,150 Th. €,Jeroen Tesselaar,12/13,Scotland,2553,Kilmarnock FC 
"Jul 1, 2011",Free transfer,Netherlands,11368,AZ Alkmaar U21 ,64511,150 Th. €,Jeroen Tesselaar,11/12,Scotland,465,St. Mirren FC 
"Jun 30, 2011",End of loan,Netherlands,1434,Telstar ,64511,150 Th. €,Jeroen Tesselaar,10/11,Netherlands,11368,AZ Alkmaar U21 
"Jul 1, 2009",Loan,Netherlands,11368,AZ Alkmaar U21 ,64511,50 Th. €,Jeroen Tesselaar,09/10,Netherlands,1434,Telstar 
"Jul 1, 2008",-,Netherlands,7460,AZ Alkmaar U19 ,64511,-,Jeroen Tesselaar,08/09,Netherlands,11368,AZ Alkmaar U21 
