date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 5, 2014","2,40 Mill. €",Norway,195,Rosenborg BK ,121686,"1,00 Mill. €",Cristian Gamboa,14/15,England,984,West Brom 
"Jan 1, 2013",400 Th. €,Denmark,190,FC Copenhagen ,121686,600 Th. €,Cristian Gamboa,12/13,Norway,195,Rosenborg BK 
"Dec 31, 2012",End of loan,Norway,195,Rosenborg BK ,121686,600 Th. €,Cristian Gamboa,12/13,Denmark,190,FC Copenhagen 
"Aug 23, 2012",Loan,Denmark,190,FC Copenhagen ,121686,250 Th. €,Cristian Gamboa,12/13,Norway,195,Rosenborg BK 
"Aug 1, 2011",?,Norway,3837,Fredrikstad ,121686,275 Th. €,Cristian Gamboa,11/12,Denmark,190,FC Copenhagen 
"Jul 7, 2010",?,Costa Rica,18579,Águilas ,121686,50 Th. €,Cristian Gamboa,10/11,Norway,3837,Fredrikstad 
"Aug 13, 2013",?,Norway,195,Rosenborg BK ,62983,"1,70 Mill. €",Borek Dockal,13/14,Czech Republic,197,Sparta Praha 
"Aug 1, 2011","1,00 Mill. €",Czech Republic,697,Slovan Liberec ,62983,900 Th. €,Borek Dockal,11/12,Norway,195,Rosenborg BK 
"Dec 31, 2010",End of loan,Turkey,2293,Konyaspor ,62983,800 Th. €,Borek Dockal,10/11,Czech Republic,697,Slovan Liberec 
"Jul 1, 2010",Loan,Czech Republic,697,Slovan Liberec ,62983,800 Th. €,Borek Dockal,10/11,Turkey,2293,Konyaspor 
"Jul 1, 2008",650 Th. €,Czech Republic,62,Slavia Prag ,62983,450 Th. €,Borek Dockal,08/09,Czech Republic,697,Slovan Liberec 
"Jun 30, 2008",End of loan,Czech Republic,697,Slovan Liberec ,62983,450 Th. €,Borek Dockal,07/08,Czech Republic,62,Slavia Prag 
"Jan 1, 2008",Loan,Czech Republic,62,Slavia Prag ,62983,-,Borek Dockal,07/08,Czech Republic,697,Slovan Liberec 
"Dec 1, 2007",End of loan,Czech Republic,6380,SK Kladno ,62983,-,Borek Dockal,07/08,Czech Republic,62,Slavia Prag 
"Jul 1, 2007",Loan,Czech Republic,62,Slavia Prag ,62983,-,Borek Dockal,07/08,Czech Republic,6380,SK Kladno 
"Feb 3, 2015",Free transfer,Norway,1293,Tromsö ,156917,-,Lars Henrik Andreassen,14/15,Norway,8442,Tromsdalen UIL 
"Mar 28, 2014",?,Norway,36222,Finnsnes IL ,156917,50 Th. €,Lars Henrik Andreassen,13/14,Norway,1293,Tromsö 
"Jan 1, 2012",?,Norway,1293,Tromsö ,156917,50 Th. €,Lars Henrik Andreassen,11/12,Norway,36222,Finnsnes IL 
"Feb 1, 2016",?,Malta,32130,Naxxar Lions FC ,180750,-,Sidoine Oussou,15/16,France,3135,Beauvais 
"Aug 18, 2015",-,Malta,515,Unattached ,180750,-,Sidoine Oussou,15/16,,32130,Naxxar Lions FC 
"Jan 1, 2015",-,Norway,76,Valerenga ,180750,-,Sidoine Oussou,14/15,,515,Unattached 
"Dec 31, 2013",End of loan,Hungary,12423,Kecskeméti TE ,180750,50 Th. €,Sidoine Oussou,13/14,Norway,76,Valerenga 
"Jul 23, 2013",Loan,Norway,76,Valerenga ,180750,50 Th. €,Sidoine Oussou,13/14,Hungary,12423,Kecskeméti TE 
"Jan 1, 2013",End of loan,Belgium,3172,CS Visé ,180750,50 Th. €,Sidoine Oussou,12/13,Norway,76,Valerenga 
"Aug 31, 2012",Loan,Norway,76,Valerenga ,180750,100 Th. €,Sidoine Oussou,12/13,Belgium,3172,CS Visé 
"Jan 1, 2011",?,Benin,25354,ASPAC FC ,180750,-,Sidoine Oussou,10/11,Norway,76,Valerenga 
"Dec 1, 2008",?,Benin,515,Unattached ,180750,-,Sidoine Oussou,08/09,,25354,ASPAC FC 
"Jan 12, 2015",?,Norway,687,Molde FK ,180752,25 Th. €,Ivar Furu,14/15,Norway,27688,Byasen 
"Dec 31, 2014",End of loan,Norway,13519,Ranheim IL ,180752,25 Th. €,Ivar Furu,14/15,Norway,687,Molde FK 
