date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2015",,Free transfer,Norway,17331.0,Stabaek IF U19 ,269826,50 Th. €,Simen Omholt-Jensen,14/15,Norway,35030.0,Fram Larvik 
"Jan 21, 2014",,?,Sweden,9614.0,Östersunds FK ,114691,100 Th. €,Rasmus Lindkvist,13/14,Norway,76.0,Valerenga 
"Jan 1, 2013",,Free transfer,Sweden,23302.0,Dalkurd FF ,114691,-,Rasmus Lindkvist,12/13,Sweden,9614.0,Östersunds FK 
"Jan 1, 2010",,Free transfer,Sweden,22168.0,Skellefteå FF ,114691,-,Rasmus Lindkvist,09/10,Sweden,23302.0,Dalkurd FF 
"Jan 1, 2015",,Free transfer,Norway,267.0,Start ,225541,50 Th. €,Alexander Lind,14/15,Norway,36224.0,FK Jerv 
"Jan 1, 2014",,?,Norway,36223.0,FK Donn ,225541,-,Alexander Lind,13/14,Norway,267.0,Start 
"Jan 1, 2015",,Free transfer,Norway,1100.0,SK Brann ,276417,100 Th. €,Adne Nissestad,14/15,Norway,13428.0,Fana IL 
"Mar 11, 2014",,-,Norway,15691.0,SK Brann U19 ,276417,-,Adne Nissestad,13/14,Norway,1100.0,SK Brann 
"Jan 1, 2015",,-,Norway,15700.0,Valerenga U19 ,225800,50 Th. €,Marcus Engebretsen,14/15,Norway,35029.0,Valerenga II 
"Jul 31, 2013",,End of loan,Norway,39567.0,Oppsal Fotball ,225800,-,Marcus Engebretsen,13/14,Norway,15700.0,Valerenga U19 
"Mar 1, 2013",,Loan,Norway,15700.0,Valerenga U19 ,225800,-,Marcus Engebretsen,12/13,Norway,39567.0,Oppsal Fotball 
"Jan 1, 2012",,-,Norway,19351.0,Bodø/Glimt U19 ,201865,-,Ulrik Saltnes,11/12,Norway,501.0,FK Bodø/Glimt 
"Sep 1, 2013",,-,Norway,15647.0,Aalesunds FK U19 ,271755,-,Vebjörn Hoff,13/14,Norway,5619.0,Aalesunds FK 
"Jan 1, 2012",,?,Norway,36247.0,Spjelkavik IL ,271755,-,Vebjörn Hoff,11/12,Norway,15647.0,Aalesunds FK U19 
"Jan 1, 2015",,Free transfer,Norway,15647.0,Aalesunds FK U19 ,292108,50 Th. €,Robert Ekroll,14/15,United States,49509.0,Mustangs 
