date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Feb 29, 2016",,Free transfer,Latvia,2782.0,Ventspils ,85505,150 Th. €,Daniils Turkovs,15/16,Latvia,27118.0,Jelgava 
"Mar 5, 2015",,Free transfer,Poland,716.0,GKS Belchatow ,85505,150 Th. €,Daniils Turkovs,14/15,Latvia,2782.0,Ventspils 
"Jan 1, 2014",,Free transfer,Latvia,2782.0,Ventspils ,85505,275 Th. €,Daniils Turkovs,13/14,Poland,716.0,GKS Belchatow 
"Mar 1, 2012",,Free transfer,Hungary,1391.0,Zalaegerszeg ,85505,200 Th. €,Daniils Turkovs,11/12,Latvia,2782.0,Ventspils 
"Jan 1, 2011",,Free transfer,Latvia,1043.0,Skonto Riga ,85505,300 Th. €,Daniils Turkovs,10/11,Hungary,1391.0,Zalaegerszeg 
"Dec 31, 2009",,End of loan,Latvia,9057.0,FK Olimps Riga ,85505,-,Daniils Turkovs,09/10,Latvia,1043.0,Skonto Riga 
"Feb 1, 2009",,Loan,Latvia,1043.0,Skonto Riga ,85505,-,Daniils Turkovs,08/09,Latvia,9057.0,FK Olimps Riga 
"Jan 1, 2009",,Free transfer,Latvia,9057.0,FK Olimps Riga ,85505,-,Daniils Turkovs,08/09,Latvia,1043.0,Skonto Riga 
"Jul 1, 2014",,Free transfer,Belgium,157.0,KAA Gent ,45571,150 Th. €,Armin Cerimagic,14/15,Poland,428.0,G. Zabrze 
"Jan 1, 2014",,End of loan,Belgium,1111.0,Eendracht Aalst ,45571,200 Th. €,Armin Cerimagic,13/14,Belgium,157.0,KAA Gent 
"Jan 1, 2013",,Loan,Belgium,157.0,KAA Gent ,45571,200 Th. €,Armin Cerimagic,12/13,Belgium,1111.0,Eendracht Aalst 
"Jan 1, 2011",,?,Bosnia-Herzegovina,11252.0,Zeljeznicar U19 ,45571,50 Th. €,Armin Cerimagic,10/11,Belgium,157.0,KAA Gent 
"Jul 1, 2015",,Free transfer,Poland,324.0,Pogon Szczecin ,63496,200 Th. €,Vladimirs Kamess,15/16,Latvia,43162.0,FK Liepaja 
"Feb 4, 2015",,Free transfer,Russia,4128.0,Amkar Perm ,63496,350 Th. €,Vladimirs Kamess,14/15,Poland,324.0,Pogon Szczecin 
"Jun 30, 2014",,End of loan,Russia,3733.0,Neftekhimik ,63496,350 Th. €,Vladimirs Kamess,13/14,Russia,4128.0,Amkar Perm 
"Feb 17, 2014",,Loan,Russia,4128.0,Amkar Perm ,63496,350 Th. €,Vladimirs Kamess,13/14,Russia,3733.0,Neftekhimik 
"Feb 18, 2013",,300 Th. €,Latvia,3811.0,Liepajas ,63496,300 Th. €,Vladimirs Kamess,12/13,Russia,4128.0,Amkar Perm 
"Dec 31, 2010",,End of loan,Latvia,28532.0,FB Gulbene-2005 ,63496,75 Th. €,Vladimirs Kamess,10/11,Latvia,3811.0,Liepajas 
"Jul 1, 2010",,Loan,Latvia,3811.0,Liepajas ,63496,75 Th. €,Vladimirs Kamess,10/11,Latvia,28532.0,FB Gulbene-2005 
"Jan 1, 2005",,-,Latvia,19612.0,Liepajas U19 ,63496,-,Vladimirs Kamess,04/05,Latvia,3811.0,Liepajas 
