date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2011",-,Portugal,3323,Gondomar ,17409,400 Th. €,Jorge Silva,11/12,,123,End of career 
"Jul 1, 2010",?,Portugal,2503,Boavista ,17409,400 Th. €,Jorge Silva,10/11,Portugal,3323,Gondomar 
"Jul 1, 2008",Free transfer,Portugal,3349,Feirense ,17409,400 Th. €,Jorge Silva,08/09,Portugal,2503,Boavista 
"Jul 1, 2007",?,Portugal,1436,Beira-Mar ,17409,400 Th. €,Jorge Silva,07/08,Portugal,3349,Feirense 
"Jan 1, 2005",?,Portugal,2503,Boavista ,17409,-,Jorge Silva,04/05,Portugal,1436,Beira-Mar 
"Jul 1, 1998",?,Portugal,2639,Leiria ,17409,-,Jorge Silva,98/99,Portugal,2503,Boavista 
"Jul 1, 1997",?,Portugal,2990,Coimbra ,17409,-,Jorge Silva,97/98,Portugal,2639,Leiria 
"Jul 1, 1995",?,Portugal,2503,Boavista ,17409,-,Jorge Silva,95/96,Portugal,2990,Coimbra 
"Jul 1, 1994",-,Portugal,12963,Boavista U19 ,17409,-,Jorge Silva,94/95,Portugal,2503,Boavista 
"Mar 1, 2011",-,Slovenia,433,FC Koper ,1538,150 Th. €,Miran Pavlin,10/11,,123,End of career 
"Oct 1, 2010",-,Slovenia,123,End of career ,1538,-,Miran Pavlin,10/11,,433,FC Koper 
"Jul 1, 2010",-,Slovenia,433,FC Koper ,1538,150 Th. €,Miran Pavlin,10/11,,123,End of career 
"Jul 1, 2009",Free transfer,Slovenia,4772,NK Olimpija ,1538,-,Miran Pavlin,09/10,Slovenia,433,FC Koper 
"Jul 1, 2005",Free transfer,Cyprus,2784,APOEL Nicosia ,1538,150 Th. €,Miran Pavlin,05/06,Slovenia,4772,NK Olimpija 
"Jul 1, 2004",Free transfer,Cyprus,1402,Olympiakos N. ,1538,-,Miran Pavlin,04/05,Cyprus,2784,APOEL Nicosia 
"Jul 1, 2003",Free transfer,Slovenia,4772,NK Olimpija ,1538,-,Miran Pavlin,03/04,Cyprus,1402,Olympiakos N. 
"Jan 1, 2003",?,Portugal,720,FC Porto ,1538,-,Miran Pavlin,02/03,Slovenia,4772,NK Olimpija 
"Aug 1, 2000",900 Th. €,Germany,60,SC Freiburg ,1538,-,Miran Pavlin,00/01,Portugal,720,FC Porto 
"Jun 30, 2000",End of loan,Germany,48,Karlsruher SC ,1538,-,Miran Pavlin,99/00,Germany,60,SC Freiburg 
"Sep 1, 1999",Loan,Germany,60,SC Freiburg ,1538,-,Miran Pavlin,99/00,Germany,48,Karlsruher SC 
"Jul 1, 1997",Free transfer,Germany,129,Dynamo Dresden ,1538,-,Miran Pavlin,97/98,Germany,60,SC Freiburg 
"Jul 1, 1996",Free transfer,Slovenia,4772,NK Olimpija ,1538,-,Miran Pavlin,96/97,Germany,129,Dynamo Dresden 
"Jul 1, 2010",-,Portugal,2457,Belenenses ,13827,"1,00 Mill. €",Nélson,10/11,,123,End of career 
"Jul 1, 2009",Free transfer,Portugal,2431,Estrela Amadora ,13827,"1,50 Mill. €",Nélson,09/10,Portugal,2457,Belenenses 
"Jul 1, 2007",-,Portugal,515,Unattached ,13827,750 Th. €,Nélson,07/08,,2431,Estrela Amadora 
"Jan 1, 2007",-,Portugal,1085,Vitória Setúbal ,13827,750 Th. €,Nélson,06/07,,515,Unattached 
"Oct 1, 2006",-,Portugal,515,Unattached ,13827,750 Th. €,Nélson,06/07,,1085,Vitória Setúbal 
"Jul 1, 2006",-,Portugal,336,Sporting CP ,13827,750 Th. €,Nélson,06/07,,515,Unattached 
"Jul 1, 1996",?,Portugal,2432,Torreense ,13827,-,Nélson,96/97,Portugal,336,Sporting CP 
"Jul 1, 1994",-,Portugal,20741,Torreense U19 ,13827,-,Nélson,94/95,Portugal,2432,Torreense 
"May 16, 2016",-,,515,Unattached ,13831,-,Marius Niculae,15/16,,123,End of career 
"Jul 1, 2015",-,Romania,312,Dinamo Bukarest ,13831,300 Th. €,Marius Niculae,15/16,,515,Unattached 
"Jan 1, 2015",-,Romania,515,Unattached ,13831,450 Th. €,Marius Niculae,14/15,,312,Dinamo Bukarest 
"Aug 22, 2014",-,Turkey,6630,Sanliurfaspor  ,13831,450 Th. €,Marius Niculae,14/15,,515,Unattached 
"Jul 27, 2014",Free transfer,Ukraine,6996,Goverla ,13831,650 Th. €,Marius Niculae,14/15,Turkey,6630,Sanliurfaspor  
"Sep 6, 2013",Free transfer,China,3182,SD Luneng ,13831,"1,25 Mill. €",Marius Niculae,13/14,Ukraine,6996,Goverla 
"Feb 19, 2013",500 Th. €,Romania,8174,FC Vaslui ,13831,"2,50 Mill. €",Marius Niculae,12/13,China,3182,SD Luneng 
"Jul 20, 2012",250 Th. €,Romania,312,Dinamo Bukarest ,13831,"2,10 Mill. €",Marius Niculae,12/13,Romania,8174,FC Vaslui 
"Jun 30, 2011",End of loan,Greece,3391,AO Kavala ,13831,"1,50 Mill. €",Marius Niculae,10/11,Romania,312,Dinamo Bukarest 
"Jan 1, 2011",Loan fee:50 Th. €,Romania,312,Dinamo Bukarest ,13831,"1,80 Mill. €",Marius Niculae,10/11,Greece,3391,AO Kavala 
"Jul 1, 2008",600 Th. €,Scotland,2451,Inverness Cal. ,13831,500 Th. €,Marius Niculae,08/09,Romania,312,Dinamo Bukarest 
