date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2010",,?,Portugal,5753,Camacha ,26139,-,Carlos Manuel,10/11,Portugal,976,União Madeira 
"Jul 1, 2005",,?,Portugal,982,Nacional ,26139,-,Carlos Manuel,05/06,Portugal,5753,Camacha 
"Jul 1, 2004",,-,Portugal,15561,Nacional U19 ,26139,-,Carlos Manuel,04/05,Portugal,982,Nacional 
"Jul 1, 2008",,?,Portugal,7811,Castelo Branco ,27135,-,Piojo,08/09,Portugal,7179,Tondela 
"Jan 1, 2008",,?,Portugal,3332,Imortal ,27135,-,Piojo,07/08,Portugal,7811,Castelo Branco 
"Jan 1, 2007",,?,Portugal,5227,Atlético ,27135,-,Piojo,06/07,Portugal,3332,Imortal 
"Aug 1, 2006",,Free transfer,Portugal,7378,Portimonense ,27135,-,Piojo,06/07,Portugal,5227,Atlético 
"Jun 30, 2006",,End of loan,Portugal,8335,Silves FC ,27135,-,Piojo,05/06,Portugal,7378,Portimonense 
"Jan 1, 2006",,Loan,Portugal,7378,Portimonense ,27135,-,Piojo,05/06,Portugal,8335,Silves FC 
"Jul 1, 2015",,?,Romania,15945,Chiajna ,35617,50 Th. €,Paulo Monteiro,15/16,Portugal,976,União Madeira 
"Feb 10, 2015",,Free transfer,Portugal,3325,Chaves ,35617,200 Th. €,Paulo Monteiro,14/15,Romania,15945,Chiajna 
"Jul 1, 2014",,Free transfer,Portugal,7788,Académico Viseu ,35617,200 Th. €,Paulo Monteiro,14/15,Portugal,3325,Chaves 
"Aug 1, 2013",,?,Portugal,2423,Santa Clara ,35617,100 Th. €,Paulo Monteiro,13/14,Portugal,7788,Académico Viseu 
"Jul 1, 2012",,Free transfer,Portugal,3265,Espinho ,35617,100 Th. €,Paulo Monteiro,12/13,Portugal,2423,Santa Clara 
"Jul 1, 2011",,Free transfer,Portugal,9603,Praiense ,35617,150 Th. €,Paulo Monteiro,11/12,Portugal,3265,Espinho 
"Jan 1, 2011",,?,Portugal,3323,Gondomar ,35617,200 Th. €,Paulo Monteiro,10/11,Portugal,9603,Praiense 
"Jul 1, 2009",,Free transfer,Portugal,7789,Amarante ,35617,300 Th. €,Paulo Monteiro,09/10,Portugal,3323,Gondomar 
"Aug 1, 2008",,?,England,358,Charlton ,35617,300 Th. €,Paulo Monteiro,08/09,Portugal,7789,Amarante 
"Jun 30, 2008",,End of loan,England,3688,Accrington St. ,35617,300 Th. €,Paulo Monteiro,07/08,England,358,Charlton 
"Feb 1, 2008",,Loan,England,358,Charlton ,35617,-,Paulo Monteiro,07/08,England,3688,Accrington St. 
"Jan 1, 2008",,Free transfer,Romania,5267,Farul ,35617,-,Paulo Monteiro,07/08,England,358,Charlton 
"Jul 1, 2007",,Free transfer,France,2580,Istres ,35617,-,Paulo Monteiro,07/08,Romania,5267,Farul 
"Jul 1, 2006",,Free transfer,Portugal,1075,Braga ,35617,-,Paulo Monteiro,06/07,France,2580,Istres 
"Jul 1, 2005",,-,Portugal,12964,Braga U19 ,35617,-,Paulo Monteiro,05/06,Portugal,1075,Braga 
"Jan 26, 2016",,Free transfer,Portugal,515,Unattached ,39533,250 Th. €,Genséric Kusunga,15/16,,976,União Madeira 
"Apr 24, 2015",,-,England,1078,Oldham Athletic ,39533,250 Th. €,Genséric Kusunga,14/15,,515,Unattached 
"Sep 2, 2013",,Free transfer,Switzerland,26,FC Basel ,39533,300 Th. €,Genséric Kusunga,13/14,England,1078,Oldham Athletic 
"Jun 30, 2013",,End of loan,Switzerland,61,Servette FC ,39533,300 Th. €,Genséric Kusunga,12/13,Switzerland,26,FC Basel 
"Jul 1, 2012",,Loan,Switzerland,26,FC Basel ,39533,300 Th. €,Genséric Kusunga,12/13,Switzerland,61,Servette FC 
"Jul 1, 2010",,Free transfer,Switzerland,61,Servette FC ,39533,200 Th. €,Genséric Kusunga,10/11,Switzerland,26,FC Basel 
"Jul 1, 2007",,-,Switzerland,14179,Team Genève U17 ,39533,-,Genséric Kusunga,07/08,Switzerland,61,Servette FC 
"Jul 21, 2015",,Free transfer,Brazil,1693,Londrina EC ,53532,100 Th. €,Dirceu,15/16,Portugal,1301,Marítimo 
"Jan 24, 2014",,Free transfer,Brazil,776,Coritiba FC ,53532,-,Dirceu,13/14,Brazil,1693,Londrina EC 
"Nov 1, 2013",,End of loan,Brazil,6347,Paysandu ,53532,-,Dirceu,13/14,Brazil,776,Coritiba FC 
"Sep 1, 2013",,Loan,Brazil,776,Coritiba FC ,53532,-,Dirceu,13/14,Brazil,6347,Paysandu 
"Aug 1, 2013",,End of loan,Brazil,1693,Londrina EC ,53532,-,Dirceu,13/14,Brazil,776,Coritiba FC 
"Jan 1, 2013",,Loan,Brazil,776,Coritiba FC ,53532,-,Dirceu,12/13,Brazil,1693,Londrina EC 
"Nov 1, 2012",,End of loan,Brazil,2863,América-MG ,53532,-,Dirceu,12/13,Brazil,776,Coritiba FC 
"Sep 1, 2012",,Loan,Brazil,776,Coritiba FC ,53532,300 Th. €,Dirceu,12/13,Brazil,2863,América-MG 
"May 1, 2012",,End of loan,Brazil,16108,Nova Iguaçu ,53532,300 Th. €,Dirceu,11/12,Brazil,776,Coritiba FC 
"Jan 1, 2012",,Loan,Brazil,776,Coritiba FC ,53532,300 Th. €,Dirceu,11/12,Brazil,16108,Nova Iguaçu 
"Dec 1, 2011",,End of loan,Brazil,2035,Avaí ,53532,250 Th. €,Dirceu,11/12,Brazil,776,Coritiba FC 
"Jun 1, 2011",,Loan,Brazil,776,Coritiba FC ,53532,400 Th. €,Dirceu,10/11,Brazil,2035,Avaí 
"May 1, 2011",,End of loan,Brazil,9030,Botafogo FC ,53532,400 Th. €,Dirceu,10/11,Brazil,776,Coritiba FC 
"Jan 1, 2011",,Loan,Brazil,776,Coritiba FC ,53532,400 Th. €,Dirceu,10/11,Brazil,9030,Botafogo FC 
"Jan 1, 2005",,-,Brazil,15130,Coritiba FC B ,53532,-,Dirceu,04/05,Brazil,776,Coritiba FC 
"Feb 1, 2016",,Swap deal,China,3187,TJ Teda ,53847,"4,00 Mill. €",Hernán Barcos,15/16,Portugal,336,Sporting CP 
"Feb 13, 2015",,"2,65 Mill. €",Brazil,210,Grêmio ,53847,"4,00 Mill. €",Hernán Barcos,14/15,China,3187,TJ Teda 
"Feb 1, 2013",,"1,50 Mill. €",Brazil,1023,Palmeiras ,53847,"2,50 Mill. €",Hernán Barcos,12/13,Brazil,210,Grêmio 
"Jan 1, 2012",,"2,68 Mill. €",Ecuador,9855,LDU Quito ,53847,"1,00 Mill. €",Hernán Barcos,11/12,Brazil,1023,Palmeiras 
"Jan 1, 2010",,?,Argentina,1444,Racing Club ,53847,"1,00 Mill. €",Hernán Barcos,09/10,Ecuador,9855,LDU Quito 
"Dec 31, 2009",,End of loan,China,1320,SZ FC ,53847,"1,00 Mill. €",Hernán Barcos,09/10,Argentina,1444,Racing Club 
"Jul 1, 2009",,Loan,Argentina,1444,Racing Club ,53847,"1,00 Mill. €",Hernán Barcos,09/10,China,1320,SZ FC 
"Jun 30, 2009",,End of loan,China,3183,SH Shenhua ,53847,"1,00 Mill. €",Hernán Barcos,08/09,Argentina,1444,Racing Club 
"Jan 1, 2009",,Loan fee:654 Th. €,Argentina,1444,Racing Club ,53847,"1,00 Mill. €",Hernán Barcos,08/09,China,3183,SH Shenhua 
"Dec 31, 2008",,End of loan,Argentina,2063,CA Huracán ,53847,"1,00 Mill. €",Hernán Barcos,08/09,Argentina,1444,Racing Club 
"Jul 1, 2008",,Loan,Argentina,1444,Racing Club ,53847,400 Th. €,Hernán Barcos,08/09,Argentina,2063,CA Huracán 
"Jun 30, 2008",,End of loan,Serbia,159,Red Star ,53847,400 Th. €,Hernán Barcos,07/08,Argentina,1444,Racing Club 
"Jul 1, 2007",,Loan fee:455 Th. €,Argentina,1444,Racing Club ,53847,-,Hernán Barcos,07/08,Serbia,159,Red Star 
"Jun 30, 2007",,End of loan,Ecuador,9854,CD Olmedo ,53847,-,Hernán Barcos,06/07,Argentina,1444,Racing Club 
"Jul 1, 2006",,Loan,Argentina,1444,Racing Club ,53847,-,Hernán Barcos,06/07,Ecuador,9854,CD Olmedo 
"Jun 30, 2006",,End of loan,Paraguay,11855,Guaraní ,53847,-,Hernán Barcos,05/06,Argentina,1444,Racing Club 
"Feb 1, 2005",,Loan,Argentina,1444,Racing Club ,53847,-,Hernán Barcos,04/05,Paraguay,11855,Guaraní 
"Jul 1, 2003",,-,Argentina,14857,Racing Club B ,53847,-,Hernán Barcos,03/04,Argentina,1444,Racing Club 
"Jan 1, 2003",,-,Argentina,1444,Racing Club ,53847,-,Hernán Barcos,02/03,Argentina,14857,Racing Club B 
"Jul 19, 2015",,Free transfer,Greece,5219,AOK Kerkyra ,55734,800 Th. €,Gevorg Ghazaryan,15/16,Portugal,1301,Marítimo 
"Jan 30, 2015",,Free transfer,Greece,683,Olympiacos ,55734,"1,00 Mill. €",Gevorg Ghazaryan,14/15,Greece,5219,AOK Kerkyra 
"Jul 1, 2014",,Free transfer,Ukraine,2783,Metalurg D. ,55734,"1,00 Mill. €",Gevorg Ghazaryan,14/15,Greece,683,Olympiacos 
"Dec 31, 2013",,End of loan,Kazakhstan,10480,Schachtjor K. ,55734,"1,00 Mill. €",Gevorg Ghazaryan,13/14,Ukraine,2783,Metalurg D. 
"Jul 1, 2013",,Loan,Ukraine,2783,Metalurg D. ,55734,"1,00 Mill. €",Gevorg Ghazaryan,13/14,Kazakhstan,10480,Schachtjor K. 
"Jul 1, 2011",,Free transfer,Armenia,10301,Pyunik Erevan ,55734,300 Th. €,Gevorg Ghazaryan,11/12,Ukraine,2783,Metalurg D. 
"Dec 31, 2007",,End of loan,Armenia,11411,Banants ,55734,-,Gevorg Ghazaryan,07/08,Armenia,10301,Pyunik Erevan 
"Jan 1, 2007",,Loan,Armenia,10301,Pyunik Erevan ,55734,-,Gevorg Ghazaryan,06/07,Armenia,11411,Banants 
"Jan 1, 2006",,-,Armenia,21694,Pyunik II ,55734,-,Gevorg Ghazaryan,05/06,Armenia,10301,Pyunik Erevan 
"Jul 1, 2015",,Free transfer,Hungary,84,Debreceni VSC ,58455,600 Th. €,Selim Bouadla,15/16,Portugal,2990,Coimbra 
"Jul 1, 2011",,Free transfer,France,738,AC Le Havre ,58455,300 Th. €,Selim Bouadla,11/12,Hungary,84,Debreceni VSC 
