date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Sep 1, 2013",?,Denmark,515,Unattached ,81408,225 Th. €,Dan Gogosoiu,13/14,,5784,Aarhus Fremad 
"Jul 1, 2013",-,Romania,11147,Ramnicu Valcea ,81408,225 Th. €,Dan Gogosoiu,13/14,,515,Unattached 
"Jul 1, 2011",Free transfer,Romania,1007,Uni. Craiova ,81408,100 Th. €,Dan Gogosoiu,11/12,Romania,11147,Ramnicu Valcea 
"Jun 30, 2011",End of loan,Romania,11147,Ramnicu Valcea ,81408,100 Th. €,Dan Gogosoiu,10/11,Romania,1007,Uni. Craiova 
"Sep 1, 2010",Loan,Romania,1007,Uni. Craiova ,81408,100 Th. €,Dan Gogosoiu,10/11,Romania,11147,Ramnicu Valcea 
"Aug 1, 2009",End of loan,Romania,9830,Jiul Petrosani ,81408,50 Th. €,Dan Gogosoiu,09/10,Romania,1007,Uni. Craiova 
"Jul 1, 2009",Loan,Romania,1007,Uni. Craiova ,81408,50 Th. €,Dan Gogosoiu,09/10,Romania,9830,Jiul Petrosani 
"Jul 1, 2008",-,Romania,14306,Universitatea Craiova U19 ,81408,-,Dan Gogosoiu,08/09,Romania,1007,Uni. Craiova 
"Jul 1, 2013",?,Macao,39885,Benfica ,48642,325 Th. €,Jorge Tavares,13/14,Cyprus,3388,Onisilos Sotira 
"Jul 1, 2012",Free transfer,Cyprus,10816,Agia Napa ,48642,325 Th. €,Jorge Tavares,12/13,Macao,39885,Benfica 
"Jul 1, 2009",?,Romania,11380,Gloria Buzau ,48642,325 Th. €,Jorge Tavares,09/10,Cyprus,10816,Agia Napa 
"Jul 1, 2008",250 Th. €,Portugal,3341,Olivais ,48642,-,Jorge Tavares,08/09,Romania,11380,Gloria Buzau 
"Jul 1, 2005",?,Portugal,2457,Belenenses ,48642,-,Jorge Tavares,05/06,Portugal,3341,Olivais 
"Jul 1, 2003",-,Portugal,15173,Belenenses U19 ,48642,-,Jorge Tavares,03/04,Portugal,2457,Belenenses 
"Feb 23, 2013",Free transfer,Romania,4687,FC Brasov ,64171,300 Th. €,Attila Hadnagy,12/13,Romania,8818,FC Botosani 
"Jul 1, 2007",Free transfer,Romania,9465,Petr. Ploiesti ,64171,300 Th. €,Attila Hadnagy,07/08,Romania,4687,FC Brasov 
"Jul 1, 2004",Free transfer,Romania,75,Unknown ,64171,-,Attila Hadnagy,04/05,,9465,Petr. Ploiesti 
"Jan 13, 2015",400 Th. €,Romania,301,Steaua ,9733,500 Th. €,Lucian Sanmartean,14/15,Saudi Arabia,8023,Ittihad 
"Feb 10, 2014",250 Th. €,Romania,8174,FC Vaslui ,9733,400 Th. €,Lucian Sanmartean,13/14,Romania,301,Steaua 
"Jul 1, 2009",70 Th. €,Romania,4688,Gloria Bistrita ,9733,825 Th. €,Lucian Sanmartean,09/10,Romania,8174,FC Vaslui 
"Feb 1, 2009",-,Romania,515,Unattached ,9733,"1,25 Mill. €",Lucian Sanmartean,08/09,,4688,Gloria Bistrita 
"Sep 12, 2008",-,Netherlands,200,FC Utrecht ,9733,"1,25 Mill. €",Lucian Sanmartean,08/09,,515,Unattached 
"Feb 5, 2007",Free transfer,Greece,265,Panathinaikos ,9733,650 Th. €,Lucian Sanmartean,06/07,Netherlands,200,FC Utrecht 
"Jul 1, 2003",900 Th. €,Romania,4688,Gloria Bistrita ,9733,-,Lucian Sanmartean,03/04,Greece,265,Panathinaikos 
"Jul 1, 1998",-,Romania,14290,Gloria Bistrita U19 ,9733,-,Lucian Sanmartean,98/99,Romania,4688,Gloria Bistrita 
"May 16, 2016",-,,515,Unattached ,13831,-,Marius Niculae,15/16,,123,End of career 
"Jul 1, 2015",-,Romania,312,Dinamo Bukarest ,13831,300 Th. €,Marius Niculae,15/16,,515,Unattached 
"Jan 1, 2015",-,Romania,515,Unattached ,13831,450 Th. €,Marius Niculae,14/15,,312,Dinamo Bukarest 
"Aug 22, 2014",-,Turkey,6630,Sanliurfaspor  ,13831,450 Th. €,Marius Niculae,14/15,,515,Unattached 
"Jul 27, 2014",Free transfer,Ukraine,6996,Goverla ,13831,650 Th. €,Marius Niculae,14/15,Turkey,6630,Sanliurfaspor  
"Sep 6, 2013",Free transfer,China,3182,SD Luneng ,13831,"1,25 Mill. €",Marius Niculae,13/14,Ukraine,6996,Goverla 
"Feb 19, 2013",500 Th. €,Romania,8174,FC Vaslui ,13831,"2,50 Mill. €",Marius Niculae,12/13,China,3182,SD Luneng 
"Jul 20, 2012",250 Th. €,Romania,312,Dinamo Bukarest ,13831,"2,10 Mill. €",Marius Niculae,12/13,Romania,8174,FC Vaslui 
"Jun 30, 2011",End of loan,Greece,3391,AO Kavala ,13831,"1,50 Mill. €",Marius Niculae,10/11,Romania,312,Dinamo Bukarest 
"Jan 1, 2011",Loan fee:50 Th. €,Romania,312,Dinamo Bukarest ,13831,"1,80 Mill. €",Marius Niculae,10/11,Greece,3391,AO Kavala 
"Jul 1, 2008",600 Th. €,Scotland,2451,Inverness Cal. ,13831,500 Th. €,Marius Niculae,08/09,Romania,312,Dinamo Bukarest 
"Jul 1, 2007",Free transfer,Germany,39,1.FSV Mainz 05 ,13831,"1,20 Mill. €",Marius Niculae,07/08,Scotland,2451,Inverness Cal. 
"Jul 1, 2006",Free transfer,Belgium,3057,Standard Liège ,13831,"1,80 Mill. €",Marius Niculae,06/07,Germany,39,1.FSV Mainz 05 
"Jul 1, 2005",Free transfer,Portugal,336,Sporting CP ,13831,"2,00 Mill. €",Marius Niculae,05/06,Belgium,3057,Standard Liège 
"Jul 1, 2001","5,30 Mill. €",Romania,312,Dinamo Bukarest ,13831,-,Marius Niculae,01/02,Portugal,336,Sporting CP 
"Jul 1, 1996",-,Romania,14279,Dinamo Bukarest U19 ,13831,-,Marius Niculae,96/97,Romania,312,Dinamo Bukarest 
"Jul 1, 2016",?,Uruguay,2419,River Plate ,74250,100 Th. €,Darío Flores,16/17,Guatemala,13047,CSD Municipal 
"Jul 15, 2015",Free transfer,Italy,18950,Matera ,74250,200 Th. €,Darío Flores,15/16,Uruguay,2419,River Plate 
"Jan 14, 2015",?,Italy,839,Perugia ,74250,300 Th. €,Darío Flores,14/15,Italy,18950,Matera 
"Aug 1, 2014",Free transfer,Uruguay,17428,Juventud ,74250,300 Th. €,Darío Flores,14/15,Italy,839,Perugia 
"Jul 16, 2013",Free transfer,Uruguay,20189,Cerro Largo ,74250,300 Th. €,Darío Flores,13/14,Uruguay,17428,Juventud 
"Jan 30, 2013",Free transfer,Uruguay,14598,Rampla Jrs ,74250,300 Th. €,Darío Flores,12/13,Uruguay,20189,Cerro Largo 
"Aug 20, 2012",Free transfer,Chile,6536,CD Palestino ,74250,300 Th. €,Darío Flores,12/13,Uruguay,14598,Rampla Jrs 
"Jul 1, 2011",Free transfer,Romania,7769,CFR Cluj ,74250,500 Th. €,Darío Flores,11/12,Chile,6536,CD Palestino 
"Jun 30, 2011",End of loan,Uruguay,14758,Racing Club ,74250,500 Th. €,Darío Flores,10/11,Romania,7769,CFR Cluj 
"Jan 13, 2010",Loan,Romania,7769,CFR Cluj ,74250,600 Th. €,Darío Flores,09/10,Uruguay,14758,Racing Club 
"Jan 10, 2009",600 Th. €,Uruguay,2419,River Plate ,74250,-,Darío Flores,08/09,Romania,7769,CFR Cluj 
"Jan 1, 2008",?,Uruguay,2403,Wanderers ,74250,-,Darío Flores,07/08,Uruguay,2419,River Plate 
"Jul 1, 2007",?,Uruguay,861,Peñarol ,74250,-,Darío Flores,07/08,Uruguay,2403,Wanderers 
"Jan 1, 2006",?,Uruguay,2419,River Plate ,74250,-,Darío Flores,05/06,Uruguay,861,Peñarol 
"Jan 1, 2002",-,Uruguay,27778,River Plate U19 ,74250,-,Darío Flores,01/02,Uruguay,2419,River Plate 
"Apr 22, 2013",?,Brazil,75,Unknown ,40459,300 Th. â‚¬,Thiago ConstÃ¢ncia,12/13,,22925,CamboriÃº-SC 
"Jan 1, 2013",Free transfer,Hongkong,24896,HK Pegasus ,40459,300 Th. â‚¬,Thiago ConstÃ¢ncia,12/13,,75,Unknown 
"Sep 29, 2012",-,Hongkong,515,Unattached ,40459,300 Th. â‚¬,Thiago ConstÃ¢ncia,12/13,,24896,HK Pegasus 
"Jul 1, 2011",-,Ukraine,2477,Karpaty ,40459,300 Th. â‚¬,Thiago ConstÃ¢ncia,11/12,,515,Unattached 
"Oct 1, 2010",Free transfer,Romania,15947,Dinamo II ,40459,450 Th. â‚¬,Thiago ConstÃ¢ncia,10/11,Ukraine,2477,Karpaty 
"Jan 1, 2009",-,Romania,312,Dinamo Bukarest ,40459,700 Th. â‚¬,Thiago ConstÃ¢ncia,08/09,Romania,15947,Dinamo II 
"Jul 1, 2008",550 Th. â‚¬,Moldova,2481,Sheriff ,40459,-,Thiago ConstÃ¢ncia,08/09,Romania,312,Dinamo Bukarest 
"Jul 1, 2006",?,Brazil,8793,Bragantino ,40459,-,Thiago ConstÃ¢ncia,06/07,Moldova,2481,Sheriff 
"Jan 1, 2006",?,Brazil,11932,Cabofriense ,40459,-,Thiago ConstÃ¢ncia,05/06,Brazil,8793,Bragantino 
"Jan 1, 2005",?,Brazil,11960,UniÃ£o Bandeiran ,40459,-,Thiago ConstÃ¢ncia,04/05,Brazil,11932,Cabofriense 
"Jul 1, 2004",?,Netherlands,24366,Feyenoord U21 ,40459,-,Thiago ConstÃ¢ncia,04/05,Brazil,11960,UniÃ£o Bandeiran 
"Jul 1, 2003",?,Brazil,309,ParanÃ¡ ,40459,-,Thiago ConstÃ¢ncia,03/04,Netherlands,24366,Feyenoord U21 
"Jan 1, 2003",?,Brazil,15030,Guarani Futebol Clube (SP) U19 ,40459,-,Thiago ConstÃ¢ncia,02/03,Brazil,309,ParanÃ¡ 
"Feb 1, 2016",100 Th. €,Romania,312,Dinamo Bukarest ,81421,"1,00 Mill. €",Cosmin Matei,15/16,Greece,3060,Atromitos Athen 
"Jan 1, 2012",Free transfer,Romania,13499,Astra Ploiesti ,81421,550 Th. €,Cosmin Matei,11/12,Romania,312,Dinamo Bukarest 
"Jul 1, 2011",200 Th. €,Romania,301,Steaua ,81421,600 Th. €,Cosmin Matei,11/12,Romania,13499,Astra Ploiesti 
"Jul 1, 2010",100 Th. €,Romania,5267,Farul ,81421,200 Th. €,Cosmin Matei,10/11,Romania,301,Steaua 
"Jul 1, 2008",-,Romania,17437,Constanta U19 ,81421,-,Cosmin Matei,08/09,Romania,5267,Farul 
"Aug 1, 2015",Free transfer,Portugal,4750,Olhanense ,22551,50 Th. €,Nuno Diogo,15/16,Portugal,3349,Feirense 
"Jul 30, 2014",-,Portugal,515,Unattached ,22551,250 Th. €,Nuno Diogo,14/15,,4750,Olhanense 
"Jul 1, 2013",Free transfer,Romania,7769,CFR Cluj ,22551,250 Th. €,Nuno Diogo,13/14,,515,Unattached 
"Jul 1, 2010",Free transfer,Romania,4687,FC Brasov ,22551,900 Th. €,Nuno Diogo,10/11,Romania,7769,CFR Cluj 
"Jul 1, 2009",Free transfer,Romania,12682,CS Otopeni ,22551,650 Th. €,Nuno Diogo,09/10,Romania,4687,FC Brasov 
"Jul 1, 2008",Free transfer,Portugal,3345,Leixões ,22551,500 Th. €,Nuno Diogo,08/09,Romania,12682,CS Otopeni 
"Jul 1, 2007",?,Portugal,3327,Penafiel ,22551,300 Th. €,Nuno Diogo,07/08,Portugal,3345,Leixões 
"Jul 1, 2004",?,Portugal,2434,Salgueiros ,22551,-,Nuno Diogo,04/05,Portugal,3327,Penafiel 
"Jul 1, 2003",?,Portugal,3267,Leça ,22551,-,Nuno Diogo,03/04,Portugal,2434,Salgueiros 
"Jul 1, 2002",?,Portugal,336,Sporting CP ,22551,-,Nuno Diogo,02/03,Portugal,3267,Leça 
"Jul 1, 2001",-,Portugal,10283,Sporting U19 ,22551,-,Nuno Diogo,01/02,Portugal,336,Sporting CP 
"Jul 1, 1998",-,Portugal,48365,Sporting Sub17 ,22551,-,Nuno Diogo,98/99,Portugal,10283,Sporting U19 
"Aug 22, 2015",Free transfer,Spain,368,Sevilla FC ,81433,"2,00 Mill. €",Raul Rusescu,15/16,Turkey,2944,Osmanlispor 
"Jun 30, 2015",End of loan,Romania,301,Steaua ,81433,"2,50 Mill. €",Raul Rusescu,14/15,Spain,368,Sevilla FC 
"Sep 1, 2014",Loan,Spain,368,Sevilla FC ,81433,"3,00 Mill. €",Raul Rusescu,14/15,Romania,301,Steaua 
"Jun 30, 2014",End of loan,Portugal,1075,Braga ,81433,"3,00 Mill. €",Raul Rusescu,13/14,Spain,368,Sevilla FC 
"Jan 1, 2014",Loan fee:225 Th. €,Spain,368,Sevilla FC ,81433,"2,50 Mill. €",Raul Rusescu,13/14,Portugal,1075,Braga 
"Jul 1, 2013","2,20 Mill. €",Romania,301,Steaua ,81433,"4,60 Mill. €",Raul Rusescu,13/14,Spain,368,Sevilla FC 
"Jul 1, 2011",200 Th. €,Romania,10442,Unirea Urziceni ,81433,"1,00 Mill. €",Raul Rusescu,11/12,Romania,301,Steaua 
"Jun 30, 2008",End of loan,Romania,12682,CS Otopeni ,81433,-,Raul Rusescu,07/08,Romania,10442,Unirea Urziceni 
"Jul 1, 2007",Loan,Romania,10442,Unirea Urziceni ,81433,-,Raul Rusescu,07/08,Romania,12682,CS Otopeni 
"Jun 30, 2007",End of loan,Romania,14572,Astra Giur. II ,81433,-,Raul Rusescu,06/07,Romania,10442,Unirea Urziceni 
"Jan 1, 2007",Loan,Romania,10442,Unirea Urziceni ,81433,-,Raul Rusescu,06/07,Romania,14572,Astra Giur. II 
"Jul 1, 2005",Free transfer,Romania,11147,Ramnicu Valcea ,81433,-,Raul Rusescu,05/06,Romania,10442,Unirea Urziceni 
"Jan 1, 2015",Free transfer,Brazil,32500,Peñarol-AM ,54300,50 Th. €,Ramon,14/15,Brazil,8143,São Raimundo Esporte Clube (AM) 
"Jan 1, 2014",Free transfer,Brazil,21604,Farroupilha ,54300,50 Th. €,Ramon,13/14,Brazil,32500,Peñarol-AM 
"Jan 1, 2011",Free transfer,Brazil,10117,Grêmio Esportivo Juventus (SC) ,54300,50 Th. €,Ramon,10/11,Brazil,21604,Farroupilha 
"Jul 1, 2009",Free transfer,Romania,9560,Poli. Iasi ,54300,50 Th. €,Ramon,09/10,Brazil,10117,Grêmio Esportivo Juventus (SC) 
"Feb 1, 2009",Free transfer,Brazil,16665,Figueirense U20 ,54300,50 Th. €,Ramon,08/09,Romania,9560,Poli. Iasi 
"Jan 1, 2007",-,Brazil,16665,Figueirense U20 ,54300,-,Ramon,06/07,Brazil,4064,Figueirense FC 
"Jul 1, 2013",?,Portugal,979,Moreirense  ,14365,200 Th. €,Ricardo Fernandes,13/14,Portugal,3326,Fafe 
"Jul 1, 2011",?,Portugal,2425,Rio Ave FC ,14365,300 Th. €,Ricardo Fernandes,11/12,Portugal,979,Moreirense  
"Jan 1, 2011",?,Romania,455,Rapid Bucharest ,14365,800 Th. €,Ricardo Fernandes,10/11,Portugal,2425,Rio Ave FC 
"Jul 1, 2008",500 Th. €,Portugal,982,Nacional ,14365,500 Th. €,Ricardo Fernandes,08/09,Romania,455,Rapid Bucharest 
"Jul 1, 2005",Free transfer,Portugal,979,Moreirense  ,14365,250 Th. €,Ricardo Fernandes,05/06,Portugal,982,Nacional 
"Jul 1, 2003",?,Portugal,2434,Salgueiros ,14365,-,Ricardo Fernandes,03/04,Portugal,979,Moreirense  
"Jul 1, 1999",?,Portugal,3326,Fafe ,14365,-,Ricardo Fernandes,99/00,Portugal,2434,Salgueiros 
"Jul 1, 1997",?,Portugal,15581,Guimarães U19 ,14365,-,Ricardo Fernandes,97/98,Portugal,3326,Fafe 
"Jan 1, 2015",Free transfer,Romania,33966,CSMS Iasi ,22560,300 Th. €,Wesley,14/15,Brazil,1278,UA Barbarense 
"Jul 28, 2014",Free transfer,Colombia,2350,Millonarios ,22560,600 Th. €,Wesley,14/15,Romania,33966,CSMS Iasi 
"Jan 25, 2014",-,Colombia,515,Unattached ,22560,"1,30 Mill. €",Wesley,13/14,,2350,Millonarios 
"Jul 1, 2013",-,Saudi Arabia,1114,Hilal ,22560,"1,30 Mill. €",Wesley,13/14,,515,Unattached 
"Jul 25, 2012","3,00 Mill. €",Romania,8174,FC Vaslui ,22560,"2,50 Mill. €",Wesley,12/13,Saudi Arabia,1114,Hilal 
"Feb 1, 2009","1,50 Mill. €",Portugal,3345,Leixões ,22560,"2,60 Mill. €",Wesley,08/09,Romania,8174,FC Vaslui 
"Jul 1, 2008",Free transfer,Spain,1108,Alavés ,22560,"1,30 Mill. €",Wesley,08/09,Portugal,3345,Leixões 
"Jun 30, 2008",End of loan,Portugal,2995,Paços Ferreira ,22560,"1,30 Mill. €",Wesley,07/08,Spain,1108,Alavés 
"Aug 1, 2007",Loan,Spain,1108,Alavés ,22560,"1,00 Mill. €",Wesley,07/08,Portugal,2995,Paços Ferreira 
"Jun 30, 2007",End of loan,Switzerland,504,Grasshoppers ,22560,"1,00 Mill. €",Wesley,06/07,Spain,1108,Alavés 
"Feb 1, 2007",Loan fee:300 Th. €,Spain,1108,Alavés ,22560,"2,00 Mill. €",Wesley,06/07,Switzerland,504,Grasshoppers 
"Jun 30, 2006",End of loan,Portugal,2420,Vit. Guimarães ,22560,"2,00 Mill. €",Wesley,05/06,Spain,1108,Alavés 
"Jan 1, 2006",Loan,Spain,1108,Alavés ,22560,"2,00 Mill. €",Wesley,05/06,Portugal,2420,Vit. Guimarães 
"Jul 1, 2005",?,Portugal,3327,Penafiel ,22560,"2,00 Mill. €",Wesley,05/06,Spain,1108,Alavés 
"Jul 1, 2003",?,Brazil,10870,Fortaleza ,22560,-,Wesley,03/04,Portugal,3327,Penafiel 
"Jan 1, 2003",?,"Korea, South",3301,Bluewings ,22560,-,Wesley,02/03,Brazil,10870,Fortaleza 
"Jul 1, 2002",?,Brazil,1134,Ponte Preta ,22560,-,Wesley,02/03,"Korea, South",3301,Bluewings 
"Jul 1, 1999",-,Brazil,17656,Ponte Preta U17 ,22560,-,Wesley,99/00,Brazil,1134,Ponte Preta 
"Jan 1, 2012",-,Romania,11376,Braila ,81442,100 Th. €,Valentin Stan,11/12,,123,End of career 
"Jul 1, 2011",?,Romania,11380,Gloria Buzau ,81442,450 Th. €,Valentin Stan,11/12,Romania,11376,Braila 
"Jul 1, 2010",?,Romania,2418,Arges Pitesti ,81442,450 Th. €,Valentin Stan,10/11,Romania,11380,Gloria Buzau 
"Jul 1, 2008",?,Moldova,2714,Zimbru Chisinau ,81442,-,Valentin Stan,08/09,Romania,2418,Arges Pitesti 
"Jul 1, 2005",?,Romania,11376,Dacia U. Brăila ,81442,-,Valentin Stan,05/06,Moldova,2714,Zimbru Chisinau 
"Jul 1, 2004",?,Romania,11378,Dunarea Galati ,81442,-,Valentin Stan,04/05,Romania,11376,Dacia U. Brăila 
"Jul 1, 2000",?,Romania,6459,Cimentul Fieni ,81442,-,Valentin Stan,00/01,Romania,11378,Dunarea Galati 
"Jul 1, 1999",?,Romania,11380,Gloria Buzau ,81442,-,Valentin Stan,99/00,Romania,6459,Cimentul Fieni 
"Jan 1, 1999",?,Romania,11378,Dunarea Galati ,81442,-,Valentin Stan,98/99,Romania,11380,Gloria Buzau 
"Jul 1, 1997",?,Romania,21630,Buzau U19 ,81442,-,Valentin Stan,97/98,Romania,11378,Dunarea Galati 
"Jul 1, 2012",Free transfer,England,352,Swindon Town ,22055,"1,00 Mill. €",Lukas Magera,12/13,Czech Republic,5546,Mladá Boleslav 
"Jun 30, 2012",End of loan,Czech Republic,377,Banik Ostrava ,22055,"1,00 Mill. €",Lukas Magera,11/12,England,352,Swindon Town 
"Feb 21, 2012",Loan,England,352,Swindon Town ,22055,"1,00 Mill. €",Lukas Magera,11/12,Czech Republic,377,Banik Ostrava 
"Aug 22, 2011",?,Romania,7074,Poli. Timisoara ,22055,"1,60 Mill. €",Lukas Magera,11/12,England,352,Swindon Town 
"Jul 1, 2008",970 Th. €,Czech Republic,377,Banik Ostrava ,22055,650 Th. €,Lukas Magera,08/09,Romania,7074,Poli. Timisoara 
"Dec 31, 2004",End of loan,Czech Republic,6380,SK Kladno ,22055,-,Lukas Magera,04/05,Czech Republic,377,Banik Ostrava 
"Jul 1, 2004",Loan,Czech Republic,377,Banik Ostrava ,22055,-,Lukas Magera,04/05,Czech Republic,6380,SK Kladno 
"Jul 1, 2002",-,Czech Republic,15762,Ostrava U19 ,22055,-,Lukas Magera,02/03,Czech Republic,377,Banik Ostrava 
"Jul 1, 2009",-,Romania,8104,Gaz Metan ,92304,50 Th. €,Sorin Gavris,09/10,,515,Unattached 
"Jul 11, 2013",Free transfer,South Africa,31283,Chippa United ,65031,200 Th. €,Kassaly Daouda,13/14,Niger,45754,ASN Nigelec 
"Sep 2, 2012",?,Cameroon,4675,Cotonsport ,65031,200 Th. €,Kassaly Daouda,12/13,South Africa,31283,Chippa United 
"Jul 1, 2009",Free transfer,Romania,455,Rapid Bucharest ,65031,150 Th. €,Kassaly Daouda,09/10,Cameroon,4675,Cotonsport 
"Feb 1, 2009",?,Cameroon,4675,Cotonsport ,65031,150 Th. €,Kassaly Daouda,08/09,Romania,455,Rapid Bucharest 
"Jul 1, 2006",?,Niger,14244,Sahel SC ,65031,-,Kassaly Daouda,06/07,Cameroon,4675,Cotonsport 
"Jul 1, 2004",?,Niger,14237,Tenere Niamey ,65031,-,Kassaly Daouda,04/05,Niger,14244,Sahel SC 
"Jan 1, 2010",?,Russia,2703,Alania ,13871,500 Th. €,Paulo Adriano,09/10,Portugal,4747,Anadia 
"Aug 1, 2009",Free transfer,Romania,4687,FC Brasov ,13871,500 Th. €,Paulo Adriano,09/10,Russia,2703,Alania 
"Jul 1, 2007",400 Th. €,Portugal,2420,Vit. Guimarães ,13871,350 Th. €,Paulo Adriano,07/08,Romania,4687,FC Brasov 
"Jan 1, 2007",?,Cyprus,2156,AEK Larnaca ,13871,350 Th. €,Paulo Adriano,06/07,Portugal,2420,Vit. Guimarães 
"Jul 1, 2006",Free transfer,Portugal,2990,Coimbra ,13871,350 Th. €,Paulo Adriano,06/07,Cyprus,2156,AEK Larnaca 
"Jul 1, 1998",?,Portugal,4747,Anadia ,13871,-,Paulo Adriano,98/99,Portugal,2990,Coimbra 
"Jul 1, 1996",-,Portugal,464,Own U19 ,13871,-,Paulo Adriano,96/97,,4747,Anadia 
"Aug 28, 2014",?,Romania,41278,Argesul Pitesti ,81673,125 Th. €,Andrei Bărbulescu,14/15,Romania,37200,Atletic Bradu 
"Jan 9, 2012",?,Romania,37200,Atletic Bradu ,81673,125 Th. €,Andrei Bărbulescu,11/12,Romania,41278,Argesul Pitesti 
