date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2016",,-,England,11.0,Arsenal ,7451,"2,00 Mill. €",Mikel Arteta,16/17,,123.0,End of career 
"Aug 31, 2011",,"12,00 Mill. €",England,29.0,Everton ,7451,"15,00 Mill. €",Mikel Arteta,11/12,England,11.0,Arsenal 
"Jul 1, 2005",,"2,80 Mill. €",Spain,681.0,Real Sociedad ,7451,"8,00 Mill. €",Mikel Arteta,05/06,England,29.0,Everton 
"May 16, 2005",,End of loan,England,29.0,Everton ,7451,"8,00 Mill. €",Mikel Arteta,04/05,Spain,681.0,Real Sociedad 
"Jan 31, 2005",,Loan,Spain,681.0,Real Sociedad ,7451,"8,00 Mill. €",Mikel Arteta,04/05,England,29.0,Everton 
"Jul 9, 2004",,"4,00 Mill. €",Scotland,124.0,Rangers ,7451,-,Mikel Arteta,04/05,Spain,681.0,Real Sociedad 
"Jul 1, 2002",,"7,90 Mill. €",Spain,131.0,FC Barcelona ,7451,-,Mikel Arteta,02/03,Scotland,124.0,Rangers 
"May 1, 2002",,End of loan,France,583.0,Paris SG ,7451,-,Mikel Arteta,01/02,Spain,131.0,FC Barcelona 
"Jan 1, 2001",,Loan,Spain,131.0,FC Barcelona ,7451,-,Mikel Arteta,00/01,France,583.0,Paris SG 
"Jul 1, 2000",,-,Spain,2464.0,FC Barcelona B ,7451,-,Mikel Arteta,00/01,Spain,131.0,FC Barcelona 
"Jul 1, 2008",,-,Spain,3368.0,Levante UD ,9487,"2,00 Mill. €",Shota Arveladze,08/09,,123.0,End of career 
"Jul 1, 2007",,Free transfer,Netherlands,1090.0,AZ Alkmaar ,9487,"4,20 Mill. €",Shota Arveladze,07/08,Spain,3368.0,Levante UD 
"Jul 1, 2005",,Free transfer,Scotland,124.0,Rangers ,9487,"4,50 Mill. €",Shota Arveladze,05/06,Netherlands,1090.0,AZ Alkmaar 
"Jul 1, 2001",,"4,50 Mill. €",Netherlands,610.0,AFC Ajax ,9487,-,Shota Arveladze,01/02,Scotland,124.0,Rangers 
"Jul 1, 1997",,"1,60 Mill. €",Turkey,449.0,Trabzonspor ,9487,-,Shota Arveladze,97/98,Netherlands,610.0,AFC Ajax 
"Jul 1, 1993",,Free transfer,Georgia,663.0,Dinamo Tbilisi ,9487,-,Shota Arveladze,93/94,Turkey,449.0,Trabzonspor 
"Jul 1, 1992",,Free transfer,Georgia,2950.0,FC Samtredia ,9487,-,Shota Arveladze,92/93,Georgia,663.0,Dinamo Tbilisi 
"Jul 1, 1990",,Free transfer,Georgia,2949.0,Martve Tiflis ,9487,-,Shota Arveladze,90/91,Georgia,2950.0,FC Samtredia 
"Jul 1, 2010",,-,Denmark,190.0,FC Copenhagen ,9492,750 Th. €,Ulrik Laursen,10/11,,123.0,End of career 
"Jan 1, 2008",,"2,30 Mill. €",Denmark,173.0,Odense BK ,9492,"1,50 Mill. €",Ulrik Laursen,07/08,Denmark,190.0,FC Copenhagen 
"Jul 1, 2005",,"1,50 Mill. €",Scotland,371.0,Celtic ,9492,"2,25 Mill. €",Ulrik Laursen,05/06,Denmark,173.0,Odense BK 
"Jul 1, 2002",,"2,25 Mill. €",Scotland,903.0,Hibernian FC ,9492,-,Ulrik Laursen,02/03,Scotland,371.0,Celtic 
"Jul 1, 2000",,Free transfer,Denmark,173.0,Odense BK ,9492,-,Ulrik Laursen,00/01,Scotland,903.0,Hibernian FC 
"Jul 1, 1993",,-,Denmark,10598.0,OB Youth ,9492,-,Ulrik Laursen,93/94,Denmark,173.0,Odense BK 
"Jul 1, 2007",,-,Scotland,2553.0,Kilmarnock FC ,9494,"1,65 Mill. €",Momo Sylla,07/08,,123.0,End of career 
"Jan 1, 2007",,350 Th. €,England,1003.0,Leicester ,9494,"1,65 Mill. €",Momo Sylla,06/07,Scotland,2553.0,Kilmarnock FC 
"Jul 1, 2005",,Free transfer,Scotland,371.0,Celtic ,9494,"1,65 Mill. €",Momo Sylla,05/06,England,1003.0,Leicester 
"Jul 1, 2001",,975 Th. €,Scotland,2578.0,St. Johnstone ,9494,-,Momo Sylla,01/02,Scotland,371.0,Celtic 
"Jul 1, 2000",,Free transfer,France,1164.0,Le Mans ,9494,-,Momo Sylla,00/01,Scotland,2578.0,St. Johnstone 
"Jul 1, 1999",,Free transfer,France,738.0,AC Le Havre ,9494,-,Momo Sylla,99/00,France,1164.0,Le Mans 
"Jun 30, 1998",,End of loan,France,7714.0,Olympique Noisy-le-Sec ,9494,-,Momo Sylla,97/98,France,738.0,AC Le Havre 
"Jul 1, 1997",,Loan,France,738.0,AC Le Havre ,9494,-,Momo Sylla,97/98,France,7714.0,Olympique Noisy-le-Sec 
"Jul 1, 1996",,?,France,2067.0,US Créteil ,9494,-,Momo Sylla,96/97,France,738.0,AC Le Havre 
"Jul 1, 1995",,?,France,75.0,Unknown ,9494,-,Momo Sylla,95/96,,2067.0,US Créteil 
,,,,,,104727,,,,,,
"Jan 1, 2012",,Free transfer,England,677.0,Ipswich ,9496,100 Th. €,Colin Healy,11/12,Ireland,27774.0,Cork City 
"May 1, 2010",,End of loan,Scotland,1191.0,Falkirk FC ,9496,300 Th. €,Colin Healy,09/10,England,677.0,Ipswich 
