date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 19, 2015",Free transfer,India,45277,Kerala Blasters ,12673,500 Th. €,Stephen Pearson,14/15,Scotland,987,Motherwell FC 
"Sep 1, 2014",Free transfer,England,698,Bristol City ,12673,500 Th. €,Stephen Pearson,14/15,India,45277,Kerala Blasters 
"Nov 1, 2011",Free transfer,England,22,Derby ,12673,"1,25 Mill. €",Stephen Pearson,11/12,England,698,Bristol City 
"May 1, 2008",End of loan,England,512,Stoke City ,12673,"1,75 Mill. €",Stephen Pearson,07/08,England,22,Derby 
"Mar 1, 2008",Loan,England,22,Derby ,12673,"1,75 Mill. €",Stephen Pearson,07/08,England,512,Stoke City 
"Jul 1, 2006","1,13 Mill. €",Scotland,371,Celtic ,12673,850 Th. €,Stephen Pearson,06/07,England,22,Derby 
"Jan 1, 2004",525 Th. €,Scotland,987,Motherwell FC ,12673,-,Stephen Pearson,03/04,Scotland,371,Celtic 
"Jul 1, 2000",-,Scotland,2987,Motherwell FC U20 ,12673,-,Stephen Pearson,00/01,Scotland,987,Motherwell FC 
"Jul 1, 2015",-,England,22620,Jarrow Roofing ,21381,-,Peter Leven,15/16,,123,End of career 
"Aug 18, 2014",-,England,515,Unattached ,21381,225 Th. €,Peter Leven,14/15,,22620,Jarrow Roofing 
"Jul 1, 2013",-,England,988,Oxford United ,21381,225 Th. €,Peter Leven,13/14,,515,Unattached 
"Jul 1, 2011",Free transfer,England,991,MK Dons ,21381,225 Th. €,Peter Leven,11/12,England,988,Oxford United 
"Jul 1, 2008",Free transfer,England,1219,Chesterfield FC ,21381,225 Th. €,Peter Leven,08/09,England,991,MK Dons 
"Jul 1, 2007",Free transfer,Scotland,2553,Kilmarnock FC ,21381,225 Th. €,Peter Leven,07/08,England,1219,Chesterfield FC 
"Jul 1, 2004",Free transfer,Scotland,124,Rangers ,21381,-,Peter Leven,04/05,Scotland,2553,Kilmarnock FC 
"Jul 1, 2000",-,Scotland,31029,Glasgow Rangers U17 ,21381,-,Peter Leven,00/01,Scotland,124,Rangers 
"Jan 1, 2016",End of loan,India,45321,FC Goa ,15895,300 Th. €,Darryl Duffy,15/16,India,27140,Salgaocar SC 
"Sep 2, 2015",Loan,India,27140,Salgaocar SC ,15895,300 Th. €,Darryl Duffy,15/16,India,45321,FC Goa 
"Aug 5, 2013",Free transfer,England,3371,Cheltenham Town ,15895,300 Th. €,Darryl Duffy,13/14,India,27140,Salgaocar SC 
"Jul 1, 2011",Free transfer,England,2455,Bristol Rovers ,15895,300 Th. €,Darryl Duffy,11/12,England,3371,Cheltenham Town 
"May 1, 2011",End of loan,Scotland,903,Hibernian FC ,15895,300 Th. €,Darryl Duffy,10/11,England,2455,Bristol Rovers 
"Aug 1, 2010",Loan,England,2455,Bristol Rovers ,15895,350 Th. €,Darryl Duffy,10/11,Scotland,903,Hibernian FC 
"Apr 1, 2010",End of loan,England,1220,Carlisle United ,15895,400 Th. €,Darryl Duffy,09/10,England,2455,Bristol Rovers 
