date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 1, 2015",Free transfer,Moldova,36136,FC Veris ,49152,200 Th. €,Petru Racu,14/15,Moldova,30686,Milsami Orhei 
"Jul 1, 2013",-,Moldova,515,Unattached ,49152,200 Th. €,Petru Racu,13/14,,36136,FC Veris 
"Jun 1, 2012",-,Denmark,19657,Vendsyssel FF ,49152,200 Th. €,Petru Racu,11/12,,515,Unattached 
"Jan 1, 2012",Free transfer,Sweden,2844,IFK Norrköping ,49152,200 Th. €,Petru Racu,11/12,Denmark,19657,Vendsyssel FF 
"Dec 1, 2008",End of loan,Finland,2688,MYPA ,49152,250 Th. €,Petru Racu,08/09,Sweden,2844,IFK Norrköping 
"Aug 1, 2008",Loan,Sweden,2844,IFK Norrköping ,49152,75 Th. €,Petru Racu,08/09,Finland,2688,MYPA 
"Jan 1, 2007",?,Moldova,2714,Zimbru Chisinau ,49152,-,Petru Racu,06/07,Sweden,2844,IFK Norrköping 
"Aug 22, 2014",?,Sweden,801,IFK GÃ¶teborg ,77314,"1,00 Mill. â‚¬",Robin SÃ¶der,14/15,Denmark,3426,Esbjerg fB 
"Jan 1, 2008",-,Sweden,8867,IFK U19 ,77314,-,Robin SÃ¶der,07/08,Sweden,801,IFK GÃ¶teborg 
"Jan 1, 2007",-,Sweden,15621,Norrköping U19 ,49158,-,Christopher Telo,06/07,Sweden,2844,IFK Norrköping 
"Jan 1, 2009",?,Norway,421,Kongsvinger ,44039,400 Th. €,Andreas Kristoffersson,08/09,,75,Unknown 
"Aug 1, 2008",?,Sweden,8882,Ljungskile SK ,44039,400 Th. €,Andreas Kristoffersson,08/09,Norway,421,Kongsvinger 
"Jan 1, 2006",?,Sweden,9015,Trollhättan ,44039,-,Andreas Kristoffersson,05/06,Sweden,8882,Ljungskile SK 
"Apr 6, 2009",-,Sweden,8882,Ljungskile SK ,22025,-,Jon Lundblad,09/10,,123,End of career 
"Dec 1, 2007",?,Sweden,1056,Örebro SK ,22025,300 Th. €,Jon Lundblad,07/08,Sweden,8882,Ljungskile SK 
"Jul 1, 2007",Free transfer,France,1421,Reims ,22025,300 Th. €,Jon Lundblad,07/08,Sweden,1056,Örebro SK 
"Jan 1, 2006",?,Sweden,1056,Örebro SK ,22025,-,Jon Lundblad,05/06,France,1421,Reims 
"Jan 1, 2016",Free transfer,Norway,8656,Brumunddal Fotball ,36368,275 Th. €,Saihou Jagne,15/16,Norway,4309,HamKam 
"Jul 15, 2015",Free transfer,Sweden,42657,Ange IF ,36368,275 Th. €,Saihou Jagne,15/16,Norway,8656,Brumunddal Fotball 
"Jul 18, 2014",Free transfer,Norway,35061,Birkebeineren ,36368,275 Th. €,Saihou Jagne,14/15,Sweden,42657,Ange IF 
"Mar 30, 2014",Free transfer,Norway,75,Unknown ,36368,275 Th. €,Saihou Jagne,13/14,,35061,Birkebeineren 
"Aug 20, 2013",Free transfer,Sweden,8877,AFC United ,36368,275 Th. €,Saihou Jagne,13/14,,75,Unknown 
"Mar 1, 2013",Free transfer,Finland,6017,IFK Mariehamn ,36368,275 Th. €,Saihou Jagne,12/13,Sweden,8877,AFC United 
"Mar 1, 2012",-,Finland,515,Unattached ,36368,200 Th. €,Saihou Jagne,11/12,,6017,IFK Mariehamn 
"Jan 1, 2012",-,Sweden,1092,Brommapojkarna ,36368,200 Th. €,Saihou Jagne,11/12,,515,Unattached 
"Jan 1, 2011",?,Sweden,272,AIK Solna ,36368,200 Th. €,Saihou Jagne,10/11,Sweden,1092,Brommapojkarna 
"Aug 1, 2010",End of loan,Sweden,2843,GIF Sundsvall ,36368,350 Th. €,Saihou Jagne,10/11,Sweden,272,AIK Solna 
"Mar 1, 2010",Loan,Sweden,272,AIK Solna ,36368,450 Th. €,Saihou Jagne,09/10,Sweden,2843,GIF Sundsvall 
"Dec 1, 2008",End of loan,Sweden,8877,AFC United ,36368,250 Th. €,Saihou Jagne,08/09,Sweden,272,AIK Solna 
"Jul 1, 2008",Loan,Sweden,272,AIK Solna ,36368,50 Th. €,Saihou Jagne,08/09,Sweden,8877,AFC United 
"Jan 1, 2008",?,Sweden,8877,AFC United ,36368,50 Th. €,Saihou Jagne,07/08,Sweden,272,AIK Solna 
"Dec 1, 2006",End of loan,Sweden,7908,Valsta Syr. ,36368,50 Th. €,Saihou Jagne,06/07,Sweden,8877,AFC United 
"Jul 1, 2006",Loan,Sweden,8877,AFC United ,36368,50 Th. €,Saihou Jagne,06/07,Sweden,7908,Valsta Syr. 
"Feb 13, 2015",-,Uruguay,515,Unattached ,69650,150 Th. €,Claudio Dádomo,14/15,,18078,Tanque Sisley 
"Aug 1, 2014",-,Uruguay,14806,Cerro ,69650,225 Th. €,Claudio Dádomo,14/15,,515,Unattached 
"Jan 18, 2013",Free transfer,Uruguay,2419,River Plate ,69650,225 Th. €,Claudio Dádomo,12/13,Uruguay,14806,Cerro 
"Jan 19, 2012",Free transfer,Greece,5220,Ergotelis ,69650,350 Th. €,Claudio Dádomo,11/12,Uruguay,2419,River Plate 
"Jul 25, 2011",Free transfer,Greece,2441,AEK FC ,69650,400 Th. €,Claudio Dádomo,11/12,Greece,5220,Ergotelis 
"Jul 5, 2010",Free transfer,Uruguay,14806,Cerro ,69650,250 Th. €,Claudio Dádomo,10/11,Greece,2441,AEK FC 
"Jan 1, 2009",Free transfer,Uruguay,2403,Wanderers ,69650,250 Th. €,Claudio Dádomo,08/09,Uruguay,14806,Cerro 
"Jun 30, 2008",End of loan,Sweden,1059,Hammarby IF ,69650,125 Th. €,Claudio Dádomo,07/08,Uruguay,2403,Wanderers 
"Jan 1, 2008",Loan,Uruguay,2403,Wanderers ,69650,-,Claudio Dádomo,07/08,Sweden,1059,Hammarby IF 
"Jul 1, 2004",Free transfer,Uruguay,866,Nacional ,69650,-,Claudio Dádomo,04/05,Uruguay,2403,Wanderers 
"Jan 1, 2003",Free transfer,Uruguay,2403,Wanderers ,69650,-,Claudio Dádomo,02/03,Uruguay,866,Nacional 
"Jan 1, 2000",-,Uruguay,27786,Wanderers U19 ,69650,-,Claudio Dádomo,99/00,Uruguay,2403,Wanderers 
"May 16, 2016",End of loan,Scotland,43,Heart of Midl. ,69651,700 Th. €,Abiola Dauda,15/16,Netherlands,499,Vitesse 
"Feb 1, 2016",Loan,Netherlands,499,Vitesse ,69651,700 Th. €,Abiola Dauda,15/16,Scotland,43,Heart of Midl. 
"Jul 24, 2014",500 Th. €,Serbia,159,Red Star ,69651,"1,25 Mill. €",Abiola Dauda,14/15,Netherlands,499,Vitesse 
"Feb 8, 2013",Free transfer,Sweden,3654,Kalmar FF ,69651,"1,00 Mill. €",Abiola Dauda,12/13,Serbia,159,Red Star 
"Jan 1, 2008",?,Sweden,8905,Sölvesborgs GoIF ,69651,-,Abiola Dauda,07/08,Sweden,3654,Kalmar FF 
"Jan 1, 2014",Free transfer,Sweden,701,Trelleborgs FF ,72726,-,Fisnik Shala,13/14,Sweden,17982,IFK Trelleborg 
"Jan 1, 2013",Free transfer,Sweden,17982,IFK Trelleborg ,72726,200 Th. €,Fisnik Shala,12/13,Sweden,701,Trelleborgs FF 
"Mar 1, 2012",Free transfer,Sweden,701,Trelleborgs FF ,72726,200 Th. €,Fisnik Shala,11/12,Sweden,17982,IFK Trelleborg 
"Jan 1, 2008",-,Sweden,14304,Trelleborgs FF U19 ,72726,-,Fisnik Shala,07/08,Sweden,701,Trelleborgs FF 
"Jun 1, 2010",?,Sweden,8885,Umeå FC ,36380,250 Th. €,Kali Ongala,09/10,Tanzania,28970,Azam FC 
"Mar 1, 2010",Loan,Sweden,2843,GIF Sundsvall ,36380,250 Th. €,Kali Ongala,09/10,Sweden,8885,Umeå FC 
"Aug 1, 2007",?,Sweden,8877,AFC United ,36380,125 Th. €,Kali Ongala,07/08,Sweden,2843,GIF Sundsvall 
"Jan 1, 2005",?,Tanzania,9052,Young Africans ,36380,-,Kali Ongala,04/05,Sweden,8877,AFC United 
"Jan 22, 2016",Free transfer,Brazil,4906,Macaé ,72230,200 Th. €,Anselmo,15/16,Brazil,10870,Fortaleza 
"May 3, 2015",Free transfer,Brazil,11266,Boavista Sport Club (RJ) ,72230,-,Anselmo,14/15,Brazil,4906,Macaé 
"Dec 15, 2014",Free transfer,Brazil,3234,Tombense ,72230,-,Anselmo,14/15,Brazil,11266,Boavista Sport Club (RJ) 
"May 1, 2014",Free transfer,Brazil,20132,Linense ,72230,-,Anselmo,13/14,Brazil,3234,Tombense 
"Dec 18, 2013",Free transfer,Brazil,15172,Atlético-GO ,72230,-,Anselmo,13/14,Brazil,20132,Linense 
"May 1, 2013",Free transfer,Brazil,2029,Ceará SC ,72230,-,Anselmo,12/13,Brazil,15172,Atlético-GO 
"Jan 1, 2013",Free transfer,China,17238,SH Shenxin ,72230,750 Th. €,Anselmo,12/13,Brazil,2029,Ceará SC 
"Jan 1, 2012",Free transfer,Brazil,15172,Atlético-GO ,72230,500 Th. €,Anselmo,11/12,China,17238,NC Bayi Hengyuan 
"May 1, 2011",Free transfer,Brazil,9030,Botafogo FC ,72230,"1,00 Mill. €",Anselmo,10/11,Brazil,15172,Atlético-GO 
