date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jan 20, 2014",?,Israel,810,Hapoel Haifa ,27232,400 Th. €,Nebojša Marinkovic,13/14,Australia,970,Perth Glory 
"Jul 1, 2013",?,Israel,6025,Hapoel Acre ,27232,400 Th. €,Nebojša Marinkovic,13/14,Israel,810,Hapoel Haifa 
"Jul 1, 2011",?,Israel,3785,M. Petah Tikva ,27232,400 Th. €,Nebojša Marinkovic,11/12,Israel,6025,Hapoel Acre 
"Jan 1, 2010",?,Serbia,4646,Teleoptik Zemun ,27232,500 Th. €,Nebojša Marinkovic,09/10,Israel,3785,M. Petah Tikva 
"Aug 1, 2009",?,Serbia,6621,FK Cukaricki ,27232,500 Th. €,Nebojša Marinkovic,09/10,Serbia,4646,Teleoptik Zemun 
"May 1, 2009",End of loan,Spain,5648,Gimnàstic ,27232,500 Th. €,Nebojša Marinkovic,08/09,Serbia,6621,FK Cukaricki 
"Jan 1, 2009",Loan,Serbia,6621,FK Cukaricki ,27232,450 Th. €,Nebojša Marinkovic,08/09,Spain,5648,Gimnàstic 
"Jul 1, 2008",50 Th. €,Serbia,669,FK Partizan ,27232,800 Th. €,Nebojša Marinkovic,08/09,Serbia,6621,FK Cukaricki 
"May 1, 2008",End of loan,Sweden,1044,Djurgardens IF ,27232,800 Th. €,Nebojša Marinkovic,07/08,Serbia,669,FK Partizan 
"Jan 1, 2008",Loan,Serbia,669,FK Partizan ,27232,"1,60 Mill. €",Nebojša Marinkovic,07/08,Sweden,1044,Djurgardens IF 
"Dec 1, 2007",End of loan,Greece,47,Iraklis ,27232,"1,60 Mill. €",Nebojša Marinkovic,07/08,Serbia,669,FK Partizan 
"Jul 1, 2007",Loan,Serbia,669,FK Partizan ,27232,"1,60 Mill. €",Nebojša Marinkovic,07/08,Greece,47,Iraklis 
"May 1, 2007",End of loan,Serbia,4634,FK Vozdovac  ,27232,"1,60 Mill. €",Nebojša Marinkovic,06/07,Serbia,669,FK Partizan 
"Jul 1, 2006",Loan,Serbia,669,FK Partizan ,27232,500 Th. €,Nebojša Marinkovic,06/07,Serbia,4634,FK Vozdovac  
"May 1, 2006",End of loan,Serbia,4634,FK Vozdovac  ,27232,500 Th. €,Nebojša Marinkovic,05/06,Serbia,669,FK Partizan 
"Jan 1, 2006",Loan,Serbia,669,FK Partizan ,27232,500 Th. €,Nebojša Marinkovic,05/06,Serbia,4634,FK Vozdovac  
"Jul 1, 2004",-,Serbia,12373,FK Partizan U19 ,27232,-,Nebojša Marinkovic,04/05,Serbia,669,FK Partizan 
"Jul 1, 2014",Free transfer,Belgium,601,KV Kortrijk ,27234,150 Th. €,Branimir Petrovic,14/15,Russia,6432,Volgar 
"Sep 12, 2013",-,Belgium,515,Unattached ,27234,200 Th. €,Branimir Petrovic,13/14,,601,KV Kortrijk 
"Aug 27, 2013",-,Russia,11127,Ural ,27234,200 Th. €,Branimir Petrovic,13/14,,515,Unattached 
"Mar 1, 2011",Free transfer,Russia,2696,KS Samara ,27234,800 Th. €,Branimir Petrovic,10/11,Russia,11127,Ural 
