date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,Free transfer,Serbia,448.0,Vojvodina ,168962,100 Th. €,Milan Spremo,15/16,Slovenia,710.0,NK Celje  
"Jun 30, 2015",,End of loan,Serbia,19488.0,Proleter ,168962,100 Th. €,Milan Spremo,14/15,Serbia,448.0,Vojvodina 
"Aug 16, 2014",,Loan,Serbia,448.0,Vojvodina ,168962,100 Th. €,Milan Spremo,14/15,Serbia,19488.0,Proleter 
"Dec 31, 2013",,End of loan,Serbia,27005.0,Petrovac ,168962,100 Th. €,Milan Spremo,13/14,Serbia,448.0,Vojvodina 
"Aug 1, 2013",,Loan,Serbia,448.0,Vojvodina ,168962,100 Th. €,Milan Spremo,13/14,Serbia,27005.0,Petrovac 
"Jan 1, 2013",,-,Serbia,12865.0,Vojvodina U21 ,168962,-,Milan Spremo,12/13,Serbia,448.0,Vojvodina 
"Jan 1, 2016",,-,Faroe Island,515.0,Unattached ,50180,400 Th. €,Ahmed Mujdragic,15/16,,6170.0,KÍ Klaksvík 
"Jul 1, 2015",,-,Romania,8104.0,Gaz Metan ,50180,400 Th. €,Ahmed Mujdragic,15/16,,515.0,Unattached 
"Jul 5, 2014",,Free transfer,Montenegro,30037.0,FK Celik Niksic ,50180,350 Th. €,Ahmed Mujdragic,14/15,Romania,8104.0,Gaz Metan 
"Jul 1, 2013",,-,Montenegro,515.0,Unattached ,50180,375 Th. €,Ahmed Mujdragic,13/14,,30037.0,FK Celik Niksic 
"Jan 1, 2013",,-,Serbia,3140.0,Hajduk Kula ,50180,375 Th. €,Ahmed Mujdragic,12/13,,515.0,Unattached 
"Dec 31, 2012",,-,Serbia,4633.0,Novi Pazar ,50180,375 Th. €,Ahmed Mujdragic,12/13,Serbia,3140.0,Hajduk Kula 
"Jul 1, 2012",,?,Serbia,3140.0,Hajduk Kula ,50180,300 Th. €,Ahmed Mujdragic,12/13,Serbia,4633.0,Novi Pazar 
"Jul 1, 2011",,?,Albania,12468.0,KF Shkumbini Peqin ,50180,150 Th. €,Ahmed Mujdragic,11/12,Serbia,3140.0,Hajduk Kula 
"Jul 1, 2009",,Free transfer,Serbia,4633.0,Novi Pazar ,50180,125 Th. €,Ahmed Mujdragic,09/10,Albania,12468.0,KF Shkumbini Peqin 
"Jul 1, 2003",,-,Serbia,27127.0,Pazar U19 ,50180,-,Ahmed Mujdragic,03/04,Serbia,4633.0,Novi Pazar 
"Jul 31, 2015",,?,Bosnia-Herzegovina,11040.0,Radnik Bijelj. ,160775,125 Th. €,Marko Lukic,15/16,Serbia,10460.0,Timok Zajecar 
"Jan 13, 2015",,?,Slovakia,38279.0,Bánovce ,160775,100 Th. €,Marko Lukic,14/15,Bosnia-Herzegovina,11040.0,Radnik Bijelj. 
"Jul 1, 2013",,Free transfer,Macedonia,21767.0,Drita Bogovinje ,160775,100 Th. €,Marko Lukic,13/14,Slovakia,38279.0,Bánovce 
"Aug 31, 2012",,-,Spain,5358.0,SD Huesca ,160775,100 Th. €,Marko Lukic,12/13,Macedonia,21767.0,Drita Bogovinje 
"Jun 30, 2012",,End of loan,Serbia,12132.0,Jagodina ,160775,100 Th. €,Marko Lukic,11/12,Spain,5358.0,SD Huesca 
"Aug 1, 2011",,Loan,Spain,5358.0,SD Huesca ,160775,-,Marko Lukic,11/12,Serbia,12132.0,Jagodina 
