date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2013",-,Italy,11998,Atalanta ,125445,150 Th. €,Nejc Praprotnik,13/14,Scotland,1241,Livingston FC 
"Jun 30, 2013",End of loan,Slovenia,5862,ND Gorica ,125445,150 Th. €,Nejc Praprotnik,12/13,Italy,11998,Atalanta 
"Aug 1, 2012",Loan,Italy,11998,Atalanta ,125445,125 Th. €,Nejc Praprotnik,12/13,Slovenia,5862,ND Gorica 
"Jul 1, 2011",?,Slovenia,5862,ND Gorica ,125445,200 Th. €,Nejc Praprotnik,11/12,Italy,11998,Atalanta 
"Nov 1, 2010",-,Slovenia,17391,Gorica U19 ,125445,-,Nejc Praprotnik,10/11,Slovenia,5862,ND Gorica 
"Jul 1, 2014",Free transfer,Slovenia,790,NK Maribor ,159241,50 Th. €,Dragan Topic,14/15,,75,Unknown 
"Jun 30, 2014",End of loan,Slovenia,27325,Verzej ,159241,50 Th. €,Dragan Topic,13/14,Slovenia,790,NK Maribor 
"Jul 20, 2013",Loan,Slovenia,790,NK Maribor ,159241,50 Th. €,Dragan Topic,13/14,Slovenia,27325,Verzej 
"Jun 30, 2013",End of loan,Slovenia,21415,SD Sencur ,159241,50 Th. €,Dragan Topic,12/13,Slovenia,790,NK Maribor 
"Aug 1, 2012",Loan,Slovenia,790,NK Maribor ,159241,50 Th. €,Dragan Topic,12/13,Slovenia,21415,SD Sencur 
"Oct 1, 2010",-,Slovenia,18031,NK Maribor U19 ,159241,-,Dragan Topic,10/11,Slovenia,790,NK Maribor 
"Jan 1, 2015",75 Th. €,Slovenia,6248,NK Domzale ,186797,50 Th. €,Marko Kovjenic,14/15,Slovakia,12005,Zlate Moravce 
"Jul 1, 2011",-,Slovenia,18030,NK Domzale U19 ,186797,75 Th. €,Marko Kovjenic,11/12,Slovenia,6248,NK Domzale 
"Jul 14, 2015","2,00 Mill. €",Italy,252,Genoa ,138584,"1,40 Mill. €",Luka Krajnc,15/16,Italy,1390,Cagliari Calcio 
"Jul 1, 2015",?,Italy,1429,AC Cesena ,138584,"1,40 Mill. €",Luka Krajnc,15/16,Italy,252,Genoa 
"Jul 16, 2014",?,Italy,252,Genoa ,138584,"1,50 Mill. €",Luka Krajnc,14/15,Italy,1429,AC Cesena 
"Jun 30, 2014",End of loan,Italy,1429,AC Cesena ,138584,"1,00 Mill. €",Luka Krajnc,13/14,Italy,252,Genoa 
"Jul 3, 2013",Loan,Italy,8517,FC Genoa ,138584,500 Th. €,Luka Krajnc,13/14,Italy,1429,AC Cesena 
"Jul 1, 2011",700 Th. €,Slovenia,18031,NK Maribor U19 ,138584,-,Luka Krajnc,11/12,Italy,8517,FC Genoa 
