date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2015",,?,Slovenia,789.0,Rudar Velenje ,216588,150 Th. €,Aljaz Krefl,15/16,Slovenia,4772.0,NK Olimpija 
"Jun 30, 2014",,-,Slovenia,3566.0,NK Smartno 1928 ,216588,200 Th. €,Aljaz Krefl,13/14,Slovenia,789.0,Rudar Velenje 
"Jul 1, 2013",,Loan,Slovenia,789.0,Rudar Velenje ,216588,150 Th. €,Aljaz Krefl,13/14,Slovenia,3566.0,NK Smartno 1928 
"Jan 1, 2012",,-,Slovenia,20200.0,NK Rudar U19 ,216588,-,Aljaz Krefl,11/12,Slovenia,789.0,Rudar Velenje 
"Jul 19, 2013",,Free transfer,Slovenia,4059.0,Mura 05 ,176149,50 Th. €,Mitja Mauko,13/14,Slovenia,27325.0,Verzej 
"Jul 1, 2011",,-,Slovenia,30050.0,ND Mura 05 U19 ,176149,25 Th. €,Mitja Mauko,11/12,Slovenia,4059.0,Mura 05 
"Jul 2, 2013",,?,Slovenia,6248.0,NK Domzale ,183837,75 Th. €,Gregor Zabret,13/14,England,2288.0,Swansea 
"Jan 1, 2012",,-,Slovenia,18030.0,NK Domzale U19 ,183837,-,Gregor Zabret,11/12,Slovenia,6248.0,NK Domzale 
"Feb 1, 2016",,"2,00 Mill. €",Slovenia,790.0,NK Maribor ,183841,"2,00 Mill. €",Petar Stojanovic,15/16,Croatia,419.0,Dinamo Zagreb 
"Jun 30, 2014",,End of loan,Slovenia,27325.0,Verzej ,183841,100 Th. €,Petar Stojanovic,13/14,Slovenia,790.0,NK Maribor 
"Jul 20, 2013",,Loan,Slovenia,790.0,NK Maribor ,183841,-,Petar Stojanovic,13/14,Slovenia,27325.0,Verzej 
"Jul 1, 2012",,-,Slovenia,18031.0,NK Maribor U19 ,183841,-,Petar Stojanovic,12/13,Slovenia,790.0,NK Maribor 
"Jul 1, 2011",,?,Slovenia,19416.0,Interblock U19 ,183841,-,Petar Stojanovic,11/12,Slovenia,18031.0,NK Maribor U19 
"Jan 1, 2016",,Free transfer,Slovenia,2476.0,NK Ankaran ,206377,75 Th. €,Emir Burkic,15/16,Luxembourg,3905.0,FC Wiltz 71 
"Jan 1, 2014",,?,Slovenia,23359.0,NK Izola ,206377,-,Emir Burkic,13/14,Slovenia,2476.0,NK Ankaran 
"Aug 1, 2012",,Free transfer,Slovenia,14965.0,FC Luka Koper U19 ,206377,-,Emir Burkic,12/13,Slovenia,23359.0,NK Izola 
"Jul 1, 2012",,Free transfer,Slovenia,18030.0,NK Domzale U19 ,197162,-,Alen Kavcic,12/13,,75.0,Unknown 
"Aug 12, 2015",,Free transfer,Slovenia,433.0,FC Koper ,201259,-,Sanjin Gavric,15/16,Slovenia,23359.0,NK Izola 
"Jun 30, 2015",,End of loan,Slovenia,21414.0,NK Jadran ,201259,-,Sanjin Gavric,14/15,Slovenia,433.0,FC Koper 
"Jan 1, 2013",,Loan,Slovenia,14965.0,FC Luka Koper U19 ,201259,-,Sanjin Gavric,12/13,Slovenia,21414.0,NK Jadran 
