date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2008",,-,Slovakia,779.0,Kosice ,74923,-,Roman Simko,08/09,Slovakia,20632.0,Kosice B 
"Jul 1, 2005",,Free transfer,Slovakia,365.0,Spartak Trnava ,74923,-,Roman Simko,05/06,Slovakia,779.0,Kosice 
"Jul 1, 2004",,Free transfer,Slovakia,20784.0,Licartovce ,74923,-,Roman Simko,04/05,Slovakia,365.0,Spartak Trnava 
"Jan 1, 2002",,?,Slovakia,17629.0,1.FC Kosice ,74923,-,Roman Simko,01/02,Slovakia,20784.0,Licartovce 
"Jul 1, 2006",,?,Slovakia,7087.0,Ruzomberok ,14854,300 Th. €,Jim Ablancourt,06/07,Réunion,18711.0,USS Tamponnaise 
"Jan 1, 2005",,Free transfer,France,162.0,Monaco ,14854,300 Th. €,Jim Ablancourt,04/05,Slovakia,7087.0,Ruzomberok 
"Jul 1, 2003",,-,Monaco,9668.0,Monaco B ,14854,-,Jim Ablancourt,03/04,France,162.0,Monaco 
"Jul 1, 2015",,Free transfer,Czech Republic,13726.0,MFK Karvina ,70664,100 Th. €,Martin Lipčák,15/16,,75.0,Unknown 
"Jul 1, 2013",,Free transfer,Czech Republic,804.0,Fotbal Trinec ,70664,100 Th. €,Martin Lipčák,13/14,Czech Republic,13726.0,MFK Karvina 
"Jan 1, 2008",,?,Slovakia,43390.0,Neded ,70664,-,Martin Lipčák,07/08,Czech Republic,804.0,Fotbal Trinec 
"Jul 1, 2007",,Free transfer,Hungary,1391.0,Zalaegerszeg ,70664,-,Martin Lipčák,07/08,Slovakia,43390.0,Neded 
"Jan 1, 2007",,Free transfer,Slovakia,365.0,Spartak Trnava ,70664,-,Martin Lipčák,06/07,Hungary,1391.0,Zalaegerszeg 
"Jul 1, 2005",,Free transfer,Slovakia,2781.0,Artmedia Brat. ,70664,-,Martin Lipčák,05/06,Slovakia,365.0,Spartak Trnava 
"Jan 1, 2016",,?,Austria,18549.0,Zurndorf ,91820,-,Peter Brezik,15/16,Austria,14996.0,Pama 
"Jul 1, 2015",,?,Austria,18767.0,Gols ,91820,-,Peter Brezik,15/16,Austria,18549.0,Zurndorf 
"Jul 1, 2014",,?,Austria,40795.0,Ritzing II ,91820,-,Peter Brezik,14/15,Austria,18767.0,Gols 
"Jul 1, 2013",,-,Austria,7445.0,SC Ritzing ,91820,-,Peter Brezik,13/14,Austria,40795.0,Ritzing II 
"Jul 1, 2010",,Free transfer,Slovakia,20533.0,SFM Senec ,91820,-,Peter Brezik,10/11,Austria,7445.0,SC Ritzing 
"Jan 1, 2007",,?,Slovakia,7918.0,AS Trencin ,91820,-,Peter Brezik,06/07,Slovakia,20533.0,SFM Senec 
"Jul 1, 2006",,?,Slovakia,216.0,Inter Bratislava ,91820,-,Peter Brezik,06/07,Slovakia,7918.0,AS Trencin 
"Jul 1, 2015",,Free transfer,Slovakia,4529.0,Dunajska Streda ,80907,50 Th. €,Peter Majernik,15/16,,75.0,Unknown 
"Jan 1, 2013",,?,Slovakia,18963.0,Spartak Myjava ,80907,175 Th. €,Peter Majernik,12/13,Slovakia,4529.0,Dunajska Streda 
