date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 1, 2013",-,Turkey,19789,Y. Malatyaspor ,7169,-,Muhammet Seker,13/14,,123,End of career 
"Aug 30, 2012",Free transfer,Turkey,6630,Sanliurfaspor  ,7169,100 Th. €,Muhammet Seker,12/13,Turkey,19789,Y. Malatyaspor 
"Jul 1, 2011",?,Turkey,6894,K. Erciyesspor ,7169,225 Th. €,Muhammet Seker,11/12,Turkey,6630,Sanliurfaspor  
"Jan 1, 2010",Free transfer,Turkey,2750,Bucaspor ,7169,200 Th. €,Muhammet Seker,09/10,Turkey,6894,K. Erciyesspor 
"Aug 1, 2008",Free transfer,Turkey,1204,Kartalspor ,7169,400 Th. €,Muhammet Seker,08/09,Turkey,2750,Bucaspor 
"Aug 1, 2007",Free transfer,Turkey,5743,Turanspor ,7169,500 Th. €,Muhammet Seker,07/08,Turkey,1204,Kartalspor 
"Jan 1, 2007",Free transfer,Turkey,152,Samsunspor ,7169,500 Th. €,Muhammet Seker,06/07,Turkey,5743,Turanspor 
"Jul 1, 2002",Free transfer,Turkey,2381,Sivasspor ,7169,-,Muhammet Seker,02/03,Turkey,152,Samsunspor 
"Jul 1, 2014",-,Turkey,6890,Basaksehir ,8706,-,Orkun Usak,14/15,,123,End of career 
"Feb 3, 2014",-,Turkey,515,Unattached ,8706,350 Th. €,Orkun Usak,13/14,,6890,Istanbul BBSK 
"Aug 14, 2013",-,Turkey,3840,Adana Demirspor ,8706,350 Th. €,Orkun Usak,13/14,,515,Unattached 
"Jul 4, 2013",Free transfer,Turkey,3216,Mersin IY ,8706,350 Th. €,Orkun Usak,13/14,Turkey,3840,Adana Demirspor 
"Jan 5, 2013",-,Turkey,515,Unattached ,8706,400 Th. €,Orkun Usak,12/13,,3216,Mersin IY 
"Jul 1, 2012",-,Turkey,589,Antalyaspor ,8706,400 Th. €,Orkun Usak,12/13,,515,Unattached 
"Jan 1, 2012",Free transfer,Turkey,1506,Karabükspor ,8706,200 Th. €,Orkun Usak,11/12,Turkey,589,Antalyaspor 
"Jul 1, 2011",-,Turkey,2293,Konyaspor ,8706,200 Th. €,Orkun Usak,11/12,Turkey,1506,Karabükspor 
"Aug 1, 2010",?,Turkey,1267,Manisaspor ,8706,300 Th. €,Orkun Usak,10/11,Turkey,2293,Konyaspor 
"Sep 1, 2009",Swap deal,Turkey,141,Galatasaray ,8706,900 Th. €,Orkun Usak,09/10,Turkey,1267,Manisaspor 
"Jul 1, 2007",600 Th. €,Turkey,6894,K. Erciyesspor ,8706,"1,75 Mill. €",Orkun Usak,07/08,Turkey,141,Galatasaray 
"Jan 1, 2007",Free transfer,Turkey,868,Ankaragücü ,8706,650 Th. €,Orkun Usak,06/07,Turkey,6894,K. Erciyesspor 
"Jul 1, 2003",Free transfer,Turkey,2292,Elazigspor  ,8706,-,Orkun Usak,03/04,Turkey,868,Ankaragücü 
"Aug 1, 2001",Free transfer,Turkey,141,Galatasaray ,8706,-,Orkun Usak,01/02,Turkey,2292,Elazigspor  
"Jun 30, 2001",End of loan,Turkey,14933,A. Üsküdar ,8706,-,Orkun Usak,00/01,Turkey,141,Galatasaray 
"Sep 1, 2000",Loan,Turkey,141,Galatasaray ,8706,-,Orkun Usak,00/01,Turkey,14933,A. Üsküdar 
"Jun 30, 2000",End of loan,Turkey,3202,Bakirköyspor ,8706,-,Orkun Usak,99/00,Turkey,141,Galatasaray 
"Aug 1, 1999",Loan,Turkey,141,Galatasaray ,8706,-,Orkun Usak,99/00,Turkey,3202,Bakirköyspor 
"Jun 30, 1999",End of loan,Turkey,13451,Beykozspor ,8706,-,Orkun Usak,98/99,Turkey,141,Galatasaray 
"Jan 1, 1999",Loan,Turkey,141,Galatasaray ,8706,-,Orkun Usak,98/99,Turkey,13451,Beykozspor 
"Jul 1, 1998",-,Turkey,11502,Galatasaray II ,8706,-,Orkun Usak,98/99,Turkey,141,Galatasaray 
"Jul 1, 1997",-,Turkey,34776,Galatasaray U18 ,8706,-,Orkun Usak,97/98,Turkey,11502,Galatasaray II 
"Jan 15, 2016",-,Turkey,515,Unattached ,8707,50 Th. €,Ilker Erbay,15/16,,25230,Bayrampasa 
"Nov 25, 2015",-,Turkey,39871,Payasspor ,8707,50 Th. €,Ilker Erbay,15/16,,515,Unattached 
"Jul 30, 2015",Free transfer,Turkey,25253,Tepecikspor ,8707,50 Th. €,Ilker Erbay,15/16,Turkey,39871,Payasspor 
"Aug 13, 2012",Free transfer,Turkey,5743,Turanspor ,8707,75 Th. €,Ilker Erbay,12/13,Turkey,25253,Tepecikspor 
"Jan 13, 2012",-,Turkey,515,Unattached ,8707,150 Th. €,Ilker Erbay,11/12,,5743,Turanspor 
"Jul 1, 2011",-,Turkey,11282,Alanyaspor ,8707,150 Th. €,Ilker Erbay,11/12,,515,Unattached 
"Aug 31, 2010",?,Turkey,7088,Fethiyespor ,8707,150 Th. €,Ilker Erbay,10/11,Turkey,11282,Alanyaspor 
"Jan 8, 2010",?,Turkey,25253,Tepecikspor ,8707,150 Th. €,Ilker Erbay,09/10,Turkey,7088,Fethiyespor 
"Sep 1, 2009",?,Turkey,6894,K. Erciyesspor ,8707,150 Th. €,Ilker Erbay,09/10,Turkey,25253,Tepecikspor 
"Jan 12, 2009",Free transfer,Turkey,2323,Orduspor ,8707,200 Th. €,Ilker Erbay,08/09,Turkey,6894,K. Erciyesspor 
"Aug 27, 2008",?,Turkey,6894,K. Erciyesspor ,8707,500 Th. €,Ilker Erbay,08/09,Turkey,2323,Orduspor 
"Aug 3, 2007",?,Turkey,141,Galatasaray ,8707,350 Th. €,Ilker Erbay,07/08,Turkey,6894,K. Erciyesspor 
"Jun 30, 2007",End of loan,Turkey,120,Kocaelispor ,8707,350 Th. €,Ilker Erbay,06/07,Turkey,141,Galatasaray 
"Aug 4, 2006",Loan,Turkey,141,Galatasaray ,8707,350 Th. €,Ilker Erbay,06/07,Turkey,120,Kocaelispor 
"Jul 25, 2006",Free transfer,Turkey,2832,Gaziantep BB ,8707,350 Th. €,Ilker Erbay,06/07,Turkey,141,Galatasaray 
"Aug 23, 2005",Free transfer,Turkey,3216,Mersin IY ,8707,350 Th. €,Ilker Erbay,05/06,Turkey,2832,Gaziantep BB 
"Aug 27, 2004",?,Turkey,11675,Beylerbeyi ,8707,-,Ilker Erbay,04/05,Turkey,3216,Mersin IY 
"Feb 6, 2004",?,Turkey,141,Galatasaray ,8707,-,Ilker Erbay,03/04,Turkey,11675,Beylerbeyi 
"Dec 31, 2003",End of loan,Turkey,2292,Elazigspor  ,8707,-,Ilker Erbay,03/04,Turkey,141,Galatasaray 
"Aug 7, 2003",Loan,Turkey,141,Galatasaray ,8707,-,Ilker Erbay,03/04,Turkey,2292,Elazigspor  
"Nov 22, 2002",-,Turkey,11502,Galatasaray II ,8707,-,Ilker Erbay,02/03,Turkey,141,Galatasaray 
"Jul 1, 2001",-,Turkey,43428,Galatasaray Yth ,8707,-,Ilker Erbay,01/02,Turkey,11502,Galatasaray II 
