date,error,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Jul 2, 2013",,"1,75 Mill. €",Turkey,114.0,Besiktas ,9422,"4,00 Mill. €",Allan McGregor,13/14,England,3008.0,Hull City 
"Jul 26, 2012",,Free transfer,Scotland,124.0,Rangers ,9422,"5,00 Mill. €",Allan McGregor,12/13,Turkey,114.0,Besiktas 
"Jun 30, 2006",,End of loan,Scotland,1270.0,Dunfermline A. ,9422,500 Th. €,Allan McGregor,05/06,Scotland,124.0,Rangers 
"Aug 1, 2005",,Loan,Scotland,124.0,Rangers ,9422,500 Th. €,Allan McGregor,05/06,Scotland,1270.0,Dunfermline A. 
"Dec 31, 2004",,End of loan,Scotland,2578.0,St. Johnstone ,9422,100 Th. €,Allan McGregor,04/05,Scotland,124.0,Rangers 
"Aug 1, 2004",,Loan,Scotland,124.0,Rangers ,9422,-,Allan McGregor,04/05,Scotland,2578.0,St. Johnstone 
"Jul 1, 2001",,-,Scotland,7112.0,Rangers U20 ,9422,-,Allan McGregor,01/02,Scotland,124.0,Rangers 
"Jul 1, 1999",,-,Scotland,31029.0,Glasgow Rangers U17 ,9422,-,Allan McGregor,99/00,Scotland,7112.0,Rangers U20 
"Jun 22, 2016",,End of loan,Argentina,333.0,CA Lanús ,17872,"2,00 Mill. €",Pablo Mouche,15/16,Brazil,1023.0,Palmeiras 
"Jan 25, 2016",,Loan,Brazil,1023.0,Palmeiras ,17872,"3,00 Mill. €",Pablo Mouche,15/16,Argentina,333.0,CA Lanús 
"Jul 1, 2014",,"2,94 Mill. €",Turkey,3205.0,Kayserispor ,17872,"3,00 Mill. €",Pablo Mouche,14/15,Brazil,1023.0,Palmeiras 
"Jul 25, 2012",,"2,50 Mill. €",Argentina,189.0,Boca Juniors ,17872,"2,50 Mill. €",Pablo Mouche,12/13,Turkey,3205.0,Kayserispor 
"Feb 1, 2008",,-,Argentina,14831.0,Boca II ,17872,500 Th. €,Pablo Mouche,07/08,Argentina,189.0,Boca Juniors 
"Jun 30, 2007",,End of loan,Argentina,4673.0,Ars. de Sarandí ,17872,-,Pablo Mouche,06/07,Argentina,14831.0,Boca II 
"Jan 1, 2007",,Loan,Argentina,14831.0,Boca II ,17872,-,Pablo Mouche,06/07,Argentina,4673.0,Ars. de Sarandí 
"Dec 1, 2006",,-,Argentina,15098.0,Boca U20 ,17872,-,Pablo Mouche,06/07,Argentina,14831.0,Boca II 
"Jul 1, 2003",,,Argentina,14312.0,C.A. Estudiantes ,17872,-,Pablo Mouche,03/04,Argentina,15098.0,Boca U20 
"Jan 1, 2003",,-,Argentina,25672.0,Estudiantes U20 ,17872,-,Pablo Mouche,02/03,Argentina,14312.0,C.A. Estudiantes 
"Jan 19, 2016",,Free transfer,Turkey,2292.0,Elazigspor  ,24337,"1,00 Mill. €",Cleyton,15/16,Turkey,1467.0,Göztepe 
"Aug 4, 2015",,Free transfer,Greece,128.0,Skoda Xanthi ,24337,"1,25 Mill. €",Cleyton,15/16,Turkey,2292.0,Elazigspor  
"Sep 2, 2014",,-,Greece,515.0,Unattached ,24337,"2,00 Mill. €",Cleyton,14/15,,128.0,Skoda Xanthi 
"Mar 28, 2014",,-,Croatia,419.0,Dinamo Zagreb ,24337,"2,00 Mill. €",Cleyton,13/14,,515.0,Unattached 
"Jan 31, 2014",,Free transfer,Turkey,3205.0,Kayserispor ,24337,"2,50 Mill. €",Cleyton,13/14,Croatia,419.0,Dinamo Zagreb 
"Jul 1, 2012",,Free transfer,Greece,265.0,Panathinaikos ,24337,"1,60 Mill. €",Cleyton,12/13,Turkey,3205.0,Kayserispor 
"Dec 31, 2010",,End of loan,Ukraine,2783.0,Metalurg D. ,24337,"1,50 Mill. €",Cleyton,10/11,Greece,265.0,Panathinaikos 
"Jul 1, 2010",,Loan fee:200 Th. €,Greece,265.0,Panathinaikos ,24337,"2,00 Mill. €",Cleyton,10/11,Ukraine,2783.0,Metalurg D. 
"Jul 1, 2008",,"1,70 Mill. €",Greece,4603.0,AE Larisa ,24337,"2,20 Mill. €",Cleyton,08/09,Greece,265.0,Panathinaikos 
"Jul 1, 2006",,550 Th. €,Greece,3392.0,Apollon 1926 ,24337,"1,00 Mill. €",Cleyton,06/07,Greece,4603.0,AE Larisa 
"Jul 1, 2004",,50 Th. €,Greece,8028.0,Messiniakos ,24337,-,Cleyton,04/05,Greece,3392.0,Apollon 1926 
"Jul 1, 2002",,Free transfer,Brazil,6271.0,Jacareí Atlético Clube (SP) ,24337,-,Cleyton,02/03,Greece,8028.0,Messiniakos 
"Jul 1, 2015",,-,Ukraine,6249.0,Dynamo 2 Kyiv ,25780,800 Th. €,Ayila Yussuf,15/16,,515.0,Unattached 
"Dec 31, 2014",,End of loan,Ukraine,6414.0,Metalist ,25780,800 Th. €,Ayila Yussuf,14/15,Ukraine,6249.0,Dynamo 2 Kyiv 
"Feb 18, 2014",,Loan,Ukraine,6249.0,Dynamo 2 Kyiv ,25780,500 Th. €,Ayila Yussuf,13/14,Ukraine,6414.0,Metalist 
"Jul 1, 2013",,-,Ukraine,338.0,Dynamo Kyiv ,25780,"2,00 Mill. €",Ayila Yussuf,13/14,Ukraine,6249.0,Dynamo 2 Kyiv 
"Jun 30, 2013",,End of loan,Turkey,2323.0,Orduspor ,25780,"2,00 Mill. €",Ayila Yussuf,12/13,Ukraine,338.0,Dynamo Kyiv 
"Jan 30, 2013",,Loan,Ukraine,338.0,Dynamo Kyiv ,25780,"2,50 Mill. €",Ayila Yussuf,12/13,Turkey,2323.0,Orduspor 
"Jul 1, 2003",,300 Th. €,Nigeria,35055.0,Union Bank FC ,25780,-,Ayila Yussuf,03/04,Ukraine,338.0,Dynamo Kyiv 
"Jul 1, 2014",,?,Turkey,2330.0,Karsiyaka ,26934,500 Th. €,David Bicik,14/15,Czech Republic,197.0,Sparta Praha 
"Jul 17, 2013",,?,Turkey,3216.0,Mersin IY ,26934,800 Th. €,David Bicik,13/14,Turkey,2330.0,Karsiyaka 
"Jan 10, 2013",,?,Czech Republic,697.0,Slovan Liberec ,26934,800 Th. €,David Bicik,12/13,Turkey,3216.0,Mersin IY 
"Jul 1, 2011",,Free transfer,Slovakia,540.0,Slo. Bratislava ,26934,250 Th. €,David Bicik,11/12,Czech Republic,697.0,Slovan Liberec 
"Jun 30, 2011",,End of loan,Czech Republic,697.0,Slovan Liberec ,26934,250 Th. €,David Bicik,10/11,Slovakia,540.0,Slo. Bratislava 
