date,fee,fromCountry,fromTeamId,fromTeamName,id,mv,playerName,season,toCountry,toTeamId,toTeamName
"Aug 1, 2010",Free transfer,Poland,422,Wisla Kraków ,35584,400 Th. €,Peter Singlar,10/11,Slovakia,779,Kosice 
"Jul 1, 2008",Free transfer,Czech Republic,697,Slovan Liberec ,35584,450 Th. €,Peter Singlar,08/09,Poland,422,Wisla Kraków 
"Jul 1, 2004",?,Slovakia,20784,Licartovce ,35584,-,Peter Singlar,04/05,Czech Republic,697,Slovan Liberec 
"Jun 30, 2002",End of loan,Slovakia,7392,Dubnica ,35584,-,Peter Singlar,01/02,Slovakia,20784,Licartovce 
"Jan 1, 2002",Loan,Slovakia,20784,Licartovce ,35584,-,Peter Singlar,01/02,Slovakia,7392,Dubnica 
"Jul 1, 1999",Free transfer,Slovakia,4531,Tatran Presov ,35584,-,Peter Singlar,99/00,Slovakia,20784,Licartovce 
"Jul 1, 2013",-,Brazil,21829,Oeste ,25602,-,Melinho,13/14,,123,End of career 
"May 1, 2013",Free transfer,Brazil,22878,Rio Branco-SP ,25602,150 Th. €,Melinho,12/13,Brazil,21829,Oeste 
"Feb 1, 2013",Free transfer,Brazil,1278,UA Barbarense ,25602,150 Th. €,Melinho,12/13,Brazil,22878,Rio Branco-SP 
"Nov 1, 2012",End of loan,Brazil,16083,GO Audax ,25602,150 Th. €,Melinho,12/13,Brazil,1278,UA Barbarense 
"May 1, 2012",Loan,Brazil,1278,UA Barbarense ,25602,150 Th. €,Melinho,11/12,Brazil,16083,GO Audax 
"Jan 1, 2012",-,Brazil,515,Unattached ,25602,150 Th. €,Melinho,11/12,,1278,UA Barbarense 
"Jul 1, 2011",-,Slovakia,4529,Dunajska Streda ,25602,150 Th. €,Melinho,11/12,,515,Unattached 
"Jan 1, 2011",-,Slovakia,515,Unattached ,25602,250 Th. €,Melinho,10/11,,4529,Dunajska Streda 
"Sep 1, 2010",-,Czech Republic,2311,Sigma Olomouc ,25602,350 Th. €,Melinho,10/11,,515,Unattached 
"Jun 30, 2010",End of loan,Germany,996,TuS Koblenz ,25602,350 Th. €,Melinho,09/10,Czech Republic,2311,Sigma Olomouc 
"Jul 1, 2009",Loan,Czech Republic,2311,Sigma Olomouc ,25602,900 Th. €,Melinho,09/10,Germany,996,TuS Koblenz 
"Jul 1, 2005",Free transfer,Brazil,1278,UA Barbarense ,25602,-,Melinho,05/06,Czech Republic,2311,Sigma Olomouc 
"Jan 1, 2005",Free transfer,Czech Republic,479,SFC Opava ,25602,-,Melinho,04/05,Brazil,1278,UA Barbarense 
"Jul 1, 2004",?,Brazil,10247,Portuguesa ,25602,-,Melinho,04/05,Czech Republic,479,SFC Opava 
"Jan 1, 2004",Free transfer,Greece,1119,Akratitos ,25602,-,Melinho,03/04,Brazil,10247,Portuguesa 
"Jan 1, 2002",?,Brazil,1278,UA Barbarense ,25602,-,Melinho,01/02,Greece,1119,Akratitos 
"Jul 1, 2000",Free transfer,Brazil,1755,Guarani ,25602,-,Melinho,00/01,Brazil,1278,UA Barbarense 
"Jan 1, 1999",Free transfer,Spain,1050,Villarreal CF ,25602,-,Melinho,98/99,Brazil,1755,Guarani 
